date_obj,Granite%20body price
2015-03-26,157313
2015-03-27,157313
2015-03-28,157050
2015-03-29,157050
2015-03-30,153540
2015-03-31,153540
2015-04-01,158363
2015-04-02,158363
2015-04-03,164093
2015-04-04,164093
2015-04-05,166964
2015-04-06,166964
2015-04-07,169877
2015-04-08,169877
2015-04-09,170759
2015-04-10,170759
2015-04-11,172050
2015-04-12,172050
2015-04-13,167107
2015-04-14,167107
2015-04-15,163272
2015-04-16,163272
2015-04-17,159118
2015-04-18,159118
2015-04-19,154756
2015-04-20,154756
2015-04-21,150757
2015-04-22,150757
2015-04-23,146148
2015-04-24,146148
2015-04-25,143199
2015-04-26,143199
2015-04-27,139418
2015-04-28,139418
2015-04-29,136868
2015-04-30,136868
2015-05-01,133248
2015-05-02,133248
2015-05-03,130083
2015-05-04,130083
2015-05-05,126268
2015-05-06,126268
2015-05-07,122868
2015-05-08,122868
2015-05-09,118856
2015-05-10,118856
2015-05-11,119318
2015-05-12,119318
2015-05-13,119459
2015-05-14,119459
2015-05-15,119922
2015-05-16,119922
2015-05-17,120245
2015-05-18,120245
2015-05-19,119061
2015-05-20,119061
2015-05-21,119061
2015-05-22,120212
2015-05-23,120212
2015-05-24,121344
2015-05-25,121344
2015-05-26,118708
2015-05-27,118708
2015-05-28,117832
2015-05-29,117832
2015-05-30,117789
2015-05-31,117789
2015-06-01,119069
2015-06-02,119069
2015-06-03,119212
2015-06-04,119212
2015-06-05,121077
2015-06-06,122655
2015-06-07,125737
2015-06-08,125737
2015-06-09,125567
2015-06-10,122879
2015-06-11,122879
2015-06-12,120579
2015-06-13,117897
2015-06-14,117897
2015-06-15,115528
2015-06-16,111821
2015-06-17,111821
2015-06-18,109477
2015-06-19,109477
2015-06-20,109879
2015-06-21,109879
2015-06-22,112987
2015-06-23,112987
2015-06-24,111991
2015-06-25,111991
2015-06-26,109087
2015-06-27,109087
2015-06-28,106350
2015-06-29,106350
2015-06-30,105183
2015-07-01,108440
2015-07-02,108440
2015-07-03,112231
2015-07-04,112231
2015-07-05,116751
2015-07-06,116751
2015-07-07,117346
2015-07-08,118962
2015-07-09,118962
2015-07-10,122590
2015-07-11,122590
2015-07-12,128458
2015-07-13,130073
2015-07-14,130073
2015-07-15,133106
2015-07-16,133106
2015-07-17,138056
2015-07-18,138056
2015-07-19,144706
2015-07-20,146144
2015-07-21,146144
2015-07-22,150638
2015-07-23,150638
2015-07-24,150557
2015-07-25,150557
2015-07-26,143470
2015-07-27,138637
2015-07-28,138637
2015-07-29,137362
2015-07-30,137362
2015-07-31,134846
2015-08-01,134846
2015-08-02,133914
2015-08-03,133914
2015-08-04,130639
2015-08-05,129385
2015-08-06,129385
2015-08-07,130204
2015-08-08,126095
2015-08-09,123089
2015-08-10,118620
2015-08-11,116669
2015-08-12,116669
2015-08-13,117821
2015-08-14,122598
2015-08-15,122598
2015-08-16,123342
2015-08-17,124968
2015-08-18,124968
2015-08-19,127918
2015-08-20,127918
2015-08-21,128927
2015-08-22,129863
2015-08-23,129863
2015-08-24,129575
2015-08-25,129575
2015-08-26,134291
2015-08-27,140733
2015-08-28,140733
2015-08-29,139781
2015-08-30,139781
2015-08-31,137029
2015-09-01,135503
2015-09-02,135503
2015-09-03,134819
2015-09-04,137412
2015-09-05,137412
2015-09-06,135183
2015-09-07,133559
2015-09-08,133559
2015-09-09,138139
2015-09-10,142567
2015-09-11,142567
2015-09-12,146143
2015-09-13,145532
2015-09-14,145532
2015-09-15,140402
2015-09-16,140402
2015-09-17,134328
2015-09-18,134328
2015-09-19,131338
2015-09-20,131338
2015-09-21,131410
2015-09-22,131410
2015-09-23,130871
2015-09-24,130871
2015-09-25,133011
2015-09-27,128218
2015-09-28,128218
2015-09-29,124398
2015-09-30,120980
2015-10-05,116981
2015-10-06,118163
2015-10-07,118163
2015-10-08,115515
2015-10-09,115515
2015-10-10,112216
2015-10-11,109125
2015-10-12,109125
2015-10-13,104775
2015-10-14,104775
2015-10-15,100467
2015-10-16,100467
2015-10-17,98163
2015-10-18,98163
2015-10-19,96664
2015-10-20,96664
2015-10-22,97517
2015-10-23,97452
2015-10-24,97452
2015-10-25,96388
2015-10-26,93666
2015-10-27,93666
2015-10-29,91893
2015-10-30,92190
2015-10-31,96622
2015-11-01,96622
2015-11-02,101173
2015-11-03,101173
2015-11-04,106199
2015-11-05,110881
2015-11-06,110881
2015-11-07,115637
2015-11-08,115637
2015-11-09,115637
2015-11-10,116506
2015-11-11,116063
2015-11-12,116063
2015-11-13,120064
2015-11-14,120064
2015-11-15,121022
