date_obj,Larupia%20hat price
2016-01-05,5192
2016-01-06,5192
2016-01-07,5192
2016-01-08,5192
2016-01-09,5089
2016-01-10,5089
2016-01-11,5089
2016-01-12,4841
2016-01-13,4841
2016-01-14,4841
2016-01-15,4841
2016-01-16,4654
2016-01-17,4654
2016-01-18,4654
2016-01-19,4654
2016-01-20,4491
2016-01-21,4491
2016-01-22,4491
2016-01-23,4491
2016-01-24,4491
2016-01-25,4321
2016-01-26,4321
2016-01-27,4321
2016-01-28,4321
2016-01-29,4370
2016-01-30,4370
2016-01-31,4370
2016-02-01,4370
2016-02-02,4192
2016-02-03,4192
2016-02-04,4192
2016-02-05,4192
2016-02-06,4032
2016-02-07,4032
2016-02-08,4032
2016-02-09,4032
2016-02-10,3961
2016-02-11,3961
2016-02-12,3961
2016-02-13,3849
2016-02-14,3849
2016-02-15,3849
2016-02-16,3849
2016-02-17,3717
2016-02-18,3717
2016-02-19,3717
2016-02-20,3717
2016-02-21,3663
2016-02-22,3663
2016-02-23,3663
2016-02-24,3663
2016-02-25,3618
2016-02-26,3618
2016-02-27,3618
2016-02-28,3627
2016-02-29,3627
2016-03-01,3627
2016-03-02,3627
2016-03-03,3679
2016-03-04,3679
2016-03-05,3679
2016-03-06,3629
2016-03-07,3629
2016-03-08,3629
2016-03-09,3629
2016-03-10,3641
2016-03-11,3641
2016-03-12,3641
2016-03-13,3823
2016-03-14,3823
2016-03-15,3823
2016-03-16,3823
2016-03-17,3914
2016-03-18,3914
2016-03-19,3914
2016-03-20,3921
2016-03-21,3921
2016-03-22,3921
2016-03-23,3921
2016-03-24,3950
2016-03-25,3950
2016-03-26,3950
2016-03-27,4128
2016-03-28,4128
2016-03-29,4128
2016-03-30,4257
2016-03-31,4257
2016-04-01,4257
2016-04-02,4257
2016-04-03,4337
2016-04-04,4337
2016-04-05,4337
2016-04-06,4337
2016-04-07,4144
2016-04-08,4144
2016-04-09,4144
2016-04-10,3969
2016-04-11,3969
2016-04-12,3969
2016-04-13,3969
2016-04-14,3928
2016-04-15,3928
2016-04-16,3928
2016-04-17,3992
2016-04-18,3992
2016-04-19,3992
2016-04-20,4111
2016-04-21,4111
2016-04-22,4111
2016-04-23,4111
2016-04-24,4259
2016-04-25,4259
2016-04-26,4259
2016-04-27,4443
2016-04-28,4443
2016-04-29,4443
2016-04-30,4666
2016-05-01,4666
2016-05-02,4666
2016-05-03,4867
2016-05-04,4867
2016-05-05,4867
2016-05-06,5085
2016-05-07,5085
2016-05-08,5085
2016-05-09,5271
2016-05-10,5271
2016-05-11,5271
2016-05-12,5381
2016-05-13,5381
2016-05-14,5381
2016-05-15,5355
2016-05-16,5355
2016-05-17,5355
2016-05-18,5283
2016-05-19,5283
2016-05-22,5037
2016-05-23,5037
2016-05-24,5037
2016-05-25,4785
2016-05-26,4785
2016-05-27,4785
2016-05-28,4785
2016-05-29,4545
2016-05-30,4545
2016-05-31,4545
2016-06-01,4545
2016-06-02,4321
2016-06-03,4321
2016-06-04,4321
2016-06-05,4321
2016-06-06,4104
2016-06-07,4104
2016-06-08,4104
2016-06-09,4104
2016-06-10,3930
2016-06-11,3930
2016-06-12,3930
2016-06-13,3930
2016-06-14,3818
2016-06-15,3818
2016-06-16,3818
2016-06-17,3881
2016-06-18,3881
2016-06-19,3881
2016-06-20,3881
2016-06-21,3944
2016-06-22,3944
2016-06-23,3944
2016-06-24,4105
2016-06-25,4105
2016-06-26,4105
2016-06-27,4105
2016-06-28,4233
2016-06-29,4233
2016-06-30,4233
2016-07-01,4248
2016-07-02,4248
2016-07-03,4248
2016-07-04,4248
2016-07-05,4184
2016-07-06,4184
2016-07-07,4184
2016-07-08,4118
2016-07-09,4118
2016-07-10,4118
2016-07-11,4190
2016-07-12,4190
2016-07-13,4190
2016-07-14,4190
2016-07-15,4050
2016-07-16,4050
2016-07-17,4050
2016-07-18,3937
2016-07-23,3996
2016-07-24,3996
2016-07-25,3996
2016-07-26,3937
2016-07-27,3937
2016-07-28,3937
2016-07-29,3937
2016-07-30,3994
2016-07-31,3994
2016-08-01,3994
2016-08-02,3994
2016-08-03,4133
2016-08-04,4133
2016-08-05,4133
2016-08-06,4133
2016-08-07,4133
2016-08-08,4201
2016-08-09,4201
2016-08-10,4201
2016-08-11,4201
2016-08-12,4227
2016-08-13,4227
2016-08-14,4227
2016-08-15,4227
2016-08-16,4246
2016-08-17,4246
2016-08-18,4246
2016-08-19,4246
2016-08-20,4246
2016-08-21,4246
2016-08-22,4140
2016-08-23,4140
2016-08-24,4140
2016-08-25,4140
2016-08-26,4140
2016-08-28,4321
2016-08-31,4321
2016-09-01,4501
2016-09-02,4501
2016-09-03,4501
2016-09-04,4501
2016-09-05,4501
2016-09-06,4540
2016-09-07,4729
2016-09-08,4956
2016-09-09,5197
2016-09-10,5457
2016-09-11,5457
