date_obj,Old%20school%20bond price
2016-01-16,2411897
2016-01-17,2385618
2016-01-18,2412445
2016-01-19,2423808
2016-01-20,2447405
2016-01-21,2482031
2016-01-22,2471271
2016-01-23,2379836
2016-01-24,2298450
2016-01-25,2274315
2016-01-26,2298671
2016-01-27,2352126
2016-01-28,2349235
2016-01-29,2356988
2016-01-30,2289700
2016-01-31,2234539
2016-02-01,2167970
2016-02-02,2095178
2016-02-03,2133956
2016-02-04,2207104
2016-02-05,2261946
2016-02-06,2305886
2016-02-07,2365547
2016-02-08,2335609
2016-02-09,2281013
2016-02-10,2282622
2016-02-11,2209026
2016-02-12,2199684
2016-02-13,2211780
2016-02-14,2194916
2016-02-15,2218636
2016-02-16,2225605
2016-02-17,2234647
2016-02-18,2308488
2016-02-19,2374689
2016-02-20,2329103
2016-02-21,2330813
2016-02-22,2362103
2016-02-23,2426247
2016-02-24,2460531
2016-02-25,2456237
2016-02-26,2421702
2016-02-27,2350097
2016-02-28,2302757
2016-02-29,2299756
2016-03-01,2340905
2016-03-02,2391668
2016-03-03,2497962
2016-03-04,2554553
2016-03-05,2484009
2016-03-06,2443169
2016-03-07,2432109
2016-03-08,2444842
2016-03-09,2467557
2016-03-10,2525336
2016-03-11,2536689
2016-03-12,2513450
2016-03-13,2520500
2016-03-14,2540993
2016-03-15,2528467
2016-03-16,2576988
2016-03-17,2641476
2016-03-18,2653472
2016-03-19,2602114
2016-03-20,2572685
2016-03-21,2573154
2016-03-22,2597634
2016-03-23,2631461
2016-03-24,2659340
2016-03-25,2721420
2016-03-26,2773109
2016-03-27,2786857
2016-03-28,2793871
2016-03-29,2787546
2016-03-30,2785238
2016-03-31,2800909
2016-04-01,2738402
2016-04-02,2624213
2016-04-03,2530660
2016-04-04,2547707
2016-04-05,2514775
2016-04-06,2510930
2016-04-07,2497614
2016-04-08,2425675
2016-04-09,2372688
2016-04-10,2433310
2016-04-11,2482207
2016-04-12,2506427
2016-04-13,2548674
2016-04-14,2525695
2016-04-15,2470425
2016-04-16,2403973
2016-04-17,2345045
2016-04-18,2425868
2016-04-19,2475770
2016-04-20,2537727
2016-04-21,2554987
2016-04-22,2518449
2016-04-23,2460667
2016-04-24,2414058
2016-04-25,2440645
2016-04-26,2464720
2016-04-27,2454481
2016-04-28,2439877
2016-04-29,2365866
2016-04-30,2309478
2016-05-01,2285088
2016-05-02,2350488
2016-05-03,2410551
2016-05-04,2427978
2016-05-05,2435225
2016-05-06,2393622
2016-05-07,2337454
2016-05-08,2306696
2016-05-09,2312028
2016-05-10,2350529
2016-05-11,2396747
2016-05-12,2462165
2016-05-13,2458436
2016-05-14,2446855
2016-05-15,2438037
2016-05-16,2463218
2016-05-17,2534041
2016-05-18,2484553
2016-05-19,2482368
2016-05-22,2482803
2016-05-23,2480685
2016-05-24,2479928
2016-05-25,2512621
2016-05-26,2508963
2016-05-27,2464472
2016-05-28,2406832
2016-05-29,2422918
2016-05-30,2396081
2016-05-31,2417884
2016-06-01,2456849
2016-06-02,2552291
2016-06-03,2620184
2016-06-04,2672631
2016-06-05,2735409
2016-06-06,2826885
2016-06-07,2889459
2016-06-08,2907429
2016-06-09,2810243
2016-06-10,2694949
2016-06-11,2615515
2016-06-12,2618883
2016-06-13,2682975
2016-06-14,2781123
2016-06-15,2834639
2016-06-16,2788262
2016-06-17,2770997
2016-06-18,2732100
2016-06-19,2692491
2016-06-20,2722876
2016-06-21,2796042
2016-06-22,2824877
2016-06-23,2795700
2016-06-24,2743415
2016-06-25,2786787
2016-06-26,2776997
2016-06-27,2828201
2016-06-28,2828327
2016-06-29,2821380
2016-06-30,2714007
2016-07-01,2634445
2016-07-02,2590779
2016-07-03,2551337
2016-07-04,2571083
2016-07-05,2590394
2016-07-06,2587876
2016-07-07,2568898
2016-07-08,2572334
2016-07-09,2486662
2016-07-10,2463971
2016-07-11,2537421
2016-07-12,2597261
2016-07-13,2685582
2016-07-14,2712103
2016-07-15,2643533
2016-07-16,2548900
2016-07-17,2569629
2016-07-18,2648662
2016-07-23,2763725
2016-07-24,2797498
2016-07-25,2889530
2016-07-26,2948173
2016-07-27,2947965
2016-07-28,2879545
2016-07-29,2803532
2016-07-30,2729848
2016-07-31,2723487
2016-08-01,2760299
2016-08-02,2774749
2016-08-03,2806402
2016-08-04,2824965
2016-08-05,2825668
2016-08-06,2766663
2016-08-07,2768642
2016-08-08,2815195
2016-08-09,2913301
2016-08-10,2965017
2016-08-11,2876877
2016-08-12,2841532
2016-08-13,2772552
2016-08-14,2780292
2016-08-15,2866664
2016-08-16,2913802
2016-08-17,2970372
2016-08-18,3028522
2016-08-19,2948499
2016-08-20,2852300
2016-08-21,2815268
2016-08-22,2934159
2016-08-23,3066794
2016-08-24,3060311
2016-08-25,2982836
2016-08-26,2865096
2016-08-28,2755491
2016-08-31,2885443
2016-09-01,2858900
2016-09-02,2751186
2016-09-03,2711427
2016-09-04,2704248
2016-09-05,2803645
2016-09-06,2913985
2016-09-07,2996568
2016-09-08,3013621
2016-09-09,2922062
2016-09-10,2855894
2016-09-11,2787494
2016-09-12,2825089
2016-09-13,2875988
2016-09-14,2949958
2016-09-15,2989551
2016-09-16,2976103
2016-09-17,2971493
2016-09-18,3008446
2016-09-19,3033471
2016-09-20,3063662
2016-09-21,3126867
2016-09-22,3189216
2016-09-23,3084157
2016-09-24,2980062
2016-09-25,3021624
2016-09-26,3078176
2016-09-27,3136301
2016-09-28,3196038
2016-09-29,3131852
2016-09-30,3035452
2016-10-01,3010143
2016-10-02,2969088
2016-10-03,2975531
2016-10-04,3000470
2016-10-05,3012736
2016-10-06,3061019
2016-10-07,3113935
2016-10-08,3086739
2016-10-09,3109204
2016-10-10,3128170
2016-10-11,3116695
2016-10-12,3129286
2016-10-13,3096361
2016-10-14,3013774
2016-10-15,2936914
2016-10-16,2904340
2016-10-17,2980423
2016-10-18,2986929
2016-10-19,2948916
2016-10-20,2932972
2016-10-21,2848566
2016-10-22,2795818
2016-10-23,2765245
2016-10-24,2846481
2016-10-25,2903744
2016-10-26,2976529
2016-10-27,2957989
2016-10-28,2893983
2016-10-29,2882565
2016-10-30,2890221
2016-10-31,2862236
2016-11-01,2867028
2016-11-02,2925466
2016-11-03,2918594
2016-11-04,2893401
2016-11-05,2827934
2016-11-06,2859896
2016-11-07,2948698
2016-11-08,2961937
2016-11-09,2972395
2016-11-10,3053477
2016-11-11,3060903
2016-11-12,3023443
2016-11-13,3001902
2016-11-14,3062496
2016-12-07,3517596
2016-12-08,3570062
2016-12-09,3448895
2016-12-10,3336027
2016-12-11,3333894
2016-12-12,3363268
2016-12-13,3342960
2016-12-14,3339069
2016-12-15,3321914
2016-12-16,3289219
2016-12-17,3318762
2016-12-18,3253378
2016-12-19,3333190
2016-12-20,3380588
2016-12-21,3340883
2016-12-22,3292704
2016-12-23,3172381
2016-12-24,3014973
2016-12-25,2890184
2016-12-26,2852054
2016-12-27,2870056
2016-12-28,2890816
2016-12-29,2864395
2016-12-30,2794357
2016-12-31,2719112
2017-01-01,2665691
2017-01-03,2812002
2017-01-04,2798958
2017-01-05,2674110
2017-01-06,2602782
2017-01-07,2504790
2017-01-08,2450173
2017-01-09,2517799
2017-01-10,2589134
2017-01-11,2577049
2017-01-12,2511534
2017-01-13,2433282
2017-01-14,2369072
2017-01-15,2376299
2017-01-16,2412866
2017-01-17,2503826
2017-01-18,2574082
2017-01-19,2534175
2017-01-20,2501123
2017-01-21,2443110
2017-01-22,2420384
2017-01-27,2397418
2017-01-28,2354909
2017-01-29,2383752
2017-01-30,2427395
2017-01-31,2421327
2017-02-01,2406515
2017-02-02,2398274
2017-02-03,2393234
2017-02-04,2377095
2017-02-05,2398922
2017-02-06,2431179
2017-02-07,2431782
2017-02-08,2423748
2017-02-09,2402657
2017-02-10,2385203
2017-02-11,2373933
2017-02-12,2400315
2017-02-13,2416842
2017-02-14,2461425
2017-02-15,2511586
2017-02-16,2587823
2017-02-18,2489553
2017-02-19,2489924
2017-02-20,2479752
2017-02-21,2493072
2017-02-22,2491150
2017-02-23,2474699
