date_obj,Black%20elegant%20shirt price
2015-03-26,182925
2015-03-27,182925
2015-03-28,183811
2015-03-29,184463
2015-03-30,183846
2015-03-31,184476
2015-04-01,184476
2015-04-02,186129
2015-04-03,186900
2015-04-04,186200
2015-04-05,186200
2015-04-06,186026
2015-04-07,185818
2015-04-08,185818
2015-04-09,187846
2015-04-10,187972
2015-04-11,188310
2015-04-12,186273
2015-04-13,187639
2015-04-14,187639
2015-04-15,186688
2015-04-16,186688
2015-04-17,186972
2015-04-18,187995
2015-04-19,187995
2015-04-20,186899
2015-04-21,188390
2015-04-22,188390
2015-04-23,187928
2015-04-24,187928
2015-04-25,188248
2015-04-26,188248
2015-04-27,185352
2015-04-28,184077
2015-04-29,184077
2015-04-30,179964
2015-05-01,174536
2015-05-02,168320
2015-05-03,168320
2015-05-04,160932
2015-05-05,157306
2015-05-06,154890
2015-05-07,150552
2015-05-08,143698
2015-05-09,136561
2015-05-10,129732
2015-05-11,129732
2015-05-12,123518
2015-05-13,118295
2015-05-14,112380
2015-05-15,107342
2015-05-16,107342
2015-05-17,101974
2015-05-18,97874
2015-05-19,93405
2015-05-20,93405
2015-05-21,89667
2015-05-22,85479
2015-05-23,82258
2015-05-24,79956
2015-05-25,78319
2015-05-26,78371
2015-05-27,78371
2015-05-28,78059
2015-05-29,77908
2015-05-30,80071
2015-05-31,80071
2015-06-01,81830
2015-06-02,81830
2015-06-03,84750
2015-06-04,87347
2015-06-05,89317
2015-06-06,90009
2015-06-07,90009
2015-06-08,88598
2015-06-09,89412
2015-06-10,90908
2015-06-11,90908
2015-06-12,91422
2015-06-13,91003
2015-06-14,93304
2015-06-15,94917
2015-06-16,94749
2015-06-17,94749
2015-06-18,95396
2015-06-19,95396
2015-06-20,94298
2015-06-21,94298
2015-06-22,92838
2015-06-23,92838
2015-06-24,93644
2015-06-25,93644
2015-06-26,96890
2015-06-27,96890
2015-06-28,97033
2015-06-29,97033
2015-06-30,97179
2015-07-01,99036
2015-07-02,99036
2015-07-03,100404
2015-07-04,102839
2015-07-05,102839
2015-07-06,102598
2015-07-07,102788
2015-07-08,103028
2015-07-09,103028
2015-07-10,102537
2015-07-11,102537
2015-07-12,101895
2015-07-13,100852
2015-07-14,100860
2015-07-15,97923
2015-07-16,97835
2015-07-17,98030
2015-07-18,98030
2015-07-19,98533
2015-07-20,97605
2015-07-21,97605
2015-07-22,97402
2015-07-23,97402
2015-07-24,100986
2015-07-25,100986
2015-07-26,105008
2015-07-27,106065
2015-07-28,105852
2015-07-29,106423
2015-07-30,106423
2015-07-31,108094
2015-08-01,110931
2015-08-02,112631
2015-08-03,112631
2015-08-04,114809
2015-08-05,117224
2015-08-06,117224
2015-08-07,116719
2015-08-08,115841
2015-08-09,116180
2015-08-10,117483
2015-08-11,117540
2015-08-12,117540
2015-08-13,121941
2015-08-14,125839
2015-08-15,125839
2015-08-16,127163
2015-08-17,127606
2015-08-18,124442
2015-08-19,122334
2015-08-20,122334
2015-08-21,122788
2015-08-22,124744
2015-08-23,124744
2015-08-24,126187
2015-08-25,126187
2015-08-26,129324
2015-08-27,130505
2015-08-28,133148
2015-08-29,136059
2015-08-30,136059
2015-08-31,138380
2015-09-01,142208
2015-09-02,142208
2015-09-03,146035
2015-09-04,148604
2015-09-05,148604
2015-09-06,149935
2015-09-07,153578
2015-09-08,155933
2015-09-09,161014
2015-09-10,167366
2015-09-11,174343
2015-09-12,177682
2015-09-13,176244
2015-09-14,178424
2015-09-15,182636
2015-09-16,182636
