date_obj,Splitbark%20legs price
2015-03-26,38107
2015-03-27,38107
2015-03-28,36282
2015-03-29,36282
2015-03-30,34605
2015-03-31,34605
2015-04-01,34605
2015-04-02,32946
2015-04-03,32946
2015-04-04,31362
2015-04-05,31362
2015-04-06,31362
2015-04-07,29794
2015-04-08,29794
2015-04-09,29794
2015-04-10,28532
2015-04-11,28532
2015-04-12,28532
2015-04-13,27727
2015-04-14,27727
2015-04-15,27727
2015-04-16,26664
2015-04-17,26664
2015-04-18,26664
2015-04-19,27342
2015-04-20,27342
2015-04-21,27342
2015-04-22,28389
2015-04-23,28389
2015-04-24,28389
2015-04-25,28119
2015-04-26,28119
2015-04-27,28119
2015-04-28,27396
2015-04-29,27396
2015-04-30,27396
2015-05-01,27752
2015-05-02,27752
2015-05-03,29134
2015-05-04,29134
2015-05-05,30560
2015-05-06,30560
2015-05-07,32048
2015-05-08,32048
2015-05-09,31889
2015-05-10,31889
2015-05-11,31437
2015-05-12,31437
2015-05-13,32670
2015-05-14,32670
2015-05-15,33870
2015-05-16,33870
2015-05-17,33348
2015-05-18,33348
2015-05-19,32823
2015-05-20,32823
2015-05-21,32823
2015-05-22,32478
2015-05-23,32478
2015-05-24,31921
2015-05-25,31921
2015-05-26,30871
2015-05-27,30871
2015-05-28,29675
2015-05-29,29675
2015-05-30,28505
2015-05-31,28505
2015-06-01,27419
2015-06-02,27419
2015-06-03,26392
2015-06-04,26392
2015-06-05,25169
2015-06-06,25169
2015-06-07,24768
2015-06-08,24768
2015-06-09,24677
2015-06-10,24677
2015-06-11,24616
2015-06-12,24616
2015-06-13,24457
2015-06-14,24457
2015-06-15,24218
2015-06-16,24218
2015-06-17,24764
2015-06-18,24764
2015-06-19,24523
2015-06-20,24523
2015-06-21,25277
2015-06-22,25277
2015-06-23,25624
2015-06-24,25624
2015-06-25,25311
2015-06-26,25311
2015-06-27,24600
2015-06-28,24600
2015-06-29,24088
2015-06-30,24088
2015-07-01,24158
2015-07-02,24158
2015-07-03,24442
2015-07-04,24442
2015-07-05,24224
2015-07-06,24224
2015-07-07,24519
2015-07-08,24519
2015-07-09,23978
2015-07-10,23978
2015-07-11,24558
2015-07-12,24558
2015-07-13,24184
2015-07-14,24184
2015-07-15,24703
2015-07-16,24703
2015-07-17,24705
2015-07-18,24705
2015-07-19,24978
2015-07-20,24978
2015-07-21,24321
2015-07-22,24370
2015-07-23,24370
2015-07-24,24693
2015-07-25,24693
2015-07-26,24064
2015-07-27,24064
2015-07-28,24200
2015-07-29,24200
2015-07-30,24175
2015-07-31,24175
2015-08-01,24175
2015-08-02,24282
2015-08-03,24282
2015-08-04,24282
2015-08-05,24487
2015-08-06,24487
2015-08-07,24740
2015-08-08,24740
2015-08-09,24430
2015-08-10,24430
2015-08-11,24689
2015-08-12,24689
2015-08-13,24689
2015-08-14,25131
2015-08-15,25131
2015-08-16,25131
2015-08-17,25546
2015-08-18,25546
2015-08-19,25514
2015-08-20,25514
2015-08-21,26536
2015-08-22,26536
2015-08-23,26717
2015-08-24,26717
2015-08-25,26961
2015-08-26,26961
2015-08-27,25937
2015-08-28,25937
2015-08-29,25088
2015-08-30,25088
2015-08-31,24619
2015-09-01,24619
2015-09-02,25075
2015-09-03,25075
2015-09-04,25395
2015-09-05,25395
2015-09-06,25741
2015-09-07,25741
2015-09-08,25955
2015-09-09,25955
2015-09-10,26371
2015-09-11,26371
2015-09-12,26142
2015-09-13,26142
2015-09-14,25419
2015-09-15,25419
2015-09-16,24890
2015-09-17,24890
2015-09-18,24798
2015-09-19,24798
2015-09-20,25157
2015-09-21,25157
2015-09-22,25220
2015-09-23,25220
2015-09-24,25433
2015-09-25,25433
2015-09-27,25499
2015-09-28,26327
2015-09-29,26327
2015-09-30,26874
2015-10-05,27946
2015-10-06,28873
2015-10-07,28873
2015-10-08,28863
2015-10-09,28863
2015-10-10,29335
2015-10-11,29242
2015-10-12,29242
2015-10-13,29242
2015-10-14,28953
2015-10-15,28953
2015-10-16,28465
2015-10-17,28465
2015-10-18,28465
2015-10-19,28604
2015-10-20,28604
2015-10-22,28712
2015-10-23,27997
2015-10-24,27997
2015-10-25,27519
2015-10-26,27519
2015-10-27,26783
2015-10-29,26689
2015-10-30,26689
2015-10-31,26648
2015-11-01,26648
2015-11-02,26648
2015-11-03,26795
2015-11-04,26795
2015-11-05,26795
2015-11-06,27354
2015-11-07,27354
2015-11-08,26813
2015-11-09,26813
2015-11-10,26813
2015-11-11,26863
2015-11-12,26863
2015-11-13,26863
2015-11-14,26697
2015-11-15,26697
2015-11-16,27014
2015-11-17,27014
2015-11-18,27014
2015-11-19,27399
2015-11-20,27399
2015-11-21,27399
2015-11-22,27951
2015-11-23,27951
2015-11-24,27951
2015-11-25,28417
2015-11-26,28417
2015-11-27,28417
2015-11-28,28606
2015-11-29,28606
2015-11-30,28333
2015-12-01,28333
2015-12-02,28333
2015-12-03,27715
2015-12-04,27715
2015-12-05,27715
2015-12-06,27149
2015-12-07,27149
2015-12-08,27149
2015-12-09,26923
2015-12-10,26923
2015-12-11,26342
2015-12-12,26342
2015-12-13,26766
2015-12-14,26766
2015-12-15,27027
2015-12-16,27027
2015-12-17,27498
2015-12-18,27498
2015-12-19,27017
2015-12-20,27017
2015-12-21,27176
2015-12-22,27176
2015-12-23,28503
2015-12-24,28503
2015-12-25,28503
2015-12-26,29929
2015-12-27,29929
2015-12-28,31297
2015-12-29,31297
2015-12-30,32636
2015-12-31,32636
2016-01-01,33034
