date_obj,Mithril%20plateskirt price
2016-01-05,1418
2016-01-06,1432
2016-01-07,1432
2016-01-08,1432
2016-01-09,1432
2016-01-10,1460
2016-01-11,1460
2016-01-12,1460
2016-01-13,1460
2016-01-14,1461
2016-01-15,1461
2016-01-16,1461
2016-01-17,1461
2016-01-18,1474
2016-01-19,1474
2016-01-20,1474
2016-01-21,1474
2016-01-22,1487
2016-01-23,1487
2016-01-24,1487
2016-01-25,1431
2016-01-26,1431
2016-01-27,1431
2016-01-28,1431
2016-01-29,1441
2016-01-30,1441
2016-01-31,1441
2016-02-01,1463
2016-02-02,1463
2016-02-03,1463
2016-02-04,1463
2016-02-05,1468
2016-02-06,1468
2016-02-07,1468
2016-02-08,1492
2016-02-09,1492
2016-02-10,1492
2016-02-11,1465
2016-02-12,1465
2016-02-13,1465
2016-02-14,1468
2016-02-15,1468
2016-02-16,1468
2016-02-17,1444
2016-02-18,1444
2016-02-19,1444
2016-02-20,1422
2016-02-21,1422
2016-02-22,1422
2016-02-23,1425
2016-02-24,1425
2016-02-25,1425
2016-02-26,1398
2016-02-27,1398
2016-02-28,1398
2016-02-29,1441
2016-03-01,1441
2016-03-02,1441
2016-03-03,1465
2016-03-04,1465
2016-03-05,1465
2016-03-06,1523
2016-03-07,1523
2016-03-08,1523
2016-03-09,1523
2016-03-10,1512
2016-03-11,1512
2016-03-12,1512
2016-03-13,1504
2016-03-14,1504
2016-03-15,1504
2016-03-16,1535
2016-03-17,1535
2016-03-18,1535
2016-03-19,1535
2016-03-20,1501
2016-03-21,1501
2016-03-22,1501
2016-03-23,1450
2016-03-24,1450
2016-03-25,1450
2016-03-26,1453
2016-03-27,1453
2016-03-28,1453
2016-03-29,1470
2016-03-30,1470
2016-03-31,1470
2016-04-01,1470
2016-04-02,1500
2016-04-03,1500
2016-04-04,1500
2016-04-05,1489
2016-04-06,1489
2016-04-07,1489
2016-04-08,1471
2016-04-09,1471
2016-04-10,1471
2016-04-11,1461
2016-04-12,1461
2016-04-13,1461
2016-04-14,1496
2016-04-15,1496
2016-04-16,1496
2016-04-17,1528
2016-04-18,1528
2016-04-19,1528
2016-04-20,1555
2016-04-21,1555
2016-04-22,1555
2016-04-23,1527
2016-04-24,1527
2016-04-25,1531
2016-04-26,1531
2016-04-27,1531
2016-04-28,1523
2016-04-29,1523
2016-04-30,1523
2016-05-01,1532
2016-05-02,1532
2016-05-03,1532
2016-05-04,1521
2016-05-05,1521
2016-05-06,1521
2016-05-07,1506
2016-05-08,1506
2016-05-09,1506
2016-05-10,1481
2016-05-11,1481
2016-05-12,1481
2016-05-13,1478
2016-05-14,1478
2016-05-15,1478
2016-05-16,1489
2016-05-17,1489
2016-05-18,1489
2016-05-19,1476
2016-05-22,1501
2016-05-23,1501
2016-05-24,1501
2016-05-25,1486
2016-05-26,1486
2016-05-27,1469
2016-05-28,1469
2016-05-29,1469
2016-05-30,1449
2016-05-31,1449
2016-06-01,1449
2016-06-02,1446
2016-06-03,1446
2016-06-04,1446
2016-06-05,1487
2016-06-06,1487
2016-06-07,1487
2016-06-08,1466
2016-06-09,1466
2016-06-10,1452
2016-06-11,1452
2016-06-12,1452
2016-06-13,1434
2016-06-14,1434
2016-06-15,1434
2016-06-16,1455
2016-06-17,1455
2016-06-18,1512
2016-06-19,1512
2016-06-20,1512
2016-06-21,1490
2016-06-22,1490
2016-06-23,1490
2016-06-24,1460
2016-06-25,1460
2016-06-26,1460
2016-06-27,1466
2016-06-28,1466
2016-06-29,1466
2016-06-30,1440
2016-07-01,1440
2016-07-02,1440
2016-07-03,1426
2016-07-04,1426
2016-07-05,1426
2016-07-06,1429
2016-07-07,1429
2016-07-08,1454
2016-07-09,1454
2016-07-10,1475
2016-07-11,1532
2016-07-12,1532
2016-07-13,1551
2016-07-14,1551
2016-07-15,1555
2016-07-16,1555
2016-07-17,1533
2016-07-18,1533
2016-07-23,1462
2016-07-24,1462
2016-07-25,1462
2016-07-26,1462
2016-07-27,1457
2016-07-28,1457
2016-07-29,1463
2016-07-30,1463
2016-07-31,1463
2016-08-01,1417
2016-08-02,1417
2016-08-03,1411
2016-08-04,1411
2016-08-05,1411
2016-08-06,1390
2016-08-07,1390
2016-08-08,1388
2016-08-09,1388
2016-08-10,1355
2016-08-11,1355
2016-08-12,1355
2016-08-13,1353
2016-08-14,1353
2016-08-15,1353
2016-08-16,1360
2016-08-17,1360
2016-08-18,1360
2016-08-19,1391
2016-08-20,1391
2016-08-21,1391
2016-08-22,1432
2016-08-23,1432
2016-08-24,1432
2016-08-25,1442
2016-08-26,1442
2016-08-28,1423
2016-08-31,1397
2016-09-01,1397
2016-09-02,1397
2016-09-03,1369
2016-09-04,1369
2016-09-05,1369
2016-09-06,1403
2016-09-07,1403
2016-09-08,1403
2016-09-09,1403
2016-09-10,1425
2016-09-11,1425
2016-09-12,1425
2016-09-13,1384
2016-09-14,1384
2016-09-15,1384
2016-09-16,1384
2016-09-17,1397
2016-09-18,1397
2016-09-19,1397
2016-09-20,1397
2016-09-21,1417
2016-09-22,1417
2016-09-23,1417
2016-09-24,1395
2016-09-25,1395
2016-09-26,1395
2016-09-27,1394
2016-09-28,1394
2016-09-29,1394
2016-09-30,1377
2016-10-01,1377
2016-10-02,1377
2016-10-03,1377
2016-10-04,1352
2016-10-05,1352
2016-10-06,1352
2016-10-07,1352
2016-10-08,1355
2016-10-09,1355
2016-10-10,1355
2016-10-11,1371
2016-10-12,1371
2016-10-13,1371
2016-10-14,1371
2016-10-15,1384
2016-10-16,1384
2016-10-17,1384
2016-10-18,1369
2016-10-19,1369
2016-10-20,1369
2016-10-21,1332
2016-10-22,1332
2016-10-23,1332
2016-10-24,1317
2016-10-25,1317
2016-10-26,1317
2016-10-27,1318
2016-10-28,1318
2016-10-29,1318
2016-10-30,1351
2016-10-31,1351
2016-11-01,1351
2016-11-02,1368
2016-11-03,1368
2016-11-04,1368
2016-11-05,1346
2016-11-06,1346
2016-11-07,1346
2016-11-08,1350
2016-11-09,1350
2016-11-10,1350
2016-11-11,1367
2016-11-12,1367
2016-11-13,1367
2016-11-14,1371
2016-12-07,1379
2016-12-08,1411
2016-12-09,1411
2016-12-10,1411
2016-12-11,1389
2016-12-12,1389
2016-12-13,1389
2016-12-14,1373
2016-12-15,1373
2016-12-16,1373
2016-12-17,1362
2016-12-18,1362
2016-12-19,1362
2016-12-20,1384
2016-12-21,1384
2016-12-22,1384
2016-12-23,1349
2016-12-24,1349
2016-12-25,1349
2016-12-26,1383
2016-12-27,1383
2016-12-28,1391
2016-12-29,1391
2016-12-30,1391
2016-12-31,1395
2017-01-01,1395
2017-01-02,1351
2017-01-03,1351
2017-01-04,1349
2017-01-05,1349
2017-01-06,1349
2017-01-07,1342
2017-01-08,1342
2017-01-09,1384
2017-01-10,1384
2017-01-11,1359
2017-01-12,1359
2017-01-13,1365
2017-01-14,1365
2017-01-15,1381
2017-01-16,1381
2017-01-17,1365
2017-01-18,1365
2017-01-19,1365
2017-01-20,1378
2017-01-21,1378
2017-01-22,1396
2017-01-27,1358
2017-01-28,1357
2017-01-29,1357
2017-01-30,1357
2017-01-31,1346
2017-02-01,1346
2017-02-02,1339
2017-02-03,1339
2017-02-04,1348
2017-02-05,1348
2017-02-06,1348
2017-02-07,1387
2017-02-08,1387
2017-02-09,1428
2017-02-10,1428
2017-02-11,1408
2017-02-12,1408
2017-02-13,1391
2017-02-14,1391
2017-02-15,1420
2017-02-16,1420
2017-02-18,1398
2017-02-19,1398
2017-02-20,1393
2017-02-21,1393
2017-02-22,1355
2017-02-23,1355
2017-02-24,1355
2017-02-25,1362
2017-02-26,1362
2017-02-27,1375
2017-02-28,1375
2017-03-01,1368
2017-03-02,1368
2017-03-03,1355
2017-03-04,1355
2017-03-05,1358
2017-03-06,1358
2017-03-07,1358
2017-03-08,1358
2017-03-09,1358
2017-03-10,1372
2017-03-11,1372
2017-03-12,1377
2017-03-13,1377
2017-03-14,1368
2017-03-15,1368
2017-03-16,1396
2017-03-17,1396
2017-03-18,1392
2017-03-19,1392
2017-03-20,1360
2017-03-21,1360
2017-03-22,1350
2017-03-23,1350
2017-03-24,1352
2017-03-25,1352
2017-03-26,1352
2017-03-27,1350
2017-03-28,1350
2017-03-29,1346
2017-03-30,1346
2017-03-31,1368
2017-04-01,1368
2017-04-02,1368
2017-04-03,1363
2017-04-04,1363
2017-04-12,1362
2017-04-13,1378
2017-04-14,1378
2017-04-15,1398
2017-04-16,1398
2017-04-17,1406
2017-04-18,1406
2017-04-19,1417
2017-04-20,1417
2017-04-21,1412
2017-04-22,1412
2017-04-23,1417
2017-04-24,1417
2017-04-25,1403
2017-04-26,1403
2017-04-27,1403
2017-04-28,1387
2017-04-29,1387
2017-04-30,1377
2017-05-01,1377
2017-05-02,1368
2017-05-03,1368
2017-05-04,1334
2017-05-05,1334
2017-05-06,1337
2017-05-07,1337
2017-05-08,1362
2017-05-09,1362
2017-05-10,1375
2017-05-11,1375
2017-05-12,1353
2017-05-13,1353
2017-05-14,1370
2017-05-15,1370
2017-05-16,1391
2017-05-17,1391
2017-05-18,1359
2017-05-19,1359
2017-05-20,1366
2017-05-21,1366
2017-05-22,1366
2017-05-23,1395
2017-05-24,1395
2017-05-25,1370
2017-05-26,1370
2017-05-27,1402
2017-05-28,1402
2017-05-29,1406
2017-05-30,1406
2017-05-31,1386
2017-06-01,1386
2017-06-02,1417
2017-06-03,1417
2017-06-06,1356
2017-06-07,1356
2017-06-08,1356
2017-06-09,1350
2017-06-10,1350
2017-06-11,1337
2017-06-12,1337
2017-06-13,1367
2017-06-14,1367
2017-06-15,1367
2017-06-16,1354
2017-06-17,1354
2017-06-18,1350
2017-06-19,1350
2017-06-20,1350
2017-06-21,1356
2017-06-22,1356
2017-06-23,1356
2017-06-24,1330
2017-06-25,1330
2017-06-26,1336
2017-06-27,1336
2017-06-28,1315
2017-06-29,1315
2017-06-30,1343
2017-07-01,1343
2017-07-02,1343
2017-07-03,1356
2017-07-04,1356
2017-07-05,1356
2017-07-06,1373
2017-07-07,1373
2017-07-08,1373
2017-07-13,1367
2017-07-14,1387
2017-07-15,1387
2017-07-16,1387
2017-07-17,1421
2017-07-18,1421
2017-07-19,1421
2017-07-20,1383
2017-07-21,1383
2017-07-22,1357
2017-07-23,1357
2017-07-24,1357
2017-07-25,1347
2017-07-26,1347
2017-07-27,1361
2017-07-28,1361
2017-07-29,1361
2017-07-30,1365
2017-07-31,1365
2017-08-01,1365
2017-08-02,1389
2017-08-03,1389
2017-08-04,1389
2017-08-05,1359
2017-08-06,1359
2017-08-09,1367
2017-08-10,1367
2017-08-11,1354
2017-08-12,1354
2017-08-13,1354
2017-08-14,1353
2017-08-15,1353
2017-08-16,1357
2017-08-17,1357
2017-08-18,1388
2017-08-19,1388
2017-08-20,1419
2017-08-21,1419
2017-08-22,1437
2017-08-23,1437
2017-08-24,1437
2017-08-25,1440
2017-08-26,1440
2017-08-27,1414
2017-08-28,1414
2017-08-29,1414
2017-08-30,1398
2017-08-31,1398
2017-09-01,1398
2017-09-02,1371
2017-09-03,1371
2017-09-04,1371
2017-09-05,1362
2017-09-06,1362
2017-09-07,1346
2017-09-08,1346
2017-09-09,1368
2017-09-10,1368
2017-09-11,1343
2017-09-12,1343
2017-09-13,1358
2017-09-14,1358
2017-09-15,1358
2017-09-16,1386
2017-09-17,1386
2017-09-19,1375
2017-09-20,1443
2017-09-21,1443
2017-09-22,1475
2017-09-23,1475
2017-09-24,1475
2017-09-25,1416
2017-09-26,1416
2017-09-27,1416
2017-09-28,1399
2017-09-29,1399
2017-09-30,1425
2017-10-01,1425
2017-10-02,1435
2017-10-03,1435
2017-10-04,1435
2017-10-05,1444
2017-10-06,1444
2017-10-07,1432
2017-10-08,1432
2017-10-09,1432
2017-10-10,1432
2017-10-11,1432
2017-10-12,1432
2017-10-13,1396
2017-10-14,1396
2017-10-15,1396
2017-10-16,1379
2017-10-17,1379
2017-10-18,1379
2017-10-19,1404
2017-10-20,1404
2017-10-21,1404
2017-10-22,1375
2017-10-23,1375
2017-10-24,1375
2017-10-25,1395
2017-10-26,1395
2017-10-27,1395
2017-10-28,1390
2017-10-29,1390
2017-10-30,1353
2017-10-31,1353
2017-11-01,1353
2017-11-02,1353
2017-11-03,1353
2017-11-04,1317
2017-11-05,1317
2017-11-06,1317
2017-11-07,1362
2017-11-08,1362
2017-11-09,1344
2017-11-10,1344
2017-11-11,1344
2017-11-12,1344
2017-11-13,1344
2017-11-14,1344
2017-11-15,1313
2017-11-16,1313
2017-11-17,1340
2017-11-18,1340
2017-11-19,1340
2017-11-20,1340
2017-11-21,1340
2017-11-22,1340
2017-11-23,1362
2017-11-24,1362
2017-11-25,1362
2017-11-26,1377
2017-11-27,1377
2017-11-28,1377
2017-11-29,1375
2017-11-30,1375
2017-12-01,1389
2017-12-02,1389
2017-12-03,1389
2017-12-04,1396
2017-12-05,1396
2017-12-06,1396
2017-12-07,1396
2017-12-08,1396
2017-12-09,1407
2017-12-10,1407
2017-12-11,1412
2017-12-12,1412
2017-12-14,1413
2017-12-15,1413
2017-12-17,1409
2017-12-18,1440
2017-12-19,1440
2017-12-20,1440
2017-12-21,1487
2017-12-22,1487
2017-12-23,1480
2017-12-24,1480
2017-12-25,1480
2017-12-26,1462
2017-12-27,1462
2017-12-28,1405
2017-12-29,1405
2017-12-30,1363
2017-12-31,1363
2018-01-01,1340
2018-01-02,1340
2018-01-03,1303
2018-01-04,1303
2018-01-05,1322
2018-01-06,1322
2018-01-07,1364
2018-01-08,1364
2018-01-09,1338
2018-01-10,1338
2018-01-11,1356
2018-01-12,1356
2018-01-13,1326
2018-01-14,1326
2018-01-15,1361
2018-01-16,1361
2018-01-17,1375
2018-01-18,1375
2018-01-19,1375
2018-01-20,1390
2018-01-21,1390
2018-01-22,1360
2018-01-23,1360
2018-01-25,1386
2018-01-26,1358
2018-01-27,1353
2018-01-28,1338
2018-01-29,1336
2018-01-31,1398
2018-02-01,1398
2018-02-02,1432
2018-02-03,1434
2018-02-04,1436
2018-02-05,1436
2018-02-06,1402
2018-02-07,1376
2018-02-08,1376
2018-02-09,1365
2018-02-10,1365
2018-02-11,1377
2018-02-12,1380
2018-02-13,1380
2018-02-14,1436
2018-02-15,1456
2018-02-16,1456
2018-02-17,1461
2018-02-18,1487
2018-02-19,1508
2018-02-20,1508
2018-02-21,1465
2018-02-22,1465
2018-02-23,1419
2018-02-24,1419
2018-02-25,1379
2018-02-26,1398
2018-02-27,1384
2018-03-01,1413
2018-03-02,1366
2018-03-03,1347
2018-03-04,1347
2018-03-05,1372
2018-03-06,1351
2018-03-07,1338
2018-03-08,1338
2018-03-09,1321
2018-03-10,1321
2018-03-11,1320
2018-03-12,1340
2018-03-13,1340
2018-03-14,1345
2018-03-15,1345
2018-03-16,1330
2018-03-17,1347
2018-03-18,1347
2018-03-19,1347
2018-03-20,1328
2018-03-21,1328
2018-03-23,1302
2018-03-24,1317
2018-03-26,1295
2018-03-27,1277
2018-03-28,1277
2018-03-29,1334
2018-03-30,1334
2018-03-31,1354
2018-04-01,1354
2018-04-02,1398
2018-04-03,1381
2018-04-04,1407
2018-04-05,1407
2018-04-06,1376
2018-04-07,1376
2018-04-08,1362
2018-04-09,1340
2018-04-10,1340
2018-04-11,1344
2018-04-12,1375
2018-04-13,1375
2018-04-14,1374
2018-04-15,1391
2018-04-16,1391
2018-04-17,1385
2018-04-18,1385
2018-04-19,1371
2018-04-20,1354
2018-04-21,1371
2018-04-22,1371
2018-04-23,1366
2018-04-24,1366
2018-04-25,1392
2018-04-26,1392
2018-04-27,1359
2018-04-28,1412
2018-04-29,1435
2018-04-30,1387
2018-05-01,1389
2018-05-04,1418
2018-05-05,1372
2018-05-06,1372
2018-05-07,1363
2018-05-08,1363
2018-05-09,1366
2018-05-10,1355
2018-05-11,1355
2018-05-12,1348
2018-05-13,1348
2018-05-14,1364
