date_obj,Yellow%20gloves price
2015-03-04,1577
2015-03-05,1577
2015-03-06,1516
2015-03-07,1516
2015-03-08,1455
2015-03-09,1455
2015-03-10,1387
2015-03-11,1387
2015-03-12,1319
2015-03-13,1319
2015-03-14,1253
2015-03-15,1253
2015-03-16,1221
2015-03-17,1191
2015-03-18,1191
2015-03-19,1169
2015-03-20,1169
2015-03-21,1138
2015-03-22,1114
2015-03-23,1114
2015-03-24,1120
2015-03-25,1120
2015-03-26,1118
2015-03-27,1118
2015-03-28,1097
2015-03-29,1098
2015-03-30,1098
2015-03-31,1086
2015-04-01,1086
2015-04-02,1087
2015-04-03,1075
2015-04-04,1060
2015-04-05,1060
2015-04-06,1017
2015-04-07,1017
2015-04-08,973
2015-04-09,973
2015-04-10,967
2015-04-11,967
2015-04-12,945
2015-04-13,945
2015-04-14,923
2015-04-15,885
2015-04-16,885
2015-04-17,885
2015-04-18,894
2015-04-19,917
2015-04-20,917
2015-04-21,886
2015-04-22,886
2015-04-23,867
2015-04-24,867
2015-04-25,837
2015-04-26,837
2015-04-27,819
2015-04-28,813
2015-04-29,813
2015-04-30,827
2015-05-01,827
2015-05-02,859
2015-05-03,859
2015-05-04,875
2015-05-05,875
2015-05-06,917
2015-05-07,917
2015-05-08,940
2015-05-09,940
2015-05-10,952
2015-05-11,952
2015-05-12,944
2015-05-13,944
2015-05-14,946
2015-05-15,946
2015-05-16,957
2015-05-17,969
2015-05-18,969
2015-05-19,973
2015-05-20,973
2015-05-21,973
2015-05-22,1016
2015-05-23,1016
2015-05-24,1022
2015-05-25,1062
2015-05-26,1062
2015-05-27,1067
2015-05-28,1092
2015-05-29,1114
2015-05-30,1125
2015-05-31,1125
2015-06-01,1121
2015-06-02,1121
2015-06-03,1122
2015-06-04,1113
2015-06-05,1116
2015-06-06,1117
2015-06-07,1116
2015-06-08,1116
2015-06-09,1120
2015-06-10,1108
2015-06-11,1108
2015-06-12,1112
2015-06-13,1132
2015-06-14,1170
2015-06-15,1170
2015-06-16,1191
2015-06-17,1191
2015-06-18,1188
2015-06-19,1188
2015-06-20,1199
2015-06-21,1199
2015-06-22,1190
2015-06-23,1190
2015-06-24,1189
2015-06-25,1189
