date_obj,Cannon%20base price
2015-03-26,170822
2015-03-27,170822
2015-03-28,170822
2015-03-29,173934
2015-03-30,173934
2015-03-31,173934
2015-04-01,173934
2015-04-02,173934
2015-04-03,178800
2015-04-04,178800
2015-04-05,178800
2015-04-06,178800
2015-04-07,180030
2015-04-08,180030
2015-04-09,180030
2015-04-10,180030
2015-04-11,180030
2015-04-12,182046
2015-04-13,182046
2015-04-14,182046
2015-04-15,182046
2015-04-16,182046
2015-04-17,182095
2015-04-18,182095
2015-04-19,182095
2015-04-20,182095
2015-04-21,182095
2015-04-22,184474
2015-04-23,184474
2015-04-24,184474
2015-04-25,184474
2015-04-26,184474
2015-04-27,182868
2015-04-28,182868
2015-04-29,182868
2015-04-30,182868
2015-05-01,182868
2015-05-02,179410
2015-05-03,179410
2015-05-04,179410
2015-05-05,179410
2015-05-06,179410
2015-05-07,184999
2015-05-08,184999
2015-05-09,184999
2015-05-10,184999
2015-05-11,184999
2015-05-12,186340
2015-05-13,186340
2015-05-14,186340
2015-05-15,186340
2015-05-16,186340
2015-05-17,181635
2015-05-18,181635
2015-05-19,181635
2015-05-20,181635
2015-05-21,181635
2015-05-22,181635
2015-05-23,180866
2015-05-24,180866
2015-05-25,180866
2015-05-26,180866
2015-05-27,180866
2015-05-28,178176
2015-05-29,178176
2015-05-30,178176
2015-05-31,176332
2015-06-01,176332
2015-06-02,176332
2015-06-03,176332
2015-06-04,176332
2015-06-05,178019
2015-06-06,178019
2015-06-07,178019
2015-06-08,178019
2015-06-09,179564
2015-06-10,179564
2015-06-11,179564
2015-06-12,179564
2015-06-13,177825
2015-06-14,177825
2015-06-15,177825
2015-06-16,177825
2015-06-17,177081
2015-06-18,177081
2015-06-19,177081
2015-06-20,177081
2015-06-21,173736
2015-06-22,173736
2015-06-23,173736
2015-06-24,173736
2015-06-25,169836
2015-06-26,169836
2015-06-27,169836
2015-06-28,169836
2015-06-29,173053
2015-06-30,173053
2015-07-01,173053
2015-07-02,173053
2015-07-03,174912
2015-07-04,174912
2015-07-05,174912
2015-07-06,174912
2015-07-07,176586
2015-07-08,176586
