date_obj,Odium%20shard%201 price
2015-03-26,477612
2015-03-27,477612
2015-03-28,477612
2015-03-29,477612
2015-03-30,477612
2015-03-31,477612
2015-04-01,477612
2015-04-02,477612
2015-04-03,477612
2015-04-04,477612
2015-04-05,477612
2015-04-06,477612
2015-04-07,477612
2015-04-08,477612
2015-04-09,477612
2015-04-10,477612
2015-04-11,477612
2015-04-12,477612
2015-04-13,477612
2015-04-14,477612
2015-04-15,477612
2015-04-16,477612
2015-04-17,477612
2015-04-18,477612
2015-04-19,477612
2015-04-20,477612
2015-04-21,477612
2015-04-22,477612
2015-04-23,477612
2015-04-24,477612
2015-04-25,477612
2015-04-26,471459
2015-04-27,471459
2015-04-28,471459
2015-04-29,471459
2015-04-30,471459
2015-05-01,471459
2015-05-02,471459
2015-05-03,471459
2015-05-04,471459
2015-05-05,471459
2015-05-06,471459
2015-05-07,471459
2015-05-08,471459
2015-05-09,471459
2015-05-10,471459
2015-05-11,471459
2015-05-12,471459
2015-05-13,471459
2015-05-14,471459
2015-05-15,471459
2015-05-16,471459
2015-05-17,471459
2015-05-18,471459
2015-05-19,471459
2015-05-20,471459
2015-05-21,471459
2015-05-22,471459
2015-05-23,471459
2015-05-24,474818
2015-05-25,474818
2015-05-26,474818
2015-05-27,474818
2015-05-28,474818
2015-05-29,474818
2015-05-30,474818
2015-05-31,474818
2015-06-01,474818
2015-06-02,474818
2015-06-03,474818
2015-06-04,474818
2015-06-05,474818
2015-06-06,474818
2015-06-07,474818
2015-06-08,474818
2015-06-09,474818
2015-06-10,484432
2015-06-11,484432
2015-06-12,484432
2015-06-13,484432
2015-06-14,484432
2015-06-15,484432
2015-06-16,484432
2015-06-17,484432
2015-06-18,484432
2015-06-19,484432
2015-06-20,484432
2015-06-21,484432
2015-06-22,484432
2015-06-23,484432
2015-06-24,484432
2015-06-25,484432
2015-06-26,484432
2015-06-27,484432
2015-06-28,484432
2015-06-29,484432
2015-06-30,484432
2015-07-01,460515
2015-07-02,460515
2015-07-03,460515
2015-07-04,460515
2015-07-05,460515
2015-07-06,460515
2015-07-07,460515
2015-07-08,460515
2015-07-09,460515
2015-07-10,460515
2015-07-11,460515
2015-07-12,460515
2015-07-13,460515
2015-07-14,460515
2015-07-15,460515
2015-07-16,460515
2015-07-17,460515
2015-07-18,460515
2015-07-19,437751
2015-07-20,437751
2015-07-21,437751
2015-07-22,437751
2015-07-23,437751
2015-07-24,437751
2015-07-25,437751
2015-07-26,437751
2015-07-27,437751
2015-07-28,437751
2015-07-29,437751
2015-07-30,437751
2015-07-31,437751
2015-08-01,437751
2015-08-02,416143
2015-08-03,416143
2015-08-04,416143
2015-08-05,416143
2015-08-06,416143
2015-08-07,416143
2015-08-08,416143
2015-08-09,416143
2015-08-10,416143
2015-08-11,416143
2015-08-12,416143
2015-08-13,416143
2015-08-14,416143
2015-08-15,395600
2015-08-16,395600
2015-08-17,395600
2015-08-18,395600
2015-08-19,395600
2015-08-20,395600
2015-08-21,395600
2015-08-22,395600
2015-08-23,395600
2015-08-24,395600
2015-08-25,395600
2015-08-26,395600
2015-08-27,395600
2015-08-28,395600
2015-08-29,395600
2015-08-30,395600
2015-08-31,376329
2015-09-01,376329
2015-09-02,376329
2015-09-03,376329
2015-09-04,376329
2015-09-05,376329
2015-09-06,376329
2015-09-07,376329
2015-09-08,376329
2015-09-09,376329
2015-09-10,376329
2015-09-11,376329
2015-09-12,376329
2015-09-13,376329
2015-09-14,363934
2015-09-15,363934
2015-09-16,363934
2015-09-17,363934
2015-09-18,363934
2015-09-19,363934
2015-09-20,363934
2015-09-21,363934
2015-09-22,363934
2015-09-23,363934
2015-09-24,363934
2015-09-25,363934
2015-09-27,363934
2015-09-28,363934
2015-09-29,363934
2015-09-30,363934
2015-10-05,346081
2015-10-06,346081
2015-10-07,346081
2015-10-08,346081
2015-10-09,346081
2015-10-10,346081
2015-10-11,346081
2015-10-12,346081
2015-10-13,346081
2015-10-14,346081
2015-10-15,346081
2015-10-16,346081
2015-10-17,346081
2015-10-18,346081
2015-10-19,346081
2015-10-20,346081
2015-10-22,329334
2015-10-23,329334
2015-10-24,329334
2015-10-25,329334
2015-10-26,329334
2015-10-27,329334
2015-10-29,329334
2015-10-30,329334
2015-10-31,329334
2015-11-01,329334
2015-11-02,329334
2015-11-03,329334
2015-11-04,329334
2015-11-05,329334
2015-11-06,329334
2015-11-07,329334
