date_obj,Hydra%20leather price
2019-01-10,1000000
2019-01-10,1050000
2019-01-11,1102500
2019-01-12,1157625
2019-01-13,1215507
2019-01-14,1276283
2019-01-15,1340098
2019-01-16,1407103
2019-01-17,1477459
2019-01-18,1551332
2019-01-19,1628899
2019-01-20,1710344
2019-01-21,1795862
2019-01-22,1885656
2019-01-23,1979939
2019-01-24,2078936
2019-01-25,2182883
2019-01-26,2292028
2019-01-27,2406630
2019-01-28,2526962
2019-01-29,2653311
2019-01-30,2785977
2019-01-31,2925276
2019-02-01,3071540
2019-02-02,3225117
2019-02-03,3386373
2019-02-04,3555692
2019-02-05,3733477
2019-02-06,3920151
2019-02-07,4116159
2019-02-08,4321967
2019-02-09,4538066
2019-02-10,4764970
2019-02-11,5003219
2019-02-12,5253380
2019-02-13,5516049
2019-02-14,5791852
2019-02-15,6080231
2019-02-16,6357626
2019-02-17,6607622
2019-02-18,6758934
2019-02-19,6866990
2019-02-20,6676771
2019-02-21,6343994
2019-02-22,6184986
2019-02-23,6198577
2019-02-24,6479593
2019-02-25,6233907
2019-02-26,6087171
2019-02-27,6138574
2019-02-28,6133233
2019-03-01,6060361
2019-03-02,6044908
2019-03-03,6186641
2019-03-04,6215304
2019-03-05,6155443
2019-03-06,6116333
2019-03-07,6079506
2019-03-08,6040804
2019-03-09,6108851
2019-03-10,6374438
2019-03-11,6390346
2019-03-12,6555344
2019-03-13,6465152
2019-03-14,6516221
2019-03-15,6516596
2019-03-16,6439353
2019-03-17,6457143
2019-03-18,6457143
2019-03-19,6384116
2019-03-20,6339640
2019-03-21,6327311
2019-03-22,6255620
2019-03-23,6256427
2019-03-24,6191719
2019-03-25,6194900
2019-03-26,6065362
2019-03-27,6065362
2019-03-28,5972232
2019-03-29,5911000
2019-03-30,5911000
2019-03-31,5925201
2019-04-01,6091715
2019-04-02,6053786
2019-04-03,6007475
2019-04-04,5992067
2019-04-05,6033425
2019-04-06,6067790
2019-04-07,6137022
2019-04-08,6240992
2019-04-09,6199436
2019-04-10,6242617
2019-04-11,6220963
2019-04-12,6224822
2019-04-13,6289729
2019-04-14,6396429
2019-04-15,6356553
2019-04-16,6249820
2019-04-17,6238778
2019-04-18,6195819
2019-04-19,6217367
2019-04-20,6362257
2019-04-21,6392706
2019-04-22,6633408
2019-04-23,6757473
2019-04-24,6711515
2019-04-25,6783746
2019-04-26,6978817
2019-04-27,7028187
2019-04-28,7115516
2019-04-29,7116623
2019-04-30,7031276
2019-05-01,7015456
2019-05-02,7001115
2019-05-03,7152113
2019-05-04,7442996
2019-05-05,7800285
2019-05-06,8063373
2019-05-07,7964098
2019-05-08,7849512
2019-05-09,7557376
2019-05-10,7334979
2019-05-11,7191670
2019-05-12,7190321
2019-05-13,7135012
2019-05-14,7113288
2019-05-15,7085805
2019-05-16,7028584
2019-05-17,6934110
2019-05-18,6902344
2019-05-19,6913659
2019-05-20,7045256
2019-05-21,7210446
2019-05-22,7338642
2019-05-23,7395987
2019-05-24,7411694
2019-05-25,7513046
2019-05-26,7689036
2019-05-27,7948165
2019-05-28,8083121
2019-05-29,8032647
2019-05-30,8155722
2019-05-31,8142480
2019-06-01,8048298
2019-06-02,8090541
2019-06-03,8053216
2019-06-04,8001197
2019-06-05,7905874
2019-06-06,7823262
2019-06-07,7749465
2019-06-08,7656379
2019-06-09,7662933
2019-06-10,7662933
2019-06-11,7685887
2019-06-12,7605153
2019-06-13,7495774
2019-06-14,7448945
2019-06-15,7431235
2019-06-16,7373397
2019-06-17,7383592
2019-06-18,7370926
2019-06-19,7311360
2019-06-20,7191308
2019-06-21,7047898
2019-06-22,6771214
2019-06-23,6481937
2019-06-24,6160407
2019-06-25,6327290
2019-06-26,6643655
2019-06-27,6975612
2019-06-28,7220681
2019-06-29,7224064
2019-06-30,7165921
2019-07-01,7011368
2019-07-02,6923921
2019-07-03,6913941
2019-07-04,7135437
2019-07-05,7434358
2019-07-06,7720533
2019-07-07,7878906
2019-07-08,7857914
2019-07-09,7826680
2019-07-10,7770685
2019-07-11,7744012
2019-07-12,7720145
2019-07-13,7788192
2019-07-14,7856530
2019-07-15,7856530
2019-07-16,7812242
2019-07-17,7823479
2019-07-18,8152586
2019-07-19,8105289
2019-07-20,8066250
2019-07-21,7932014
2019-07-22,7916055
2019-07-23,7817097
2019-07-24,7822730
2019-07-25,7925731
2019-07-26,7772668
2019-07-27,7726119
2019-07-28,7789370
2019-07-29,8136573
2019-07-30,8143952
2019-07-31,8057508
2019-08-01,7997790
2019-08-02,7950921
2019-08-03,7900486
2019-08-04,7886866
2019-08-05,7877280
2019-08-06,8004140
2019-08-07,8215885
2019-08-08,8577048
2019-08-09,8590678
2019-08-10,8670152
2019-08-11,8764777
2019-08-12,8737149
2019-08-13,8756561
2019-08-14,8685935
2019-08-15,8629702
2019-08-16,8594952
2019-08-17,8594952
2019-08-18,8543002
2019-08-19,8472506
2019-08-20,8417109
2019-08-21,8356289
2019-08-22,8289938
2019-08-23,8227448
2019-08-24,8202042
2019-08-24,8202042
2019-08-25,8205605
2019-08-25,8205605
2019-08-26,8258959
2019-08-26,8258959
2019-08-27,8332372
2019-08-27,8332372
2019-08-28,8379511
2019-08-29,8357065
2019-08-30,8347112
2019-08-31,8485548
2019-09-01,8866133
2019-09-02,8831155
2019-09-03,8892868
2019-09-04,8981325
2019-09-05,9242036
2019-09-06,9100961
2019-09-07,8894835
2019-09-08,8729406
2019-09-09,8644558
2019-09-10,8557864
2019-09-11,8511331
2019-09-12,8600050
2019-09-13,8604893
2019-09-14,8695163
2019-09-15,8769825
2019-09-16,8920296
2019-09-17,8913031
2019-09-18,8949060
2019-09-19,8809786
2019-09-20,8780742
2019-09-21,8504466
2019-09-22,8513878
2019-09-23,8483705
2019-09-24,8483705
2019-09-25,8433088
2019-09-26,8470966
2019-09-27,8719021
2019-09-28,8807570
2019-09-29,9238462
2019-09-30,9127119
2019-10-01,9131586
2019-10-02,9094695
2019-10-03,9084094
2019-10-04,8993834
2019-10-05,8943268
2019-10-06,8953115
2019-10-07,8903513
2019-10-08,8889023
2019-10-09,8889023
2019-10-10,8849037
2019-10-11,8778090
2019-10-12,8686645
