date_obj,Blue%20wizard%20hat%20(t) price
2015-03-26,69776
2015-03-27,69776
2015-03-28,69005
2015-03-29,67719
2015-03-30,65937
2015-03-31,65981
2015-04-01,65624
2015-04-02,66030
2015-04-03,65152
2015-04-04,64437
2015-04-05,63861
2015-04-06,62770
2015-04-07,61819
2015-04-08,61819
2015-04-09,61518
2015-04-10,61464
2015-04-11,60797
2015-04-12,61383
2015-04-13,60741
2015-04-14,60708
2015-04-15,60707
2015-04-16,59367
2015-04-17,59581
2015-04-18,58641
2015-04-19,57557
2015-04-20,57557
2015-04-21,57397
2015-04-22,57889
2015-04-23,58750
2015-04-24,59322
2015-04-25,60247
2015-04-26,61552
2015-04-27,62667
2015-04-28,62951
2015-04-29,62951
2015-04-30,63271
2015-05-01,63845
2015-05-02,63332
2015-05-03,63332
2015-05-04,60757
2015-05-05,59482
2015-05-06,59170
2015-05-07,58018
2015-05-08,56847
2015-05-09,55108
2015-05-10,53902
2015-05-11,53377
2015-05-12,52527
2015-05-13,51193
2015-05-14,50460
2015-05-15,49413
2015-05-16,49820
2015-05-17,49778
2015-05-18,49682
2015-05-19,50623
2015-05-20,51205
2015-05-21,52083
2015-05-22,51982
2015-05-23,51644
2015-05-24,52198
2015-05-25,52015
2015-05-26,51775
2015-05-27,51771
2015-05-28,52631
2015-05-29,53050
2015-05-30,52967
2015-05-31,53204
2015-06-01,53308
2015-06-02,53308
2015-06-03,54027
2015-06-04,54854
2015-06-05,55721
2015-06-06,57034
2015-06-07,57131
2015-06-08,57131
2015-06-09,57549
2015-06-10,57854
2015-06-11,58756
2015-06-12,59705
2015-06-13,60244
2015-06-14,60743
2015-06-15,61057
2015-06-16,61977
2015-06-17,62977
2015-06-18,63819
2015-06-19,64052
2015-06-20,64395
2015-06-21,64798
2015-06-22,64992
2015-06-23,65528
2015-06-24,66344
2015-06-25,66344
2015-06-26,67428
2015-06-27,67428
2015-06-28,68354
2015-06-29,68354
2015-06-30,68603
2015-07-01,69512
2015-07-02,69512
2015-07-03,71188
2015-07-04,71493
2015-07-05,73243
2015-07-06,73696
2015-07-07,74800
2015-07-08,76234
2015-07-09,76234
2015-07-10,78252
2015-07-11,79908
2015-07-12,79165
2015-07-13,79536
2015-07-14,80357
2015-07-15,81218
2015-07-16,82343
2015-07-17,82789
2015-07-18,82789
2015-07-19,84691
2015-07-20,85500
2015-07-21,86031
2015-07-22,86507
2015-07-23,86507
2015-07-24,86281
2015-07-25,85382
2015-07-26,84967
2015-07-27,83894
2015-07-28,83333
2015-07-29,83215
2015-07-30,83942
2015-07-31,83747
2015-08-01,82317
2015-08-02,81694
2015-08-03,81379
2015-08-04,79387
2015-08-05,78550
2015-08-06,79204
2015-08-07,78657
2015-08-08,78453
2015-08-09,78343
2015-08-10,78544
2015-08-11,79436
2015-08-12,80658
2015-08-13,80131
2015-08-14,79725
2015-08-15,80426
2015-08-16,81427
2015-08-17,81861
2015-08-18,82145
2015-08-19,80929
2015-08-20,80929
2015-08-21,80193
2015-08-22,80369
2015-08-23,80509
2015-08-24,78804
2015-08-25,78804
2015-08-26,78542
2015-08-27,79103
2015-08-28,80145
2015-08-29,80707
2015-08-30,80707
2015-08-31,79366
2015-09-01,78779
2015-09-02,78779
2015-09-03,78917
2015-09-04,79563
2015-09-05,79563
2015-09-06,79561
2015-09-07,79201
2015-09-08,80235
2015-09-09,79691
2015-09-10,79684
2015-09-11,80069
2015-09-12,80685
2015-09-13,82289
2015-09-14,82227
2015-09-15,81208
2015-09-16,82492
2015-09-17,82614
2015-09-18,82614
2015-09-19,82282
2015-09-20,81553
2015-09-21,81045
2015-09-22,82458
2015-09-23,82963
2015-09-24,82963
2015-09-25,82274
2015-09-27,83805
2015-09-28,85106
2015-09-29,86403
2015-09-30,86737
2015-10-05,85070
2015-10-06,86013
2015-10-07,87493
2015-10-08,88778
2015-10-09,89494
2015-10-10,89494
2015-10-11,89233
2015-10-12,88458
2015-10-13,88458
2015-10-14,87656
2015-10-15,86940
2015-10-16,86166
2015-10-17,86166
