date_obj,Armadyl%20robe%20top price
2015-03-26,70900
2015-03-27,70900
2015-03-28,69677
2015-03-29,68242
2015-03-30,68242
2015-03-31,64829
2015-04-01,64829
2015-04-02,64048
2015-04-03,62332
2015-04-04,60592
2015-04-05,60592
2015-04-06,59286
2015-04-07,58236
2015-04-08,58236
2015-04-09,56180
2015-04-10,53723
2015-04-11,51224
2015-04-12,49424
2015-04-13,48799
2015-04-14,48799
2015-04-15,48140
2015-04-16,48140
2015-04-17,47241
2015-04-18,47551
2015-04-19,47741
2015-04-20,47741
2015-04-21,49081
2015-04-22,49081
2015-04-23,50527
2015-04-24,50527
2015-04-25,49821
2015-04-26,49821
2015-04-27,48458
2015-04-28,47993
2015-04-29,47993
2015-04-30,49164
2015-05-01,49154
2015-05-02,49409
2015-05-03,49409
2015-05-04,49089
2015-05-05,48468
2015-05-06,46602
2015-05-07,46602
2015-05-08,45372
2015-05-09,45372
2015-05-10,44636
2015-05-11,44636
2015-05-12,44820
2015-05-13,44820
2015-05-14,44580
2015-05-15,44580
2015-05-16,44685
2015-05-17,44529
2015-05-18,44571
2015-05-19,44571
2015-05-20,44299
2015-05-21,44299
2015-05-22,43697
2015-05-23,43697
2015-05-24,43327
2015-05-25,42643
2015-05-26,43008
2015-05-27,43008
2015-05-28,42437
2015-05-29,42437
2015-05-30,42387
2015-05-31,42387
2015-06-01,43644
2015-06-02,43644
2015-06-03,45047
2015-06-04,45047
2015-06-05,45550
2015-06-06,45550
2015-06-07,45315
2015-06-08,45315
2015-06-09,45598
2015-06-10,45598
2015-06-11,45548
2015-06-12,45548
2015-06-13,46168
2015-06-14,46168
2015-06-15,46560
2015-06-16,46660
2015-06-17,46660
2015-06-18,46734
2015-06-19,46734
2015-06-20,46524
2015-06-21,46524
2015-06-22,45589
2015-06-23,45589
2015-06-24,44009
2015-06-25,44009
2015-06-26,43997
2015-06-27,43997
2015-06-28,42878
2015-06-29,42878
2015-06-30,42259
2015-07-01,42259
2015-07-02,42192
2015-07-03,42432
2015-07-04,42432
2015-07-05,42437
2015-07-06,42437
2015-07-07,42537
2015-07-08,42537
2015-07-09,43518
2015-07-10,44139
2015-07-11,44139
2015-07-12,44323
2015-07-13,44741
2015-07-14,44741
2015-07-15,45666
2015-07-16,45666
2015-07-17,46750
2015-07-18,46750
2015-07-19,46967
2015-07-20,46967
2015-07-21,46738
2015-07-22,48106
2015-07-23,48106
2015-07-24,48738
2015-07-25,48738
2015-07-26,47926
2015-07-27,47926
2015-07-28,48480
2015-07-29,48801
2015-07-30,48801
2015-07-31,47919
2015-08-01,47919
2015-08-02,48010
2015-08-03,48010
2015-08-04,48135
2015-08-05,48981
2015-08-06,48981
2015-08-07,49904
2015-08-08,51005
2015-08-09,51005
2015-08-10,50517
2015-08-11,50591
2015-08-12,50591
2015-08-13,50868
2015-08-14,50833
2015-08-15,50833
2015-08-16,50852
2015-08-17,51391
2015-08-18,51989
2015-08-19,52040
2015-08-20,52040
2015-08-21,52085
2015-08-22,51643
2015-08-23,51643
2015-08-24,51970
2015-08-25,51970
2015-08-26,51887
2015-08-27,51527
2015-08-28,51527
2015-08-29,51399
2015-08-30,51399
2015-08-31,50881
2015-09-01,50881
2015-09-02,51143
2015-09-03,51143
2015-09-04,50660
2015-09-05,50660
2015-09-06,50504
2015-09-07,50504
2015-09-08,50221
2015-09-09,50221
2015-09-10,50004
2015-09-11,50004
2015-09-12,49400
2015-09-13,49400
2015-09-14,48801
2015-09-15,48857
2015-09-16,48857
2015-09-17,49055
2015-09-18,49055
2015-09-19,47786
2015-09-20,47786
2015-09-21,47601
2015-09-22,47601
2015-09-23,47889
2015-09-24,47889
2015-09-25,47560
2015-09-27,47337
2015-09-28,47337
2015-09-29,47452
2015-09-30,47978
2015-10-05,46931
2015-10-06,46863
2015-10-07,46863
2015-10-08,46499
2015-10-09,46499
2015-10-10,46262
2015-10-11,46067
2015-10-12,46067
2015-10-13,46061
2015-10-14,46061
2015-10-15,45769
2015-10-16,45769
2015-10-17,44865
2015-10-18,44865
2015-10-19,44505
2015-10-20,44505
2015-10-22,44134
2015-10-23,43512
2015-10-24,43512
2015-10-25,43095
2015-10-26,43095
2015-10-27,42947
2015-10-28,42947
2015-10-29,42583
2015-10-30,42583
2015-10-31,43293
2015-11-01,43293
2015-11-02,44562
2015-11-03,44562
2015-11-04,46342
2015-11-05,46342
2015-11-06,48449
2015-11-07,48449
2015-11-08,50827
2015-11-09,50827
2015-11-10,53231
2015-11-11,55801
2015-11-12,55801
2015-11-13,57562
2015-11-14,57562
2015-11-15,58491
2015-11-16,58491
2015-11-17,58693
2015-11-18,58693
2015-11-19,59840
2015-11-20,59552
2015-11-21,59552
2015-11-22,60103
2015-11-23,60103
2015-11-24,60396
2015-11-25,61534
2015-11-26,61534
2015-11-27,62091
2015-11-28,62091
2015-11-29,62480
2015-11-30,62480
2015-12-01,62899
2015-12-02,62899
2015-12-03,63764
2015-12-04,63764
2015-12-05,65072
2015-12-06,65319
2015-12-07,65319
2015-12-08,65720
2015-12-09,64901
2015-12-10,64901
2015-12-11,63509
2015-12-12,63509
2015-12-13,62712
2015-12-14,62712
2015-12-15,63996
2015-12-16,63996
2015-12-17,62552
2015-12-18,61788
2015-12-19,61788
2015-12-20,61089
2015-12-21,61089
2015-12-22,60180
2015-12-23,60180
2015-12-24,60330
2015-12-25,60330
2015-12-26,59731
2015-12-27,58427
2015-12-28,58427
2015-12-29,59100
2015-12-30,59688
2015-12-31,59688
2016-01-01,58183
2016-01-02,58183
2016-01-03,57363
2016-01-04,58214
2016-01-05,58214
2016-01-06,58030
2016-01-07,58030
2016-01-08,56531
2016-01-09,56531
2016-01-10,54008
2016-01-11,54008
2016-01-12,52928
2016-01-13,52928
2016-01-14,51301
2016-01-15,50371
2016-01-16,50371
2016-01-17,48527
2016-01-18,47273
2016-01-19,47273
2016-01-20,45639
2016-01-21,45639
2016-01-22,45633
2016-01-23,45633
2016-01-24,45457
2016-01-25,44513
2016-01-26,44513
2016-01-27,43972
2016-01-28,43972
2016-01-29,43795
2016-01-30,43795
2016-01-31,43256
2016-02-01,43113
2016-02-02,43113
2016-02-03,44047
2016-02-04,44047
2016-02-05,46132
2016-02-06,47131
2016-02-07,47131
2016-02-08,47312
2016-02-09,47312
2016-02-10,47539
2016-02-11,47539
2016-02-12,48580
2016-02-13,47853
2016-02-14,47853
2016-02-15,47914
2016-02-16,47914
2016-02-17,49071
2016-02-18,49071
2016-02-19,49665
2016-02-20,49665
2016-02-21,50626
2016-02-22,50626
2016-02-23,52718
2016-02-24,52718
2016-02-25,53175
2016-02-26,53175
2016-02-27,52882
2016-02-28,52882
2016-02-29,51957
2016-03-01,51957
2016-03-02,50367
2016-03-03,49730
2016-03-04,48466
2016-03-05,48466
2016-03-06,48203
2016-03-07,48203
2016-03-08,48476
2016-03-09,48476
2016-03-10,48103
2016-03-11,48103
2016-03-12,47621
2016-03-13,47621
2016-03-14,46511
2016-03-15,46511
2016-03-16,45350
2016-03-17,45350
2016-03-18,45378
2016-03-19,45378
2016-03-20,45178
2016-03-21,45178
2016-03-22,43448
2016-03-23,43346
2016-03-24,43346
2016-03-25,43326
2016-03-26,43733
2016-03-27,43733
2016-03-28,42573
2016-03-29,41253
2016-03-30,41253
2016-03-31,39652
2016-04-01,39652
2016-04-02,37802
2016-04-03,36447
2016-04-04,35636
2016-04-05,35636
2016-04-06,35822
2016-04-07,35822
2016-04-08,36249
2016-04-09,36055
2016-04-10,35879
2016-04-11,35879
2016-04-12,36105
2016-04-13,35782
2016-04-14,34582
2016-04-15,34100
2016-04-16,33526
2016-04-17,33123
2016-04-18,32285
2016-04-19,32285
2016-04-20,32547
2016-04-21,32547
2016-04-22,33758
2016-04-23,34834
2016-04-24,35923
2016-04-25,36038
2016-04-26,36038
2016-04-27,37325
2016-04-28,37325
2016-04-29,39183
2016-04-30,40971
2016-05-01,40971
2016-05-02,42914
2016-05-03,44172
2016-05-04,44172
2016-05-05,43347
2016-05-06,43347
2016-05-07,43146
2016-05-08,43146
2016-05-09,43191
2016-05-10,43659
2016-05-11,43659
2016-05-12,43410
2016-05-13,43890
2016-05-14,43890
2016-05-15,43993
2016-05-16,43993
2016-05-17,45366
2016-05-18,46103
2016-05-19,46103
2016-05-22,46894
2016-05-23,46289
2016-05-24,47187
2016-05-25,47187
2016-05-26,47070
2016-05-27,44716
2016-05-28,44716
2016-05-29,42997
2016-05-30,42997
2016-05-31,41026
2016-06-01,40116
2016-06-02,40116
2016-06-03,39543
2016-06-04,39987
2016-06-05,39987
2016-06-06,38494
2016-06-07,38494
2016-06-08,36569
2016-06-09,35479
2016-06-10,34865
2016-06-11,34865
2016-06-12,34996
2016-06-13,34996
2016-06-14,35788
2016-06-15,35788
2016-06-16,35698
2016-06-17,35007
2016-06-18,35007
2016-06-19,35392
2016-06-20,34271
2016-06-21,33441
