date_obj,Bronze%20limbs price
2015-03-26,200
2015-03-27,200
2015-03-28,200
2015-03-29,200
2015-03-30,200
2015-03-31,200
2015-04-01,200
2015-04-02,200
2015-04-03,200
2015-04-04,200
2015-04-05,200
2015-04-06,200
2015-04-07,200
2015-04-08,200
2015-04-09,200
2015-04-10,200
2015-04-11,200
2015-04-12,200
2015-04-13,191
2015-04-14,191
2015-04-15,191
2015-04-16,191
2015-04-17,191
2015-04-18,191
2015-04-19,191
2015-04-20,191
2015-04-21,191
2015-04-22,191
2015-04-23,191
2015-04-24,191
2015-04-25,191
2015-04-26,191
2015-04-27,191
2015-04-28,191
2015-04-29,191
2015-04-30,191
2015-05-01,191
2015-05-02,191
2015-05-03,191
2015-05-04,191
2015-05-05,191
2015-05-06,191
2015-05-07,191
2015-05-08,191
2015-05-09,191
2015-05-10,191
2015-05-11,191
2015-05-12,191
2015-05-13,191
2015-05-14,191
2015-05-15,191
2015-05-16,191
2015-05-17,191
2015-05-18,191
2015-05-19,191
2015-05-20,191
2015-05-21,191
2015-05-22,191
2015-05-23,191
2015-05-24,191
2015-05-25,191
2015-05-26,191
2015-05-27,191
2015-05-28,183
2015-05-29,183
2015-05-30,183
2015-05-31,183
2015-06-01,183
2015-06-02,183
2015-06-03,183
2015-06-04,183
2015-06-05,183
2015-06-06,183
2015-06-07,183
2015-06-08,183
2015-06-09,183
2015-06-10,183
2015-06-11,183
2015-06-12,183
2015-06-13,183
2015-06-14,183
2015-06-15,183
2015-06-16,183
2015-06-17,183
2015-06-18,183
2015-06-19,183
2015-06-20,183
2015-06-21,183
2015-06-22,183
2015-06-23,183
2015-06-24,183
2015-06-25,183
2015-06-26,183
2015-06-27,183
2015-06-28,183
2015-06-29,183
2015-06-30,183
2015-07-01,183
2015-07-02,174
2015-07-03,174
2015-07-04,174
2015-07-05,174
2015-07-06,174
2015-07-07,174
2015-07-08,174
2015-07-09,174
2015-07-10,174
2015-07-11,174
2015-07-12,174
2015-07-13,174
2015-07-14,174
2015-07-15,174
2015-07-16,174
2015-07-17,174
2015-07-18,174
2015-07-19,174
2015-07-20,174
2015-07-21,174
2015-07-22,174
2015-07-23,174
2015-07-24,174
2015-07-25,174
2015-07-26,174
2015-07-27,174
2015-07-28,174
2015-07-29,174
2015-07-30,174
2015-07-31,174
2015-08-01,174
2015-08-02,174
2015-08-03,174
2015-08-04,174
2015-08-05,174
2015-08-06,174
2015-08-07,174
2015-08-08,169
2015-08-09,169
2015-08-10,169
2015-08-11,169
2015-08-12,169
2015-08-13,169
2015-08-14,169
2015-08-15,169
2015-08-16,169
2015-08-17,169
2015-08-18,169
2015-08-19,169
2015-08-20,169
2015-08-21,169
2015-08-22,169
2015-08-23,169
2015-08-24,169
2015-08-25,169
2015-08-26,169
2015-08-27,169
2015-08-28,169
2015-08-29,169
2015-08-30,169
2015-08-31,169
2015-09-01,169
2015-09-02,169
2015-09-03,169
2015-09-04,169
2015-09-05,169
2015-09-06,169
2015-09-07,169
2015-09-08,169
2015-09-09,169
2015-09-10,169
2015-09-11,169
2015-09-12,169
2015-09-13,169
2015-09-14,169
2015-09-15,169
2015-09-16,169
2015-09-17,169
2015-09-18,161
2015-09-19,161
2015-09-20,161
2015-09-21,161
2015-09-22,161
2015-09-23,161
2015-09-24,161
2015-09-25,161
2015-09-27,161
2015-09-28,161
2015-09-29,161
2015-09-30,161
2015-10-05,161
