date_obj,Bandos%20boots price
2015-03-26,456109
2015-03-27,456109
2015-03-28,463308
2015-03-29,463308
2015-03-30,465956
2015-03-31,465956
2015-04-01,458403
2015-04-02,458403
2015-04-03,447098
2015-04-04,439961
2015-04-05,439961
2015-04-06,445005
2015-04-07,445005
2015-04-08,449998
2015-04-09,449998
2015-04-10,439461
2015-04-11,439461
2015-04-12,435412
2015-04-13,435412
2015-04-14,431127
2015-04-15,427360
2015-04-16,427360
2015-04-17,430121
2015-04-18,437493
2015-04-19,437493
2015-04-20,451864
2015-04-21,451864
2015-04-22,472284
2015-04-23,477248
2015-04-24,477248
2015-04-25,471855
2015-04-26,471855
2015-04-27,468285
2015-04-28,467449
2015-04-29,467449
2015-04-30,459531
2015-05-01,459627
2015-05-02,477155
2015-05-03,477155
2015-05-04,490492
2015-05-05,490492
2015-05-06,505643
2015-05-07,505643
2015-05-08,491824
2015-05-09,491824
2015-05-10,473259
2015-05-11,473259
2015-05-12,453207
2015-05-13,453207
2015-05-14,454923
2015-05-15,454923
2015-05-16,453078
2015-05-17,472891
2015-05-18,495663
2015-05-19,495663
2015-05-20,519379
2015-05-21,519379
2015-05-22,541451
2015-05-23,541451
2015-05-24,564256
2015-05-25,584470
2015-05-26,584470
2015-05-27,613202
2015-05-28,629017
2015-05-29,639961
2015-05-30,644401
2015-05-31,644401
2015-06-01,652188
2015-06-02,652188
2015-06-03,622492
2015-06-04,610470
2015-06-05,591610
2015-06-06,599548
2015-06-07,607916
2015-06-08,618500
2015-06-09,603369
2015-06-10,592409
2015-06-11,592409
2015-06-12,577853
2015-06-13,556521
2015-06-14,532414
2015-06-15,515576
2015-06-16,496338
2015-06-17,484133
2015-06-18,460788
2015-06-19,437748
2015-06-20,417868
2015-06-21,401565
2015-06-22,390295
2015-06-23,382893
2015-06-24,378945
2015-06-25,378945
2015-06-26,378006
2015-06-27,378006
2015-06-28,374821
2015-06-29,362357
2015-06-30,360627
2015-07-01,357631
2015-07-02,357631
2015-07-03,374897
2015-07-04,377681
2015-07-05,378729
2015-07-06,387422
2015-07-07,388546
2015-07-08,393887
2015-07-09,393887
2015-07-10,399282
2015-07-11,399282
2015-07-12,386415
2015-07-13,386273
2015-07-14,374437
2015-07-15,365658
2015-07-16,372913
2015-07-17,382934
2015-07-18,382934
2015-07-19,382277
2015-07-20,373599
2015-07-21,368680
2015-07-22,359207
2015-07-23,359207
2015-07-24,363700
2015-07-25,374050
2015-07-26,376895
2015-07-27,381814
2015-07-28,376705
2015-07-29,369461
2015-07-30,376505
2015-07-31,376356
2015-08-01,389297
2015-08-02,393003
2015-08-03,386719
2015-08-04,383450
2015-08-05,374138
2015-08-06,367122
2015-08-07,361699
2015-08-08,356744
2015-08-09,349879
2015-08-10,344966
2015-08-11,342520
2015-08-12,342520
2015-08-13,340900
2015-08-14,348507
2015-08-15,349372
2015-08-16,350342
2015-08-17,356170
2015-08-18,364565
2015-08-19,357427
2015-08-20,350088
2015-08-21,351770
2015-08-22,354309
2015-08-23,361774
2015-08-24,367247
2015-08-25,367247
2015-08-26,364843
2015-08-27,357059
2015-08-28,352131
2015-08-29,344308
2015-08-30,336157
2015-08-31,327798
2015-09-01,314429
2015-09-02,314429
2015-09-03,300273
2015-09-04,286166
2015-09-05,274095
2015-09-06,265976
2015-09-07,255777
2015-09-08,249393
2015-09-09,247096
2015-09-10,242275
2015-09-11,237307
2015-09-12,232210
2015-09-13,227106
2015-09-14,221205
2015-09-15,211002
2015-09-16,211002
2015-09-17,208412
2015-09-18,208412
2015-09-19,205076
2015-09-20,196483
2015-09-21,197043
2015-09-22,190978
2015-09-23,191936
2015-09-24,191936
2015-09-25,195441
2015-09-27,208169
2015-09-28,209995
2015-09-29,216832
2015-09-30,224074
2015-10-05,203429
2015-10-06,207391
2015-10-07,215926
2015-10-08,216220
2015-10-09,209736
2015-10-10,209736
2015-10-11,207042
2015-10-12,207824
2015-10-13,207824
2015-10-14,214606
2015-10-15,214703
2015-10-16,206042
2015-10-17,206042
2015-10-18,209128
2015-10-19,215172
2015-10-20,210846
2015-10-22,208634
2015-10-23,203707
2015-10-24,210360
2015-10-25,213145
2015-10-26,212252
2015-10-27,212252
2015-10-28,214333
2015-10-29,220410
2015-10-30,220410
2015-10-31,221983
2015-11-01,221983
2015-11-02,221975
2015-11-03,221975
2015-11-04,218580
2015-11-05,216709
2015-11-06,216709
2015-11-07,213864
2015-11-08,213864
2015-11-09,210016
2015-11-10,210016
2015-11-11,207726
2015-11-12,207726
2015-11-13,205459
2015-11-14,208280
2015-11-15,203571
2015-11-16,203571
2015-11-17,198031
2015-11-18,198031
2015-11-19,195254
2015-11-20,197070
2015-11-21,197070
2015-11-22,194777
2015-11-23,194777
2015-11-24,196202
2015-11-25,197582
2015-11-26,197582
2015-11-27,201589
2015-11-28,206245
2015-11-29,212294
2015-11-30,215356
2015-12-01,215356
2015-12-02,217122
2015-12-03,215041
2015-12-04,215041
2015-12-05,210358
2015-12-06,205747
2015-12-07,201398
2015-12-08,201198
2015-12-09,201052
2015-12-10,202401
2015-12-11,204539
2015-12-12,208939
2015-12-13,215429
2015-12-14,215429
2015-12-15,219630
2015-12-16,226194
2015-12-17,232803
2015-12-18,239800
2015-12-19,246946
2015-12-20,254429
2015-12-21,255254
2015-12-22,252062
2015-12-23,251750
2015-12-24,248569
2015-12-25,246371
2015-12-26,246392
2015-12-27,244307
2015-12-28,244523
2015-12-29,244041
2015-12-30,241237
2015-12-31,242949
2016-01-01,245680
2016-01-02,252969
2016-01-03,262219
2016-01-04,273395
2016-01-05,287016
2016-01-06,299857
2016-01-07,300931
2016-01-08,312162
2016-01-09,323242
2016-01-10,319950
2016-01-11,305784
2016-01-12,290770
2016-01-13,276276
2016-01-14,262734
2016-01-15,249597
2016-01-16,237442
2016-01-17,231569
2016-01-18,227780
2016-01-19,230811
2016-01-20,236058
2016-01-21,241519
2016-01-22,242057
2016-01-23,247793
2016-01-24,245249
2016-01-25,241382
2016-01-26,236095
2016-01-27,235016
2016-01-28,235016
2016-01-29,233538
2016-01-30,233538
2016-01-31,229417
2016-02-01,228030
2016-02-02,231975
2016-02-03,237641
2016-02-04,240248
2016-02-05,247263
2016-02-06,258341
2016-02-07,256195
2016-02-08,256859
2016-02-09,262938
2016-02-10,269231
2016-02-11,267472
2016-02-12,268904
2016-02-13,260688
