date_obj,Dragon%20dart price
2015-03-26,2655
2015-03-27,2655
2015-03-28,2688
2015-03-29,2588
2015-03-30,2517
2015-03-31,2432
2015-04-01,2432
2015-04-02,2514
2015-04-03,2591
2015-04-04,2658
2015-04-05,2604
2015-04-06,2687
2015-04-07,2656
2015-04-08,2656
2015-04-09,2744
2015-04-10,2806
2015-04-11,2764
2015-04-12,2745
2015-04-13,2846
2015-04-14,2884
2015-04-15,2928
2015-04-16,2967
2015-04-17,3049
2015-04-18,3038
2015-04-19,3034
2015-04-20,3034
2015-04-21,3114
2015-04-22,3114
2015-04-23,3206
2015-04-24,3206
2015-04-25,3146
2015-04-26,2992
2015-04-27,2849
2015-04-28,2715
2015-04-29,2715
2015-04-30,2628
2015-05-01,2611
2015-05-02,2688
2015-05-03,2688
2015-05-04,2758
2015-05-05,2877
2015-05-06,2925
2015-05-07,2824
2015-05-08,2761
2015-05-09,2687
2015-05-10,2590
2015-05-11,2590
2015-05-12,2611
2015-05-13,2611
2015-05-14,2680
2015-05-15,2781
2015-05-16,2781
2015-05-17,2755
2015-05-18,2826
2015-05-19,2786
2015-05-20,2786
2015-05-21,2797
2015-05-22,2756
2015-05-23,2756
2015-05-24,2773
2015-05-25,2739
2015-05-26,2740
2015-05-27,2748
2015-05-28,2836
2015-05-29,2968
2015-05-30,3115
2015-05-31,3148
2015-06-01,3158
2015-06-02,3158
2015-06-03,3128
2015-06-04,3207
2015-06-05,3328
2015-06-06,3301
2015-06-07,3187
2015-06-08,3114
2015-06-09,3113
2015-06-10,3102
2015-06-11,3060
2015-06-12,3130
2015-06-13,3284
2015-06-14,3372
2015-06-15,3273
2015-06-16,3244
2015-06-17,3165
2015-06-18,3044
2015-06-19,3009
2015-06-20,3003
2015-06-21,3046
2015-06-22,3036
2015-06-23,3008
2015-06-24,2988
2015-06-25,3004
2015-06-26,3128
2015-06-27,3169
2015-06-28,3122
2015-06-29,3031
2015-06-30,3012
2015-07-01,3008
2015-07-02,3008
2015-07-03,3004
2015-07-04,3096
2015-07-05,3133
2015-07-06,3121
2015-07-07,3078
2015-07-08,3083
2015-07-09,3083
2015-07-10,3042
2015-07-11,3036
2015-07-12,3113
2015-07-13,3017
2015-07-14,2992
2015-07-15,3048
2015-07-16,3012
2015-07-17,3031
2015-07-18,3049
2015-07-19,3060
2015-07-20,3066
2015-07-21,3014
2015-07-22,2974
2015-07-23,2979
2015-07-24,3034
2015-07-25,2992
2015-07-26,2986
2015-07-27,3006
2015-07-28,2899
2015-07-29,2975
2015-07-30,2992
2015-07-31,3071
2015-08-01,3155
2015-08-02,3098
2015-08-03,3051
2015-08-04,3041
2015-08-05,3088
2015-08-06,3213
2015-08-07,3346
2015-08-08,3514
2015-08-09,3689
2015-08-10,3764
