date_obj,Bandos%20platebody price
2015-03-26,39254
2015-03-27,39254
2015-03-28,39679
2015-03-29,40037
2015-03-30,40657
2015-03-31,40021
2015-04-01,40021
2015-04-02,40838
2015-04-03,41062
2015-04-04,41868
2015-04-05,41868
2015-04-06,41410
2015-04-07,40854
2015-04-08,40854
2015-04-09,40894
2015-04-10,40426
2015-04-11,39722
2015-04-12,39303
2015-04-13,39223
2015-04-14,39223
2015-04-15,39171
2015-04-16,39384
2015-04-17,39795
2015-04-18,40115
2015-04-19,40151
2015-04-20,40151
2015-04-21,40876
2015-04-22,40862
2015-04-23,42083
2015-04-24,42083
2015-04-25,42282
2015-04-26,42699
2015-04-27,41690
2015-04-28,40355
2015-04-29,40355
2015-04-30,40157
2015-05-01,41184
2015-05-02,41633
2015-05-03,41633
2015-05-04,40413
2015-05-05,40937
2015-05-06,40829
2015-05-07,41553
2015-05-08,41553
2015-05-09,42211
2015-05-10,42170
2015-05-11,42170
2015-05-12,41816
2015-05-13,41816
2015-05-14,41527
2015-05-15,41527
2015-05-16,40605
2015-05-17,40088
2015-05-18,39524
2015-05-19,39170
2015-05-20,39170
2015-05-21,38905
2015-05-22,38625
2015-05-23,38625
2015-05-24,38511
2015-05-25,38057
2015-05-26,38148
2015-05-27,38148
2015-05-28,38616
2015-05-29,39152
2015-05-30,39497
2015-05-31,39497
2015-06-01,39785
2015-06-02,39785
2015-06-03,40271
2015-06-04,40271
2015-06-05,40687
2015-06-06,41593
2015-06-07,41335
2015-06-08,41335
2015-06-09,40577
2015-06-10,41273
2015-06-11,41273
2015-06-12,41644
2015-06-13,41045
2015-06-14,41565
2015-06-15,41565
2015-06-16,40416
2015-06-17,40416
2015-06-18,40582
2015-06-19,40582
2015-06-20,41029
2015-06-21,41029
2015-06-22,40848
2015-06-23,40848
2015-06-24,39981
2015-06-25,39981
2015-06-26,39536
2015-06-27,39536
2015-06-28,40871
2015-06-29,40871
2015-06-30,41578
2015-07-01,41372
2015-07-02,41372
2015-07-03,41174
2015-07-04,41174
2015-07-05,41388
2015-07-06,41388
2015-07-07,41740
2015-07-08,41740
2015-07-09,41875
2015-07-10,41778
2015-07-11,41778
2015-07-12,39878
2015-07-13,40492
2015-07-14,40492
2015-07-15,41408
2015-07-16,41408
2015-07-17,41268
2015-07-18,41268
2015-07-19,41671
2015-07-20,42420
2015-07-21,42420
2015-07-22,42649
2015-07-23,42649
2015-07-24,42400
2015-07-25,42400
2015-07-26,43050
2015-07-27,43050
2015-07-28,42911
2015-07-29,41796
2015-07-30,41796
2015-07-31,40792
2015-08-01,40792
2015-08-02,41554
2015-08-03,41554
2015-08-04,41537
2015-08-05,40842
2015-08-06,40842
2015-08-07,40994
2015-08-08,41645
2015-08-09,42090
2015-08-10,42107
2015-08-11,42272
2015-08-12,42272
2015-08-13,42184
2015-08-14,41068
2015-08-15,41068
2015-08-16,41344
2015-08-17,40949
2015-08-18,40949
2015-08-19,40682
2015-08-20,40682
2015-08-21,41578
2015-08-22,41418
2015-08-23,41418
2015-08-24,41931
2015-08-25,41931
2015-08-26,41384
2015-08-27,40900
2015-08-28,40900
2015-08-29,40336
2015-08-30,40336
2015-08-31,39735
2015-09-01,39735
2015-09-02,40631
2015-09-03,40631
2015-09-04,40183
2015-09-05,40183
2015-09-06,40963
2015-09-07,41031
2015-09-08,41031
2015-09-09,40422
2015-09-10,40422
2015-09-11,40356
2015-09-12,40356
2015-09-13,40310
2015-09-14,40310
2015-09-15,39936
2015-09-16,39936
2015-09-17,40387
2015-09-18,40387
2015-09-19,41777
2015-09-20,41777
2015-09-21,42071
2015-09-22,42071
2015-09-23,41638
2015-09-24,41638
2015-09-25,41395
2015-09-27,41546
2015-09-28,41546
2015-09-29,41695
2015-09-30,41890
2015-10-05,42775
2015-10-06,43708
2015-10-07,43708
2015-10-08,43657
2015-10-09,42516
2015-10-10,42516
2015-10-11,42190
2015-10-12,42190
2015-10-13,41933
2015-10-14,41933
2015-10-15,40572
2015-10-16,40572
2015-10-17,40346
2015-10-18,40346
2015-10-19,41083
2015-10-20,41083
2015-10-22,40958
2015-10-23,41683
2015-10-24,41683
2015-10-25,41897
2015-10-26,41897
2015-10-27,41834
2015-10-28,41834
2015-10-29,42561
2015-10-30,42561
2015-10-31,42290
2015-11-01,42290
2015-11-02,42749
2015-11-03,42749
2015-11-04,42828
2015-11-05,42828
2015-11-06,41848
2015-11-07,41918
2015-11-08,41918
2015-11-09,41311
2015-11-10,41311
2015-11-11,41735
2015-11-12,41735
2015-11-13,42098
2015-11-14,42098
2015-11-15,41723
2015-11-16,41723
2015-11-17,41404
2015-11-18,41404
2015-11-19,39726
2015-11-20,39726
2015-11-21,39040
2015-11-22,38638
2015-11-23,38638
2015-11-24,38715
2015-11-25,40019
2015-11-26,40019
2015-11-27,40071
2015-11-28,41235
2015-11-29,41235
2015-11-30,42595
2015-12-01,42595
2015-12-02,43205
2015-12-03,43205
2015-12-04,42766
2015-12-05,42766
2015-12-06,42962
2015-12-07,42962
2015-12-08,43464
2015-12-09,43807
2015-12-10,43807
2015-12-11,43117
2015-12-12,43117
2015-12-13,42658
2015-12-14,42658
2015-12-15,42633
2015-12-16,42633
2015-12-17,41415
2015-12-18,42593
2015-12-19,42593
2015-12-20,43372
2015-12-21,43372
2015-12-22,43503
2015-12-23,43503
2015-12-24,45150
2015-12-25,45150
2015-12-26,47255
2015-12-27,47552
2015-12-28,47552
2015-12-29,47264
2015-12-30,45169
2015-12-31,45169
2016-01-01,43900
2016-01-02,43900
2016-01-03,42859
2016-01-04,41806
2016-01-05,41806
2016-01-06,41834
2016-01-07,41834
2016-01-08,41286
2016-01-09,41286
2016-01-10,41089
2016-01-11,41089
2016-01-12,41215
2016-01-13,41215
2016-01-14,43079
2016-01-15,43079
2016-01-16,43743
2016-01-17,43743
2016-01-18,43373
2016-01-19,43373
2016-01-20,42938
2016-01-21,42938
2016-01-22,41969
2016-01-23,41969
2016-01-24,42034
2016-01-25,41682
2016-01-26,41682
2016-01-27,42466
2016-01-28,42466
2016-01-29,42847
2016-01-30,42847
2016-01-31,42088
2016-02-01,40655
2016-02-02,40655
2016-02-03,40020
2016-02-04,40020
2016-02-05,40133
2016-02-06,39928
2016-02-07,39928
2016-02-08,38963
2016-02-09,38963
2016-02-10,39144
2016-02-11,39144
2016-02-12,39534
2016-02-13,40666
2016-02-14,40666
2016-02-15,40769
2016-02-16,40769
2016-02-17,40144
2016-02-18,40144
2016-02-19,40870
2016-02-20,40673
2016-02-21,39467
2016-02-22,39467
2016-02-23,40559
2016-02-24,40559
2016-02-25,41460
2016-02-26,41460
2016-02-27,41358
2016-02-28,41358
2016-02-29,41074
2016-03-01,39965
2016-03-02,39965
2016-03-03,40874
2016-03-04,40874
2016-03-05,41557
2016-03-06,41891
2016-03-07,41891
2016-03-08,43010
2016-03-09,43623
2016-03-10,43241
2016-03-11,43241
2016-03-12,41723
2016-03-13,41723
2016-03-14,39787
2016-03-15,40053
2016-03-16,40095
2016-03-17,40948
2016-03-18,42305
2016-03-19,42305
2016-03-20,43078
2016-03-21,43078
2016-03-22,43333
2016-03-23,43512
2016-03-24,43512
2016-03-25,43441
2016-03-26,42534
2016-03-27,42534
2016-03-28,41265
2016-03-29,41103
2016-03-30,41103
2016-03-31,42789
2016-04-01,44929
2016-04-02,46835
2016-04-03,48877
2016-04-04,51321
2016-04-05,53515
2016-04-06,56191
2016-04-07,59001
2016-04-08,61861
2016-04-09,64576
2016-04-10,67805
2016-04-11,67805
2016-04-12,68199
2016-04-13,65217
2016-04-14,63362
2016-04-15,60193
2016-04-16,57506
2016-04-17,55442
2016-04-18,52844
2016-04-19,50290
2016-04-20,48278
2016-04-21,46120
2016-04-22,46120
2016-04-23,43999
2016-04-24,43170
2016-04-25,41550
2016-04-26,40888
2016-04-27,40327
2016-04-28,41386
2016-04-29,40198
2016-04-30,39690
2016-05-01,39129
2016-05-02,39538
2016-05-03,39762
2016-05-04,39866
2016-05-05,40073
2016-05-06,40073
2016-05-07,39769
2016-05-08,39769
2016-05-09,39966
2016-05-10,39850
2016-05-11,39850
2016-05-12,39712
2016-05-13,40107
2016-05-14,39862
2016-05-15,39563
2016-05-16,40246
2016-05-17,40966
2016-05-18,41143
2016-05-19,40817
2016-05-22,41302
2016-05-23,42208
2016-05-24,43064
2016-05-25,43068
2016-05-26,43198
2016-05-27,41412
2016-05-28,41412
2016-05-29,40280
2016-05-30,40280
2016-05-31,40628
2016-06-01,41841
2016-06-02,42163
2016-06-03,40935
2016-06-04,40512
2016-06-05,40840
2016-06-06,40717
2016-06-07,40717
2016-06-08,41388
2016-06-09,41299
2016-06-10,42233
2016-06-11,42859
2016-06-12,42027
2016-06-13,40759
2016-06-14,40572
2016-06-15,41485
2016-06-16,41907
2016-06-17,41741
2016-06-18,42069
2016-06-19,42399
2016-06-20,42998
2016-06-21,42075
2016-06-22,42408
2016-06-23,42242
2016-06-24,41806
2016-06-25,40607
2016-06-26,41026
2016-06-27,42069
2016-06-28,42476
2016-06-29,41890
2016-06-30,41748
2016-07-01,41977
2016-07-02,42040
2016-07-03,42506
2016-07-04,42082
2016-07-05,42381
2016-07-06,43884
2016-07-07,45611
2016-07-08,46241
2016-07-09,48232
2016-07-10,48848
2016-07-11,50670
2016-07-12,51440
2016-07-13,53080
2016-07-14,54194
2016-07-15,54965
2016-07-16,55469
2016-07-17,55832
2016-07-18,55303
2016-07-23,48734
2016-07-24,48193
2016-07-25,46702
2016-07-26,46452
2016-07-27,48215
2016-07-28,49870
2016-07-29,50915
2016-07-30,49478
2016-07-31,48428
2016-08-01,49378
2016-08-02,49805
2016-08-03,49191
2016-08-04,49421
2016-08-05,49705
2016-08-06,50561
2016-08-07,52633
2016-08-08,54815
2016-08-09,56128
2016-08-10,58343
2016-08-11,59665
2016-08-12,59344
2016-08-13,58416
2016-08-14,56783
2016-08-15,55552
2016-08-16,54224
2016-08-17,54224
2016-08-18,53775
2016-08-19,53481
2016-08-20,52687
2016-08-21,51212
2016-08-22,49969
2016-08-23,50984
2016-08-24,50357
2016-08-25,48847
2016-08-26,48847
