date_obj,Sandwich%20lady%20hat price
2020-01-09,19682
2020-01-10,19141
2020-01-11,19141
2020-01-12,18232
2020-01-13,18232
2020-01-14,18232
2020-01-15,17320
2020-01-16,17320
2020-01-17,16617
2020-01-18,16617
2020-01-19,16148
2020-01-20,16148
2020-01-21,16148
2020-01-22,15502
2020-01-23,15502
2020-01-24,14817
2020-01-25,14817
2020-01-26,14174
2020-01-27,14174
2020-01-28,13536
2020-01-29,13536
2020-01-30,13144
2020-01-31,13144
2020-02-01,13144
2020-02-02,12666
2020-02-03,12666
2020-02-04,12328
2020-02-05,12328
2020-02-06,12051
2020-02-07,12051
2020-02-08,11845
2020-02-09,11845
2020-02-10,11500
2020-02-11,11500
2020-02-12,11500
2020-02-13,11182
2020-02-14,11182
2020-02-15,10795
2020-02-16,10795
2020-02-17,10264
2020-02-18,10264
2020-02-19,10068
2020-02-20,10068
2020-02-21,10068
2020-02-22,9886
2020-02-23,9886
2020-02-24,9625
2020-02-25,9625
2020-02-26,9285
2020-02-27,9285
2020-02-28,8848
2020-02-29,8848
2020-03-01,8467
2020-03-02,8467
2020-03-03,8331
2020-03-04,8331
2020-03-05,8331
2020-03-06,8188
2020-03-07,8188
2020-03-08,8188
2020-03-09,8177
2020-03-10,8177
2020-03-11,8215
2020-03-12,8215
2020-03-13,8401
2020-03-14,8401
2020-03-15,8449
2020-03-16,8449
2020-03-17,8486
2020-03-18,8486
2020-03-19,8694
2020-03-20,8694
2020-03-21,8596
2020-03-22,8596
2020-03-23,8636
2020-03-24,8636
2020-03-25,8485
2020-03-26,8398
2020-03-27,8398
2020-03-28,8344
2020-03-29,8138
2020-03-30,8138
2020-03-31,7976
2020-04-01,7976
2020-04-02,7670
2020-04-03,7670
2020-04-04,7352
2020-04-05,7352
2020-04-06,7256
2020-04-07,7256
2020-04-08,6900
2020-04-09,6900
2020-04-10,6701
2020-04-11,6462
2020-04-12,6462
2020-04-13,6274
2020-04-14,6274
2020-04-15,6237
2020-04-16,6237
2020-04-17,6237
2020-04-18,6018
2020-04-19,5839
2020-04-20,5839
2020-04-21,5677
2020-04-22,5516
2020-04-23,5516
2020-04-24,5391
2020-04-25,5391
2020-04-26,5283
2020-04-27,5283
2020-04-28,5278
2020-04-29,5278
2020-04-30,5453
2020-05-01,5453
2020-05-02,5647
2020-05-03,5647
2020-05-04,5903
2020-05-05,5903
2020-05-06,6126
2020-05-07,6126
2020-05-08,6354
2020-05-09,6354
2020-05-10,6356
2020-05-11,6356
2020-05-12,6356
2020-05-13,6614
