date_obj,Armadyl%20kiteshield price
2015-03-26,36886
2015-03-27,36886
2015-03-28,37053
2015-03-29,36425
2015-03-30,35229
2015-03-31,35348
2015-04-01,35348
2015-04-02,35224
2015-04-03,34986
2015-04-04,34914
2015-04-05,34394
2015-04-06,33757
2015-04-07,33729
2015-04-08,33229
2015-04-09,33279
2015-04-10,33013
2015-04-11,32494
2015-04-12,32452
2015-04-13,32533
2015-04-14,33272
2015-04-15,32455
2015-04-16,33536
2015-04-17,34433
2015-04-18,34582
2015-04-19,34478
2015-04-20,34478
2015-04-21,35285
2015-04-22,34792
2015-04-23,34867
2015-04-24,34555
2015-04-25,34474
2015-04-26,33953
2015-04-27,33284
2015-04-28,32402
2015-04-29,32402
2015-04-30,32510
2015-05-01,32940
2015-05-02,32789
2015-05-03,32789
2015-05-04,32795
2015-05-05,32459
2015-05-06,32718
2015-05-07,32550
2015-05-08,32600
2015-05-09,32271
2015-05-10,32492
2015-05-11,32492
2015-05-12,32526
2015-05-13,32329
2015-05-14,32059
2015-05-15,32135
2015-05-16,32048
2015-05-17,33058
2015-05-18,33084
2015-05-19,33507
2015-05-20,33507
2015-05-21,33203
2015-05-22,33335
2015-05-23,33852
2015-05-24,33788
2015-05-25,33700
2015-05-26,33966
2015-05-27,34596
2015-05-28,34835
2015-05-29,34127
2015-05-30,33392
2015-05-31,34336
2015-06-01,34119
2015-06-02,34119
2015-06-03,32925
2015-06-04,32246
2015-06-05,32634
2015-06-06,32815
2015-06-07,33248
2015-06-08,34178
2015-06-09,34681
2015-06-10,34582
2015-06-11,34582
2015-06-12,34681
2015-06-13,34053
2015-06-14,34212
2015-06-15,33449
2015-06-16,33315
2015-06-17,33118
2015-06-18,33016
2015-06-19,33238
2015-06-20,33820
2015-06-21,33820
2015-06-22,33380
2015-06-23,32375
2015-06-24,32435
2015-06-25,32435
2015-06-26,32532
2015-06-27,32532
2015-06-28,32686
2015-06-29,32761
2015-06-30,33170
2015-07-01,33946
2015-07-02,33946
2015-07-03,34033
2015-07-04,34564
2015-07-05,34604
2015-07-06,34887
2015-07-07,34873
2015-07-08,34218
2015-07-09,34218
2015-07-10,33309
2015-07-11,33309
2015-07-12,32680
2015-07-13,32818
2015-07-14,33118
2015-07-15,32947
2015-07-16,33141
2015-07-17,33363
2015-07-18,33363
2015-07-19,33396
2015-07-20,33815
2015-07-21,33815
2015-07-22,34173
2015-07-23,34173
2015-07-24,33880
2015-07-25,33884
2015-07-26,33884
2015-07-27,33766
2015-07-28,34246
2015-07-29,33895
2015-07-30,33895
2015-07-31,33370
2015-08-01,33370
2015-08-02,33245
2015-08-03,34134
2015-08-04,34134
2015-08-05,33984
2015-08-06,35370
2015-08-07,34973
2015-08-08,34838
2015-08-09,34931
2015-08-10,35493
2015-08-11,35580
2015-08-12,35580
2015-08-13,35387
2015-08-14,35997
2015-08-15,35997
2015-08-16,35794
2015-08-17,35692
2015-08-18,35069
2015-08-19,33928
2015-08-20,32798
2015-08-21,32689
2015-08-22,33386
2015-08-23,33386
2015-08-24,33426
2015-08-25,33426
2015-08-26,33813
2015-08-27,34264
2015-08-28,34264
2015-08-29,34286
2015-08-30,34286
2015-08-31,34351
2015-09-01,34876
2015-09-02,34876
2015-09-03,34085
2015-09-04,34546
2015-09-05,34546
2015-09-06,34502
2015-09-07,33705
2015-09-08,34011
2015-09-09,34184
2015-09-10,34315
2015-09-11,33697
2015-09-12,34713
2015-09-13,34478
2015-09-14,34063
2015-09-15,34656
