date_obj,Ring%20of%20pursuit price
2018-01-07,951
2018-01-08,951
2018-01-09,951
2018-01-10,951
2018-01-11,951
2018-01-12,951
2018-01-13,951
2018-01-14,951
2018-01-15,951
2018-01-16,951
2018-01-17,951
2018-01-18,951
2018-01-19,951
2018-01-20,951
2018-01-21,951
2018-01-22,951
2018-01-23,951
2018-01-24,951
2018-01-25,951
2018-01-26,906
2018-01-27,906
2018-01-28,906
2018-01-29,906
2018-01-31,906
2018-02-01,906
2018-02-02,906
2018-02-03,906
2018-02-04,906
2018-02-05,906
2018-02-06,906
2018-02-07,906
2018-02-08,906
2018-02-09,906
2018-02-10,906
2018-02-11,906
2018-02-12,906
2018-02-13,906
2018-02-14,906
2018-02-15,906
2018-02-16,906
2018-02-17,906
2018-02-18,906
2018-02-19,906
2018-02-20,906
2018-02-21,865
2018-02-22,865
2018-02-23,865
2018-02-24,865
2018-02-25,865
2018-02-26,865
2018-02-27,865
2018-02-28,865
2018-03-01,865
2018-03-02,865
2018-03-03,865
2018-03-04,865
2018-03-05,865
2018-03-06,865
2018-03-07,865
2018-03-08,865
2018-03-09,865
2018-03-10,865
2018-03-11,865
2018-03-12,865
2018-03-13,865
2018-03-14,865
2018-03-15,865
2018-03-16,865
2018-03-17,865
2018-03-18,865
2018-03-19,822
2018-03-20,822
2018-03-21,822
2018-03-23,822
2018-03-24,822
2018-03-26,822
2018-03-27,822
2018-03-29,822
2018-03-30,822
2018-03-31,822
2018-04-01,822
2018-04-02,822
2018-04-03,822
2018-04-04,822
2018-04-05,822
2018-04-06,822
2018-04-08,822
2018-04-09,822
2018-04-10,822
2018-04-11,822
2018-04-12,822
2018-04-13,822
2018-04-14,822
2018-04-15,822
2018-04-16,822
2018-04-17,822
2018-04-18,822
2018-04-19,785
2018-04-20,785
2018-04-21,785
2018-04-22,785
2018-04-23,785
2018-04-24,785
2018-04-25,785
2018-04-26,785
2018-04-27,785
2018-04-28,785
2018-04-29,785
2018-04-30,785
2018-05-01,785
2018-05-02,785
2018-05-03,785
2018-05-04,785
2018-05-05,785
2018-05-06,785
2018-05-07,785
2018-05-08,785
2018-05-09,785
2018-05-10,785
2018-05-11,785
2018-05-12,785
2018-05-13,785
2018-05-14,762
2018-05-15,762
2018-05-16,762
2018-05-17,762
2018-05-18,762
2018-05-19,762
2018-05-20,762
2018-05-21,762
2018-05-22,762
2018-05-23,762
2018-05-24,762
2018-05-25,762
2018-05-26,762
2018-05-27,762
2018-05-28,762
2018-05-29,762
2018-05-30,762
2018-05-31,762
2018-06-01,762
2018-06-02,762
2018-06-03,762
2018-06-04,762
2018-06-05,726
2018-06-06,726
2018-06-07,726
2018-06-08,726
2018-06-09,726
2018-06-10,726
2018-06-11,726
2018-06-12,726
2018-06-13,726
2018-06-14,726
2018-06-15,726
2018-06-16,726
2018-06-17,726
2018-06-18,726
2018-06-19,726
2018-06-20,726
2018-06-21,726
2018-06-22,726
2018-06-23,726
2018-06-24,726
2018-06-25,726
2018-06-26,726
2018-06-27,726
2018-06-28,726
2018-06-29,726
2018-06-30,692
2018-07-01,692
2018-07-02,692
2018-07-03,692
2018-07-04,692
2018-07-05,692
2018-07-06,692
2018-07-07,692
2018-07-08,692
2018-07-09,692
2018-07-10,692
2018-07-11,692
2018-07-12,692
2018-07-13,692
2018-07-14,692
2018-07-15,692
2018-07-16,692
2018-07-17,692
2018-07-18,692
2018-07-19,692
2018-07-20,692
2018-07-21,692
2018-07-22,692
2018-07-23,692
2018-07-24,692
2018-07-25,692
2018-07-26,692
2018-07-27,692
2018-07-28,692
2018-07-29,692
2018-07-30,660
2018-07-31,660
2018-08-01,660
2018-08-02,660
2018-08-03,660
2018-08-04,660
2018-08-05,660
2018-08-06,660
2018-08-07,660
2018-08-08,660
2018-08-09,660
2018-08-10,660
2018-08-11,660
2018-08-12,660
2018-08-14,660
2018-08-16,631
2018-08-17,631
2018-08-18,631
2018-08-19,631
2018-08-20,631
2018-08-21,631
2018-08-22,631
2018-08-23,631
2018-08-24,622
2018-08-25,622
2018-08-26,622
2018-08-27,622
2018-08-28,622
2018-08-29,618
2018-08-30,618
2018-08-31,618
2018-09-01,618
2018-09-02,628
2018-09-03,628
2018-09-04,628
2018-09-05,610
2018-09-06,610
2018-09-07,610
2018-09-08,610
2018-09-09,616
2018-09-10,616
2018-09-11,616
2018-09-12,616
2018-09-13,635
2018-09-14,635
2018-09-15,635
2018-09-16,635
2018-09-17,635
2018-09-18,635
2018-09-19,635
2018-09-20,635
2018-09-21,655
2018-09-22,655
2018-09-23,655
2018-09-24,653
2018-09-25,653
2018-09-26,653
2018-09-27,653
2018-09-28,673
2018-09-29,673
2018-09-30,673
2018-10-02,683
2018-10-03,683
2018-10-04,661
2018-10-05,661
2018-10-06,661
2018-10-07,655
2018-10-08,655
2018-10-09,655
2018-10-10,667
2018-10-11,667
2018-10-12,667
2018-10-13,670
2018-10-14,670
2018-10-15,670
2018-10-16,672
2018-10-17,672
2018-10-18,672
2018-10-19,654
2018-10-20,654
2018-10-21,654
2018-10-22,675
2018-10-23,675
2018-10-24,675
2018-10-25,675
2018-10-26,679
2018-10-27,679
2018-10-28,688
2018-10-29,688
2018-10-30,688
2018-10-31,693
2018-11-01,693
2018-11-03,685
2018-11-04,685
2018-11-05,705
2018-11-06,705
2018-11-07,705
2018-11-08,710
2018-11-09,710
2018-11-10,688
2018-11-11,688
2018-11-12,680
2018-11-13,680
2018-11-14,670
2018-11-15,670
2018-11-16,658
2018-11-17,658
2018-11-18,660
2018-11-19,660
2018-11-20,667
2018-11-21,667
2018-11-22,686
2018-11-23,686
2018-11-24,684
2018-11-25,671
2018-11-26,671
2018-11-27,682
2018-11-28,682
2018-11-29,691
2018-12-01,697
2018-12-02,697
2018-12-03,703
2018-12-04,703
2018-12-05,717
2018-12-07,726
2018-12-09,712
2018-12-10,733
2018-12-11,733
2018-12-12,731
2018-12-13,731
2018-12-14,723
2018-12-15,723
2018-12-16,694
2018-12-17,694
2018-12-18,708
2018-12-19,708
2018-12-20,710
2018-12-21,710
2018-12-22,703
2018-12-23,697
2018-12-24,697
2018-12-25,678
