date_obj,Unstrung%20heavy%20ballista price
2016-05-05,60000000
2016-05-06,60000000
2016-05-07,60000000
2016-05-08,60000000
2016-05-09,60000000
2016-05-10,60000000
2016-05-11,60000000
2016-05-12,60000000
2016-05-13,60000000
2016-05-14,60000000
2016-05-15,60000000
2016-05-16,60000000
2016-05-17,60000000
2016-05-18,11750000
2016-05-19,11750000
2016-05-22,11750000
2016-05-23,11750000
2016-05-24,11750000
2016-05-25,11750000
2016-05-26,11750000
2016-05-27,11750000
2016-05-28,11750000
2016-05-29,11750000
2016-05-30,11750000
2016-05-31,11750000
2016-06-01,11750000
2016-06-02,11750000
2016-06-03,11750000
2016-06-04,11750000
2016-06-05,11750000
2016-06-06,11750000
2016-06-07,11750000
2016-06-08,11750000
2016-06-09,11750000
2016-06-10,11750000
2016-06-11,11750000
2016-06-12,11750000
2016-06-13,11750000
2016-06-14,11750000
2016-06-15,11750000
2016-06-16,11750000
2016-06-17,11750000
2016-06-18,11750000
2016-06-19,11750000
2016-06-20,11750000
2016-06-21,11750000
2016-06-22,11750000
2016-06-23,11750000
2016-06-24,11750000
2016-06-25,11750000
2016-06-26,11750000
2016-06-27,11750000
2016-06-28,11750000
2016-06-29,11750000
2016-06-30,11750000
2016-07-01,11750000
2016-07-02,11750000
2016-07-03,11750000
2016-07-04,11750000
2016-07-05,11750000
2016-07-06,11750000
2016-07-07,11750000
2016-07-08,11750000
2016-07-09,11750000
2016-07-10,11750000
2016-07-11,11750000
2016-07-12,11750000
2016-07-13,11750000
2016-07-14,11750000
2016-07-15,11750000
2016-07-16,11750000
2016-07-17,11750000
2016-07-18,11750000
2016-07-24,11750000
2016-07-25,11750000
2016-07-26,11750000
2016-07-27,11750000
2016-07-28,11750000
2016-07-29,11750000
2016-07-30,11750000
2016-07-31,11750000
2016-08-01,11750000
2016-08-02,11750000
2016-08-03,11750000
2016-08-04,11750000
2016-08-05,11750000
2016-08-06,11750000
2016-08-07,11750000
2016-08-08,11750000
2016-08-09,11750000
2016-08-10,11750000
2016-08-11,11750000
2016-08-12,11750000
2016-08-13,11750000
2016-08-14,11750000
2016-08-15,11750000
2016-08-16,11750000
2016-08-17,11750000
2016-08-18,11750000
2016-08-19,11750000
2016-08-20,11750000
2016-08-21,11750000
2016-08-22,11750000
2016-08-23,11750000
2016-08-24,11750000
2016-08-25,11750000
2016-08-26,11750000
2016-08-28,11750000
2016-08-31,11750000
2016-09-01,11750000
2016-09-02,11750000
2016-09-03,11750000
2016-09-04,11750000
2016-09-05,11750000
2016-09-06,11750000
2016-09-07,11750000
2016-09-08,11750000
2016-09-09,11750000
2016-09-10,11750000
2016-09-11,11750000
2016-09-12,11750000
2016-09-13,11750000
2016-09-14,11750000
2016-09-15,11750000
2016-09-16,11750000
2016-09-17,11750000
2016-09-18,11750000
2016-09-19,11750000
2016-09-20,11750000
2016-09-21,11750000
2016-09-22,11750000
2016-09-23,11750000
2016-09-24,11750000
2016-09-25,11750000
2016-09-26,11750000
2016-09-27,11750000
2016-09-28,11750000
2016-09-29,11750000
2016-09-30,11750000
2016-10-01,11750000
2016-10-02,11750000
2016-10-03,11750000
2016-10-04,11750000
2016-10-05,11750000
2016-10-06,11750000
2016-10-07,11750000
2016-10-08,11750000
2016-10-09,11750000
2016-10-10,11750000
2016-10-11,11215397
2016-10-12,11215397
2016-10-13,11215397
2016-10-14,11215397
2016-10-15,11215397
2016-10-16,11215397
2016-10-17,11215397
2016-10-18,11215397
2016-10-19,11215397
2016-10-20,11215397
2016-10-21,11215397
2016-10-22,11215397
2016-10-23,11215397
2016-10-24,11215397
2016-10-25,11215397
2016-10-26,11215397
2016-10-27,11215397
2016-10-28,11215397
2016-10-29,11215397
2016-10-30,11215397
2016-10-31,11215397
2016-11-01,11215397
2016-11-02,11215397
2016-11-03,11215397
2016-11-04,11215397
2016-11-05,11215397
2016-11-06,11215397
2016-11-07,11215397
2016-11-08,11215397
2016-11-09,11215397
2016-11-10,11215397
2016-11-11,11215397
2016-11-12,11215397
2016-11-13,11215397
2016-11-14,10658240
2016-12-08,8269764
2016-12-09,7862802
2016-12-10,7862802
2016-12-11,7862802
2016-12-12,7862802
2016-12-13,7474455
2016-12-14,7474455
2016-12-15,7474455
2016-12-16,7103477
2016-12-17,7103477
2016-12-18,7103477
2016-12-19,7103477
2016-12-20,6750936
2016-12-21,6750936
2016-12-22,6750936
2016-12-23,6750936
2016-12-24,6750936
2016-12-25,6417968
2016-12-26,6417968
2016-12-27,6417968
2016-12-28,6103337
2016-12-29,6103337
2016-12-30,6103337
2016-12-31,6103337
2017-01-01,6103337
2017-01-02,5804403
2017-01-03,5804403
2017-01-04,5804403
2017-01-05,5804403
2017-01-06,5516621
2017-01-07,5516621
2017-01-08,5516621
2017-01-09,5516621
2017-01-10,5246345
2017-01-11,5246345
2017-01-12,5246345
2017-01-13,5246345
2017-01-14,5246345
2017-01-15,4988843
2017-01-16,4988843
2017-01-17,4988843
2017-01-18,4742918
2017-01-19,4742918
2017-01-20,4742918
2017-01-21,4742918
2017-01-22,4742918
2017-01-27,4283784
2017-01-28,4283784
2017-01-29,4283784
2017-01-30,4283784
2017-01-31,4072383
2017-02-01,298999
2017-02-02,298999
2017-02-03,298999
2017-02-04,298999
2017-02-05,298999
2017-02-06,298999
2017-02-07,298999
2017-02-08,298999
2017-02-09,298999
2017-02-10,298999
2017-02-11,298999
2017-02-12,298999
2017-02-13,298999
2017-02-14,298999
2017-02-15,298999
2017-02-16,298999
