date_obj,Asgarnian%20ale price
2016-03-19,212
2016-03-20,222
2016-03-21,227
2016-03-22,231
2016-03-23,223
2016-03-24,217
2016-03-25,218
2016-03-26,212
2016-03-27,207
2016-03-28,210
2016-03-29,221
2016-03-30,221
2016-03-31,223
2016-04-01,230
2016-04-02,230
2016-04-03,238
2016-04-04,228
2016-04-05,217
2016-04-06,210
2016-04-07,199
2016-04-08,189
2016-04-09,179
2016-04-10,170
2016-04-11,170
2016-04-12,161
2016-04-13,152
2016-04-14,144
2016-04-15,136
2016-04-16,129
2016-04-17,122
2016-04-18,115
2016-04-19,109
2016-04-20,108
2016-04-21,109
2016-04-22,109
2016-04-23,108
2016-04-24,110
2016-04-25,116
2016-04-26,119
2016-04-27,124
2016-04-28,131
2016-04-29,134
2016-04-30,132
2016-05-01,126
2016-05-02,126
2016-05-03,130
2016-05-04,134
2016-05-05,136
2016-05-06,136
2016-05-07,140
2016-05-08,144
2016-05-09,139
2016-05-10,142
2016-05-11,140
2016-05-12,142
2016-05-13,145
2016-05-14,148
2016-05-15,149
2016-05-16,153
2016-05-17,154
2016-05-18,148
2016-05-19,140
2016-05-22,128
2016-05-23,129
2016-05-24,129
2016-05-25,124
2016-05-26,126
2016-05-27,128
2016-05-28,135
2016-05-29,136
2016-05-30,130
2016-05-31,123
2016-06-01,116
2016-06-02,120
2016-06-03,124
2016-06-04,129
2016-06-05,131
2016-06-06,132
2016-06-07,125
2016-06-08,120
2016-06-09,118
2016-06-10,118
2016-06-11,121
2016-06-12,123
2016-06-13,116
2016-06-14,111
2016-06-15,111
2016-06-16,106
2016-06-17,111
2016-06-18,107
2016-06-19,105
2016-06-20,110
2016-06-21,113
2016-06-22,115
2016-06-23,117
2016-06-24,120
2016-06-25,123
2016-06-26,128
2016-06-27,132
2016-06-28,134
2016-06-29,137
2016-06-30,141
2016-07-01,148
2016-07-02,154
2016-07-03,159
2016-07-04,164
2016-07-05,162
2016-07-06,163
2016-07-07,167
2016-07-08,175
2016-07-09,181
2016-07-10,177
2016-07-11,179
2016-07-12,173
2016-07-13,175
2016-07-14,180
2016-07-15,178
2016-07-16,181
2016-07-17,178
2016-07-18,179
2016-07-23,188
2016-07-24,187
2016-07-25,181
2016-07-26,177
2016-07-27,174
2016-07-28,173
2016-07-29,173
2016-07-30,165
2016-07-31,165
2016-08-01,160
2016-08-02,159
2016-08-03,151
2016-08-04,148
2016-08-05,144
2016-08-06,143
2016-08-07,141
2016-08-08,138
2016-08-09,138
2016-08-10,134
2016-08-11,133
2016-08-12,132
2016-08-13,132
2016-08-14,129
2016-08-15,126
2016-08-16,123
2016-08-17,122
2016-08-18,120
2016-08-19,118
2016-08-20,118
2016-08-21,124
2016-08-22,127
2016-08-23,131
2016-08-24,134
2016-08-25,137
2016-08-26,137
2016-08-28,126
2016-08-31,128
2016-09-01,124
2016-09-02,124
2016-09-03,117
2016-09-04,111
2016-09-05,105
2016-09-06,100
2016-09-07,100
2016-09-08,100
2016-09-09,99
2016-09-10,99
2016-09-11,99
2016-09-12,95
2016-09-13,91
2016-09-14,91
2016-09-15,88
2016-09-16,88
2016-09-17,91
2016-09-18,95
2016-09-19,92
2016-09-20,92
2016-09-21,87
2016-09-22,82
2016-09-23,77
2016-09-24,77
2016-09-25,73
2016-09-26,73
2016-09-27,69
2016-09-28,72
2016-09-29,72
2016-09-30,75
2016-10-01,78
2016-10-02,78
2016-10-03,82
2016-10-04,83
2016-10-05,87
2016-10-06,89
2016-10-07,89
2016-10-08,86
2016-10-09,81
2016-10-10,76
2016-10-11,74
2016-10-12,77
2016-10-13,80
2016-10-14,84
2016-10-15,89
2016-10-16,94
2016-10-17,99
2016-10-18,103
