date_obj,Blue%20d'hide%20body price
2015-03-26,5316
2015-03-27,5316
2015-03-28,5345
2015-03-29,5362
2015-03-30,5370
2015-03-31,5324
2015-04-01,5352
2015-04-02,5321
2015-04-03,5345
2015-04-04,5353
2015-04-05,5300
2015-04-06,5356
2015-04-07,5407
2015-04-08,5340
2015-04-09,5347
2015-04-10,5327
2015-04-11,5328
2015-04-12,5334
2015-04-13,5364
2015-04-14,5333
2015-04-15,5370
2015-04-16,5358
2015-04-17,5404
2015-04-18,5333
2015-04-19,5300
2015-04-20,5321
2015-04-21,5340
2015-04-22,5313
2015-04-23,5325
2015-04-24,5301
2015-04-25,5273
2015-04-26,5310
2015-04-27,5352
2015-04-28,5350
2015-04-29,5350
2015-04-30,5352
2015-05-01,5353
2015-05-02,5333
2015-05-03,5331
2015-05-04,5335
2015-05-05,5369
2015-05-06,5362
2015-05-07,5330
2015-05-08,5320
2015-05-09,5323
2015-05-10,5301
2015-05-11,5352
2015-05-12,5380
2015-05-13,5369
2015-05-14,5367
2015-05-15,5287
2015-05-16,5267
2015-05-17,5283
2015-05-18,5326
2015-05-19,5361
2015-05-20,5361
2015-05-21,5292
2015-05-22,5347
2015-05-23,5391
2015-05-24,5395
2015-05-25,5373
2015-05-26,5322
2015-05-27,5362
2015-05-28,5341
2015-05-29,5306
2015-05-30,5280
2015-05-31,5348
2015-06-01,5268
2015-06-02,5302
2015-06-03,5265
2015-06-04,5356
2015-06-05,5428
2015-06-06,5345
2015-06-07,5339
2015-06-08,5408
2015-06-09,5398
2015-06-10,5387
2015-06-11,5380
2015-06-12,5298
2015-06-13,5370
2015-06-14,5314
2015-06-15,5345
2015-06-16,5348
2015-06-17,5349
2015-06-18,5368
2015-06-19,5355
2015-06-20,5400
2015-06-21,5347
2015-06-22,5332
2015-06-23,5345
2015-06-24,5324
2015-06-25,5297
2015-06-26,5323
2015-06-27,5250
2015-06-28,5325
2015-06-29,5352
2015-06-30,5372
2015-07-01,5345
2015-07-02,5355
2015-07-03,5349
2015-07-04,5318
2015-07-05,5339
2015-07-06,5359
2015-07-07,5364
2015-07-08,5339
2015-07-09,5345
2015-07-10,5365
2015-07-11,5346
2015-07-12,5358
2015-07-13,5287
2015-07-14,5283
2015-07-15,5324
2015-07-16,5311
2015-07-17,5299
2015-07-18,5283
2015-07-19,5296
2015-07-20,5335
2015-07-21,5342
2015-07-22,5328
2015-07-23,5358
2015-07-24,5349
2015-07-25,5364
2015-07-26,5353
2015-07-27,5337
2015-07-28,5324
2015-07-29,5346
2015-07-30,5378
