date_obj,Mystic%20boots price
2015-03-26,7549
2015-03-27,7549
2015-03-28,7803
2015-03-29,7975
2015-03-30,8374
2015-03-31,8668
2015-04-01,8668
2015-04-02,8807
2015-04-03,8690
2015-04-04,8255
2015-04-05,7842
2015-04-06,7671
2015-04-07,7570
2015-04-08,7570
2015-04-09,7323
2015-04-10,7130
2015-04-11,6995
2015-04-12,6899
2015-04-13,6730
2015-04-14,6730
2015-04-15,6676
2015-04-16,6674
2015-04-17,6791
2015-04-18,6777
2015-04-19,6774
2015-04-20,6774
2015-04-21,6936
2015-04-22,6936
2015-04-23,7170
2015-04-24,7300
2015-04-25,7392
2015-04-26,7473
2015-04-27,7556
2015-04-28,7363
2015-04-29,7363
2015-04-30,7257
2015-05-01,7340
2015-05-02,7435
2015-05-03,7435
2015-05-04,7275
2015-05-05,7408
2015-05-06,7504
2015-05-07,7652
2015-05-08,7325
2015-05-09,7659
2015-05-10,7823
2015-05-11,7823
2015-05-12,7720
2015-05-13,7720
2015-05-14,7398
2015-05-15,7185
2015-05-16,7185
2015-05-17,6966
2015-05-18,7096
2015-05-19,7295
2015-05-20,7295
2015-05-21,7277
2015-05-22,7009
2015-05-23,6803
2015-05-24,6744
2015-05-25,6685
2015-05-26,6507
2015-05-27,6578
2015-05-28,6592
2015-05-29,6620
2015-05-30,6705
2015-05-31,6716
2015-06-01,6618
2015-06-02,6618
2015-06-03,6458
2015-06-04,6422
2015-06-05,6460
2015-06-06,6336
2015-06-07,6554
2015-06-08,6795
2015-06-09,7045
2015-06-10,7090
2015-06-11,6923
2015-06-12,6902
2015-06-13,7149
2015-06-14,7160
2015-06-15,7173
2015-06-16,7423
2015-06-17,7404
2015-06-18,7635
2015-06-19,7786
2015-06-20,8138
2015-06-21,8377
2015-06-22,8396
2015-06-23,8057
2015-06-24,8011
2015-06-25,8011
2015-06-26,7960
2015-06-27,7960
2015-06-28,8018
2015-06-29,8201
2015-06-30,8101
2015-07-01,8065
2015-07-02,8065
2015-07-03,7998
2015-07-04,7736
2015-07-05,7359
2015-07-06,7001
2015-07-07,6735
2015-07-08,6822
2015-07-09,6822
2015-07-10,6803
2015-07-11,6828
2015-07-12,7039
2015-07-13,6928
2015-07-14,6647
2015-07-15,6447
2015-07-16,6329
2015-07-17,6268
2015-07-18,6104
2015-07-19,6404
2015-07-20,6715
2015-07-21,7040
2015-07-22,7392
2015-07-23,7392
2015-07-24,7375
2015-07-25,7446
2015-07-26,7368
2015-07-27,7339
2015-07-28,7339
2015-07-29,7318
2015-07-30,7397
2015-07-31,7426
2015-08-01,7648
2015-08-02,7716
2015-08-03,7640
2015-08-04,7629
2015-08-05,7757
2015-08-06,7799
2015-08-07,7735
2015-08-08,7908
2015-08-09,7732
2015-08-10,7790
2015-08-11,7978
2015-08-12,7978
2015-08-13,8232
2015-08-14,8279
2015-08-15,8279
2015-08-16,8344
2015-08-17,8351
2015-08-18,8428
2015-08-19,8223
2015-08-20,7900
2015-08-21,7573
2015-08-22,7246
2015-08-23,7139
2015-08-24,7070
2015-08-25,7070
2015-08-26,7149
2015-08-27,7091
2015-08-28,7044
2015-08-29,6919
2015-08-30,6851
2015-08-31,6876
2015-09-01,6779
2015-09-02,6779
2015-09-03,6642
2015-09-04,6447
2015-09-05,6447
2015-09-06,6268
2015-09-07,6197
2015-09-08,6055
2015-09-09,6016
2015-09-10,6001
2015-09-11,6002
2015-09-12,6034
2015-09-13,6224
2015-09-14,6536
2015-09-15,6856
2015-09-16,6856
2015-09-17,7191
2015-09-18,7191
2015-09-19,7473
2015-09-20,7343
2015-09-21,7201
2015-09-22,7109
2015-09-23,7230
2015-09-24,7230
2015-09-25,6927
2015-09-27,6971
2015-09-28,6971
2015-09-29,6964
2015-09-30,6910
2015-10-05,8294
2015-10-06,8709
2015-10-07,9122
2015-10-08,9430
2015-10-09,9531
2015-10-10,9531
2015-10-11,9924
2015-10-12,10014
2015-10-13,10014
2015-10-14,9836
2015-10-15,9382
2015-10-16,9018
2015-10-17,9018
2015-10-18,8621
2015-10-19,8268
2015-10-20,8094
2015-10-22,7962
2015-10-23,7609
2015-10-24,7228
2015-10-25,6895
2015-10-26,6753
2015-10-27,6753
2015-10-29,7007
2015-10-30,7237
2015-10-31,7416
2015-11-01,7416
2015-11-02,7231
2015-11-03,7059
2015-11-04,7247
2015-11-05,7071
2015-11-06,7207
2015-11-07,7267
2015-11-08,7267
2015-11-09,7215
2015-11-10,7139
2015-11-11,7136
2015-11-12,7006
2015-11-13,7050
2015-11-14,7014
2015-11-15,6966
2015-11-16,6890
2015-11-17,7091
2015-11-18,7219
2015-11-19,7419
2015-11-20,7790
2015-11-21,7790
2015-11-22,8095
2015-11-23,8095
2015-11-24,8408
2015-11-25,8573
2015-11-26,8573
2015-11-27,8519
2015-11-28,8549
2015-11-29,8740
2015-11-30,9090
2015-12-01,9410
2015-12-02,9881
2015-12-03,10025
2015-12-04,10135
2015-12-05,10139
2015-12-06,9805
2015-12-07,9321
2015-12-08,8856
2015-12-09,8413
2015-12-10,8123
2015-12-11,8309
2015-12-12,8365
2015-12-13,8591
2015-12-14,8783
2015-12-15,8969
2015-12-16,9201
2015-12-17,9010
2015-12-18,9268
2015-12-19,9580
2015-12-20,9864
2015-12-21,10116
2015-12-22,10298
2015-12-23,10153
2015-12-24,10587
2015-12-25,10566
2015-12-26,10572
2015-12-27,10724
2015-12-28,10550
2015-12-29,10753
2015-12-30,10445
2015-12-31,9984
2016-01-01,9537
2016-01-02,9220
2016-01-03,8834
2016-01-04,8636
2016-01-05,8453
2016-01-06,8298
2016-01-07,8565
2016-01-08,8377
2016-01-09,8344
2016-01-10,8378
2016-01-11,8394
2016-01-12,8330
2016-01-13,8165
2016-01-14,7974
2016-01-15,7773
2016-01-16,7657
2016-01-17,7424
2016-01-18,7380
2016-01-19,7550
2016-01-20,7558
2016-01-21,7650
2016-01-22,7601
2016-01-23,7548
2016-01-24,7265
2016-01-25,6967
2016-01-26,6801
2016-01-27,6687
2016-01-28,6687
2016-01-29,6804
2016-01-30,6804
2016-01-31,6798
2016-02-01,6786
2016-02-02,6847
2016-02-03,6929
2016-02-04,7160
2016-02-05,7098
2016-02-06,7161
2016-02-07,7159
2016-02-08,7337
2016-02-09,7449
2016-02-10,7720
2016-02-11,7893
2016-02-12,7951
2016-02-13,8108
2016-02-14,8466
2016-02-15,8237
2016-02-16,7894
2016-02-17,7738
2016-02-18,7595
2016-02-19,7473
2016-02-20,7360
2016-02-21,7337
2016-02-22,7337
2016-02-23,7175
2016-02-24,7019
2016-02-25,7117
2016-02-26,7117
2016-02-27,6883
2016-02-28,6576
2016-02-29,6350
2016-03-01,6364
2016-03-02,6644
2016-03-03,6821
2016-03-04,6915
2016-03-05,7160
2016-03-06,7131
