date_obj,Rune%20scimitar price
2015-03-26,18558
2015-03-27,18486
2015-03-28,18591
2015-03-29,18373
2015-03-30,17649
2015-03-31,17052
2015-04-01,16531
2015-04-02,16237
2015-04-03,15904
2015-04-04,15784
2015-04-05,15569
2015-04-06,15624
2015-04-07,15974
2015-04-08,16327
2015-04-09,16631
2015-04-10,16991
2015-04-11,17010
2015-04-12,16881
2015-04-13,16432
2015-04-14,16338
2015-04-15,16273
2015-04-16,16233
2015-04-17,16341
2015-04-18,16379
2015-04-19,16320
2015-04-20,16605
2015-04-21,16607
2015-04-22,16639
2015-04-23,16622
2015-04-24,16693
2015-04-25,17125
2015-04-26,17469
2015-04-27,17254
2015-04-28,16909
2015-04-29,16933
2015-04-30,16884
2015-05-01,16783
2015-05-02,16772
2015-05-03,16546
2015-05-04,16497
2015-05-05,16465
2015-05-06,16322
2015-05-07,16127
2015-05-08,16222
2015-05-09,16649
2015-05-10,16573
2015-05-11,16334
2015-05-12,16275
2015-05-13,16449
2015-05-14,16579
2015-05-15,16751
2015-05-16,17124
2015-05-17,17085
2015-05-18,16781
2015-05-19,16655
2015-05-20,16525
2015-05-21,16470
2015-05-22,16641
2015-05-23,16959
2015-05-24,16894
2015-05-25,16611
2015-05-26,16441
2015-05-27,16282
2015-05-28,16184
2015-05-29,16067
2015-05-30,16123
2015-05-31,16021
2015-06-01,16170
2015-06-02,16029
2015-06-03,15958
2015-06-04,16147
2015-06-05,16192
2015-06-06,16204
2015-06-07,16368
2015-06-08,16303
2015-06-09,16282
2015-06-10,16528
2015-06-11,16991
2015-06-12,16701
2015-06-13,16720
2015-06-14,16960
2015-06-15,16824
2015-06-16,16678
2015-06-17,16488
2015-06-18,16450
2015-06-19,16361
2015-06-20,16326
2015-06-21,16315
2015-06-22,16270
2015-06-23,16298
2015-06-24,16376
2015-06-25,16348
2015-06-26,16359
2015-06-27,16443
2015-06-28,16408
2015-06-29,16404
2015-06-30,16395
2015-07-01,16527
2015-07-02,16592
2015-07-03,16577
2015-07-04,16503
2015-07-05,16403
2015-07-06,16410
2015-07-07,16426
2015-07-08,16454
2015-07-09,16596
2015-07-10,16858
2015-07-11,17165
2015-07-12,17531
2015-07-13,17453
2015-07-14,17639
2015-07-15,17648
2015-07-16,17618
2015-07-17,17610
2015-07-18,17594
2015-07-19,17401
2015-07-20,17198
2015-07-21,17169
2015-07-22,17264
2015-07-23,17263
2015-07-24,17304
2015-07-25,17089
2015-07-26,16850
2015-07-27,16632
2015-07-28,16396
2015-07-29,16407
2015-07-30,16503
2015-07-31,16369
2015-08-01,16349
2015-08-02,16458
2015-08-03,16374
2015-08-04,16411
2015-08-05,16397
2015-08-06,16362
2015-08-07,16336
2015-08-08,16384
2015-08-09,16448
2015-08-10,16390
2015-08-11,16362
2015-08-12,16494
2015-08-13,16419
2015-08-14,16431
2015-08-15,16688
2015-08-16,16687
2015-08-17,16695
2015-08-18,16956
2015-08-19,17078
2015-08-20,16968
2015-08-21,17019
2015-08-22,16952
2015-08-23,16870
2015-08-24,16717
2015-08-25,16543
2015-08-26,16408
2015-08-27,16232
2015-08-28,16161
2015-08-29,16218
2015-08-30,16290
2015-08-31,16406
2015-09-01,16603
2015-09-02,16613
2015-09-03,16823
2015-09-04,16837
2015-09-05,17047
2015-09-06,16944
2015-09-07,16841
2015-09-08,16834
2015-09-09,16817
2015-09-10,16704
2015-09-11,16549
2015-09-12,16504
2015-09-13,16415
2015-09-14,16360
2015-09-15,16419
2015-09-16,16993
2015-09-17,17716
2015-09-18,17801
2015-09-19,17869
2015-09-20,16997
2015-09-21,16427
2015-09-22,16073
2015-09-23,15643
2015-09-24,15376
2015-09-25,15463
2015-09-27,15869
2015-09-28,15980
2015-09-29,16010
2015-09-30,15936
2015-10-05,15530
2015-10-06,15747
2015-10-07,15876
2015-10-08,16237
2015-10-09,16213
2015-10-10,16485
2015-10-11,16154
2015-10-12,15898
2015-10-13,15861
2015-10-14,16195
2015-10-15,16562
2015-10-16,17028
2015-10-17,16994
2015-10-18,16759
2015-10-19,16571
2015-10-20,16950
2015-10-22,17486
2015-10-23,17176
2015-10-24,17055
2015-10-25,16802
2015-10-26,16525
2015-10-27,16418
2015-10-29,16231
2015-10-30,16644
2015-10-31,16813
2015-11-01,17315
2015-11-02,17162
2015-11-03,16929
2015-11-04,16792
2015-11-05,16714
2015-11-06,16756
2015-11-07,17008
2015-11-08,16983
2015-11-09,16847
2015-11-10,16868
2015-11-11,17017
2015-11-12,16889
2015-11-13,16849
2015-11-14,16883
2015-11-15,16832
2015-11-16,16691
2015-11-17,16693
2015-11-18,16532
2015-11-19,16610
2015-11-20,16761
2015-11-21,17049
2015-11-22,16923
2015-11-23,16716
2015-11-24,16637
2015-11-25,16728
2015-11-26,16671
2015-11-27,16640
2015-11-28,16577
2015-11-29,16433
2015-11-30,16428
2015-12-01,16446
2015-12-02,16425
2015-12-03,16454
2015-12-04,16434
2015-12-05,16396
2015-12-06,16368
2015-12-07,16263
2015-12-08,16198
2015-12-09,16270
2015-12-10,16397
2015-12-11,16573
2015-12-12,16651
2015-12-13,16721
2015-12-14,16737
2015-12-15,16956
2015-12-16,16822
2015-12-17,16736
2015-12-18,16682
2015-12-19,16946
2015-12-20,17085
2015-12-21,17144
2015-12-22,17058
2015-12-23,17210
2015-12-24,17141
2015-12-25,17062
2015-12-26,16865
2015-12-27,16622
2015-12-28,16362
2015-12-29,16278
2015-12-30,16383
2015-12-31,16546
2016-01-01,16316
2016-01-02,16253
2016-01-03,16395
2016-01-04,16327
2016-01-05,16287
2016-01-06,16291
2016-01-07,16407
2016-01-08,16559
2016-01-09,16589
2016-01-10,16581
2016-01-11,16557
2016-01-12,16640
2016-01-13,16626
2016-01-14,16555
2016-01-15,16497
2016-01-16,16358
2016-01-17,16216
2016-01-18,16094
2016-01-19,16063
2016-01-20,16202
2016-01-21,16326
2016-01-22,16382
2016-01-23,16412
2016-01-24,16557
2016-01-25,16572
2016-01-26,16554
2016-01-27,16444
2016-01-28,16304
2016-01-29,16228
2016-01-30,16179
2016-01-31,16307
2016-02-01,16453
2016-02-02,16653
2016-02-03,16669
2016-02-04,16605
2016-02-05,16573
2016-02-06,16378
2016-02-07,16219
2016-02-08,16112
2016-02-09,16018
2016-02-10,15979
2016-02-11,15962
2016-02-12,15896
2016-02-13,16048
2016-02-14,16034
2016-02-15,16004
2016-02-16,15988
2016-02-17,16068
2016-02-18,16055
2016-02-19,16015
2016-02-20,16082
2016-02-21,16089
2016-02-22,16212
2016-02-23,16276
2016-02-24,16323
2016-02-25,16417
2016-02-26,16611
2016-02-27,16644
2016-02-28,16612
2016-02-29,16434
2016-03-01,16397
2016-03-02,16320
2016-03-03,16236
2016-03-04,16215
2016-03-05,16261
2016-03-06,16203
2016-03-07,16251
2016-03-08,16191
2016-03-09,16114
2016-03-10,16170
2016-03-11,16146
2016-03-12,16151
2016-03-13,16189
2016-03-14,16250
2016-03-15,16368
2016-03-16,16400
2016-03-17,16507
2016-03-18,16730
2016-03-19,16967
2016-03-20,16669
2016-03-21,16559
2016-03-22,16440
2016-03-23,16417
2016-03-24,16324
2016-03-25,16291
2016-03-26,16294
2016-03-27,16135
2016-03-28,16089
2016-03-29,15991
2016-03-30,15901
2016-03-31,15995
2016-04-01,16010
2016-04-02,16126
2016-04-03,16175
2016-04-04,16118
2016-04-05,16078
2016-04-06,16086
2016-04-07,16107
2016-04-08,16187
2016-04-09,16167
2016-04-10,16235
2016-04-11,16201
2016-04-12,16209
2016-04-13,16294
2016-04-14,16293
2016-04-15,16353
2016-04-16,16423
2016-04-17,16323
2016-04-18,16330
2016-04-19,16223
2016-04-20,16225
2016-04-21,16215
2016-04-22,16253
2016-04-23,16359
2016-04-24,16206
2016-04-25,16201
2016-04-26,16243
2016-04-27,16277
2016-04-28,16294
2016-04-29,16217
2016-04-30,16300
2016-05-01,16322
2016-05-02,16298
2016-05-03,16358
2016-05-04,16392
