date_obj,Mystic%20boots%20(light) price
2015-03-04,9121
2015-03-05,8711
2015-03-06,8711
2015-03-07,8344
2015-03-08,7969
2015-03-09,7969
2015-03-10,7611
2015-03-11,7611
2015-03-12,7249
2015-03-13,7249
2015-03-14,6886
2015-03-15,6886
2015-03-16,6541
2015-03-17,6541
2015-03-18,6213
2015-03-19,6213
2015-03-20,6002
2015-03-21,6002
2015-03-22,5878
2015-03-23,5878
2015-03-24,5914
2015-03-25,5914
2015-03-26,5997
2015-03-27,5997
2015-03-28,6138
2015-03-29,6138
2015-03-30,6146
2015-03-31,6146
2015-04-01,6432
2015-04-02,6432
2015-04-03,6623
2015-04-04,6623
2015-04-05,6453
2015-04-06,6453
2015-04-07,6341
2015-04-08,6341
2015-04-09,6233
2015-04-10,6233
2015-04-11,6134
2015-04-12,6134
2015-04-13,5928
2015-04-14,5928
2015-04-15,5865
2015-04-16,5865
2015-04-17,5945
2015-04-18,5945
2015-04-19,5859
2015-04-20,5859
2015-04-21,6010
2015-04-22,6010
2015-04-23,6220
2015-04-24,6220
2015-04-25,6447
2015-04-26,6447
2015-04-27,6513
2015-04-28,6513
2015-04-29,6444
2015-04-30,6444
2015-05-01,6361
2015-05-02,6361
2015-05-03,6311
2015-05-04,6311
2015-05-05,6338
2015-05-06,6338
2015-05-07,6428
2015-05-08,6428
2015-05-09,6491
2015-05-10,6491
2015-05-11,6480
2015-05-12,6480
2015-05-13,6602
2015-05-14,6602
2015-05-15,6747
2015-05-16,6747
2015-05-17,6609
2015-05-18,6609
2015-05-19,6486
2015-05-20,6486
2015-05-21,6486
2015-05-22,6324
2015-05-23,6324
2015-05-24,6289
2015-05-25,6289
2015-05-26,6264
2015-05-27,6264
2015-05-28,6524
2015-05-29,6524
2015-05-30,6675
2015-05-31,6675
2015-06-01,6608
2015-06-02,6608
2015-06-03,6468
2015-06-04,6468
2015-06-05,6383
2015-06-06,6551
2015-06-07,6551
2015-06-08,6760
2015-06-09,6909
2015-06-10,6823
2015-06-11,6823
2015-06-12,6738
2015-06-13,6726
2015-06-14,6726
2015-06-15,6640
2015-06-16,6854
2015-06-17,6854
2015-06-18,6800
2015-06-19,6800
2015-06-20,7033
2015-06-21,7033
2015-06-22,7275
2015-06-23,7275
2015-06-24,7160
2015-06-25,7160
2015-06-26,7050
2015-06-27,7050
2015-06-28,7014
2015-06-29,7014
2015-06-30,6706
2015-07-01,6453
2015-07-02,6453
2015-07-03,6170
2015-07-04,6170
2015-07-05,6127
2015-07-06,6127
2015-07-07,6220
2015-07-08,6173
2015-07-09,6173
2015-07-10,6285
2015-07-11,6285
2015-07-12,6461
2015-07-13,6664
2015-07-14,6664
2015-07-15,6488
2015-07-16,6488
2015-07-17,6427
2015-07-18,6427
2015-07-19,6312
2015-07-20,6378
2015-07-21,6378
2015-07-22,6474
2015-07-23,6474
2015-07-24,6643
2015-07-25,6643
2015-07-26,6846
2015-07-27,6846
2015-07-28,6942
2015-07-29,7211
2015-07-30,7211
2015-07-31,7144
2015-08-01,7144
2015-08-02,7165
2015-08-03,7165
2015-08-04,7141
2015-08-05,6985
2015-08-06,6985
2015-08-07,7081
2015-08-08,7325
2015-08-09,7223
2015-08-10,7223
2015-08-11,7201
2015-08-12,7201
2015-08-13,7327
2015-08-14,7520
2015-08-15,7520
2015-08-16,7591
2015-08-17,7591
2015-08-18,7598
2015-08-19,7598
2015-08-20,7963
2015-08-21,7767
2015-08-22,7767
2015-08-23,7524
2015-08-24,7297
2015-08-25,7297
2015-08-26,7216
2015-08-27,6904
2015-08-28,6904
2015-08-29,6700
2015-08-30,6700
2015-08-31,6477
2015-09-02,6391
2015-09-07,6011
2015-09-08,5946
2015-09-10,6035
2015-09-14,6205
2015-09-16,6270
2015-09-22,6833
2015-09-23,7004
2015-09-24,7004
2015-09-25,7004
2015-09-27,7079
2015-09-28,7069
2015-09-29,7069
2015-09-30,7108
2015-10-05,7197
2015-10-06,7299
2015-10-07,7299
2015-10-08,7102
2015-10-09,7232
2015-10-10,7232
2015-10-11,7410
2015-10-12,7410
2015-10-13,7430
2015-10-14,7430
2015-10-15,7478
2015-10-16,7478
2015-10-17,7558
2015-10-18,7558
2015-10-19,7459
2015-10-20,7459
2015-10-22,7455
2015-10-23,7261
2015-10-24,7261
2015-10-25,7031
2015-10-26,7031
2015-10-27,6681
2015-10-29,6491
2015-10-30,6524
2015-10-31,6524
2015-11-01,6458
2015-11-02,6313
2015-11-03,6313
2015-11-04,6239
2015-11-05,6239
2015-11-06,6322
2015-11-07,6533
2015-11-08,6533
2015-11-09,6635
2015-11-10,6635
2015-11-11,6702
2015-11-12,6702
2015-11-13,6591
2015-11-14,6591
2015-11-15,6486
2015-11-16,6486
2015-11-17,6540
2015-11-18,6540
2015-11-19,6641
2015-11-20,6719
2015-11-21,6719
2015-11-22,6854
2015-11-23,6854
2015-11-24,7085
2015-11-25,7045
2015-11-26,7045
2015-11-27,7393
2015-11-28,7393
2015-11-29,7763
2015-11-30,8093
2015-12-01,8093
2015-12-02,8485
2015-12-03,8861
2015-12-04,8861
2015-12-05,9129
2015-12-06,9239
2015-12-07,9239
2015-12-08,9082
2015-12-09,8747
2015-12-10,8747
2015-12-11,8477
2015-12-12,8477
2015-12-13,8496
2015-12-14,8496
2015-12-15,8510
2015-12-16,8677
2015-12-17,8677
2015-12-18,8745
2015-12-19,8881
2015-12-20,9045
2015-12-21,9045
2015-12-22,8980
2015-12-23,9392
2015-12-24,9392
2015-12-25,9751
2015-12-26,9751
2015-12-27,9767
2015-12-28,9767
2015-12-29,9589
2015-12-30,9423
2015-12-31,9423
2016-01-01,9305
2016-01-02,9305
2016-01-03,9103
2016-01-04,8920
2016-01-05,8920
2016-01-06,8716
2016-01-07,8716
2016-01-08,8673
2016-01-09,8673
2016-01-10,8698
2016-01-11,8698
2016-01-12,8521
2016-01-13,8521
2016-01-14,8372
