date_obj,Ninja%20impling%20jar price
2015-03-26,15490
2015-03-27,15490
2015-03-28,15490
2015-03-29,15490
2015-03-30,15490
2015-03-31,15490
2015-04-01,15490
2015-04-02,16114
2015-04-03,16114
2015-04-04,16114
2015-04-05,16114
2015-04-06,16114
2015-04-07,16114
2015-04-08,16114
2015-04-09,16114
2015-04-10,16844
2015-04-11,16844
2015-04-12,16844
2015-04-13,16844
2015-04-14,16844
2015-04-15,16844
2015-04-16,16844
2015-04-17,16844
2015-04-18,16844
2015-04-19,17515
2015-04-20,17515
2015-04-21,17515
2015-04-22,17515
2015-04-23,17515
2015-04-24,17515
2015-04-25,17515
2015-04-26,17515
2015-04-27,17515
2015-04-28,17515
2015-04-29,17515
2015-04-30,17515
2015-05-01,18344
2015-05-02,18344
2015-05-03,18344
2015-05-04,18344
2015-05-05,18344
2015-05-06,18344
2015-05-07,18344
2015-05-08,18344
2015-05-09,18344
2015-05-10,18344
2015-05-11,18344
2015-05-12,18344
2015-05-13,19119
2015-05-14,19119
2015-05-15,19119
2015-05-16,19119
2015-05-17,19119
2015-05-18,19119
2015-05-19,19119
2015-05-20,19119
2015-05-21,19119
2015-05-22,19119
2015-05-23,19119
2015-05-24,19119
2015-05-25,19119
2015-05-26,19119
2015-05-27,19708
2015-05-28,19708
2015-05-29,19708
2015-05-30,19708
2015-05-31,19708
2015-06-01,19708
2015-06-02,19708
2015-06-03,19708
2015-06-04,19708
2015-06-05,19708
2015-06-06,19800
2015-06-07,19800
2015-06-08,19800
2015-06-09,19800
2015-06-10,19800
2015-06-11,19800
2015-06-12,19800
2015-06-13,19800
2015-06-14,19800
2015-06-15,19800
2015-06-16,19800
2015-06-17,20122
2015-06-18,20122
2015-06-19,20122
2015-06-20,20122
2015-06-21,20122
2015-06-22,20122
2015-06-23,20122
2015-06-24,20122
2015-06-25,20122
2015-06-26,20122
2015-06-27,20122
2015-06-28,20512
2015-06-29,20512
2015-06-30,20512
2015-07-01,20512
2015-07-02,20512
2015-07-03,20512
2015-07-04,20512
2015-07-05,20512
2015-07-06,20512
2015-07-07,20512
2015-07-08,20512
2015-07-09,20512
2015-07-10,20835
2015-07-11,20835
2015-07-12,20835
2015-07-13,20835
2015-07-14,20835
2015-07-15,20835
2015-07-16,20835
2015-07-17,20835
2015-07-18,20835
2015-07-19,20835
2015-07-20,20835
2015-07-21,21092
2015-07-22,21092
2015-07-23,21092
2015-07-24,21092
2015-07-25,21092
2015-07-26,21092
2015-07-27,21092
2015-07-28,21092
2015-07-29,21092
2015-07-30,21092
2015-07-31,21092
2015-08-01,21356
2015-08-02,21356
2015-08-03,21356
2015-08-04,21356
2015-08-05,21356
2015-08-06,21356
2015-08-07,21356
2015-08-08,21356
2015-08-09,21356
2015-08-10,21356
2015-08-11,21923
2015-08-12,21923
2015-08-13,21923
2015-08-14,21923
2015-08-15,21923
2015-08-16,21923
2015-08-17,21923
2015-08-18,21923
2015-08-19,21923
2015-08-20,21923
2015-08-21,21923
2015-08-22,22284
2015-08-23,22284
2015-08-24,22284
2015-08-25,22284
2015-08-26,22284
2015-08-27,22284
2015-08-28,22284
2015-08-29,22284
2015-08-30,22284
2015-08-31,22284
2015-09-01,22250
2015-09-02,22250
2015-09-03,22250
2015-09-04,22250
2015-09-05,22250
2015-09-06,22250
2015-09-07,22250
2015-09-08,22250
2015-09-09,22250
2015-09-10,22250
2015-09-11,22204
2015-09-12,22204
2015-09-13,22204
2015-09-14,22204
2015-09-15,22204
2015-09-16,22204
2015-09-17,22204
2015-09-18,22204
2015-09-19,22204
2015-09-20,22204
2015-09-21,22204
2015-09-22,22118
2015-09-23,22118
2015-09-24,22118
2015-09-25,22118
2015-09-27,22118
2015-09-28,22118
2015-09-29,22118
2015-09-30,22118
2015-10-05,22386
2015-10-06,22386
2015-10-07,22386
2015-10-08,22386
2015-10-09,22386
2015-10-10,22386
2015-10-11,22386
2015-10-12,22386
2015-10-13,22386
2015-10-14,22386
2015-10-15,22755
2015-10-16,22755
2015-10-17,22755
2015-10-18,22755
2015-10-19,22755
2015-10-20,22755
2015-10-22,22755
2015-10-23,22755
2015-10-24,22755
2015-10-25,22863
2015-10-26,22863
2015-10-27,22863
2015-10-29,22863
2015-10-30,22863
2015-10-31,22863
2015-11-01,22863
2015-11-02,22863
2015-11-03,22863
2015-11-04,22863
2015-11-05,22863
2015-11-06,22863
2015-11-07,23278
2015-11-08,23278
2015-11-09,23278
2015-11-10,23278
2015-11-11,23278
2015-11-12,23278
2015-11-13,23278
2015-11-14,23278
2015-11-15,23278
2015-11-16,23278
2015-11-17,23278
2015-11-18,23278
2015-11-19,23690
2015-11-20,23690
2015-11-21,23690
2015-11-22,23690
2015-11-23,23690
2015-11-24,23690
2015-11-25,23690
2015-11-26,23690
2015-11-27,23690
2015-11-28,23690
2015-11-29,23690
2015-11-30,24045
2015-12-01,24045
2015-12-02,24045
2015-12-03,24045
2015-12-04,24045
2015-12-05,24045
2015-12-06,24045
2015-12-07,24045
2015-12-08,24045
2015-12-09,24045
2015-12-10,24045
2015-12-11,24851
2015-12-12,24851
2015-12-13,24851
2015-12-14,24851
2015-12-15,24851
2015-12-16,24851
