date_obj,Bullseye%20lantern price
2015-03-26,7555
2015-03-27,7555
2015-03-28,7177
2015-03-29,6818
2015-03-30,6818
2015-03-31,6479
2015-04-01,6479
2015-04-02,6155
2015-04-03,6155
2015-04-04,5847
2015-04-05,5847
2015-04-06,5554
2015-04-07,5278
2015-04-08,5278
2015-04-09,5014
2015-04-10,4784
2015-04-11,4544
2015-04-12,4544
2015-04-13,4489
2015-04-14,4489
2015-04-15,4264
2015-04-16,4264
2015-04-17,4050
2015-04-18,4050
2015-04-19,3847
2015-04-20,3847
2015-04-21,3654
2015-04-22,3654
2015-04-23,3471
2015-04-24,3471
2015-04-25,3297
2015-04-26,3297
2015-04-27,3132
2015-04-28,3132
2015-04-29,2975
2015-04-30,2975
2015-05-01,2826
2015-05-02,2826
2015-05-03,2684
2015-05-04,2684
2015-05-05,2549
2015-05-06,2549
2015-05-07,2421
2015-05-08,2421
2015-05-09,2299
2015-05-10,2299
2015-05-11,2184
2015-05-12,2204
2015-05-13,2204
2015-05-14,2096
2015-05-15,2096
2015-05-16,2050
2015-05-17,2066
2015-05-18,2066
2015-05-19,2076
2015-05-20,2076
2015-05-21,2076
2015-05-22,2017
2015-05-23,2017
2015-05-24,1961
2015-05-25,1961
2015-05-26,1944
2015-05-27,1944
2015-05-28,1846
2015-05-29,1846
2015-05-30,1757
2015-05-31,1757
2015-06-01,1681
2015-06-02,1681
2015-06-03,1663
2015-06-04,1663
2015-06-05,1653
2015-06-06,1716
2015-06-07,1716
2015-06-08,1701
2015-06-09,1707
2015-06-10,1735
2015-06-11,1735
2015-06-12,1767
2015-06-13,1782
2015-06-14,1782
2015-06-15,1790
2015-06-16,1790
2015-06-17,1741
2015-06-18,1780
2015-06-19,1780
2015-06-20,1760
2015-06-21,1760
2015-06-22,1741
2015-06-23,1741
2015-06-24,1696
2015-06-25,1696
2015-06-26,1765
2015-06-27,1765
2015-06-28,1851
2015-06-29,1851
2015-06-30,1929
2015-07-01,1929
2015-07-02,1909
2015-07-03,1856
2015-07-04,1856
2015-07-05,1835
2015-07-06,1835
2015-07-07,1847
2015-07-08,1847
2015-07-09,1842
2015-07-10,1842
2015-07-11,1848
2015-07-12,1848
2015-07-13,1813
2015-07-14,1813
2015-07-15,1850
2015-07-16,1850
2015-07-17,1878
2015-07-18,1878
2015-07-19,1861
2015-07-20,1797
2015-07-21,1797
2015-07-22,1729
2015-07-23,1729
2015-07-24,1738
2015-07-25,1738
2015-07-26,1730
2015-07-27,1730
2015-07-28,1737
2015-07-29,1670
2015-07-30,1670
2015-07-31,1687
2015-08-01,1687
2015-08-02,1602
2015-08-03,1602
2015-08-04,1539
2015-08-05,1516
2015-08-06,1516
2015-08-07,1521
2015-08-08,1505
2015-08-09,1453
2015-08-10,1513
2015-08-11,1513
2015-08-12,1525
2015-08-13,1525
2015-08-14,1516
2015-08-15,1516
2015-08-16,1539
2015-08-17,1543
2015-08-18,1543
2015-08-19,1507
2015-08-20,1507
2015-08-21,1508
2015-08-22,1508
2015-08-23,1506
2015-08-24,1496
2015-08-25,1496
2015-08-26,1462
2015-08-27,1466
2015-08-28,1466
2015-08-29,1475
2015-08-30,1475
2015-08-31,1487
2015-09-01,1487
2015-09-02,1475
2015-09-03,1475
2015-09-04,1458
2015-09-05,1458
2015-09-06,1435
2015-09-07,1435
2015-09-08,1381
2015-09-09,1381
2015-09-10,1406
2015-09-11,1406
2015-09-12,1416
2015-09-13,1416
2015-09-14,1462
2015-09-15,1462
2015-09-16,1499
2015-09-17,1530
2015-09-18,1530
2015-09-19,1569
2015-09-20,1569
2015-09-21,1598
2015-09-22,1598
2015-09-23,1590
2015-09-24,1590
2015-09-25,1620
2015-09-27,1604
2015-09-28,1604
2015-09-29,1571
2015-09-30,1556
2015-10-05,1582
2015-10-06,1551
2015-10-07,1551
2015-10-08,1558
2015-10-09,1558
2015-10-10,1608
2015-10-11,1618
2015-10-12,1618
2015-10-13,1682
2015-10-14,1682
2015-10-15,1734
2015-10-16,1734
2015-10-17,1776
2015-10-18,1776
2015-10-19,1690
2015-10-20,1690
2015-10-22,1605
2015-10-23,1657
2015-10-24,1657
2015-10-25,1661
2015-10-26,1661
2015-10-27,1655
2015-10-29,1654
2015-10-30,1654
2015-10-31,1679
2015-11-01,1679
2015-11-02,1718
2015-11-03,1718
2015-11-04,1721
2015-11-05,1721
2015-11-06,1738
2015-11-07,1747
2015-11-08,1747
2015-11-09,1747
2015-11-10,1786
2015-11-11,1786
2015-11-12,1794
2015-11-13,1794
2015-11-14,1808
2015-11-15,1808
2015-11-16,1838
2015-11-17,1838
2015-11-18,1849
2015-11-19,1861
2015-11-20,1861
2015-11-21,1914
2015-11-22,1954
2015-11-23,1954
2015-11-24,1880
2015-11-25,1912
2015-11-26,1912
2015-11-27,1933
2015-11-28,1933
2015-11-29,1908
2015-11-30,1908
2015-12-01,1948
2015-12-02,1948
2015-12-03,1976
2015-12-04,1976
2015-12-05,1988
2015-12-06,2042
2015-12-07,2042
2015-12-08,2005
2015-12-09,2003
2015-12-10,2003
2015-12-11,1914
2015-12-12,1914
2015-12-13,1929
2015-12-14,1929
2015-12-15,1940
2015-12-16,1940
2015-12-17,1901
2015-12-18,1942
2015-12-19,1942
2015-12-20,1984
2015-12-21,1984
2015-12-22,2039
2015-12-23,2069
2015-12-24,2069
2015-12-25,1993
2015-12-26,1993
2015-12-27,1908
2015-12-28,1908
2015-12-29,1820
2015-12-30,1846
2015-12-31,1846
2016-01-01,1868
2016-01-02,1868
2016-01-03,1881
2016-01-04,1928
2016-01-05,1928
2016-01-06,1953
2016-01-07,1953
2016-01-08,1955
2016-01-09,1955
2016-01-10,1990
2016-01-11,1990
2016-01-12,2005
2016-01-13,2005
2016-01-14,1977
2016-01-15,1977
2016-01-16,1965
2016-01-17,1884
2016-01-18,1878
2016-01-19,1878
2016-01-20,1870
2016-01-21,1870
2016-01-22,1846
2016-01-23,1846
2016-01-24,1862
2016-01-25,1842
2016-01-26,1842
2016-01-27,1891
2016-01-28,1891
2016-01-29,1880
2016-01-30,1880
2016-01-31,1879
2016-02-01,1857
2016-02-02,1857
2016-02-03,1923
2016-02-04,1923
2016-02-05,1984
2016-02-06,1983
2016-02-07,1983
2016-02-08,1986
2016-02-09,1986
2016-02-10,2031
2016-02-11,2031
2016-02-12,1937
2016-02-13,1912
2016-02-14,1912
2016-02-15,1867
2016-02-16,1867
2016-02-17,1961
2016-02-18,1961
2016-02-19,2060
2016-02-20,2163
2016-02-21,2209
2016-02-22,2209
2016-02-23,2123
2016-02-24,2123
2016-02-25,2016
2016-02-26,2016
2016-02-27,1954
2016-02-28,1954
2016-02-29,1893
2016-03-01,1808
2016-03-02,1808
2016-03-03,1778
2016-03-04,1778
2016-03-05,1765
2016-03-06,1772
2016-03-07,1772
2016-03-08,1762
2016-03-09,1796
2016-03-10,1793
2016-03-11,1793
2016-03-12,1764
2016-03-13,1764
2016-03-14,1784
2016-03-15,1874
2016-03-16,1942
2016-03-17,1942
2016-03-18,2018
2016-03-19,2018
2016-03-20,2074
2016-03-21,2074
2016-03-22,2064
2016-03-23,2103
2016-03-24,2103
2016-03-25,2131
2016-03-26,2167
2016-03-27,2167
2016-03-28,2116
2016-03-29,2012
2016-03-30,2012
2016-03-31,1991
2016-04-01,1991
2016-04-02,1961
2016-04-03,1922
2016-04-04,1944
2016-04-05,1944
2016-04-06,1990
2016-04-07,1990
2016-04-08,2055
2016-04-09,2139
2016-04-10,2034
2016-04-11,2034
2016-04-12,2046
2016-04-13,2046
2016-04-14,2034
2016-04-15,1990
2016-04-16,1982
2016-04-17,1997
2016-04-18,1947
2016-04-19,1947
2016-04-20,1930
2016-04-21,1930
2016-04-22,1910
2016-04-23,1909
2016-04-24,1914
2016-04-25,1888
2016-04-26,1851
2016-04-27,1769
2016-04-28,1769
2016-04-29,1689
2016-04-30,1648
2016-05-01,1648
2016-05-02,1582
2016-05-03,1502
2016-05-04,1502
2016-05-05,1454
2016-05-06,1454
2016-05-07,1446
2016-05-08,1446
2016-05-09,1460
2016-05-10,1457
2016-05-11,1457
2016-05-12,1469
2016-05-13,1520
2016-05-14,1585
2016-05-15,1638
2016-05-16,1638
2016-05-17,1641
2016-05-18,1724
2016-05-19,1724
2016-05-22,1693
2016-05-23,1713
2016-05-24,1705
2016-05-25,1729
2016-05-26,1752
2016-05-27,1798
2016-05-28,1798
2016-05-29,1802
2016-05-30,1802
2016-05-31,1837
2016-06-01,1813
2016-06-02,1828
2016-06-03,1828
2016-06-04,1813
2016-06-05,1813
2016-06-06,1829
2016-06-07,1829
2016-06-08,1834
2016-06-09,1918
2016-06-10,1918
2016-06-11,1918
2016-06-12,1918
2016-06-13,1918
2016-06-14,1988
2016-06-15,1988
2016-06-16,1929
2016-06-17,1950
2016-06-18,1950
2016-06-19,1944
2016-06-20,1961
2016-06-21,1974
2016-06-22,1939
2016-06-23,1918
2016-06-24,1930
