date_obj,Mummy's%20legs price
2016-07-06,7500000
2016-07-07,7500000
2016-07-08,7500000
2016-07-09,7500000
2016-07-10,7500000
2016-07-11,7500000
2016-07-12,7500000
2016-07-13,7500000
2016-07-14,7500000
2016-07-15,7500000
2016-07-16,7500000
2016-07-17,7500000
2016-07-18,7500000
2016-07-23,7500000
2016-07-24,7500000
2016-07-25,7500000
2016-07-26,7500000
2016-07-27,7500000
2016-07-28,7500000
2016-07-29,7500000
2016-07-30,7500000
2016-07-31,7500000
2016-08-01,7500000
2016-08-02,7500000
2016-08-03,7500000
2016-08-04,7500000
2016-08-05,7500000
2016-08-06,7500000
2016-08-07,7500000
2016-08-08,7500000
2016-08-09,7500000
2016-08-10,7500000
2016-08-11,7500000
2016-08-12,7500000
2016-08-13,7500000
2016-08-14,7500000
2016-08-15,7500000
2016-08-16,7500000
2016-08-17,7500000
2016-08-18,7500000
2016-08-19,7500000
2016-08-20,7500000
2016-08-21,7500000
2016-08-22,7500000
2016-08-23,7500000
2016-08-24,7500000
2016-08-25,7500000
2016-08-26,7500000
2016-08-28,7500000
2016-08-31,7500000
2016-09-01,7500000
2016-09-02,7500000
2016-09-03,7500000
2016-09-04,7500000
2016-09-05,7500000
2016-09-06,7500000
2016-09-07,7500000
2016-09-08,7500000
2016-09-09,7500000
2016-09-10,7500000
2016-09-11,7500000
2016-09-12,7500000
2016-09-13,7522388
2016-09-14,7522388
2016-09-15,7522388
2016-09-16,7522388
2016-09-17,7522388
2016-09-18,7522388
2016-09-19,7522388
2016-09-20,7522388
2016-09-21,7522388
2016-09-22,7522388
2016-09-23,7522388
2016-09-24,7522388
2016-09-25,7522388
2016-09-26,7522388
2016-09-27,7522388
2016-09-28,7522388
2016-09-29,7522388
2016-09-30,7522388
2016-10-01,7522388
2016-10-02,7522388
2016-10-03,7522388
2016-10-04,7522388
2016-10-05,7522388
2016-10-06,7522388
2016-10-07,7522388
2016-10-08,7522388
2016-10-09,7522388
