date_obj,Pirate%20bandana%20(red) price
2015-02-25,7100
2015-02-26,7100
2015-02-27,7100
2015-02-28,7100
2015-03-01,7100
2015-03-02,7100
2015-03-03,7100
2015-03-04,7100
2015-03-05,7100
2015-03-06,7100
2015-03-07,7100
2015-03-08,7100
2015-03-09,7100
2015-03-10,7100
2015-03-11,7100
2015-03-12,7100
2015-03-13,7100
2015-03-14,7100
2015-03-15,7100
2015-03-16,7100
2015-03-17,6771
2015-03-18,6771
2015-03-19,6771
2015-03-20,6771
2015-03-21,6771
2015-03-22,6771
2015-03-23,6771
2015-03-24,6771
2015-03-25,6771
2015-03-26,6771
2015-03-27,6771
2015-03-28,6771
2015-03-29,6771
2015-03-30,6771
2015-03-31,6771
2015-04-01,6771
2015-04-02,6771
2015-04-03,6771
2015-04-04,6771
2015-04-05,6771
2015-04-06,6438
2015-04-07,6438
2015-04-08,6438
2015-04-09,6438
2015-04-10,6438
2015-04-11,6438
2015-04-12,6438
2015-04-13,6438
2015-04-14,6438
2015-04-15,6438
2015-04-16,6438
2015-04-17,6438
2015-04-18,6438
2015-04-19,6438
2015-04-20,6438
2015-04-21,6438
2015-04-22,6438
2015-04-23,6438
2015-04-24,6438
2015-04-25,6438
2015-04-26,6438
2015-04-27,6438
2015-04-28,6129
2015-04-29,6129
2015-04-30,6129
2015-05-01,6129
2015-05-02,6129
2015-05-03,6129
2015-05-04,6129
2015-05-05,6129
2015-05-06,6129
2015-05-07,6129
2015-05-08,6129
2015-05-09,6129
2015-05-10,6129
2015-05-11,6129
2015-05-12,6129
2015-05-13,6129
2015-05-14,6129
2015-05-15,6129
2015-05-16,6129
2015-05-17,6129
2015-05-18,6129
2015-05-19,6129
2015-05-20,6129
2015-05-21,6129
2015-05-22,6129
2015-05-23,6129
2015-05-24,5830
2015-05-25,5830
2015-05-26,5830
2015-05-27,5830
2015-05-28,5830
2015-05-29,5830
2015-05-30,5830
2015-05-31,5830
2015-06-01,5830
2015-06-02,5830
2015-06-03,5830
2015-06-04,5830
2015-06-05,5830
2015-06-06,5830
2015-06-07,5830
2015-06-08,5830
2015-06-09,5830
2015-06-10,5541
2015-06-11,5541
2015-06-12,5541
2015-06-13,5541
2015-06-14,5541
2015-06-15,5541
2015-06-16,5541
2015-06-17,5541
2015-06-18,5541
2015-06-19,5541
2015-06-20,5541
2015-06-21,5541
2015-06-22,5541
2015-06-23,5541
2015-06-24,5275
2015-06-25,5275
2015-06-26,5275
2015-06-27,5275
2015-06-28,5275
2015-06-29,5275
2015-06-30,5275
2015-07-01,5275
2015-07-02,5275
2015-07-03,5275
2015-07-04,5275
2015-07-05,5275
2015-07-06,5275
2015-07-07,5030
2015-07-08,5030
2015-07-09,5030
2015-07-10,5030
2015-07-11,5030
2015-07-12,5030
2015-07-13,5030
2015-07-14,5030
2015-07-15,5030
2015-07-16,5030
2015-07-17,5030
2015-07-18,5030
2015-07-19,5030
2015-07-20,5030
2015-07-21,5030
2015-07-22,5030
2015-07-23,5030
2015-07-24,5030
2015-07-25,4833
2015-07-26,4833
2015-07-27,4833
2015-07-28,4833
2015-07-29,4833
2015-07-30,4833
2015-07-31,4833
2015-08-01,4833
2015-08-02,4833
2015-08-03,4833
2015-08-04,4833
2015-08-05,4833
2015-08-06,4833
2015-08-07,4611
2015-08-08,4611
2015-08-09,4611
2015-08-10,4611
2015-08-11,4611
2015-08-12,4611
2015-08-13,4611
2015-08-14,4611
2015-08-15,4611
2015-08-16,4611
2015-08-17,4611
2015-08-18,4383
2015-08-19,4383
2015-08-20,4383
2015-08-21,4383
2015-08-22,4383
2015-08-23,4383
2015-08-24,4383
2015-08-25,4383
2015-08-26,4383
2015-08-27,4383
2015-08-28,4383
2015-08-29,4383
2015-08-30,4383
2015-08-31,4383
2015-09-01,4166
2015-09-02,4166
2015-09-03,4166
2015-09-04,4166
2015-09-05,4166
2015-09-06,4166
2015-09-07,4166
2015-09-08,4166
2015-09-09,4166
2015-09-10,4166
2015-09-11,3972
2015-09-12,3972
2015-09-13,3972
2015-09-14,3972
2015-09-15,3972
2015-09-16,3972
2015-09-17,3972
2015-09-18,3972
2015-09-19,3972
2015-09-20,3972
2015-09-21,3972
2015-09-22,3972
2015-09-23,3972
2015-09-24,3785
2015-09-25,3785
2015-09-26,3785
2015-09-27,3785
2015-09-28,3785
2015-09-29,3785
2015-09-30,3785
2015-10-01,3785
2015-10-02,3785
2015-10-03,3785
2015-10-04,3785
2015-10-05,3785
2015-10-06,3598
2015-10-07,3598
2015-10-08,3598
2015-10-09,3598
2015-10-10,3598
2015-10-11,3598
2015-10-12,3598
2015-10-13,3598
2015-10-14,3598
2015-10-15,3598
2015-10-16,3598
2015-10-17,3598
2015-10-18,3598
2015-10-19,3421
2015-10-20,3421
2015-10-21,3421
2015-10-22,3421
2015-10-23,3421
2015-10-24,3421
2015-10-25,3421
2015-10-26,3421
2015-10-27,3421
2015-10-28,3421
2015-10-29,3421
2015-10-30,3421
2015-10-31,3421
2015-11-01,3421
2015-11-02,3421
2015-11-03,3251
2015-11-04,3251
2015-11-05,3251
2015-11-06,3251
2015-11-07,3251
2015-11-08,3251
2015-11-09,3251
2015-11-10,3251
2015-11-11,3251
2015-11-12,3251
2015-11-13,3251
2015-11-14,3251
2015-11-15,3251
2015-11-16,3251
2015-11-17,3251
2015-11-18,3251
2015-11-19,3099
2015-11-20,3099
2015-11-21,3099
2015-11-22,3099
2015-11-23,3099
2015-11-24,3099
2015-11-25,3099
2015-11-26,3099
2015-11-27,3099
2015-11-28,3099
2015-11-29,3099
2015-11-30,3099
2015-12-01,3099
2015-12-02,2952
2015-12-03,2952
2015-12-04,2952
2015-12-05,2952
2015-12-06,2952
2015-12-07,2952
2015-12-08,2952
2015-12-09,2952
2015-12-10,2952
2015-12-11,2952
2015-12-12,2952
2015-12-13,2952
2015-12-14,2952
2015-12-15,2823
2015-12-16,2823
2015-12-17,2823
2015-12-18,2823
2015-12-19,2823
2015-12-20,2823
2015-12-21,2823
2015-12-22,2823
2015-12-23,2823
2015-12-24,2823
2015-12-25,2823
2015-12-26,2823
2015-12-27,2823
2015-12-28,2823
2015-12-29,2823
2015-12-30,2823
2015-12-31,2788
2016-01-01,2788
2016-01-02,2788
2016-01-03,2788
2016-01-04,2788
2016-01-05,2788
2016-01-06,2788
2016-01-07,2788
2016-01-08,2788
2016-01-09,2788
2016-01-10,2788
2016-01-11,2788
2016-01-12,2788
2016-01-13,2788
2016-01-14,2788
2016-01-15,2699
2016-01-16,2699
2016-01-17,2699
2016-01-18,2699
2016-01-19,2699
2016-01-20,2699
2016-01-21,2699
2016-01-22,2699
2016-01-23,2699
2016-01-24,2699
2016-01-25,2699
2016-01-26,2699
2016-01-27,2699
2016-01-28,2699
2016-01-29,2699
2016-01-30,2592
2016-01-31,2592
2016-02-01,2592
2016-02-02,2592
2016-02-03,2592
2016-02-04,2592
2016-02-05,2592
2016-02-06,2592
2016-02-07,2592
2016-02-08,2592
2016-02-09,2592
2016-02-10,2592
2016-02-11,2592
2016-02-12,2592
2016-02-13,2464
2016-02-14,2464
2016-02-15,2464
2016-02-16,2464
2016-02-17,2464
2016-02-18,2464
2016-02-19,2464
2016-02-20,2464
2016-02-21,2464
2016-02-22,2464
2016-02-23,2464
2016-02-24,2464
2016-02-25,2464
2016-02-26,2464
2016-02-27,2464
2016-02-28,2464
2016-02-29,2371
