date_obj,Dragon%20halberd price
2015-03-26,171195
2015-03-27,171195
2015-03-28,169782
2015-03-29,170856
2015-03-30,170971
2015-03-31,170034
2015-04-01,170603
2015-04-02,171716
2015-04-03,170983
2015-04-04,170164
2015-04-05,167850
2015-04-06,169221
2015-04-07,169304
2015-04-08,169116
2015-04-09,169549
2015-04-10,169983
2015-04-11,170667
2015-04-12,172300
2015-04-13,172405
2015-04-14,171043
2015-04-15,172317
2015-04-16,170284
2015-04-17,171312
2015-04-18,169851
2015-04-19,170844
2015-04-20,170905
2015-04-21,171679
2015-04-22,172171
2015-04-23,172386
2015-04-24,170952
2015-04-25,170698
2015-04-26,170665
2015-04-27,169539
2015-04-28,170220
2015-04-29,170220
2015-04-30,170397
2015-05-01,171061
2015-05-02,171052
2015-05-03,171449
2015-05-04,171676
2015-05-05,171488
2015-05-06,171748
2015-05-07,170814
2015-05-08,166223
2015-05-09,166292
2015-05-10,168793
2015-05-11,168793
2015-05-12,169766
2015-05-13,170867
2015-05-14,170814
2015-05-15,170395
2015-05-16,169599
2015-05-17,170735
2015-05-18,171424
2015-05-19,172178
2015-05-20,172178
2015-05-21,172650
2015-05-22,172571
2015-05-23,170734
2015-05-24,170188
2015-05-25,170221
2015-05-26,170843
2015-05-27,171887
2015-05-28,172304
2015-05-29,170888
2015-05-30,170867
2015-05-31,171297
2015-06-01,171375
2015-06-02,170965
2015-06-03,168308
2015-06-04,169990
2015-06-05,170017
2015-06-06,170639
2015-06-07,171027
2015-06-08,171535
2015-06-09,171494
2015-06-10,170986
2015-06-11,168704
2015-06-12,170357
2015-06-13,168268
2015-06-14,167834
2015-06-15,170397
2015-06-16,171734
2015-06-17,170379
2015-06-18,170895
2015-06-19,172034
2015-06-20,172809
2015-06-21,171319
2015-06-22,170062
2015-06-23,170821
2015-06-24,170985
2015-06-25,171601
2015-06-26,171414
2015-06-27,172027
2015-06-28,170755
2015-06-29,170724
2015-06-30,171073
2015-07-01,168474
2015-07-02,169706
2015-07-03,167315
2015-07-04,165978
2015-07-05,166231
2015-07-06,168065
2015-07-07,169047
2015-07-08,170513
2015-07-09,171039
2015-07-10,171127
2015-07-11,171174
2015-07-12,167787
2015-07-13,168921
2015-07-14,164293
2015-07-15,165732
2015-07-16,167551
2015-07-17,167588
2015-07-18,169072
2015-07-19,169565
2015-07-20,169995
2015-07-21,170779
2015-07-22,172426
2015-07-23,174028
2015-07-24,170159
2015-07-25,168884
2015-07-26,166260
2015-07-27,168297
2015-07-28,169769
2015-07-29,171096
2015-07-30,171166
2015-07-31,170987
2015-08-01,171393
2015-08-02,172026
2015-08-03,170789
2015-08-04,170253
2015-08-05,171433
2015-08-06,170591
2015-08-07,170576
2015-08-08,171513
2015-08-09,169481
2015-08-10,170990
2015-08-11,171051
2015-08-12,171371
2015-08-13,171072
2015-08-14,171998
2015-08-15,172317
2015-08-16,170620
2015-08-17,169985
2015-08-18,169482
2015-08-19,171238
2015-08-20,172252
2015-08-21,172446
2015-08-22,173123
2015-08-23,171370
2015-08-24,171403
2015-08-25,171598
2015-08-26,172407
2015-08-27,171956
2015-08-28,171176
2015-08-29,172085
2015-08-30,170101
2015-08-31,171360
2015-09-01,172147
2015-09-02,173346
2015-09-03,170405
2015-09-04,170033
2015-09-05,170110
2015-09-06,171002
2015-09-07,171448
2015-09-08,172141
2015-09-09,172459
2015-09-10,173099
2015-09-11,171083
2015-09-12,170999
2015-09-13,171426
2015-09-14,171890
2015-09-15,171685
2015-09-16,171144
2015-09-17,171756
2015-09-18,172032
2015-09-19,171432
2015-09-20,171589
2015-09-21,169388
2015-09-22,169376
2015-09-23,172164
2015-09-24,173586
2015-09-25,172467
2015-09-27,172652
2015-09-28,172765
2015-09-29,172949
2015-09-30,173998
2015-10-05,172019
2015-10-06,173250
2015-10-07,172878
2015-10-08,173273
2015-10-09,173704
2015-10-10,172454
2015-10-11,172512
2015-10-12,172705
2015-10-13,172331
2015-10-14,173065
2015-10-15,172971
2015-10-16,173022
2015-10-17,172846
2015-10-18,173449
2015-10-19,173654
2015-10-20,172714
2015-10-22,172482
2015-10-23,171691
2015-10-24,171857
2015-10-25,171445
2015-10-26,172778
2015-10-27,174442
2015-10-29,172019
2015-10-30,172750
2015-10-31,171268
2015-11-01,172613
2015-11-02,172491
2015-11-03,173859
2015-11-04,172194
2015-11-05,170734
2015-11-06,171109
2015-11-07,171889
2015-11-08,171889
2015-11-09,172250
2015-11-10,173304
2015-11-11,173313
2015-11-12,173372
2015-11-13,172274
2015-11-14,172198
2015-11-15,171740
2015-11-16,172785
2015-11-17,172394
2015-11-18,170094
2015-11-19,170275
2015-11-20,171913
2015-11-21,171913
2015-11-22,169399
2015-11-23,169399
2015-11-24,171744
2015-11-25,172274
2015-11-26,172274
2015-11-27,173083
2015-11-28,172529
2015-11-29,170674
2015-11-30,168452
2015-12-01,171299
2015-12-02,171552
2015-12-03,171430
2015-12-04,169664
2015-12-05,172390
2015-12-06,171455
2015-12-07,168933
2015-12-08,170517
2015-12-09,171136
2015-12-10,169598
2015-12-11,171739
2015-12-12,171495
2015-12-13,169110
2015-12-14,170383
2015-12-15,170383
2015-12-16,171135
2015-12-17,171918
2015-12-18,172502
2015-12-19,171056
2015-12-20,171580
2015-12-21,173309
2015-12-22,173302
2015-12-23,171928
2015-12-24,171890
2015-12-25,172139
2015-12-26,172295
2015-12-27,172806
2015-12-28,174061
2015-12-29,171958
2015-12-30,173036
2015-12-31,173000
2016-01-01,173492
2016-01-02,174387
2016-01-03,171979
2016-01-04,170143
2016-01-05,169737
2016-01-06,170004
2016-01-07,171311
2016-01-08,173147
2016-01-09,173570
2016-01-10,172505
2016-01-11,170831
2016-01-12,172014
2016-01-13,173986
2016-01-14,172486
2016-01-15,172161
2016-01-16,172661
2016-01-17,173796
2016-01-18,172657
2016-01-19,173398
2016-01-20,175253
2016-01-21,176917
2016-01-22,174846
2016-01-23,173827
2016-01-24,172887
2016-01-25,171007
2016-01-26,170265
2016-01-27,171129
2016-01-28,172362
2016-01-29,172083
2016-01-30,173089
2016-01-31,172543
2016-02-01,172157
2016-02-02,172589
2016-02-03,171731
2016-02-04,170635
2016-02-05,172047
2016-02-06,171826
2016-02-07,172532
2016-02-08,172919
2016-02-09,171671
2016-02-10,171986
2016-02-11,171607
2016-02-12,172063
2016-02-13,172839
2016-02-14,173509
2016-02-15,172412
2016-02-16,172302
2016-02-17,170703
2016-02-18,171280
2016-02-19,172286
2016-02-20,172526
2016-02-21,172138
2016-02-22,172763
2016-02-23,173644
2016-02-24,173922
2016-02-25,173692
2016-02-26,174227
2016-02-27,172486
2016-02-28,172784
2016-02-29,173104
2016-03-01,173170
2016-03-02,172260
2016-03-03,173094
2016-03-04,173604
2016-03-05,173668
2016-03-06,173000
2016-03-07,172196
2016-03-08,171941
2016-03-09,169707
2016-03-10,171330
2016-03-11,172201
2016-03-12,173513
2016-03-13,172546
2016-03-14,171350
2016-03-15,167342
2016-03-16,166681
2016-03-17,170596
2016-03-18,171014
2016-03-19,172071
2016-03-20,171918
2016-03-21,172466
2016-03-22,172638
2016-03-23,172243
2016-03-24,172348
2016-03-25,171093
2016-03-26,171718
