date_obj,Gilded%20plateskirt price
2015-03-26,267299
2015-03-27,267299
2015-03-28,267299
2015-03-29,267299
2015-03-30,267299
2015-03-31,267299
2015-04-01,267299
2015-04-02,267299
2015-04-03,254338
2015-04-04,254338
2015-04-05,254338
2015-04-06,254338
2015-04-07,254338
2015-04-08,254338
2015-04-09,254338
2015-04-10,254338
2015-04-11,254338
2015-04-12,242296
2015-04-13,242296
2015-04-14,242296
2015-04-15,242296
2015-04-16,242296
2015-04-17,242296
2015-04-18,242296
2015-04-19,242296
2015-04-20,231017
2015-04-21,231017
2015-04-22,231017
2015-04-23,231017
2015-04-24,231017
2015-04-25,231017
2015-04-26,231017
2015-04-27,231017
2015-04-28,221290
2015-04-29,221290
2015-04-30,221290
2015-05-01,221290
2015-05-02,221290
2015-05-03,221290
2015-05-04,221290
2015-05-05,221290
2015-05-06,221290
2015-05-07,210914
2015-05-08,210914
2015-05-09,210914
2015-05-10,210914
2015-05-11,210914
2015-05-12,210914
2015-05-13,210914
2015-05-14,210914
2015-05-15,210914
2015-05-16,205162
2015-05-17,205162
2015-05-18,205162
2015-05-19,205162
2015-05-20,205162
2015-05-21,205162
2015-05-22,205162
2015-05-23,205162
2015-05-24,205162
2015-05-25,197067
2015-05-26,197067
2015-05-27,197067
2015-05-28,197067
2015-05-29,197067
2015-05-30,190579
2015-05-31,190579
2015-06-01,190579
2015-06-02,190579
2015-06-03,190579
2015-06-04,190579
2015-06-05,189785
2015-06-06,189785
2015-06-07,189785
2015-06-08,189785
2015-06-09,189785
2015-06-10,181925
2015-06-11,181925
2015-06-12,181925
2015-06-13,181925
2015-06-14,181925
2015-06-15,181925
2015-06-16,190405
2015-06-17,190405
2015-06-18,190405
2015-06-19,190405
2015-06-20,190405
2015-06-21,199548
2015-06-22,199548
2015-06-23,199548
2015-06-24,199548
2015-06-25,199548
2015-06-26,195901
2015-06-27,195901
2015-06-28,195901
2015-06-29,195901
2015-06-30,195901
2015-07-01,192205
2015-07-02,192205
2015-07-03,192205
2015-07-04,192205
2015-07-05,192205
2015-07-06,184698
2015-07-07,184698
2015-07-08,184698
2015-07-09,184698
2015-07-10,184698
2015-07-11,177254
2015-07-12,177254
