date_obj,Iron%20boots price
2015-03-26,7587
2015-03-27,7587
2015-03-28,7488
2015-03-29,7582
2015-03-30,7717
2015-03-31,7921
2015-04-01,8070
2015-04-02,8257
2015-04-03,8137
2015-04-04,7936
2015-04-05,7762
2015-04-06,7830
2015-04-07,8204
2015-04-08,8519
2015-04-09,8734
2015-04-10,8843
2015-04-11,8823
2015-04-12,8920
2015-04-13,8747
2015-04-14,8667
2015-04-15,8670
2015-04-16,8844
2015-04-17,9065
2015-04-18,9193
2015-04-19,9345
2015-04-20,9345
2015-04-21,9056
2015-04-22,8612
2015-04-23,8364
2015-04-24,8310
2015-04-25,8294
2015-04-26,8260
2015-04-27,8185
2015-04-28,8007
2015-04-29,8007
2015-04-30,8130
2015-05-01,8050
2015-05-02,7976
2015-05-03,7976
2015-05-04,8236
2015-05-05,8272
2015-05-06,8457
2015-05-07,8383
2015-05-08,8700
2015-05-09,8895
2015-05-10,8982
2015-05-11,8982
2015-05-12,8851
2015-05-13,8851
2015-05-14,8643
2015-05-15,8643
2015-05-16,8474
2015-05-17,8481
2015-05-18,8349
2015-05-19,8642
2015-05-20,8642
2015-05-21,8932
2015-05-22,8822
2015-05-23,8487
2015-05-24,8068
2015-05-25,7672
2015-05-26,7331
2015-05-27,7331
2015-05-28,6991
2015-05-29,6819
2015-05-30,6503
2015-05-31,6483
2015-06-01,6645
2015-06-02,6645
2015-06-03,6978
2015-06-04,6875
2015-06-05,6655
2015-06-06,6332
2015-06-07,6015
2015-06-08,5714
2015-06-09,5555
2015-06-10,5345
2015-06-11,5181
2015-06-12,5088
2015-06-13,5336
2015-06-14,5426
2015-06-15,5688
2015-06-16,5801
2015-06-17,5838
2015-06-18,6090
2015-06-19,6317
2015-06-20,6381
2015-06-21,6680
2015-06-22,6903
2015-06-23,7221
2015-06-24,7576
2015-06-25,7576
2015-06-26,7947
2015-06-27,7947
2015-06-28,8225
2015-06-29,8183
2015-06-30,8161
2015-07-01,8145
2015-07-02,8145
2015-07-03,8037
2015-07-04,7839
2015-07-05,7679
2015-07-06,7488
2015-07-07,7319
2015-07-08,7129
2015-07-09,7129
2015-07-10,6909
2015-07-11,6662
2015-07-12,6414
2015-07-13,6374
2015-07-14,6147
2015-07-15,5997
2015-07-16,5972
2015-07-17,5958
2015-07-18,6013
2015-07-19,6164
2015-07-20,6454
2015-07-21,6765
2015-07-22,7086
2015-07-23,7086
2015-07-24,7441
2015-07-25,7814
2015-07-26,7858
2015-07-27,7774
2015-07-28,7593
2015-07-29,7685
2015-07-30,7727
2015-07-31,8077
2015-08-01,8481
2015-08-02,8798
2015-08-03,9142
2015-08-04,9512
2015-08-05,9987
2015-08-06,10443
2015-08-07,10754
2015-08-08,10955
2015-08-09,10966
2015-08-10,11423
2015-08-11,11968
2015-08-12,11968
2015-08-13,11964
2015-08-14,11675
2015-08-15,11397
2015-08-16,11087
2015-08-17,10676
2015-08-18,10516
2015-08-19,10695
2015-08-20,11226
2015-08-21,10914
2015-08-22,10422
2015-08-23,10003
2015-08-24,9620
2015-08-25,9620
2015-08-26,9252
2015-08-27,9079
2015-08-28,8788
2015-08-29,8440
2015-08-30,8248
2015-08-31,7870
2015-09-01,7694
2015-09-02,7694
2015-09-03,7758
2015-09-04,7905
2015-09-05,7905
2015-09-06,8053
2015-09-07,8001
2015-09-08,8059
2015-09-09,8036
2015-09-10,7915
2015-09-11,7656
2015-09-12,7511
2015-09-13,7418
2015-09-14,7331
2015-09-15,7278
2015-09-16,7278
2015-09-17,7221
2015-09-18,7221
2015-09-19,7186
2015-09-20,7433
2015-09-21,7736
2015-09-22,7790
2015-09-23,7874
2015-09-24,7874
2015-09-25,7872
2015-09-27,7978
2015-09-28,8076
2015-09-29,8259
2015-09-30,8254
2015-10-05,7908
2015-10-06,7837
2015-10-07,7837
2015-10-08,7824
2015-10-09,7819
2015-10-10,7819
2015-10-11,7679
2015-10-12,7402
2015-10-13,7402
2015-10-14,7369
2015-10-15,7497
2015-10-16,7804
2015-10-17,7804
2015-10-18,7801
2015-10-19,7986
2015-10-20,8099
2015-10-22,8076
2015-10-23,7823
2015-10-24,7496
2015-10-25,7417
2015-10-26,7240
2015-10-27,7240
2015-10-29,7330
2015-10-30,7330
2015-10-31,7603
2015-11-01,7603
2015-11-02,7910
2015-11-03,8296
2015-11-04,8296
2015-11-05,8598
2015-11-06,8598
2015-11-07,8709
2015-11-08,8709
2015-11-09,8458
2015-11-10,8458
2015-11-11,8088
2015-11-12,8088
2015-11-13,8128
2015-11-14,8128
2015-11-15,8025
2015-11-16,8025
2015-11-17,7859
2015-11-18,7859
2015-11-19,7693
2015-11-20,7460
2015-11-21,7460
2015-11-22,7180
2015-11-23,7180
2015-11-24,6962
2015-11-25,6816
