date_obj,Blamish%20ochre%20shell%20(round) price
2015-02-25,6500
2015-02-26,6500
2015-02-27,6500
2015-02-28,6500
2015-03-01,6500
2015-03-02,6500
2015-03-03,6500
2015-03-04,6500
2015-03-05,6500
2015-03-06,6500
2015-03-07,6500
2015-03-08,6500
2015-03-09,6500
2015-03-10,6500
2015-03-11,6500
2015-03-12,6500
2015-03-13,6500
2015-03-14,6500
2015-03-15,6500
2015-03-16,6500
2015-03-17,6500
2015-03-18,6500
2015-03-19,6500
2015-03-20,6500
2015-03-21,6500
2015-03-22,6500
2015-03-23,6500
2015-03-24,6500
2015-03-25,6500
2015-03-26,6500
2015-03-27,6500
2015-03-28,6500
2015-03-29,6500
2015-03-30,6500
2015-03-31,6500
2015-04-01,6500
2015-04-02,6500
2015-04-03,6500
2015-04-04,6500
2015-04-05,6500
2015-04-06,6500
2015-04-07,6500
2015-04-08,6500
2015-04-09,6500
2015-04-10,6500
2015-04-11,6500
2015-04-12,6500
2015-04-13,6500
2015-04-14,6500
2015-04-15,6500
2015-04-16,6500
2015-04-17,6500
2015-04-18,6500
2015-04-19,6500
2015-04-20,6500
2015-04-21,6500
2015-04-22,6500
2015-04-23,6500
2015-04-24,6500
2015-04-25,6500
2015-04-26,6500
2015-04-27,6500
2015-04-28,6500
2015-04-29,6500
2015-04-30,6500
2015-05-01,6500
2015-05-02,6500
2015-05-03,6500
2015-05-04,6500
2015-05-05,6500
2015-05-06,6500
2015-05-07,6500
2015-05-08,6500
2015-05-09,6500
2015-05-10,6500
2015-05-11,6194
2015-05-12,6194
2015-05-13,6194
2015-05-14,6194
2015-05-15,6194
2015-05-16,6194
2015-05-17,6194
2015-05-18,6194
2015-05-19,6194
2015-05-20,6194
2015-05-21,6194
2015-05-22,6194
2015-05-23,6194
2015-05-24,6194
2015-05-25,6194
2015-05-26,6194
2015-05-27,6194
2015-05-28,6194
2015-05-29,6194
2015-05-30,6194
2015-05-31,6194
2015-06-01,6194
2015-06-02,6194
2015-06-03,6194
2015-06-04,6194
2015-06-05,6194
2015-06-06,6194
2015-06-07,6194
2015-06-08,6194
2015-06-09,6194
2015-06-10,6194
2015-06-11,6194
2015-06-12,6194
2015-06-13,6194
2015-06-14,6194
2015-06-15,6194
2015-06-16,6194
2015-06-17,6194
2015-06-18,6194
2015-06-19,6194
2015-06-20,6194
2015-06-21,6194
2015-06-22,6194
2015-06-23,6194
2015-06-24,6194
2015-06-25,6194
2015-06-26,6194
2015-06-27,6194
2015-06-28,6194
2015-06-29,6194
2015-06-30,6194
2015-07-01,6194
2015-07-02,6194
2015-07-03,6194
2015-07-04,5902
2015-07-05,5902
2015-07-06,5902
2015-07-07,5902
2015-07-08,5902
2015-07-09,5902
2015-07-10,5902
2015-07-11,5902
2015-07-12,5902
2015-07-13,5902
2015-07-14,5902
2015-07-15,5902
2015-07-16,5902
2015-07-17,5902
2015-07-18,5902
2015-07-19,5902
2015-07-20,5902
2015-07-21,5902
2015-07-22,5902
2015-07-23,5902
2015-07-24,5902
2015-07-25,5902
2015-07-26,5902
2015-07-27,5902
2015-07-28,5902
2015-07-29,5902
2015-07-30,5902
2015-07-31,5902
2015-08-01,5902
2015-08-02,5902
2015-08-03,5902
2015-08-04,5902
2015-08-05,5902
2015-08-06,5902
2015-08-07,5902
2015-08-08,5902
2015-08-09,5902
2015-08-10,5902
2015-08-11,5902
2015-08-12,5902
2015-08-13,5902
2015-08-14,5902
2015-08-15,5902
2015-08-16,5902
2015-08-17,5902
2015-08-18,5902
2015-08-19,5902
2015-08-20,5902
2015-08-21,5902
2015-08-22,5902
2015-08-23,5902
2015-08-24,5638
2015-08-25,5638
2015-08-26,5638
2015-08-27,5638
2015-08-28,5638
2015-08-29,5638
2015-08-30,5638
2015-08-31,5638
2015-09-01,5638
2015-09-02,5638
2015-09-03,5638
2015-09-04,5638
2015-09-05,5638
2015-09-06,5638
2015-09-07,5638
2015-09-08,5638
2015-09-09,5638
2015-09-10,5638
2015-09-11,5638
2015-09-12,5638
2015-09-13,5638
2015-09-14,5638
2015-09-15,5638
2015-09-16,5638
2015-09-17,5638
2015-09-18,5638
2015-09-19,5638
2015-09-20,5638
2015-09-21,5638
2015-09-22,5638
2015-09-23,5638
2015-09-24,5638
2015-09-25,5638
2015-09-26,5638
2015-09-27,5638
2015-09-28,5638
2015-09-29,5638
2015-09-30,5638
2015-10-01,5638
2015-10-02,5638
2015-10-03,5638
2015-10-04,5638
2015-10-05,5638
2015-10-06,5638
2015-10-07,5638
2015-10-08,5638
2015-10-09,5638
2015-10-10,5638
2015-10-11,5638
2015-10-12,5638
2015-10-13,5638
2015-10-14,5638
2015-10-15,5638
2015-10-16,5638
2015-10-17,5638
2015-10-18,5638
2015-10-19,5638
2015-10-20,5638
2015-10-21,5638
2015-10-22,5638
2015-10-23,5638
2015-10-24,5638
2015-10-25,5376
2015-10-26,5376
2015-10-27,5376
2015-10-28,5376
2015-10-29,5376
2015-10-30,5376
2015-10-31,5376
2015-11-01,5376
2015-11-02,5376
2015-11-03,5376
2015-11-04,5376
2015-11-05,5376
2015-11-06,5376
