date_obj,Onyx%20bolts%20(e) price
2015-03-26,8827
2015-03-27,8827
2015-03-28,8891
2015-03-29,8993
2015-03-30,8853
2015-03-31,8853
2015-04-01,8815
2015-04-02,8815
2015-04-03,8906
2015-04-04,8853
2015-04-05,8853
2015-04-06,8865
2015-04-07,9036
2015-04-08,9036
2015-04-09,9091
2015-04-10,8885
2015-04-11,8829
2015-04-12,8929
2015-04-13,8983
2015-04-14,8983
2015-04-15,8916
2015-04-16,8916
2015-04-17,8837
2015-04-18,8894
2015-04-19,8871
2015-04-20,8871
2015-04-21,8872
2015-04-22,8872
2015-04-23,8930
2015-04-24,8912
2015-04-25,8859
2015-04-26,8810
2015-04-27,8797
2015-04-28,8823
2015-04-29,8823
2015-04-30,8890
2015-05-01,8944
2015-05-02,8955
2015-05-03,8955
2015-05-04,8954
2015-05-05,8954
2015-05-06,8895
2015-05-07,8837
2015-05-08,8837
2015-05-09,8839
2015-05-10,8796
2015-05-11,8796
2015-05-12,8848
2015-05-13,8848
2015-05-14,8975
2015-05-15,8975
2015-05-16,8833
2015-05-17,8812
2015-05-18,8787
2015-05-19,8787
2015-05-20,8794
2015-05-21,8794
2015-05-22,8837
2015-05-23,8837
2015-05-24,8866
2015-05-25,8787
2015-05-26,8848
2015-05-27,8848
2015-05-28,8808
2015-05-29,8832
2015-05-30,8827
2015-05-31,8819
2015-06-01,8810
2015-06-02,8897
2015-06-03,8857
2015-06-04,8813
2015-06-05,8848
2015-06-06,8835
2015-06-07,8849
2015-06-08,8862
2015-06-09,8802
2015-06-10,8838
2015-06-11,8789
2015-06-12,8831
2015-06-13,8831
2015-06-14,8881
2015-06-15,8911
2015-06-16,8898
2015-06-17,8856
2015-06-18,8851
2015-06-19,8853
2015-06-20,8848
2015-06-21,8834
2015-06-22,8894
2015-06-23,8887
2015-06-24,8873
2015-06-25,8871
2015-06-26,8839
2015-06-27,8877
2015-06-28,8873
2015-06-29,8794
2015-06-30,8833
2015-07-01,8884
2015-07-02,8825
2015-07-03,8820
2015-07-04,8860
2015-07-05,8852
2015-07-06,8814
2015-07-07,8863
2015-07-08,8898
2015-07-09,8844
2015-07-10,8834
2015-07-11,8821
2015-07-12,8798
2015-07-13,8838
2015-07-14,8863
2015-07-15,8816
2015-07-16,8837
2015-07-17,8919
2015-07-18,8866
2015-07-19,8825
2015-07-20,8816
2015-07-21,8824
2015-07-22,8829
2015-07-23,8794
2015-07-24,8821
2015-07-25,8794
2015-07-26,8772
2015-07-27,8811
2015-07-28,8813
2015-07-29,8820
2015-07-30,8823
2015-07-31,8784
2015-08-01,8793
2015-08-02,8825
2015-08-03,8826
2015-08-04,8808
2015-08-05,8824
2015-08-06,8849
2015-08-07,8843
2015-08-08,8836
2015-08-09,8851
2015-08-10,8867
2015-08-11,8883
2015-08-12,8866
2015-08-13,8859
2015-08-14,8853
2015-08-15,8856
2015-08-16,8820
2015-08-17,8811
2015-08-18,8821
2015-08-19,8833
2015-08-20,8830
2015-08-21,8814
2015-08-22,8811
2015-08-23,8812
2015-08-24,8828
2015-08-25,8786
2015-08-26,8786
2015-08-27,8821
2015-08-28,8843
2015-08-29,8851
2015-08-30,8858
2015-08-31,8832
2015-09-01,8840
2015-09-02,8842
2015-09-03,8908
2015-09-04,8884
2015-09-05,9009
2015-09-06,8836
2015-09-07,8816
2015-09-08,8798
2015-09-09,8825
2015-09-10,8837
2015-09-11,8842
2015-09-12,8823
2015-09-13,8835
2015-09-14,8850
2015-09-15,8846
2015-09-16,8852
2015-09-17,8869
2015-09-18,8910
2015-09-19,8934
2015-09-20,8992
2015-09-21,8924
2015-09-22,8824
2015-09-23,8994
2015-09-24,8933
2015-09-25,8975
2015-09-27,9011
2015-09-28,8882
2015-09-29,8998
2015-09-30,8846
2015-10-05,8894
2015-10-06,8992
2015-10-07,8970
2015-10-08,8895
2015-10-09,8960
2015-10-10,8871
2015-10-11,8885
2015-10-12,8870
2015-10-13,8859
2015-10-14,8885
2015-10-15,8874
2015-10-16,8843
2015-10-17,8818
2015-10-18,8851
2015-10-19,8834
2015-10-20,8853
2015-10-22,8944
2015-10-23,8912
2015-10-24,8816
2015-10-25,8801
2015-10-26,8821
2015-10-27,8842
2015-10-29,8864
2015-10-30,8846
2015-10-31,8856
2015-11-01,8848
2015-11-02,8866
2015-11-03,8907
2015-11-04,8964
2015-11-05,8945
2015-11-06,8950
2015-11-07,8937
2015-11-08,8871
2015-11-09,8866
2015-11-10,8910
2015-11-11,8887
2015-11-12,8892
2015-11-13,8852
2015-11-14,8889
2015-11-15,8880
2015-11-16,8909
2015-11-17,8889
2015-11-18,8933
2015-11-19,9005
2015-11-20,8955
2015-11-21,8955
2015-11-22,8917
2015-11-23,8917
2015-11-24,8926
2015-11-25,8962
2015-11-26,8962
2015-11-27,8924
2015-11-28,8918
2015-11-29,8924
2015-11-30,8902
2015-12-01,8953
2015-12-02,8951
2015-12-03,8986
2015-12-04,9017
2015-12-05,8889
2015-12-06,8895
2015-12-07,8923
2015-12-08,8954
2015-12-09,8948
2015-12-10,8912
2015-12-11,8882
2015-12-12,8875
2015-12-13,8892
2015-12-14,8882
2015-12-15,8910
2015-12-16,8966
2015-12-17,8963
2015-12-18,8960
2015-12-19,8920
2015-12-20,8888
2015-12-21,8840
2015-12-22,8817
2015-12-23,8899
2015-12-24,8936
2015-12-25,8996
2015-12-26,8914
2015-12-27,8868
2015-12-28,8855
2015-12-29,8859
2015-12-30,8876
2015-12-31,8940
2016-01-01,8904
2016-01-02,8873
2016-01-03,8832
2016-01-04,8845
2016-01-05,8827
2016-01-06,8855
2016-01-07,8853
2016-01-08,8859
2016-01-09,8875
2016-01-10,8899
2016-01-11,8893
2016-01-12,8880
2016-01-13,8873
2016-01-14,8855
2016-01-15,8841
2016-01-16,8867
2016-01-17,8863
2016-01-18,8858
2016-01-19,8854
2016-01-20,8842
2016-01-21,8848
2016-01-22,8863
2016-01-23,8836
2016-01-24,8841
2016-01-25,8861
2016-01-26,8916
2016-01-27,8814
2016-01-28,8797
2016-01-29,8850
2016-01-30,8833
2016-01-31,8853
2016-02-01,8860
2016-02-02,8859
2016-02-03,8899
2016-02-04,8851
2016-02-05,8823
2016-02-06,8840
2016-02-07,8830
2016-02-08,8834
2016-02-09,8830
2016-02-10,8815
2016-02-11,8841
2016-02-12,8839
2016-02-13,8815
2016-02-14,8812
2016-02-15,8800
2016-02-16,8818
2016-02-17,8808
2016-02-18,8811
2016-02-19,8829
2016-02-20,8841
2016-02-21,8839
2016-02-22,8832
2016-02-23,8844
2016-02-24,8845
2016-02-25,8842
2016-02-26,8868
2016-02-27,8836
2016-02-28,8819
2016-02-29,8825
2016-03-01,8827
2016-03-02,8837
2016-03-03,8830
2016-03-04,8829
2016-03-05,8827
2016-03-06,8806
2016-03-07,8831
2016-03-08,8838
2016-03-09,8862
2016-03-10,8874
2016-03-11,8862
2016-03-12,8804
2016-03-13,8793
2016-03-14,8814
2016-03-15,8825
2016-03-16,8837
2016-03-17,8858
2016-03-18,8827
2016-03-19,8799
2016-03-20,8793
2016-03-21,8799
2016-03-22,8795
2016-03-23,8807
2016-03-24,8815
2016-03-25,8842
2016-03-26,8826
2016-03-27,8816
2016-03-28,8823
2016-03-29,8830
2016-03-30,8817
2016-03-31,8825
2016-04-01,8829
2016-04-02,8821
2016-04-03,8813
2016-04-04,8819
2016-04-05,8827
2016-04-06,8834
2016-04-07,8874
2016-04-08,8852
2016-04-09,8835
2016-04-10,8841
2016-04-11,8841
2016-04-12,8866
2016-04-13,8860
2016-04-14,8871
2016-04-15,8857
2016-04-16,8860
2016-04-17,8861
2016-04-18,8862
2016-04-19,8837
2016-04-20,8847
2016-04-21,8830
2016-04-22,8784
2016-04-23,8809
2016-04-24,8822
2016-04-25,8829
2016-04-26,8837
2016-04-27,8815
2016-04-28,8820
2016-04-29,8806
2016-04-30,8813
2016-05-01,8784
2016-05-02,8827
2016-05-03,8828
2016-05-04,8822
2016-05-05,8835
2016-05-06,8836
2016-05-07,8823
2016-05-08,8813
2016-05-09,8798
2016-05-10,8782
2016-05-11,8804
2016-05-12,8821
2016-05-13,8817
2016-05-14,8828
2016-05-15,8830
2016-05-16,8813
2016-05-17,8808
2016-05-18,8803
2016-05-19,8807
2016-05-22,8771
2016-05-23,8791
2016-05-24,8823
2016-05-25,8832
2016-05-26,8871
2016-05-27,8855
2016-05-28,8820
2016-05-29,8828
2016-05-30,8810
2016-05-31,8841
2016-06-01,8819
2016-06-02,8860
2016-06-03,8828
2016-06-04,8835
2016-06-05,8826
2016-06-06,8824
2016-06-07,8805
2016-06-08,8813
2016-06-09,8818
2016-06-10,8833
2016-06-11,8839
2016-06-12,8830
2016-06-13,8829
2016-06-14,8877
2016-06-15,8859
2016-06-16,8852
2016-06-17,8828
2016-06-18,8816
2016-06-19,8850
2016-06-20,8842
2016-06-21,8848
2016-06-22,8851
2016-06-23,8834
2016-06-24,8830
2016-06-25,8810
2016-06-26,8816
2016-06-27,8831
2016-06-28,8849
2016-06-29,8853
2016-06-30,8853
2016-07-01,8934
2016-07-02,8863
2016-07-03,8854
2016-07-04,8859
2016-07-05,8851
2016-07-06,8822
2016-07-07,8836
2016-07-08,8883
2016-07-09,8829
2016-07-10,8825
2016-07-11,8815
2016-07-12,8821
2016-07-13,8808
2016-07-14,8826
2016-07-15,8835
2016-07-16,8829
2016-07-17,8804
2016-07-18,8849
2016-07-23,8816
2016-07-24,8807
2016-07-25,8778
2016-07-26,8819
2016-07-27,8833
2016-07-28,8805
2016-07-29,8821
2016-07-30,8837
2016-07-31,8821
2016-08-01,8810
2016-08-02,8807
2016-08-03,8810
2016-08-04,8815
2016-08-05,8811
2016-08-06,8842
2016-08-07,8807
2016-08-08,8799
2016-08-09,8793
2016-08-10,8821
2016-08-11,8829
2016-08-12,8818
2016-08-13,8819
2016-08-14,8817
2016-08-15,8828
2016-08-16,8831
2016-08-17,8825
2016-08-18,8822
2016-08-19,8810
2016-08-20,8824
2016-08-21,8810
2016-08-22,8817
2016-08-23,8812
2016-08-24,8816
2016-08-25,8794
2016-08-26,8790
2016-08-28,8787
2016-08-31,8794
2016-09-01,8800
2016-09-02,8822
2016-09-03,8800
2016-09-04,8792
2016-09-05,8793
2016-09-06,8797
2016-09-07,8800
2016-09-08,8797
2016-09-09,8806
2016-09-10,8807
2016-09-11,8812
2016-09-12,8811
2016-09-13,8815
2016-09-14,8833
2016-09-15,8809
2016-09-16,8821
2016-09-17,8803
2016-09-18,8792
2016-09-19,8791
2016-09-20,8780
2016-09-21,8780
2016-09-22,8797
2016-09-23,8802
2016-09-24,8795
2016-09-25,8788
2016-09-26,8802
2016-09-27,8783
2016-09-28,8792
2016-09-29,8798
2016-09-30,8791
2016-10-01,8809
2016-10-02,8805
2016-10-03,8800
2016-10-04,8790
2016-10-05,8791
2016-10-06,8814
2016-10-07,8802
2016-10-08,8791
2016-10-09,8786
2016-10-10,8800
2016-10-11,8807
2016-10-12,8811
2016-10-13,8818
2016-10-14,8812
2016-10-15,8790
2016-10-16,8777
2016-10-17,8805
2016-10-18,8803
2016-10-19,8804
2016-10-20,8788
2016-10-21,8802
2016-10-22,8805
2016-10-23,8798
2016-10-24,8781
2016-10-25,8789
2016-10-26,8795
2016-10-27,8794
2016-10-28,8806
2016-10-29,8808
2016-10-30,8803
2016-10-31,8799
2016-11-01,8809
2016-11-02,8808
2016-11-03,8793
2016-11-04,8813
2016-11-05,8795
