date_obj,Evil%20chicken%20wings price
2016-07-23,762282
2016-07-24,762282
2016-07-25,762282
2016-07-26,762282
2016-07-27,762282
2016-07-28,762282
2016-07-29,797191
2016-07-30,797191
2016-07-31,797191
2016-08-01,797191
2016-08-02,797191
2016-08-03,797191
2016-08-04,797191
2016-08-05,797191
2016-08-06,797191
2016-08-07,797191
2016-08-08,797191
2016-08-09,797191
2016-08-10,797191
2016-08-11,797191
2016-08-12,797191
2016-08-13,797191
2016-08-14,797191
2016-08-15,797191
2016-08-16,797191
2016-08-17,797191
2016-08-18,797191
2016-08-19,832069
2016-08-20,832069
2016-08-21,832069
2016-08-22,832069
2016-08-23,832069
2016-08-24,832069
2016-08-25,832069
2016-08-26,832069
2016-08-28,832069
2016-08-31,832069
2016-09-01,832069
2016-09-02,832069
2016-09-03,832069
2016-09-04,832069
2016-09-05,832069
2016-09-06,832069
2016-09-07,832069
2016-09-08,832069
2016-09-09,832069
2016-09-10,832069
2016-09-11,832069
2016-09-12,832069
2016-09-13,832069
2016-09-14,832069
2016-09-15,832069
2016-09-16,832069
2016-09-17,832069
2016-09-18,832069
2016-09-19,832069
2016-09-20,832069
2016-09-21,864192
2016-09-22,864192
2016-09-23,864192
2016-09-24,864192
2016-09-25,864192
2016-09-26,864192
2016-09-27,864192
2016-09-28,864192
2016-09-29,864192
2016-09-30,864192
2016-10-01,864192
2016-10-02,864192
2016-10-03,864192
2016-10-04,864192
2016-10-05,864192
2016-10-06,864192
2016-10-07,864192
2016-10-08,864192
2016-10-09,864192
2016-10-10,864192
2016-10-11,864192
2016-10-12,864192
2016-10-13,864192
2016-10-14,864192
2016-10-15,864192
2016-10-16,864192
2016-10-17,864192
2016-10-18,864192
2016-10-19,864192
2016-10-20,864192
2016-10-21,864192
2016-10-22,864192
2016-10-23,864192
2016-10-24,864192
2016-10-25,864192
2016-10-26,864192
2016-10-27,864192
2016-10-28,864192
2016-10-29,864192
2016-10-30,864192
2016-10-31,878003
2016-11-01,878003
2016-11-02,878003
2016-11-03,878003
2016-11-04,878003
2016-11-05,878003
2016-11-06,878003
2016-11-07,878003
2016-11-08,878003
2016-11-09,878003
2016-11-10,878003
2016-11-11,878003
2016-11-12,878003
2016-11-13,878003
2016-11-14,878003
2016-11-15,878003
2016-12-07,878003
2016-12-08,878003
2016-12-09,878003
2016-12-10,878003
2016-12-11,878003
2016-12-12,907455
2016-12-13,907455
2016-12-14,907455
2016-12-15,907455
2016-12-16,907455
2016-12-17,907455
2016-12-18,907455
2016-12-19,907455
2016-12-20,907455
2016-12-21,907455
2016-12-22,907455
2016-12-23,907455
2016-12-24,907455
2016-12-25,907455
2016-12-26,907455
2016-12-27,907455
2016-12-28,907455
2016-12-29,907455
2016-12-30,907455
2016-12-31,907455
2017-01-01,907455
2017-01-02,907455
2017-01-03,907455
2017-01-04,907455
2017-01-05,907455
2017-01-06,907455
2017-01-07,907455
2017-01-08,907455
2017-01-09,907455
2017-01-10,907455
2017-01-11,907455
2017-01-12,907455
2017-01-13,907455
2017-01-14,907455
2017-01-15,907455
2017-01-16,907455
2017-01-17,907455
2017-01-18,907455
2017-01-19,907455
2017-01-20,907455
2017-01-21,907455
2017-01-22,907455
2017-01-23,907455
2017-01-27,865647
2017-01-28,865647
2017-01-29,865647
2017-01-30,865647
2017-01-31,865647
2017-02-01,865647
2017-02-02,865647
2017-02-03,865647
2017-02-04,865647
2017-02-05,865647
2017-02-06,865647
2017-02-07,865647
2017-02-08,865647
2017-02-09,865647
2017-02-10,865647
2017-02-11,865647
2017-02-12,865647
2017-02-13,865647
2017-02-14,865647
2017-02-15,865647
2017-02-16,865647
2017-02-18,865647
2017-02-19,865647
2017-02-20,865647
2017-02-21,865647
2017-02-22,865647
2017-02-23,865647
2017-02-24,865647
2017-02-25,865647
2017-02-26,865647
2017-02-27,865647
2017-02-28,824211
2017-03-01,824211
2017-03-02,824211
2017-03-03,824211
2017-03-04,824211
2017-03-05,824211
2017-03-06,824211
2017-03-07,824211
2017-03-08,824211
2017-03-09,824211
2017-03-10,824211
2017-03-11,824211
2017-03-12,824211
2017-03-13,824211
2017-03-14,824211
2017-03-15,824211
2017-03-16,824211
2017-03-17,824211
2017-03-18,824211
2017-03-19,824211
2017-03-20,824211
2017-03-21,824211
2017-03-22,824211
2017-03-23,824211
2017-03-24,824211
2017-03-25,824211
2017-03-26,824211
2017-03-27,824211
2017-03-28,824211
2017-03-29,824211
2017-03-30,824211
2017-03-31,824211
2017-04-01,824211
2017-04-02,824211
2017-04-03,824211
2017-04-04,784622
2017-04-12,784622
2017-04-13,784622
2017-04-14,784622
2017-04-15,784622
2017-04-16,784622
2017-04-17,784622
2017-04-18,784622
2017-04-19,784622
2017-04-20,784622
2017-04-21,784622
2017-04-22,784622
2017-04-23,784622
2017-04-24,784622
2017-04-25,784622
2017-04-26,784622
2017-04-27,784622
2017-04-28,784622
2017-04-29,784622
2017-04-30,784622
2017-05-01,784622
2017-05-02,784622
2017-05-03,784622
2017-05-04,784622
2017-05-05,784622
2017-05-06,784622
2017-05-07,784622
2017-05-08,746485
2017-05-09,746485
2017-05-10,746485
2017-05-11,746485
2017-05-12,746485
2017-05-13,746485
2017-05-14,746485
2017-05-15,746485
2017-05-16,746485
2017-05-17,746485
2017-05-18,746485
2017-05-19,746485
2017-05-20,746485
2017-05-21,746485
2017-05-22,746485
2017-05-23,746485
2017-05-24,746485
2017-05-25,746485
2017-05-26,746485
2017-05-27,746485
2017-05-28,746485
2017-05-29,746485
2017-05-30,746485
2017-05-31,746485
2017-06-01,746485
2017-06-02,746485
2017-06-03,746485
2017-06-04,713270
2017-06-05,713270
2017-06-06,713270
2017-06-07,713270
2017-06-08,713270
2017-06-09,713270
2017-06-10,713270
2017-06-11,713270
2017-06-12,713270
2017-06-13,713270
2017-06-14,713270
2017-06-15,713270
2017-06-16,713270
2017-06-17,713270
2017-06-18,713270
2017-06-19,713270
2017-06-20,713270
2017-06-21,713270
2017-06-22,713270
2017-06-23,713270
