date_obj,Gilded%20med%20helm price
2017-06-24,187847
2017-06-25,187847
2017-06-26,187847
2017-06-27,184947
2017-06-28,184947
2017-06-29,184947
2017-06-30,184470
2017-07-01,184470
2017-07-02,184470
2017-07-03,182398
2017-07-04,182398
2017-07-05,182398
2017-07-06,183110
2017-07-07,183110
2017-07-08,183110
2017-07-13,184385
2017-07-14,181728
2017-07-15,181728
2017-07-16,181728
2017-07-17,183068
2017-07-18,183068
2017-07-19,182348
2017-07-20,182348
2017-07-21,185531
2017-07-22,185531
2017-07-23,185895
2017-07-24,185895
2017-07-25,184416
2017-07-26,184416
2017-07-27,183789
2017-07-28,183789
2017-07-29,183789
2017-07-30,186377
2017-07-31,186377
2017-08-01,186377
2017-08-02,186366
2017-08-03,186366
2017-08-04,186366
2017-08-05,185966
2017-08-06,185966
2017-08-09,183949
2017-08-10,187269
2017-08-11,187269
2017-08-12,188000
2017-08-13,188000
2017-08-14,188000
2017-08-15,189700
2017-08-16,189700
2017-08-17,192863
2017-08-18,192863
2017-08-19,192863
2017-08-20,192037
2017-08-21,192037
2017-08-22,190059
2017-08-23,190059
2017-08-24,190059
2017-08-25,189213
2017-08-26,189213
2017-08-27,189213
2017-08-28,187096
2017-08-29,187096
2017-08-30,188530
2017-08-31,188530
2017-09-01,189824
2017-09-02,189824
2017-09-03,189108
2017-09-04,189108
2017-09-05,189538
2017-09-06,189538
2017-09-07,189538
2017-09-08,192173
2017-09-09,197755
2017-09-10,197755
2017-09-11,204321
2017-09-12,204321
2017-09-13,204321
2017-09-14,209930
2017-09-15,209930
2017-09-16,209930
2017-09-17,211104
2017-09-18,211104
2017-09-19,211104
2017-09-20,209958
2017-09-21,209958
2017-09-22,211444
2017-09-23,211444
2017-09-24,214061
2017-09-25,214061
2017-09-26,214970
2017-09-27,214970
2017-09-28,214970
2017-09-29,218209
2017-09-30,218209
2017-10-01,216497
2017-10-02,216497
2017-10-03,211474
2017-10-04,211474
2017-10-05,211474
2017-10-06,211580
2017-10-07,211580
2017-10-08,212059
2017-10-09,212059
2017-10-10,213693
2017-10-11,213693
2017-10-12,214415
2017-10-13,214415
2017-10-14,213850
2017-10-15,213850
2017-10-16,213056
2017-10-17,213056
2017-10-18,213386
2017-10-19,213386
2017-10-20,213386
2017-10-21,214646
2017-10-22,214646
2017-10-23,215943
2017-10-24,215943
2017-10-25,215242
2017-10-26,215242
2017-10-27,215355
2017-10-28,215355
2017-10-29,215962
2017-10-30,215962
2017-10-31,214163
2017-11-01,214163
2017-11-02,214163
2017-11-03,214649
2017-11-04,212683
2017-11-05,212683
2017-11-06,215226
2017-11-07,215226
2017-11-08,215226
2017-11-09,214801
