date_obj,Twisted%20bow price
2017-01-04,103565000
2017-01-05,108556139
2017-01-06,113732695
2017-01-07,119148685
2017-01-08,124597001
2017-01-09,130373432
2017-01-10,136642434
2017-01-11,143344440
2017-01-12,150297348
2017-01-13,157574904
2017-01-14,165168455
2017-01-15,173218682
2017-01-16,181655561
2017-01-17,190377481
2017-01-18,199896356
2017-01-19,208957337
2017-01-20,218785829
2017-01-21,229080446
2017-01-22,240534469
2017-01-27,290336258
2017-01-28,304403105
2017-01-29,304403105
2017-01-30,318861719
2017-01-31,318861719
2017-02-01,333554667
2017-02-02,333554667
2017-02-03,350029491
2017-02-04,366843236
2017-02-05,366843236
2017-02-06,385185398
2017-02-07,385185398
2017-02-08,404444668
2017-02-09,404444668
2017-02-10,424469369
2017-02-11,424469369
2017-02-12,445278628
2017-02-13,445278628
2017-02-14,467542560
2017-02-15,467542560
2017-02-16,490919688
2017-02-18,515070754
2017-02-19,540824292
2017-02-20,540824292
2017-02-21,567470745
2017-02-22,567470745
2017-02-23,595844283
2017-02-24,595844283
2017-02-25,625636498
2017-02-26,625636498
2017-02-27,656918323
2017-02-28,689764240
2017-03-01,689764240
2017-03-02,724252452
2017-03-03,724252452
2017-03-04,759885054
2017-03-05,759885054
2017-03-06,797879307
2017-03-07,837334878
2017-03-08,837334878
2017-03-09,878844481
2017-03-10,878844481
2017-03-11,922786706
2017-03-12,968926042
2017-03-13,1017372345
2017-03-14,1064132886
2017-03-15,1064132886
2017-03-16,1097689789
2017-03-17,1053386955
2017-03-18,1002952922
2017-03-19,952805275
2017-03-20,951731890
2017-03-21,951731890
2017-03-22,993894724
2017-03-23,993894724
2017-03-24,1006726821
2017-03-25,1006726821
2017-03-26,996566860
2017-03-27,996566860
2017-03-28,1021779664
2017-03-29,1044881147
2017-03-30,1044881147
2017-03-31,1093538657
2017-04-01,1093538657
2017-04-02,1069460659
2017-04-03,1079993596
2017-04-04,1079993596
2017-04-12,1102723203
2017-04-13,1129379550
2017-04-14,1129379550
2017-04-15,1161233546
2017-04-16,1129766669
2017-04-17,1130882297
2017-04-18,1130882297
2017-04-19,1151549841
2017-04-20,1151549841
2017-04-21,1171952228
2017-04-22,1171952228
2017-04-23,1186448263
2017-04-24,1186448263
2017-04-25,1207660201
2017-04-26,1207660201
2017-04-27,1202235875
2017-04-28,1203509018
2017-04-29,1203790046
2017-04-30,1203790046
2017-05-01,1203907326
2017-05-02,1204891314
2017-05-03,1204891314
2017-05-04,1207591925
2017-05-05,1217403591
2017-05-06,1234280864
2017-05-07,1230375637
2017-05-08,1230375637
2017-05-09,1232139058
2017-05-10,1232139058
2017-05-11,1231687940
2017-05-12,1236996145
2017-05-13,1274604821
2017-05-14,1274604821
2017-05-15,1300164334
2017-05-16,1308086675
2017-05-17,1308086675
2017-05-18,1268370131
2017-05-19,1268370131
2017-05-20,1275711130
2017-05-21,1275711130
2017-05-22,1272981861
2017-05-23,1276720088
2017-05-24,1281069563
2017-05-25,1276392391
2017-05-26,1229728115
2017-05-27,1169171964
2017-05-28,1183907191
2017-05-29,1185464655
2017-05-30,1223637502
2017-05-31,1249149907
2017-06-01,1200518601
2017-06-02,1216895086
2017-06-03,1216895086
2017-06-06,1185815257
2017-06-07,1194299150
2017-06-08,1194299150
2017-06-09,1191003281
2017-06-10,1150587178
2017-06-11,1117723954
2017-06-12,1062693683
2017-06-13,1089471763
2017-06-14,1136495100
2017-06-15,1108358362
2017-06-16,1102241964
2017-06-17,1087065010
2017-06-18,1078098021
2017-06-19,1078098021
2017-06-20,1087924001
2017-06-21,1114713035
2017-06-22,1095358763
2017-06-23,1093910607
2017-06-24,1097027330
2017-06-25,1069954577
2017-06-26,1066492785
2017-06-27,1069074818
2017-06-28,1084874734
2017-06-29,1080776014
2017-06-30,1082546965
2017-07-01,1082546965
2017-07-02,1069542113
2017-07-03,1068222948
2017-07-04,1074611772
2017-07-05,1074611772
2017-07-06,1067387905
2017-07-07,1067387905
2017-07-08,1062158528
2017-07-13,977116894
2017-07-14,996935547
2017-07-15,996935547
2017-07-16,994346393
2017-07-17,973773657
2017-07-18,951469657
2017-07-19,951954375
2017-07-20,954190896
2017-07-21,966239846
2017-07-22,969011639
2017-07-23,960973975
2017-07-24,957494368
2017-07-25,951623545
2017-07-26,937137178
2017-07-27,906443264
2017-07-28,872426650
2017-07-29,850925206
2017-07-30,870488237
2017-07-31,888813968
2017-08-01,891284189
2017-08-02,898696210
2017-08-03,907827469
2017-08-04,908831584
2017-08-05,902620696
2017-08-06,904644776
