date_obj,Guthix%20d'hide%20boots price
2016-07-06,2073647
2016-07-07,2073647
2016-07-08,2166099
2016-07-09,2262391
2016-07-10,2365088
2016-07-11,2470451
2016-07-12,2470451
2016-07-13,2591941
2016-07-14,2683165
2016-07-15,2683165
2016-07-16,2766778
2016-07-17,2766778
2016-07-18,2870223
2016-07-23,3006738
2016-07-24,2874359
2016-07-25,2874359
2016-07-26,2730641
2016-07-27,2730641
2016-07-28,2594108
2016-07-29,2464402
2016-07-30,2464402
2016-07-31,2341181
2016-08-01,2341181
2016-08-02,2224121
2016-08-03,2224121
2016-08-04,2112914
2016-08-05,2112914
2016-08-06,2009458
2016-08-07,2009458
2016-08-08,1908985
2016-08-09,1908985
2016-08-10,1813535
2016-08-11,1813535
2016-08-12,1722858
2016-08-13,1722858
2016-08-14,1636715
2016-08-15,1555925
2016-08-16,1555925
2016-08-17,1483265
2016-08-18,1483265
2016-08-19,1409101
2016-08-20,1338645
2016-08-21,1338645
2016-08-22,1272072
2016-08-23,1211520
2016-08-24,1211520
2016-08-25,1182476
2016-08-26,1182476
2016-08-28,1190495
2016-08-31,1261288
2016-09-01,1312780
2016-09-02,1312780
2016-09-03,1363836
2016-09-04,1427466
2016-09-05,1493546
2016-09-06,1559504
2016-09-07,1559504
2016-09-08,1625729
2016-09-09,1625729
2016-09-10,1599421
2016-09-11,1599421
2016-09-12,1534852
2016-09-13,1500417
2016-09-14,1500417
2016-09-15,1463500
2016-09-16,1463500
2016-09-17,1445245
2016-09-18,1445245
2016-09-19,1388886
2016-09-20,1388886
2016-09-21,1326612
2016-09-22,1322891
2016-09-23,1322891
2016-09-24,1375000
2016-09-25,1351896
2016-09-26,1351896
2016-09-27,1307244
2016-09-28,1307244
2016-09-29,1241998
2016-09-30,1180265
2016-10-01,1124260
2016-10-02,1124260
2016-10-03,1093094
2016-10-04,1093094
2016-10-05,1048095
2016-10-06,1057040
2016-10-07,1057040
2016-10-08,1093034
2016-10-09,1093034
2016-10-10,1109298
2016-10-11,1132371
2016-10-12,1132371
2016-10-13,1183489
2016-10-14,1235428
2016-10-15,1284462
2016-10-16,1284462
