date_obj,Goat%20horn%20dust price
2015-03-26,341
2015-03-27,341
2015-03-28,341
2015-03-29,341
2015-03-30,341
2015-03-31,341
2015-04-01,341
2015-04-02,341
2015-04-03,324
2015-04-04,324
2015-04-05,324
2015-04-06,324
2015-04-07,324
2015-04-08,324
2015-04-09,324
2015-04-10,324
2015-04-11,324
2015-04-12,324
2015-04-13,324
2015-04-14,307
2015-04-15,307
2015-04-16,307
2015-04-17,307
2015-04-18,307
2015-04-19,307
2015-04-20,307
2015-04-21,307
2015-04-22,307
2015-04-23,307
2015-04-24,307
2015-04-25,307
2015-04-26,291
2015-04-27,291
2015-04-28,291
2015-04-29,291
2015-04-30,291
2015-05-01,291
2015-05-02,291
2015-05-03,291
2015-05-04,291
2015-05-05,291
2015-05-06,291
2015-05-07,291
2015-05-08,277
2015-05-09,277
2015-05-10,277
2015-05-11,277
2015-05-12,277
2015-05-13,277
2015-05-14,277
2015-05-15,277
2015-05-16,277
2015-05-17,277
2015-05-18,277
2015-05-19,277
2015-05-20,277
2015-05-21,277
2015-05-22,266
2015-05-23,266
2015-05-24,266
2015-05-25,266
2015-05-26,266
2015-05-27,266
2015-05-28,266
2015-05-29,266
2015-05-30,266
2015-05-31,266
2015-06-01,254
2015-06-02,254
2015-06-03,254
2015-06-04,254
2015-06-05,254
2015-06-06,254
2015-06-07,254
2015-06-08,254
2015-06-09,254
2015-06-10,254
2015-06-11,254
2015-06-12,254
2015-06-13,245
2015-06-14,245
2015-06-15,245
2015-06-16,245
2015-06-17,245
2015-06-18,245
2015-06-19,245
2015-06-20,245
2015-06-21,245
2015-06-22,245
2015-06-23,245
2015-06-24,232
2015-06-25,232
2015-06-26,232
2015-06-27,232
2015-06-28,232
2015-06-29,232
2015-06-30,232
2015-07-01,232
2015-07-02,232
2015-07-03,232
2015-07-04,232
2015-07-05,232
2015-07-06,232
2015-07-07,221
2015-07-08,221
2015-07-09,221
2015-07-10,221
2015-07-11,221
2015-07-12,221
2015-07-13,221
2015-07-14,221
2015-07-15,221
2015-07-16,221
2015-07-17,221
2015-07-18,221
2015-07-19,210
2015-07-20,210
2015-07-21,210
2015-07-22,210
2015-07-23,210
2015-07-24,210
2015-07-25,210
2015-07-26,210
2015-07-27,210
2015-07-28,210
2015-07-29,199
2015-07-30,199
2015-07-31,199
2015-08-01,199
2015-08-02,199
2015-08-03,199
2015-08-04,199
2015-08-05,199
2015-08-06,199
2015-08-07,199
2015-08-08,199
2015-08-09,191
2015-08-10,191
2015-08-11,191
2015-08-12,191
