date_obj,Shaikahan%20bones price
2015-03-26,35953
2015-03-27,35953
2015-03-28,35953
2015-03-29,35953
2015-03-30,35953
2015-03-31,35953
2015-04-01,35953
2015-04-02,36889
2015-04-03,36889
2015-04-04,36889
2015-04-05,35044
2015-04-06,35044
2015-04-07,35044
2015-04-08,35044
2015-04-09,35044
2015-04-10,35044
2015-04-11,35044
2015-04-12,35044
2015-04-13,35044
2015-04-14,33321
2015-04-15,33321
2015-04-16,33321
2015-04-17,33321
2015-04-18,33321
2015-04-19,33321
2015-04-20,33321
2015-04-21,33321
2015-04-22,33321
2015-04-23,33321
2015-04-24,33321
2015-04-25,33321
2015-04-26,33321
2015-04-27,33321
2015-04-28,31769
2015-04-29,31769
2015-04-30,31769
2015-05-01,31769
2015-05-02,31769
2015-05-03,31769
2015-05-04,31769
2015-05-05,31769
2015-05-06,31769
2015-05-07,31769
2015-05-08,31769
2015-05-09,31769
2015-05-10,31769
2015-05-11,31769
2015-05-12,31769
2015-05-13,30180
2015-05-14,30180
2015-05-15,30180
2015-05-16,30180
2015-05-17,30180
2015-05-18,30180
2015-05-19,30180
2015-05-20,30180
2015-05-21,30180
2015-05-22,30180
2015-05-23,30180
2015-05-24,30180
2015-05-25,30180
2015-05-26,30180
2015-05-27,30180
2015-05-28,30180
2015-05-29,30180
2015-05-30,28674
2015-05-31,28674
2015-06-01,28674
2015-06-02,28674
2015-06-03,28674
2015-06-04,28674
2015-06-05,28674
2015-06-06,28674
2015-06-07,28674
2015-06-08,28674
2015-06-09,28674
2015-06-10,28674
2015-06-11,28674
2015-06-12,28674
2015-06-13,28674
2015-06-14,28674
2015-06-15,28674
2015-06-16,27348
2015-06-17,27348
2015-06-18,27348
2015-06-19,27348
2015-06-20,27348
2015-06-21,27348
2015-06-22,27348
2015-06-23,27348
2015-06-24,27348
2015-06-25,27348
2015-06-26,27348
2015-06-27,27348
2015-06-28,27348
2015-06-29,27348
2015-06-30,27348
2015-07-01,27348
2015-07-02,27348
2015-07-03,25980
2015-07-04,25980
2015-07-05,25980
2015-07-06,25980
2015-07-07,25980
2015-07-08,25980
2015-07-09,25980
2015-07-10,25980
2015-07-11,25980
2015-07-12,25980
2015-07-13,25980
2015-07-14,25980
2015-07-15,25980
2015-07-16,25980
2015-07-17,25980
2015-07-18,25980
2015-07-19,25980
2015-07-20,25980
2015-07-21,25980
2015-07-22,24744
2015-07-23,24744
2015-07-24,24744
2015-07-25,24744
2015-07-26,24744
2015-07-27,24744
2015-07-28,24744
2015-07-29,24744
2015-07-30,24744
2015-07-31,24744
2015-08-01,24744
2015-08-02,24744
2015-08-03,24744
2015-08-04,24744
2015-08-05,24744
2015-08-06,24744
2015-08-07,24744
2015-08-08,25632
2015-08-09,25632
2015-08-10,25632
2015-08-11,25632
2015-08-12,25632
2015-08-13,25632
2015-08-14,25632
2015-08-15,25632
2015-08-16,25632
2015-08-17,25632
2015-08-18,25632
2015-08-19,25632
2015-08-20,25632
2015-08-21,25632
2015-08-22,24365
2015-08-23,24365
2015-08-24,24365
2015-08-25,24365
2015-08-26,24365
2015-08-27,24365
2015-08-28,24365
2015-08-29,24365
2015-08-30,24365
2015-08-31,24365
2015-09-01,24365
2015-09-02,24365
2015-09-03,24365
2015-09-04,23436
2015-09-05,23436
2015-09-06,23436
2015-09-07,23436
2015-09-08,23436
2015-09-09,23436
2015-09-10,23436
2015-09-11,23436
2015-09-12,23436
2015-09-13,23436
2015-09-14,23436
2015-09-15,23436
2015-09-16,23436
2015-09-17,23436
2015-09-18,23436
