date_obj,Red%20d'hide%20chaps price
2016-02-14,4718
2016-02-15,4779
2016-02-16,4914
2016-02-17,5011
2016-02-18,5085
2016-02-19,5190
2016-02-20,5329
2016-02-21,5448
2016-02-22,5585
2016-02-23,5666
2016-02-24,5644
2016-02-25,5657
2016-02-26,5553
2016-02-27,5522
2016-02-28,5707
2016-02-29,5869
2016-03-01,5783
2016-03-02,5966
2016-03-03,5828
2016-03-04,5696
2016-03-05,5819
2016-03-06,5916
2016-03-07,6183
2016-03-08,6246
2016-03-09,6129
2016-03-10,5967
2016-03-11,5799
2016-03-12,5770
2016-03-13,5493
2016-03-14,5465
2016-03-15,5455
2016-03-16,5469
2016-03-17,5446
2016-03-18,5391
2016-03-19,5375
2016-03-20,5481
2016-03-21,5535
2016-03-22,5649
2016-03-23,5738
2016-03-24,5725
2016-03-25,5762
2016-03-26,5751
2016-03-27,5786
2016-03-28,5871
2016-03-29,5814
2016-03-30,5862
2016-03-31,5841
2016-04-01,5793
2016-04-02,5788
2016-04-03,5770
2016-04-04,5687
2016-04-05,5672
2016-04-06,5625
2016-04-07,5460
2016-04-08,5470
2016-04-09,5514
2016-04-10,5539
2016-04-11,5539
2016-04-12,5467
2016-04-13,5237
2016-04-14,5108
2016-04-15,5066
2016-04-16,5068
2016-04-17,5134
2016-04-18,5086
2016-04-19,5158
2016-04-20,5192
2016-04-21,5262
2016-04-22,5333
2016-04-23,5282
2016-04-24,5207
2016-04-25,5249
2016-04-26,5261
2016-04-27,5254
2016-04-28,5120
2016-04-29,5050
2016-04-30,5079
2016-05-01,5137
2016-05-02,5249
2016-05-03,5256
2016-05-04,5040
2016-05-05,5081
2016-05-06,5179
2016-05-07,5108
2016-05-08,4852
2016-05-09,4790
2016-05-10,4794
2016-05-11,4850
2016-05-12,4888
2016-05-13,4955
2016-05-14,5022
2016-05-15,4979
2016-05-16,4881
2016-05-17,4918
2016-05-18,4981
2016-05-19,5129
2016-05-22,5424
2016-05-23,5678
2016-05-24,5895
2016-05-25,6135
2016-05-26,6050
2016-05-27,5827
2016-05-28,5591
2016-05-29,5527
2016-05-30,5398
2016-05-31,5257
2016-06-01,5381
2016-06-02,5461
2016-06-03,5544
2016-06-04,5485
2016-06-05,5677
2016-06-06,5634
2016-06-07,5640
2016-06-08,5563
2016-06-09,5544
2016-06-10,5473
2016-06-11,5575
2016-06-12,5503
2016-06-13,5280
2016-06-14,5339
2016-06-15,5393
2016-06-16,5526
2016-06-17,5367
2016-06-18,5379
2016-06-19,5514
2016-06-20,5392
2016-06-21,5270
2016-06-22,5270
2016-06-23,5095
2016-06-24,5119
2016-06-25,5044
2016-06-26,4871
2016-06-27,4932
2016-06-28,5047
2016-06-29,5138
2016-06-30,5096
2016-07-01,5036
2016-07-02,5004
2016-07-03,5118
2016-07-04,5172
2016-07-05,5431
2016-07-06,5699
2016-07-07,5811
2016-07-08,5927
2016-07-09,6024
2016-07-10,6062
2016-07-11,5862
2016-07-12,5622
2016-07-13,5620
2016-07-14,5434
2016-07-15,5162
2016-07-16,4908
2016-07-17,4808
2016-07-18,4628
2016-07-23,4728
2016-07-24,4958
2016-07-25,5076
2016-07-26,4864
2016-07-27,4738
2016-07-28,4815
2016-07-29,4848
2016-07-30,4893
2016-07-31,4959
2016-08-01,5011
2016-08-02,5010
2016-08-03,5057
2016-08-04,5048
2016-08-05,4808
2016-08-06,4746
2016-08-07,4722
2016-08-08,4828
2016-08-09,4855
2016-08-10,4898
2016-08-11,4998
2016-08-12,5091
2016-08-13,5024
2016-08-14,5061
2016-08-15,5021
2016-08-16,5028
2016-08-17,5008
2016-08-18,5015
2016-08-19,4931
2016-08-20,4912
2016-08-21,5003
2016-08-22,5109
2016-08-23,5124
2016-08-24,4925
2016-08-25,4850
2016-08-26,4874
2016-08-28,4735
