date_obj,Ensouled%20chaos%20druid%20head price
2016-01-08,2761
2016-01-09,2702
2016-01-10,2566
2016-01-11,2437
2016-01-12,2315
2016-01-13,2199
2016-01-14,2165
2016-01-15,2056
2016-01-16,1953
2016-01-17,1855
2016-01-18,1769
2016-01-19,1790
2016-01-20,1833
2016-01-21,1753
2016-01-22,1665
2016-01-23,1581
2016-01-24,1501
2016-01-25,1425
2016-01-26,1353
2016-01-27,1287
2016-01-28,1327
2016-01-29,1271
2016-01-30,1207
2016-01-31,1146
2016-02-01,1088
2016-02-02,1036
2016-02-03,1036
2016-02-04,1088
2016-02-05,1143
2016-02-06,1201
2016-02-07,1262
2016-02-08,1326
2016-02-09,1392
2016-02-10,1401
2016-02-11,1401
2016-02-12,1358
2016-02-13,1290
2016-02-14,1225
2016-02-15,1184
2016-02-16,1130
2016-02-17,1099
2016-02-18,1073
2016-02-19,1019
2016-02-20,981
2016-02-21,956
2016-02-22,984
2016-02-23,977
2016-02-24,935
2016-02-25,888
2016-02-26,852
2016-02-27,823
2016-02-28,865
2016-02-29,909
2016-03-01,955
2016-03-02,1003
2016-03-03,1054
2016-03-04,1091
2016-03-05,1094
2016-03-06,1140
2016-03-07,1161
2016-03-08,1218
2016-03-09,1275
2016-03-10,1339
2016-03-11,1406
2016-03-12,1469
2016-03-13,1409
2016-03-14,1338
2016-03-15,1271
2016-03-16,1243
2016-03-17,1287
2016-03-18,1232
2016-03-19,1177
2016-03-20,1149
2016-03-21,1185
2016-03-22,1193
2016-03-23,1169
2016-03-24,1110
2016-03-25,1054
2016-03-26,1021
2016-03-27,969
2016-03-28,921
2016-03-29,874
2016-03-30,859
2016-03-31,824
2016-04-01,792
2016-04-02,793
2016-04-03,813
2016-04-04,829
2016-04-05,869
2016-04-06,913
2016-04-07,959
2016-04-08,1007
2016-04-09,982
2016-04-10,940
2016-04-11,895
2016-04-12,882
2016-04-13,898
2016-04-14,937
2016-04-15,979
2016-04-16,976
2016-04-17,974
2016-04-18,964
2016-04-19,919
2016-04-20,882
2016-04-21,896
2016-04-22,892
2016-04-23,911
2016-04-24,870
2016-04-25,841
2016-04-26,848
2016-04-27,883
2016-04-28,918
2016-04-29,910
2016-04-30,905
2016-05-01,877
2016-05-02,883
2016-05-03,864
2016-05-04,825
2016-05-05,800
2016-05-06,802
2016-05-07,794
2016-05-08,815
2016-05-09,801
2016-05-10,820
2016-05-11,810
2016-05-12,791
2016-05-13,777
2016-05-14,743
2016-05-15,728
2016-05-16,691
2016-05-17,664
2016-05-18,630
2016-05-19,598
2016-05-22,609
2016-05-23,588
2016-05-24,559
2016-05-25,562
2016-05-26,574
2016-05-27,594
2016-05-28,575
2016-05-29,561
2016-05-30,535
2016-05-31,532
2016-06-01,517
2016-06-02,500
2016-06-03,496
2016-06-04,502
2016-06-05,520
2016-06-06,540
2016-06-07,567
2016-06-08,582
2016-06-09,596
2016-06-10,624
2016-06-11,652
2016-06-12,669
2016-06-13,703
2016-06-14,726
2016-06-15,743
2016-06-16,756
2016-06-17,743
2016-06-18,725
2016-06-19,731
2016-06-20,730
2016-06-21,733
2016-06-22,761
2016-06-23,797
2016-06-24,837
2016-06-25,873
2016-06-26,917
2016-06-27,958
2016-06-28,993
2016-06-29,1042
2016-06-30,1095
2016-07-01,1132
2016-07-02,1189
2016-07-03,1224
2016-07-04,1229
2016-07-05,1167
2016-07-06,1147
2016-07-07,1145
2016-07-08,1203
2016-07-09,1238
2016-07-10,1245
2016-07-11,1251
2016-07-12,1277
2016-07-13,1323
2016-07-14,1313
2016-07-15,1342
2016-07-16,1313
2016-07-17,1259
2016-07-18,1293
2016-07-23,1310
2016-07-24,1244
2016-07-25,1181
2016-07-26,1121
2016-07-27,1079
2016-07-28,1132
2016-07-29,1106
2016-07-30,1065
2016-07-31,1070
2016-08-01,1060
2016-08-02,1095
2016-08-03,1080
2016-08-04,1076
2016-08-05,1028
2016-08-06,1043
2016-08-07,1067
2016-08-08,1121
2016-08-09,1177
2016-08-10,1236
2016-08-11,1255
2016-08-12,1228
2016-08-13,1192
2016-08-14,1214
2016-08-15,1262
2016-08-16,1289
2016-08-17,1288
2016-08-18,1259
2016-08-19,1234
2016-08-20,1177
2016-08-21,1126
2016-08-22,1112
2016-08-23,1130
2016-08-24,1149
2016-08-25,1201
2016-08-26,1233
2016-08-28,1255
2016-08-31,1225
2016-09-01,1191
2016-09-02,1131
2016-09-03,1076
2016-09-04,1022
2016-09-05,987
2016-09-06,963
2016-09-07,995
2016-09-08,982
2016-09-09,1013
2016-09-10,1010
2016-09-11,983
2016-09-12,946
2016-09-13,957
2016-09-14,975
2016-09-15,1005
2016-09-16,1056
2016-09-17,1065
2016-09-18,1111
2016-09-19,1165
2016-09-20,1133
2016-09-21,1080
2016-09-22,1133
2016-09-23,1151
2016-09-24,1171
2016-09-25,1189
2016-09-26,1134
2016-09-27,1191
2016-09-28,1201
2016-09-29,1257
2016-09-30,1197
2016-10-01,1173
2016-10-02,1132
2016-10-03,1139
2016-10-04,1087
2016-10-05,1082
2016-10-06,1116
2016-10-07,1060
2016-10-08,1022
2016-10-09,1026
2016-10-10,1078
