date_obj,Mithril%20full%20helm%20(g) price
2015-03-26,31045
2015-03-27,31045
2015-03-28,30001
2015-03-29,28599
2015-03-30,27935
2015-03-31,27334
2015-04-01,27334
2015-04-02,26487
2015-04-03,25711
2015-04-04,25257
2015-04-05,25257
2015-04-06,24370
2015-04-07,23998
2015-04-08,23998
2015-04-09,23486
2015-04-10,23716
2015-04-11,22999
2015-04-12,22353
2015-04-13,22117
2015-04-14,22117
2015-04-15,21168
2015-04-16,20357
2015-04-17,19371
2015-04-18,18820
2015-04-19,18504
2015-04-20,18504
2015-04-21,18630
2015-04-22,18630
2015-04-23,18837
2015-04-24,18531
2015-04-25,18627
2015-04-26,18828
2015-04-27,18643
2015-04-28,18531
2015-04-29,18531
2015-04-30,18021
2015-05-01,17606
2015-05-02,17319
2015-05-03,17319
2015-05-04,16802
2015-05-05,16432
2015-05-06,15933
2015-05-07,15660
2015-05-08,15660
2015-05-09,15838
2015-05-10,15791
2015-05-11,15791
2015-05-12,15470
2015-05-13,15151
2015-05-14,15043
2015-05-15,15273
2015-05-16,15399
2015-05-17,15096
2015-05-18,14941
2015-05-19,15207
2015-05-20,15207
2015-05-21,15430
2015-05-22,15614
2015-05-23,15988
2015-05-24,16283
2015-05-25,16503
2015-05-26,16762
2015-05-27,16597
2015-05-28,16409
2015-05-29,16177
2015-05-30,16092
2015-05-31,15591
2015-06-01,15150
2015-06-02,15150
2015-06-03,15172
2015-06-04,15172
2015-06-05,15746
2015-06-06,16002
2015-06-07,16272
2015-06-08,16293
2015-06-09,16514
2015-06-10,16322
2015-06-11,16322
2015-06-12,16096
2015-06-13,16370
2015-06-14,16784
2015-06-15,16784
2015-06-16,16564
2015-06-17,16605
2015-06-18,16784
2015-06-19,16784
2015-06-20,16469
2015-06-21,16469
2015-06-22,15897
2015-06-23,15897
2015-06-24,15828
2015-06-25,15828
2015-06-26,15740
2015-06-27,15740
2015-06-28,15543
2015-06-29,15543
2015-06-30,15171
2015-07-01,15687
2015-07-02,15687
2015-07-03,15575
2015-07-04,15899
2015-07-05,15899
2015-07-06,15582
2015-07-07,15106
2015-07-08,14350
2015-07-09,14350
2015-07-10,13995
2015-07-11,13995
2015-07-12,14446
2015-07-13,14585
2015-07-14,15214
2015-07-15,15574
2015-07-16,15574
2015-07-17,15719
2015-07-18,15719
2015-07-19,15772
2015-07-20,16558
2015-07-21,16558
2015-07-22,17381
2015-07-23,17381
2015-07-24,18251
2015-07-25,18251
2015-07-26,19070
2015-07-27,19789
2015-07-28,19789
2015-07-29,20713
2015-07-30,20713
2015-07-31,20845
2015-08-01,20845
2015-08-02,20680
2015-08-03,20680
2015-08-04,20454
2015-08-05,19851
2015-08-06,19523
2015-08-07,19523
2015-08-08,19161
2015-08-09,18272
2015-08-10,17990
2015-08-11,17463
2015-08-12,17463
2015-08-13,17095
2015-08-14,16925
2015-08-15,16925
2015-08-16,17003
2015-08-17,17045
2015-08-18,17045
2015-08-19,17598
2015-08-20,17598
2015-08-21,18194
2015-08-22,18080
2015-08-23,18080
2015-08-24,17778
2015-08-25,17778
2015-08-26,18116
2015-08-27,18318
2015-08-28,18318
2015-08-29,18903
2015-08-30,18903
2015-08-31,19811
2015-09-01,20302
2015-09-02,20302
2015-09-03,20475
2015-09-04,21217
2015-09-05,21217
2015-09-06,21613
2015-09-07,21613
2015-09-08,21750
2015-09-09,21750
2015-09-10,22173
2015-09-11,22173
2015-09-12,22772
2015-09-13,23217
2015-09-14,23217
2015-09-15,23960
2015-09-16,23960
2015-09-17,25158
2015-09-18,25158
2015-09-19,26413
2015-09-20,26413
2015-09-21,27371
2015-09-22,27371
2015-09-23,27302
2015-09-24,27302
2015-09-25,26877
2015-09-27,26163
2015-09-28,26912
2015-09-29,26912
2015-09-30,26796
2015-10-05,24252
2015-10-06,23264
2015-10-07,23264
2015-10-08,23419
2015-10-09,24045
2015-10-10,24045
2015-10-11,24280
2015-10-12,24715
2015-10-13,24715
2015-10-14,25379
2015-10-15,25379
2015-10-16,25715
2015-10-17,25715
2015-10-18,25619
2015-10-19,25579
2015-10-20,24631
2015-10-22,23848
2015-10-23,23505
2015-10-24,23505
2015-10-25,23315
2015-10-26,23254
2015-10-27,23254
2015-10-29,23913
2015-10-30,24024
2015-10-31,24004
2015-11-01,24004
2015-11-02,23398
2015-11-03,23398
2015-11-04,22808
2015-11-05,22198
2015-11-06,22198
2015-11-07,22185
2015-11-08,22185
2015-11-09,22503
2015-11-10,22503
2015-11-11,22831
2015-11-12,22831
2015-11-13,23512
2015-11-14,23512
2015-11-15,24010
2015-11-16,24010
2015-11-17,24380
2015-11-18,24380
2015-11-19,24986
2015-11-20,24986
2015-11-21,25462
2015-11-22,25321
2015-11-23,25321
2015-11-24,25018
2015-11-25,24266
2015-11-26,24266
2015-11-27,23952
2015-11-28,23952
2015-11-29,23750
2015-11-30,23750
2015-12-01,23363
2015-12-02,23683
2015-12-03,23702
2015-12-04,23702
2015-12-05,23191
2015-12-06,23046
2015-12-07,23046
2015-12-08,22672
2015-12-09,22170
2015-12-10,22170
2015-12-11,21412
2015-12-12,21079
2015-12-13,20715
2015-12-14,20715
2015-12-15,21012
2015-12-16,21129
2015-12-17,21129
2015-12-18,21458
2015-12-19,21458
2015-12-20,21448
2015-12-21,21448
2015-12-22,21086
2015-12-23,21024
2015-12-24,21024
2015-12-25,21870
2015-12-26,21870
2015-12-27,22578
2015-12-28,22578
2015-12-29,23272
2015-12-30,23538
2015-12-31,23538
2016-01-01,24145
2016-01-02,24145
2016-01-03,25073
2016-01-04,25716
2016-01-05,25716
2016-01-06,26563
2016-01-07,26563
2016-01-08,27303
2016-01-09,27303
2016-01-10,27106
2016-01-11,27106
2016-01-12,26791
2016-01-13,26791
2016-01-14,26985
2016-01-15,27906
2016-01-16,27906
2016-01-17,28931
2016-01-18,28765
2016-01-19,28765
2016-01-20,27774
2016-01-21,27774
2016-01-22,26778
2016-01-23,25869
2016-01-24,25080
2016-01-25,24281
2016-01-26,24281
2016-01-27,23556
2016-01-28,23556
2016-01-29,23116
2016-01-30,23116
2016-01-31,23800
2016-02-01,23484
2016-02-02,23484
2016-02-03,23287
2016-02-04,23287
2016-02-05,23098
2016-02-06,22826
2016-02-07,22826
2016-02-08,23278
2016-02-09,23379
2016-02-10,24423
2016-02-11,24420
2016-02-12,24420
2016-02-13,24388
2016-02-14,24388
2016-02-15,24485
2016-02-16,24485
2016-02-17,24826
2016-02-18,24826
2016-02-19,24210
2016-02-20,24323
2016-02-21,24233
2016-02-22,24233
2016-02-23,24119
2016-02-24,24119
2016-02-25,24994
2016-02-26,24994
2016-02-27,25945
2016-02-28,25945
2016-02-29,25646
2016-03-01,25327
2016-03-02,25327
2016-03-03,25095
2016-03-04,24800
2016-03-05,25017
2016-03-06,25490
2016-03-07,25490
2016-03-08,25688
2016-03-09,25688
2016-03-10,25437
2016-03-11,25437
2016-03-12,25433
2016-03-13,25433
2016-03-14,25350
2016-03-15,26611
2016-03-16,26322
2016-03-17,26322
2016-03-18,25005
2016-03-19,23872
2016-03-20,22757
2016-03-21,22130
2016-03-22,21357
2016-03-23,20628
2016-03-24,19647
2016-03-25,19735
2016-03-26,20076
2016-03-27,20076
2016-03-28,20531
2016-03-29,20380
2016-03-30,20380
2016-03-31,20726
2016-04-01,20726
2016-04-02,20494
2016-04-03,21108
2016-04-04,20957
2016-04-05,20957
2016-04-06,20901
2016-04-07,20901
2016-04-08,19891
2016-04-09,19398
2016-04-10,19727
2016-04-11,19727
2016-04-12,19812
2016-04-13,19933
