date_obj,Twisted%20trousers%20(t1) price
2020-01-13,10000
2020-01-14,10000
2020-01-15,10495
2020-01-16,11020
2020-01-17,11020
2020-01-18,11564
2020-01-19,11564
2020-01-20,12131
2020-01-21,12131
2020-01-22,12131
2020-01-23,12131
2020-01-24,12719
2020-01-25,12719
2020-01-26,12719
2020-01-27,12719
2020-01-28,12719
2020-01-29,12719
2020-01-30,12719
2020-01-31,12719
2020-02-01,13343
2020-02-02,13343
2020-02-03,13343
2020-02-04,13343
2020-02-05,13343
2020-02-06,13343
2020-02-07,13343
2020-02-08,13343
2020-02-09,13343
2020-02-10,13343
2020-02-11,13343
2020-02-12,13343
2020-02-13,13984
2020-02-14,13984
2020-02-15,13984
2020-02-16,13984
2020-02-17,13984
2020-02-18,13984
2020-02-19,13984
2020-02-20,13984
2020-02-21,13984
2020-02-22,13984
2020-02-23,13984
2020-02-24,13984
2020-02-25,13984
2020-02-26,13984
2020-02-27,14665
2020-02-28,14665
2020-02-29,14665
2020-03-01,14665
2020-03-02,14665
2020-03-03,14665
2020-03-04,14665
2020-03-05,14665
2020-03-06,14665
2020-03-07,14665
2020-03-08,14665
2020-03-09,14665
2020-03-10,14665
2020-03-11,14665
2020-03-12,14665
2020-03-13,14665
2020-03-14,15377
2020-03-15,15377
2020-03-16,15377
2020-03-17,15377
2020-03-18,15377
2020-03-19,15377
2020-03-20,15377
2020-03-21,15377
2020-03-22,15377
2020-03-23,15377
2020-03-24,15377
2020-03-25,15377
2020-03-26,15377
2020-03-27,15377
2020-03-28,15377
2020-03-29,15377
2020-03-30,15377
2020-03-31,16113
2020-04-01,16113
2020-04-02,16113
2020-04-03,16113
2020-04-04,16113
2020-04-05,16113
2020-04-06,16113
2020-04-07,16113
2020-04-08,16113
2020-04-09,16113
2020-04-10,16113
2020-04-11,16113
2020-04-12,16113
2020-04-13,16113
2020-04-14,16113
2020-04-15,16784
2020-04-16,16784
2020-04-17,16784
2020-04-18,16784
2020-04-19,16784
2020-04-20,16784
2020-04-21,16784
2020-04-22,16784
2020-04-23,16784
2020-04-24,16784
2020-04-25,16784
2020-04-26,16784
2020-04-27,16784
2020-04-28,16784
2020-04-29,17595
2020-04-30,17595
2020-05-01,17595
2020-05-02,17595
2020-05-03,17595
2020-05-04,17595
2020-05-05,17595
2020-05-06,17595
2020-05-07,17595
2020-05-08,17595
2020-05-09,17595
2020-05-10,17595
2020-05-11,18435
2020-05-12,18435
2020-05-13,18435
