date_obj,Occult%20ornament%20kit price
2016-07-06,19482460
2016-07-07,19482460
2016-07-08,18508337
2016-07-09,18508337
2016-07-10,17582920
2016-07-11,17582920
2016-07-12,16703774
2016-07-13,16703774
2016-07-14,15868585
2016-07-15,15868585
2016-07-16,15075155
2016-07-17,15075155
2016-07-18,14321397
2016-07-23,13611554
2016-07-24,12948825
2016-07-25,12948825
2016-07-26,12948825
2016-07-27,12301383
2016-07-28,12301383
2016-07-29,11687962
2016-07-30,11687962
2016-07-31,11687962
2016-08-01,11103563
2016-08-02,11103563
2016-08-03,10548384
2016-08-04,10548384
2016-08-05,10548384
2016-08-06,10020964
2016-08-07,10020964
2016-08-08,10020964
2016-08-09,9519915
2016-08-10,9519915
2016-08-11,9519915
2016-08-12,9043919
2016-08-13,9043919
2016-08-14,9043919
2016-08-15,8591723
2016-08-16,8591723
2016-08-17,8591723
2016-08-18,8591723
2016-08-19,8298704
2016-08-20,8298704
2016-08-21,8376368
2016-08-22,8376368
2016-08-23,7957549
2016-08-24,7957549
2016-08-25,7957549
2016-08-26,7563552
2016-08-28,7563552
2016-08-31,7185374
2016-09-01,6826105
2016-09-02,6826105
2016-09-03,6826105
2016-09-04,6507262
2016-09-05,6507262
2016-09-06,6200709
2016-09-07,6200709
2016-09-08,6200709
2016-09-09,5994241
2016-09-10,5994241
2016-09-11,6101146
2016-09-12,6101146
2016-09-13,6226928
2016-09-14,6226928
2016-09-15,6226928
2016-09-16,6214118
2016-09-17,6214118
2016-09-18,6239152
2016-09-19,6239152
2016-09-20,6239152
2016-09-21,6375797
2016-09-22,6375797
2016-09-23,6336956
2016-09-24,6336956
2016-09-25,6354738
2016-09-26,6354738
2016-09-27,6526461
2016-09-28,6526461
2016-09-29,6526461
2016-09-30,6555339
2016-10-01,6555339
2016-10-02,6833260
2016-10-03,6833260
2016-10-04,7104058
2016-10-05,7104058
2016-10-06,6980023
2016-10-07,6980023
2016-10-08,6693070
2016-10-09,6693070
2016-10-10,6693070
2016-10-11,6597860
2016-10-12,6597860
2016-10-13,6661325
2016-10-14,6661325
2016-10-15,6861013
2016-10-16,6861013
2016-10-17,7099862
2016-10-18,7099862
2016-10-19,7099862
2016-10-20,7087508
2016-10-21,7087508
2016-10-22,6974042
2016-10-23,6974042
2016-10-24,6936090
2016-10-25,6936090
2016-10-26,6925710
2016-10-27,6925710
2016-10-28,7007108
2016-10-29,7007108
2016-10-30,7150251
2016-10-31,7150251
2016-11-01,7335688
2016-11-02,7335688
2016-11-03,7287663
2016-11-04,7457738
2016-11-05,7457738
2016-11-06,7761671
2016-11-07,7761671
2016-11-08,7864633
2016-11-09,7864633
2016-11-10,7886714
2016-11-11,7886714
2016-11-12,7653843
2016-11-13,7653843
2016-11-14,7271150
2016-12-07,7043012
2016-12-08,6918848
2016-12-09,6918848
2016-12-10,6820083
2016-12-11,6820083
2016-12-12,6699414
2016-12-13,6699414
2016-12-14,6424095
2016-12-15,6424095
2016-12-16,6418646
2016-12-17,6286076
2016-12-18,6286076
2016-12-19,6261320
2016-12-20,6261320
2016-12-21,6137458
2016-12-22,6137458
2016-12-23,6086742
2016-12-24,6086742
2016-12-25,6124832
2016-12-26,6124832
2016-12-27,6130915
2016-12-28,6130915
2016-12-29,6110646
2016-12-30,6110646
2016-12-31,5850441
2017-01-01,5850441
2017-01-03,5573367
2017-01-04,5390665
2017-01-05,5390665
2017-01-06,5239437
2017-01-07,5449929
2017-01-08,5722426
2017-01-09,6008548
2017-01-10,6308976
2017-01-11,6601148
2017-01-12,6931206
2017-01-13,7242108
