date_obj,Rune%20spear price
2015-03-26,14035
2015-03-27,14035
2015-03-28,13614
2015-03-29,13602
2015-03-30,12956
2015-03-31,12437
2015-04-01,12437
2015-04-02,12634
2015-04-03,12509
2015-04-04,12443
2015-04-05,12443
2015-04-06,12417
2015-04-07,12402
2015-04-08,12402
2015-04-09,12411
2015-04-10,12501
2015-04-11,12401
2015-04-12,12489
2015-04-13,12574
2015-04-14,12574
2015-04-15,12580
2015-04-16,12580
2015-04-17,12715
2015-04-18,12884
2015-04-19,13077
2015-04-20,13077
2015-04-21,13351
2015-04-22,13351
2015-04-23,13566
2015-04-24,13566
2015-04-25,13203
2015-04-26,13203
2015-04-27,12766
2015-04-28,12459
2015-04-29,12459
2015-04-30,12939
2015-05-01,13203
2015-05-02,12862
2015-05-03,12862
2015-05-04,13080
2015-05-05,13281
2015-05-06,13568
2015-05-07,13551
2015-05-08,13853
2015-05-09,13959
2015-05-10,13756
2015-05-11,13756
2015-05-12,13596
2015-05-13,13664
2015-05-14,13464
2015-05-15,13311
2015-05-16,13311
2015-05-17,13117
2015-05-18,12668
2015-05-19,12512
2015-05-20,12512
2015-05-21,12657
2015-05-22,12825
2015-05-23,12818
2015-05-24,12902
2015-05-25,12797
2015-05-26,12937
2015-05-27,12629
2015-05-28,12742
2015-05-29,12822
2015-05-30,12707
2015-05-31,12807
2015-06-01,12801
2015-06-02,12801
2015-06-03,12865
2015-06-04,12942
2015-06-05,12962
2015-06-06,13003
2015-06-07,12909
2015-06-08,12995
2015-06-09,12659
2015-06-10,12747
2015-06-11,12881
2015-06-12,12849
2015-06-13,12849
2015-06-14,12848
2015-06-15,12992
2015-06-16,13044
2015-06-17,13099
2015-06-18,13039
2015-06-19,13055
2015-06-20,12980
2015-06-21,12517
2015-06-22,12217
2015-06-23,12615
2015-06-24,12643
2015-06-25,12643
2015-06-26,12596
2015-06-27,12596
2015-06-28,12465
2015-06-29,12677
2015-06-30,12601
2015-07-01,12686
2015-07-02,12686
2015-07-03,12703
2015-07-04,12782
2015-07-05,12900
2015-07-06,12951
2015-07-07,12982
2015-07-08,12821
2015-07-09,12821
2015-07-10,12750
2015-07-11,12963
2015-07-12,13504
2015-07-13,13550
2015-07-14,13405
2015-07-15,13375
2015-07-16,13194
2015-07-17,13174
2015-07-18,13158
2015-07-19,13105
2015-07-20,13049
2015-07-21,13185
2015-07-22,13090
2015-07-23,13090
2015-07-24,13012
2015-07-25,13219
2015-07-26,13295
2015-07-27,13338
2015-07-28,13295
2015-07-29,13092
2015-07-30,13168
2015-07-31,13100
2015-08-01,13351
2015-08-02,13471
2015-08-03,13350
2015-08-04,13411
2015-08-05,13093
2015-08-06,12751
2015-08-07,12476
2015-08-08,12957
2015-08-09,13145
2015-08-10,13330
2015-08-11,13330
2015-08-12,13330
2015-08-13,13489
2015-08-14,13184
2015-08-15,13184
2015-08-16,12652
2015-08-17,12228
2015-08-18,12347
2015-08-19,12423
2015-08-20,12622
2015-08-21,12737
2015-08-22,12748
2015-08-23,12790
2015-08-24,12799
2015-08-25,12799
2015-08-26,12628
2015-08-27,12801
2015-08-28,12931
2015-08-29,13095
2015-08-30,13205
2015-08-31,13132
2015-09-01,12582
2015-09-02,12582
2015-09-03,12430
2015-09-04,12562
2015-09-05,12562
2015-09-06,12347
2015-09-07,12198
2015-09-08,12248
2015-09-09,12305
2015-09-10,12339
2015-09-11,12339
2015-09-12,12354
2015-09-13,12272
2015-09-14,12344
2015-09-15,12609
2015-09-16,12609
2015-09-17,12396
2015-09-18,12364
2015-09-19,12582
2015-09-20,12441
2015-09-21,12388
2015-09-22,12244
2015-09-23,11897
2015-09-24,11897
2015-09-25,12185
2015-09-27,12659
2015-09-28,13017
2015-09-29,13357
2015-09-30,12874
2015-10-05,12657
2015-10-06,12522
2015-10-07,12535
2015-10-08,12523
2015-10-09,12383
2015-10-10,12383
2015-10-11,11908
2015-10-12,11793
2015-10-13,12091
2015-10-14,12231
2015-10-15,12254
2015-10-16,12202
2015-10-17,12202
2015-10-18,12402
