date_obj,Bronze%20set%20(lg) price
2015-03-26,3313
2015-03-27,3313
2015-03-28,3313
2015-03-29,3147
2015-03-30,3147
2015-03-31,2993
2015-04-01,2993
2015-04-02,2993
2015-04-03,2843
2015-04-04,2843
2015-04-05,2703
2015-04-06,2703
2015-04-07,2569
2015-04-08,2569
2015-04-09,2569
2015-04-10,2440
2015-04-11,2440
2015-04-12,2322
2015-04-13,2322
2015-04-14,2322
2015-04-15,2205
2015-04-16,2205
2015-04-17,2099
2015-04-18,2099
2015-04-19,1998
2015-04-20,1998
2015-04-21,1901
2015-04-22,1901
2015-04-23,1810
2015-04-24,1810
2015-04-25,1810
2015-04-26,1719
2015-04-27,1719
2015-04-28,1633
2015-04-29,1633
2015-04-30,1633
2015-05-01,1551
2015-05-02,1551
2015-05-03,1476
2015-05-04,1476
2015-05-05,1405
2015-05-06,1405
2015-05-07,1336
2015-05-08,1336
2015-05-09,1272
2015-05-10,1272
2015-05-11,1211
2015-05-12,1211
2015-05-13,1153
2015-05-14,1153
2015-05-15,1098
2015-05-16,1098
2015-05-17,1043
2015-05-18,1043
2015-05-19,992
2015-05-20,992
2015-05-21,992
2015-05-22,944
2015-05-23,944
2015-05-24,899
2015-05-25,899
2015-05-26,856
2015-05-27,856
2015-05-28,813
2015-05-29,774
2015-05-30,735
2015-05-31,735
2015-06-01,698
2015-06-02,698
2015-06-03,663
2015-06-04,663
2015-06-05,629
2015-06-06,598
2015-06-07,598
2015-06-08,568
2015-06-09,540
2015-06-10,515
2015-06-11,515
2015-06-12,489
2015-06-13,466
2015-06-14,466
2015-06-15,442
2015-06-16,422
2015-06-17,422
2015-06-18,400
2015-06-19,400
2015-06-20,388
2015-06-21,388
2015-06-22,385
2015-06-23,385
2015-06-24,379
2015-06-25,379
2015-06-26,378
2015-06-27,378
2015-06-28,386
2015-06-29,386
2015-06-30,372
2015-07-01,372
2015-07-02,364
2015-07-03,367
2015-07-04,367
2015-07-05,368
2015-07-06,368
2015-07-07,360
2015-07-08,343
2015-07-09,343
2015-07-10,332
2015-07-11,332
2015-07-12,319
2015-07-13,304
2015-07-14,304
2015-07-15,306
2015-07-16,306
2015-07-17,312
2015-07-18,312
2015-07-19,308
2015-07-20,298
2015-07-21,298
2015-07-22,297
2015-07-23,297
2015-07-24,295
2015-07-25,295
2015-07-26,283
2015-07-27,279
2015-07-28,279
2015-07-29,284
2015-07-30,284
2015-07-31,289
2015-08-01,289
2015-08-02,291
2015-08-03,291
2015-08-04,288
2015-08-05,291
2015-08-06,291
2015-08-07,287
2015-08-08,285
2015-08-09,285
2015-08-10,271
2015-08-11,271
2015-08-12,271
2015-08-13,271
2015-08-14,263
2015-08-15,263
2015-08-16,260
2015-08-17,260
2015-08-18,254
2015-08-19,260
2015-08-20,260
2015-08-21,258
2015-08-22,258
2015-08-23,259
2015-08-24,259
2015-08-25,264
2015-08-26,264
2015-08-27,266
2015-08-28,266
2015-08-29,275
2015-08-30,275
2015-08-31,271
2015-09-01,271
2015-09-02,273
2015-09-03,273
2015-09-04,272
2015-09-05,272
2015-09-06,265
2015-09-07,265
2015-09-08,256
2015-09-09,256
2015-09-10,243
2015-09-11,243
2015-09-12,233
2015-09-13,233
2015-09-14,227
2015-09-15,227
2015-09-16,223
2015-09-17,223
2015-09-18,214
2015-09-19,214
2015-09-20,220
2015-09-21,220
2015-09-22,224
2015-09-23,224
2015-09-24,224
2015-09-25,222
2015-09-27,224
2015-09-28,224
2015-09-29,233
2015-09-30,233
2015-10-05,230
2015-10-06,218
2015-10-07,218
2015-10-08,213
2015-10-09,213
2015-10-10,215
2015-10-11,223
2015-10-12,223
2015-10-13,223
2015-10-14,220
2015-10-15,220
2015-10-16,211
2015-10-17,211
2015-10-18,208
2015-10-19,208
2015-10-20,208
2015-10-22,208
2015-10-23,207
2015-10-24,207
2015-10-25,197
2015-10-26,197
2015-10-27,193
2015-10-29,187
2015-10-30,187
2015-10-31,177
2015-11-01,177
2015-11-02,177
2015-11-03,168
2015-11-04,168
2015-11-05,163
2015-11-06,163
2015-11-07,161
2015-11-08,161
2015-11-09,161
2015-11-10,161
2015-11-11,161
2015-11-12,162
2015-11-13,162
2015-11-14,160
2015-11-15,160
2015-11-16,158
2015-11-17,158
2015-11-18,158
2015-11-19,160
2015-11-20,160
2015-11-21,165
2015-11-22,167
2015-11-23,167
2015-11-24,167
2015-11-25,169
2015-11-26,169
2015-11-27,169
2015-11-28,172
2015-11-29,172
2015-11-30,176
2015-12-01,176
2015-12-02,180
2015-12-03,180
2015-12-04,177
2015-12-05,177
2015-12-06,183
2015-12-07,183
2015-12-08,183
2015-12-09,187
2015-12-10,187
2015-12-11,194
2015-12-12,194
2015-12-13,200
2015-12-14,200
2015-12-15,207
2015-12-16,207
2015-12-17,199
2015-12-18,199
2015-12-19,196
2015-12-20,196
2015-12-21,197
2015-12-22,197
2015-12-23,192
2015-12-24,192
2015-12-25,184
2015-12-26,184
2015-12-27,188
2015-12-28,188
2015-12-29,195
2015-12-30,195
2015-12-31,197
2016-01-01,197
2016-01-02,197
2016-01-03,198
2016-01-04,198
2016-01-05,199
2016-01-06,199
2016-01-07,190
2016-01-08,190
2016-01-09,190
2016-01-10,190
2016-01-11,197
2016-01-12,197
2016-01-13,199
2016-01-14,200
2016-01-15,200
2016-01-16,203
2016-01-17,203
2016-01-18,213
2016-01-19,213
2016-01-20,221
2016-01-21,221
2016-01-22,216
2016-01-23,216
2016-01-24,218
2016-01-25,222
2016-01-26,222
2016-01-27,224
2016-01-28,224
2016-01-29,221
2016-01-30,221
2016-01-31,225
2016-02-01,225
2016-02-02,233
2016-02-03,233
2016-02-04,242
2016-02-05,242
2016-02-06,250
2016-02-07,250
2016-02-08,250
2016-02-09,251
2016-02-10,251
2016-02-11,259
2016-02-12,259
2016-02-13,265
2016-02-14,265
2016-02-15,272
2016-02-16,272
2016-02-17,267
2016-02-18,267
2016-02-19,276
2016-02-20,276
2016-02-21,287
2016-02-22,287
2016-02-23,297
2016-02-24,297
2016-02-25,308
2016-02-26,308
2016-02-27,317
2016-02-28,317
2016-02-29,319
2016-03-01,319
2016-03-02,330
2016-03-03,330
2016-03-04,341
2016-03-05,341
2016-03-06,358
2016-03-07,358
2016-03-08,358
2016-03-09,371
2016-03-10,371
2016-03-11,378
2016-03-12,378
2016-03-13,387
2016-03-14,387
2016-03-15,404
2016-03-16,404
2016-03-17,407
2016-03-18,407
2016-03-19,404
2016-03-20,404
2016-03-21,402
2016-03-22,402
2016-03-23,415
2016-03-24,415
2016-03-25,428
2016-03-26,428
2016-03-27,431
2016-03-28,431
2016-03-29,429
2016-03-30,429
2016-03-31,429
2016-04-01,418
2016-04-02,418
2016-04-03,405
2016-04-04,405
2016-04-05,407
2016-04-06,407
2016-04-07,395
2016-04-08,395
2016-04-09,396
2016-04-10,396
2016-04-11,393
2016-04-12,393
2016-04-13,391
2016-04-14,391
2016-04-15,401
2016-04-16,401
2016-04-17,407
2016-04-18,407
2016-04-19,389
2016-04-20,389
2016-04-21,385
2016-04-22,385
2016-04-23,399
2016-04-24,399
2016-04-25,400
2016-04-26,400
2016-04-27,398
2016-04-28,398
2016-04-29,401
2016-04-30,401
2016-05-01,415
2016-05-02,415
2016-05-03,398
2016-05-04,398
2016-05-05,393
2016-05-06,393
2016-05-07,384
2016-05-08,384
2016-05-09,381
2016-05-10,381
2016-05-11,370
2016-05-12,370
2016-05-13,363
2016-05-14,363
2016-05-15,362
2016-05-16,362
2016-05-17,362
2016-05-18,362
2016-05-19,372
2016-05-22,365
2016-05-23,371
2016-05-24,371
2016-05-25,355
2016-05-26,355
2016-05-27,348
2016-05-28,348
2016-05-29,358
2016-05-30,358
2016-05-31,364
2016-06-01,378
2016-06-02,378
2016-06-03,394
2016-06-04,394
2016-06-05,411
2016-06-06,412
2016-06-07,412
2016-06-08,426
2016-06-09,426
2016-06-10,434
2016-06-11,434
2016-06-12,447
2016-06-13,447
2016-06-14,456
2016-06-15,456
2016-06-16,456
2016-06-17,461
2016-06-18,461
2016-06-19,455
2016-06-20,455
2016-06-21,440
2016-06-22,440
2016-06-23,429
2016-06-24,429
2016-06-25,423
2016-06-26,423
2016-06-27,412
2016-06-28,412
2016-06-29,412
2016-06-30,412
2016-07-01,414
2016-07-02,414
2016-07-03,416
2016-07-04,415
2016-07-05,415
2016-07-06,402
2016-07-07,402
2016-07-08,395
2016-07-09,395
2016-07-10,389
2016-07-11,389
2016-07-12,387
2016-07-13,387
2016-07-14,387
2016-07-15,387
2016-07-16,388
2016-07-17,388
2016-07-18,387
2016-07-23,386
2016-07-24,388
2016-07-25,388
2016-07-26,386
2016-07-27,386
2016-07-28,399
2016-07-29,399
2016-07-30,393
2016-07-31,393
2016-08-01,393
2016-08-02,405
2016-08-03,405
2016-08-04,419
2016-08-05,419
2016-08-06,419
2016-08-07,437
2016-08-08,437
2016-08-09,455
2016-08-10,455
2016-08-11,455
2016-08-12,475
2016-08-13,475
2016-08-14,475
2016-08-15,491
2016-08-16,491
2016-08-17,491
2016-08-18,494
2016-08-19,494
2016-08-20,505
2016-08-21,505
2016-08-22,505
2016-08-23,518
2016-08-24,518
2016-08-25,518
2016-08-26,518
2016-08-28,524
2016-08-31,525
2016-09-01,533
2016-09-02,533
2016-09-03,533
2016-09-04,537
2016-09-05,537
2016-09-06,537
2016-09-07,554
2016-09-08,554
2016-09-09,554
2016-09-10,575
2016-09-11,575
2016-09-12,575
2016-09-13,598
2016-09-14,598
2016-09-15,598
2016-09-16,598
2016-09-17,607
2016-09-18,607
2016-09-19,622
2016-09-20,622
2016-09-21,622
2016-09-22,642
2016-09-23,642
2016-09-24,642
2016-09-25,630
2016-09-26,630
2016-09-27,630
2016-09-28,622
2016-09-29,622
2016-09-30,622
2016-10-01,637
2016-10-02,637
2016-10-03,637
2016-10-04,621
2016-10-05,621
2016-10-06,592
2016-10-07,592
2016-10-08,562
2016-10-09,562
2016-10-10,562
2016-10-11,533
2016-10-12,533
2016-10-13,508
2016-10-14,508
2016-10-15,482
2016-10-16,482
2016-10-17,457
2016-10-18,457
2016-10-19,457
2016-10-20,435
2016-10-21,435
2016-10-22,435
2016-10-23,439
2016-10-24,439
2016-10-25,439
2016-10-26,443
2016-10-27,443
