date_obj,Bronze%20platelegs%20(t) price
2015-03-26,53422
2015-03-27,53422
2015-03-28,51114
2015-03-29,48963
2015-03-30,48963
2015-03-31,46722
2015-04-01,46722
2015-04-02,44929
2015-04-03,44929
2015-04-04,42914
2015-04-05,42914
2015-04-06,41011
2015-04-07,41011
2015-04-08,39205
2015-04-09,39205
2015-04-10,37478
2015-04-11,35772
2015-04-12,35772
2015-04-13,34198
2015-04-14,34198
2015-04-15,32728
2015-04-16,32728
2015-04-17,31228
2015-04-18,31228
2015-04-19,29887
2015-04-20,29887
2015-04-21,29887
2015-04-22,28512
2015-04-23,28512
2015-04-24,27178
2015-04-25,27178
2015-04-26,26142
2015-04-27,26142
2015-04-28,24965
2015-04-29,24965
2015-04-30,24965
2015-05-01,23716
2015-05-02,23716
2015-05-03,22594
2015-05-04,22594
2015-05-05,21644
2015-05-06,21644
2015-05-07,20620
2015-05-08,20620
2015-05-09,20620
2015-05-10,19589
2015-05-11,19589
2015-05-12,19589
2015-05-13,18719
2015-05-14,18719
2015-05-15,17838
2015-05-16,17838
2015-05-17,17046
2015-05-18,17046
2015-05-19,16306
2015-05-20,16306
2015-05-21,16306
2015-05-22,15490
2015-05-23,15490
2015-05-24,15490
2015-05-25,14782
2015-05-26,14782
2015-05-27,14149
2015-05-28,14149
2015-05-29,13533
2015-05-30,13533
2015-05-31,12925
2015-06-01,12925
2015-06-02,12925
2015-06-03,12388
2015-06-04,12388
2015-06-05,11826
2015-06-06,11826
2015-06-07,11322
2015-06-08,11322
2015-06-09,10815
2015-06-10,10815
2015-06-11,10815
2015-06-12,10361
2015-06-13,10361
2015-06-14,10404
2015-06-15,10404
2015-06-16,10404
2015-06-17,10391
2015-06-18,10391
2015-06-19,10391
2015-06-20,10544
2015-06-21,10544
2015-06-22,10544
2015-06-23,10915
2015-06-24,10915
2015-06-25,10915
2015-06-26,11013
2015-06-27,11013
2015-06-28,11013
2015-06-29,10800
2015-06-30,10800
2015-07-01,10800
2015-07-02,10800
2015-07-03,10712
2015-07-04,10712
2015-07-05,10712
2015-07-06,10325
2015-07-07,10325
2015-07-08,10325
2015-07-09,9924
2015-07-10,9924
2015-07-11,9924
2015-07-12,10094
2015-07-13,10094
2015-07-14,10094
2015-07-15,10094
2015-07-16,10094
2015-07-17,10094
2015-07-18,10240
2015-07-19,10240
2015-07-20,10240
2015-07-21,10733
2015-07-22,10733
2015-07-23,10733
2015-07-24,10990
2015-07-25,10990
2015-07-26,10990
2015-07-27,10946
2015-07-28,10946
2015-07-29,10946
2015-07-30,10851
2015-07-31,10851
2015-08-01,10851
2015-08-02,11121
2015-08-03,11121
2015-08-04,11121
2015-08-05,11141
2015-08-06,11141
2015-08-07,11141
2015-08-08,11141
2015-08-09,11236
2015-08-10,11236
2015-08-11,11236
2015-08-12,11236
2015-08-13,11289
2015-08-14,11289
2015-08-15,11289
2015-08-16,11338
2015-08-17,11338
2015-08-18,11338
2015-08-19,11436
2015-08-20,11436
2015-08-21,11436
2015-08-22,11234
2015-08-23,11234
2015-08-24,11234
2015-08-25,11234
2015-08-26,10744
2015-08-27,10744
2015-08-28,10258
2015-08-29,10258
2015-08-30,10258
2015-08-31,9772
2015-09-01,9772
2015-09-02,9772
2015-09-03,9330
2015-09-04,9330
2015-09-05,9330
2015-09-06,9364
