date_obj,Armadyl%20chestplate price
2015-03-26,13147862
2015-03-27,13147862
2015-03-28,13147862
2015-03-29,13224911
2015-03-30,13224911
2015-03-31,13077554
2015-04-01,13077554
2015-04-02,13077554
2015-04-03,13132579
2015-04-04,13132579
2015-04-05,13045326
2015-04-06,13045326
2015-04-07,12898973
2015-04-08,12898973
2015-04-09,12898973
2015-04-10,12877182
2015-04-11,12877182
2015-04-12,12755866
2015-04-13,12755866
2015-04-14,13031145
2015-04-15,13031145
2015-04-16,13469057
2015-04-17,13469057
2015-04-18,13488997
2015-04-19,13488997
2015-04-20,13497650
2015-04-21,13497650
2015-04-22,13419513
2015-04-23,13419513
2015-04-24,13344258
2015-04-25,13344258
2015-04-26,13284330
2015-04-27,13284330
2015-04-28,13046504
2015-04-29,13046504
2015-04-30,12875251
2015-05-01,12875251
2015-05-02,12724493
2015-05-03,12724493
2015-05-04,12618225
2015-05-05,12618225
2015-05-06,12420609
2015-05-07,12420609
2015-05-08,12496545
2015-05-09,12496545
2015-05-10,12867548
2015-05-11,12867548
2015-05-12,13097516
2015-05-13,13097516
2015-05-14,13003247
2015-05-15,13003247
2015-05-16,13003247
2015-05-17,13259007
2015-05-18,13259007
2015-05-19,13430349
2015-05-20,13430349
2015-05-21,13430349
2015-05-22,13267147
2015-05-23,13267147
2015-05-24,13318468
2015-05-25,13318468
2015-05-26,13246084
2015-05-27,13246084
2015-05-28,13116625
2015-05-29,13116625
2015-05-30,13251915
2015-05-31,13251915
2015-06-01,13422540
2015-06-02,13422540
2015-06-03,13443311
2015-06-04,13443311
2015-06-05,13362971
2015-06-06,13378409
2015-06-07,13277408
2015-06-08,13277408
2015-06-09,13300128
2015-06-10,13266157
2015-06-11,13266157
2015-06-12,12758938
2015-06-13,12156703
2015-06-14,11924061
2015-06-15,11924061
2015-06-16,11874499
2015-06-17,11874499
2015-06-18,11859375
2015-06-19,11859375
2015-06-20,11900515
2015-06-21,11900515
2015-06-22,11784851
2015-06-23,11784851
2015-06-24,11729124
2015-06-25,11729124
2015-06-26,11894067
2015-06-27,11894067
2015-06-28,12365716
2015-06-29,12365716
2015-06-30,12787415
2015-07-01,13140815
2015-07-02,13140815
2015-07-03,13311322
2015-07-04,13223485
2015-07-05,13223485
2015-07-06,13138840
2015-07-07,13237393
2015-07-08,13247937
2015-07-09,13247937
2015-07-10,13360546
2015-07-11,13360546
2015-07-12,13232526
2015-07-13,13324577
2015-07-14,13717888
2015-07-15,13881524
2015-07-16,13881524
2015-07-17,14014448
2015-07-18,14014448
2015-07-19,13883916
2015-07-20,13576464
2015-07-21,13576464
2015-07-22,13431663
2015-07-23,13431663
2015-07-24,13507705
2015-07-25,13507705
2015-07-26,13904547
2015-07-27,14037417
2015-07-28,14558202
2015-07-29,14863063
2015-07-30,14802182
2015-07-31,14802182
2015-08-01,14739926
2015-08-02,14495275
2015-08-03,14435487
2015-08-04,14435487
2015-08-05,14388309
2015-08-06,15064451
2015-08-07,15392192
2015-08-08,15759545
2015-08-09,15889510
2015-08-10,16064851
2015-08-11,16071230
2015-08-12,16071230
2015-08-13,16045088
2015-08-14,16410054
2015-08-15,16410054
2015-08-16,16758882
2015-08-17,17132445
2015-08-18,17230514
2015-08-19,17436699
2015-08-20,17759759
2015-08-21,18256189
2015-08-22,18645908
2015-08-23,18645908
2015-08-24,19144177
2015-08-25,19144177
2015-08-26,18895686
2015-08-27,18189372
2015-08-28,17279903
2015-08-29,16709266
2015-08-30,15936535
2015-08-31,15189577
2015-09-01,15008719
2015-09-02,15008719
2015-09-03,15739642
2015-09-04,15691489
2015-09-05,15691489
2015-09-06,15630528
2015-09-07,15607485
2015-09-08,15800409
2015-09-09,15608788
2015-09-10,15125507
2015-09-11,14647938
2015-09-12,14424693
2015-09-13,14169092
2015-09-14,13939306
2015-09-15,13844047
2015-09-16,13844047
2015-09-17,13841540
2015-09-18,13841540
2015-09-19,13965301
2015-09-20,14226699
2015-09-21,14022563
2015-09-22,13777241
2015-09-23,13439104
2015-09-24,13062439
2015-09-25,12460119
2015-09-27,12555945
2015-09-28,13091106
2015-09-29,13658418
2015-09-30,14203610
2015-10-05,13056249
2015-10-06,12960917
2015-10-07,12596514
2015-10-08,12724173
2015-10-09,12665017
2015-10-10,12665017
2015-10-11,12678779
2015-10-12,12877274
2015-10-13,12877274
2015-10-14,12788618
2015-10-15,12768258
2015-10-16,12752813
2015-10-17,12752813
2015-10-18,12770806
2015-10-19,12693683
2015-10-20,12669450
2015-10-22,12787019
2015-10-23,12824356
2015-10-24,12953401
2015-10-25,13024811
2015-10-26,13511729
2015-10-27,13511729
2015-10-28,13445795
2015-10-29,13761640
2015-10-30,14156748
2015-10-31,14307783
2015-11-01,14307783
2015-11-02,13992463
2015-11-03,13926062
2015-11-04,13926062
2015-11-05,13534362
2015-11-06,13534362
2015-11-07,13772046
2015-11-08,13772046
2015-11-09,13949044
2015-11-10,13949044
2015-11-11,14177291
2015-11-12,14177291
2015-11-13,14004644
2015-11-14,14004644
2015-11-15,13874835
2015-11-16,13707676
2015-11-17,13707676
2015-11-18,13761821
2015-11-19,14165279
2015-11-20,14411751
2015-11-21,14411751
2015-11-22,14511065
2015-11-23,14511065
2015-11-24,14578102
2015-11-25,14890504
2015-11-26,14890504
2015-11-27,14996407
2015-11-28,14745320
2015-11-29,14427817
2015-11-30,14281107
2015-12-01,14281107
2015-12-02,14241447
2015-12-03,14504043
2015-12-04,14504043
2015-12-05,15177231
2015-12-06,15641996
2015-12-07,16226593
2015-12-08,16519790
2015-12-09,16702627
2015-12-10,16817671
2015-12-11,16740322
2015-12-12,16862700
2015-12-13,16955270
2015-12-14,16955270
2015-12-15,16665279
2015-12-16,16525224
2015-12-17,16525224
2015-12-18,16642876
2015-12-19,16797869
2015-12-20,16790432
2015-12-21,16588244
2015-12-22,16512825
2015-12-23,16640584
2015-12-24,16681515
2015-12-25,16704510
2015-12-26,16794047
2015-12-27,16843815
2015-12-28,16780871
2015-12-29,16625864
2015-12-30,16529455
2015-12-31,17047286
2016-01-01,17176995
2016-01-02,17693441
2016-01-03,18099616
2016-01-04,17697858
2016-01-05,17375952
2016-01-06,17195937
2016-01-07,17288303
2016-01-08,17433357
2016-01-09,17565541
2016-01-10,17555872
2016-01-11,17477789
2016-01-12,17350526
2016-01-13,17305445
2016-01-14,17314179
2016-01-15,17530906
2016-01-16,17706531
2016-01-17,17918559
2016-01-18,18002343
2016-01-19,17937016
2016-01-20,17959085
2016-01-21,18109395
2016-01-22,18036855
2016-01-23,18041741
