date_obj,Bottle%20of%20wine price
2015-03-26,55
2015-03-27,55
2015-03-28,55
2015-03-29,55
2015-03-30,55
2015-03-31,57
2015-04-01,57
2015-04-02,57
2015-04-03,57
2015-04-04,57
2015-04-05,57
2015-04-06,58
2015-04-07,58
2015-04-08,58
2015-04-09,58
2015-04-10,58
2015-04-11,58
2015-04-12,60
2015-04-13,60
2015-04-14,60
2015-04-15,60
2015-04-16,60
2015-04-17,60
2015-04-18,60
2015-04-19,62
2015-04-20,62
2015-04-21,62
2015-04-22,62
2015-04-23,62
2015-04-24,62
2015-04-25,62
2015-04-26,62
2015-04-27,64
2015-04-28,64
2015-04-29,64
2015-04-30,64
2015-05-01,64
2015-05-02,64
2015-05-03,64
2015-05-04,64
2015-05-05,67
2015-05-06,67
2015-05-07,67
2015-05-08,67
2015-05-09,67
2015-05-10,67
2015-05-11,67
2015-05-12,67
2015-05-13,67
2015-05-14,69
2015-05-15,69
2015-05-16,69
2015-05-17,69
2015-05-18,69
2015-05-19,69
2015-05-20,69
2015-05-21,69
2015-05-22,69
2015-05-23,72
2015-05-24,72
2015-05-25,72
2015-05-26,72
2015-05-27,72
2015-05-28,72
2015-05-29,74
2015-05-30,74
2015-05-31,74
2015-06-01,74
2015-06-02,74
2015-06-03,74
2015-06-04,76
2015-06-05,76
2015-06-06,76
2015-06-07,76
2015-06-08,76
2015-06-09,79
2015-06-10,79
2015-06-11,79
2015-06-12,79
2015-06-13,79
2015-06-14,82
2015-06-15,82
2015-06-16,82
2015-06-17,82
2015-06-18,82
2015-06-19,85
2015-06-20,85
2015-06-21,85
2015-06-22,85
2015-06-23,85
2015-06-24,88
2015-06-25,88
2015-06-26,88
2015-06-27,88
2015-06-28,88
2015-06-29,88
2015-06-30,90
2015-07-01,90
2015-07-02,90
2015-07-03,90
2015-07-04,90
2015-07-05,90
2015-07-06,90
2015-07-07,93
2015-07-08,93
2015-07-09,93
2015-07-10,93
2015-07-11,93
2015-07-12,93
2015-07-13,93
2015-07-14,93
2015-07-15,95
2015-07-16,95
2015-07-17,95
2015-07-18,95
2015-07-19,95
2015-07-20,95
2015-07-21,95
2015-07-22,99
2015-07-23,99
2015-07-24,99
2015-07-25,99
2015-07-26,99
2015-07-27,99
2015-07-28,99
2015-07-29,102
2015-07-30,102
2015-07-31,102
2015-08-01,102
