date_obj,Jar%20of%20chemicals price
2019-01-30,600000
2019-01-31,600000
2019-01-31,624038
2019-02-01,653712
2019-02-02,653712
2019-02-03,686398
2019-02-04,686398
2019-02-05,717919
2019-02-06,717919
2019-02-07,753815
2019-02-08,753815
2019-02-09,751387
2019-02-10,751387
2019-02-11,713817
2019-02-12,713817
2019-02-13,678126
2019-02-14,678126
2019-02-15,678126
2019-02-16,644219
2019-02-17,644219
2019-02-18,614127
2019-02-19,614127
2019-02-20,614127
2019-02-21,583420
2019-02-22,583420
2019-02-23,555606
2019-02-24,555606
2019-02-25,528968
2019-02-26,528968
2019-02-27,503506
2019-02-28,503506
2019-03-01,481479
2019-03-02,481479
2019-03-03,458781
2019-03-04,458781
2019-03-05,436553
2019-03-06,436553
2019-03-07,415732
2019-03-08,415732
2019-03-09,415732
2019-03-10,396476
2019-03-11,396476
2019-03-12,377912
2019-03-13,377912
2019-03-14,377912
2019-03-15,359548
2019-03-16,359548
2019-03-17,342119
2019-03-18,342119
2019-03-19,342119
2019-03-20,325660
2019-03-21,325660
2019-03-22,310576
2019-03-23,296210
2019-03-24,296210
2019-03-25,296210
2019-03-26,281943
2019-03-27,281943
2019-03-28,281943
2019-03-29,268652
2019-03-30,268652
2019-03-31,268652
2019-04-01,256921
2019-04-02,256921
2019-04-03,245089
2019-04-04,245089
2019-04-05,245089
2019-04-06,233223
2019-04-07,233223
2019-04-08,233223
2019-04-09,222265
2019-04-10,222265
2019-04-11,222265
2019-04-12,212119
2019-04-13,212119
2019-04-14,202632
2019-04-15,202632
2019-04-16,202632
2019-04-17,193797
2019-04-18,193797
2019-04-19,193797
2019-04-20,184718
2019-04-21,184718
2019-04-22,184718
2019-04-23,176691
2019-04-24,176691
2019-04-25,176691
2019-04-26,168436
2019-04-27,168436
2019-04-28,168436
2019-04-29,168436
2019-04-30,160616
2019-05-01,160616
2019-05-02,160616
2019-05-03,160616
2019-05-04,153555
2019-05-05,153555
2019-05-06,153555
2019-05-07,153555
2019-05-08,153555
2019-05-09,146512
2019-05-10,146512
2019-05-11,146512
2019-05-12,146512
2019-05-13,140954
2019-05-14,140954
2019-05-15,140954
2019-05-16,140954
2019-05-17,140954
2019-05-18,134319
2019-05-19,134319
2019-05-20,134319
2019-05-21,134319
2019-05-22,134319
2019-05-23,129627
2019-05-24,129627
2019-05-25,129627
2019-05-26,129627
2019-05-27,128280
2019-05-28,128280
2019-05-29,128280
2019-05-30,128280
2019-05-31,128280
2019-06-01,123470
2019-06-02,123470
2019-06-03,123470
2019-06-04,123470
2019-06-05,123470
2019-06-06,123470
2019-06-07,118064
2019-06-08,118064
2019-06-09,118064
2019-06-10,118064
2019-06-11,112746
2019-06-12,112746
2019-06-13,112746
2019-06-14,112746
2019-06-15,112746
2019-06-16,107453
2019-06-17,107453
2019-06-18,107453
2019-06-19,107453
2019-06-20,102563
2019-06-21,102563
2019-06-22,102563
2019-06-23,102563
2019-06-24,102563
2019-06-25,102563
2019-06-26,97707
2019-06-27,97707
2019-06-28,97707
2019-06-29,97707
2019-06-30,93524
2019-07-01,93524
2019-07-02,93524
2019-07-03,93524
2019-07-04,93524
2019-07-05,93524
2019-07-06,90774
2019-07-07,90774
2019-07-08,90774
2019-07-09,90774
2019-07-10,90774
2019-07-11,90774
2019-07-12,88045
2019-07-13,88045
2019-07-14,88045
2019-07-15,88045
2019-07-16,88045
2019-07-17,86810
2019-07-18,86810
2019-07-19,86810
2019-07-20,86810
2019-07-21,86810
2019-07-22,86810
2019-07-23,83871
2019-07-24,83871
2019-07-25,83871
2019-07-26,83871
2019-07-27,83871
2019-07-28,83871
2019-07-29,80265
2019-07-30,80265
2019-07-31,80265
2019-08-01,80265
2019-08-02,80265
2019-08-03,77687
2019-08-04,77687
2019-08-05,77687
2019-08-06,77687
2019-08-07,77687
2019-08-08,77687
2019-08-09,76857
2019-08-10,76857
2019-08-11,76857
2019-08-12,76857
2019-08-13,75884
2019-08-14,75884
2019-08-15,75884
2019-08-16,75884
2019-08-17,75884
2019-08-18,74937
2019-08-19,74937
2019-08-20,74937
2019-08-21,74937
2019-08-22,74937
2019-08-23,75674
2019-08-24,75674
2019-08-24,75674
2019-08-25,75674
2019-08-25,75674
2019-08-26,75674
2019-08-26,75674
2019-08-27,75674
2019-08-27,75674
2019-08-28,79271
2019-08-29,79271
2019-08-30,79271
2019-08-31,79271
2019-09-01,82721
2019-09-02,82721
2019-09-03,82721
2019-09-04,82721
2019-09-05,82721
2019-09-06,82721
2019-09-07,86326
2019-09-08,86326
2019-09-09,86326
2019-09-10,86326
2019-09-11,86326
2019-09-12,90078
2019-09-13,90078
2019-09-14,90078
2019-09-15,90078
2019-09-16,90078
2019-09-17,93618
2019-09-18,93618
2019-09-19,93618
2019-09-20,93618
2019-09-21,93618
2019-09-22,95658
