date_obj,Pirate%20leggings%20(red) price
2015-02-25,47250
2015-02-26,47250
2015-02-27,47250
2015-02-28,47250
2015-03-01,47250
2015-03-02,47250
2015-03-03,47250
2015-03-04,47250
2015-03-05,47250
2015-03-06,47250
2015-03-07,47250
2015-03-08,47250
2015-03-09,47250
2015-03-10,47250
2015-03-11,47250
2015-03-12,47250
2015-03-13,47250
2015-03-14,47250
2015-03-15,47250
2015-03-16,47250
2015-03-17,47250
2015-03-18,47250
2015-03-19,44920
2015-03-20,44920
2015-03-21,44920
2015-03-22,44920
2015-03-23,44920
2015-03-24,44920
2015-03-25,44920
2015-03-26,44920
2015-03-27,44920
2015-03-28,44920
2015-03-29,44920
2015-03-30,44920
2015-03-31,44920
2015-04-01,44920
2015-04-02,44920
2015-04-03,44920
2015-04-04,44920
2015-04-05,44920
2015-04-06,44920
2015-04-07,44920
2015-04-08,44920
2015-04-09,44920
2015-04-10,44920
2015-04-11,42712
2015-04-12,42712
2015-04-13,42712
2015-04-14,42712
2015-04-15,42712
2015-04-16,42712
2015-04-17,42712
2015-04-18,42712
2015-04-19,42712
2015-04-20,42712
2015-04-21,42712
2015-04-22,42712
2015-04-23,42712
2015-04-24,42712
2015-04-25,42712
2015-04-26,42712
2015-04-27,42712
2015-04-28,42712
2015-04-29,42712
2015-04-30,42712
2015-05-01,42712
2015-05-02,42712
2015-05-03,42712
2015-05-04,42712
2015-05-05,40613
2015-05-06,40613
2015-05-07,40613
2015-05-08,40613
2015-05-09,40613
2015-05-10,40613
2015-05-11,40613
2015-05-12,40613
2015-05-13,40613
2015-05-14,40613
2015-05-15,40613
2015-05-16,40613
2015-05-17,40613
2015-05-18,40613
2015-05-19,40613
2015-05-20,40613
2015-05-21,40613
2015-05-22,40613
2015-05-23,40613
2015-05-24,40613
2015-05-25,40613
2015-05-26,40613
2015-05-27,40613
2015-05-28,38582
2015-05-29,38582
2015-05-30,38582
2015-05-31,38582
2015-06-01,38582
2015-06-02,38582
2015-06-03,38582
2015-06-04,38582
2015-06-05,38582
2015-06-06,38582
2015-06-07,38582
2015-06-08,38582
2015-06-09,38582
2015-06-10,38582
2015-06-11,38582
2015-06-12,38582
2015-06-13,36736
2015-06-14,36736
2015-06-15,36736
2015-06-16,36736
2015-06-17,36736
2015-06-18,36736
2015-06-19,36736
2015-06-20,36736
2015-06-21,36736
2015-06-22,36736
2015-06-23,36736
2015-06-24,36736
2015-06-25,36736
2015-06-26,36736
2015-06-27,36736
2015-06-28,34936
2015-06-29,34936
2015-06-30,34936
2015-07-01,34936
2015-07-02,34936
2015-07-03,34936
2015-07-04,34936
2015-07-05,34936
2015-07-06,34936
2015-07-07,34936
2015-07-08,34936
2015-07-09,34936
2015-07-10,34936
2015-07-11,33203
2015-07-12,33203
2015-07-13,33203
2015-07-14,33203
2015-07-15,33203
2015-07-16,33203
2015-07-17,33203
2015-07-18,33203
2015-07-19,33203
2015-07-20,33203
2015-07-21,33203
2015-07-22,33203
2015-07-23,33203
2015-07-24,31554
2015-07-25,31554
2015-07-26,31554
2015-07-27,31554
2015-07-28,31554
2015-07-29,31554
2015-07-30,31554
2015-07-31,31554
2015-08-01,31554
2015-08-02,31554
2015-08-03,31554
2015-08-04,31554
2015-08-05,31554
2015-08-06,31554
2015-08-07,30009
2015-08-08,30009
2015-08-09,30009
2015-08-10,30009
2015-08-11,30009
2015-08-12,30009
2015-08-13,30009
2015-08-14,30009
2015-08-15,30009
2015-08-16,30009
2015-08-17,28533
2015-08-18,28533
2015-08-19,28533
2015-08-20,28533
2015-08-21,28533
2015-08-22,28533
2015-08-23,28533
2015-08-24,28533
2015-08-25,28533
2015-08-26,28533
2015-08-27,28533
2015-08-28,28533
2015-08-29,28533
2015-08-30,27128
2015-08-31,27128
2015-09-01,27128
2015-09-02,27128
2015-09-03,27128
2015-09-04,27128
2015-09-05,27128
2015-09-06,27128
2015-09-07,27128
2015-09-08,27128
2015-09-09,27128
2015-09-10,27128
2015-09-11,27128
2015-09-12,25793
2015-09-13,25793
2015-09-14,25793
2015-09-15,25793
2015-09-16,25793
2015-09-17,25793
2015-09-18,25793
2015-09-19,25793
2015-09-20,25793
2015-09-21,25793
2015-09-22,25793
2015-09-23,25793
2015-09-24,24553
2015-09-25,24553
2015-09-26,24553
2015-09-27,24553
2015-09-28,24553
2015-09-29,24553
2015-09-30,24553
2015-10-01,24553
2015-10-02,24553
2015-10-03,24553
2015-10-04,24553
2015-10-05,24553
2015-10-06,24553
2015-10-07,24553
2015-10-08,23349
2015-10-09,23349
2015-10-10,23349
2015-10-11,23349
2015-10-12,23349
2015-10-13,23349
2015-10-14,23349
2015-10-15,23349
2015-10-16,23349
2015-10-17,23349
2015-10-18,23349
2015-10-19,23349
2015-10-20,23349
2015-10-21,23349
2015-10-22,22198
2015-10-23,22198
2015-10-24,22198
2015-10-25,22198
2015-10-26,22198
2015-10-27,22198
2015-10-28,22198
2015-10-29,22198
2015-10-30,22198
2015-10-31,22198
2015-11-01,22198
2015-11-02,22198
2015-11-03,22198
2015-11-04,22198
2015-11-05,22198
2015-11-06,22198
2015-11-07,21101
2015-11-08,21101
2015-11-09,21101
2015-11-10,21101
2015-11-11,21101
2015-11-12,21101
2015-11-13,21101
2015-11-14,21101
2015-11-15,21101
2015-11-16,21101
2015-11-17,21101
