date_obj,Mithril%20med%20helm price
2015-03-26,6318
2015-03-27,6318
2015-03-28,6002
2015-03-29,6002
2015-03-30,6002
2015-03-31,5701
2015-04-01,5701
2015-04-02,5701
2015-04-03,5436
2015-04-04,5436
2015-04-05,5436
2015-04-06,5164
2015-04-07,5164
2015-04-08,5164
2015-04-09,4910
2015-04-10,4910
2015-04-11,4671
2015-04-12,4671
2015-04-13,4671
2015-04-14,4440
2015-04-15,4440
2015-04-16,4440
2015-04-17,4218
2015-04-18,4218
2015-04-19,4018
2015-04-20,4018
2015-04-21,4018
2015-04-22,3820
2015-04-23,3820
2015-04-24,3639
2015-04-25,3639
2015-04-26,3639
2015-04-27,3458
2015-04-28,3458
2015-04-29,3458
2015-04-30,3285
2015-05-01,3285
2015-05-02,3120
2015-05-03,3120
2015-05-04,2966
2015-05-05,2966
2015-05-06,2817
2015-05-07,2817
2015-05-08,2676
2015-05-09,2676
2015-05-10,2542
2015-05-11,2542
2015-05-12,2415
2015-05-13,2415
2015-05-14,2298
2015-05-15,2298
2015-05-16,2298
2015-05-17,2183
2015-05-18,2183
2015-05-19,2074
2015-05-20,2074
2015-05-21,2074
2015-05-22,1970
2015-05-23,1970
2015-05-24,1877
2015-05-25,1877
2015-05-26,1784
2015-05-27,1784
2015-05-28,1695
2015-05-29,1695
2015-05-30,1610
2015-05-31,1610
2015-06-01,1530
2015-06-02,1530
2015-06-03,1460
2015-06-04,1460
2015-06-05,1391
2015-06-06,1391
2015-06-07,1325
2015-06-08,1325
2015-06-09,1260
2015-06-10,1260
2015-06-11,1200
2015-06-12,1200
2015-06-13,1141
2015-06-14,1141
2015-06-15,1085
2015-06-16,1085
2015-06-17,1032
2015-06-18,1032
2015-06-19,982
2015-06-20,982
2015-06-21,935
2015-06-22,935
2015-06-23,893
2015-06-24,893
2015-06-25,852
2015-06-26,852
2015-06-27,818
2015-06-28,818
2015-06-29,789
2015-06-30,789
2015-07-01,750
2015-07-02,750
2015-07-03,750
2015-07-04,712
2015-07-05,712
2015-07-06,712
2015-07-07,679
2015-07-08,679
2015-07-09,679
2015-07-10,645
2015-07-11,645
2015-07-12,645
2015-07-13,612
2015-07-14,612
2015-07-15,582
2015-07-16,582
2015-07-17,552
2015-07-18,552
2015-07-19,552
2015-07-20,524
2015-07-21,524
2015-07-22,497
2015-07-23,497
2015-07-24,497
2015-07-25,478
2015-07-26,478
2015-07-27,478
2015-07-28,459
2015-07-29,459
2015-07-30,440
2015-07-31,440
2015-08-01,440
2015-08-02,431
2015-08-03,431
2015-08-04,431
2015-08-05,412
2015-08-06,412
2015-08-07,412
2015-08-08,413
2015-08-09,413
2015-08-10,398
2015-08-11,398
2015-08-12,398
2015-08-13,389
2015-08-14,389
2015-08-15,389
2015-08-16,389
2015-08-17,389
2015-08-18,385
2015-08-19,385
2015-08-20,385
2015-08-21,386
2015-08-22,386
2015-08-23,386
2015-08-24,378
2015-08-25,378
2015-08-26,378
2015-08-27,379
2015-08-28,379
2015-08-29,379
2015-08-30,376
2015-08-31,376
2015-09-01,376
2015-09-02,372
2015-09-03,372
2015-09-04,372
2015-09-05,363
2015-09-06,363
2015-09-07,363
2015-09-08,351
2015-09-09,351
2015-09-10,351
2015-09-11,335
2015-09-12,335
2015-09-13,335
2015-09-14,329
2015-09-15,329
2015-09-16,329
2015-09-17,327
2015-09-18,327
2015-09-19,327
2015-09-20,326
2015-09-21,326
2015-09-22,326
2015-09-23,323
2015-09-24,323
2015-09-25,323
2015-09-27,315
2015-09-28,315
2015-09-29,315
2015-09-30,316
2015-10-05,308
2015-10-06,308
2015-10-07,308
2015-10-08,311
2015-10-09,311
2015-10-10,311
2015-10-11,308
2015-10-12,308
2015-10-13,308
2015-10-14,308
2015-10-15,298
2015-10-16,298
2015-10-17,298
2015-10-18,298
2015-10-19,289
2015-10-20,289
2015-10-22,289
2015-10-23,279
2015-10-24,279
2015-10-25,279
2015-10-26,276
2015-10-27,276
2015-10-29,276
2015-10-30,282
2015-10-31,282
2015-11-01,282
2015-11-02,288
2015-11-03,288
2015-11-04,288
2015-11-05,288
2015-11-06,295
2015-11-07,295
2015-11-08,295
2015-11-09,295
2015-11-10,301
2015-11-11,301
2015-11-12,301
2015-11-13,301
2015-11-14,309
2015-11-15,309
2015-11-16,309
2015-11-17,309
2015-11-18,311
2015-11-19,311
2015-11-20,311
2015-11-21,315
2015-11-22,315
2015-11-23,315
2015-11-24,318
2015-11-25,318
2015-11-26,318
2015-11-27,321
2015-11-28,321
2015-11-29,321
2015-11-30,326
2015-12-01,326
2015-12-02,326
2015-12-03,334
2015-12-04,334
2015-12-05,334
2015-12-06,339
2015-12-07,339
2015-12-08,339
2015-12-09,332
2015-12-10,332
2015-12-11,332
2015-12-12,332
2015-12-13,332
2015-12-14,332
2015-12-15,333
2015-12-16,333
2015-12-17,333
2015-12-18,340
2015-12-19,340
2015-12-20,340
2015-12-21,343
2015-12-22,343
2015-12-23,343
2015-12-24,343
2015-12-25,343
2015-12-26,343
2015-12-27,348
2015-12-28,348
2015-12-29,355
2015-12-30,355
2015-12-31,355
2016-01-01,348
2016-01-02,348
2016-01-03,342
2016-01-04,342
2016-01-05,344
2016-01-06,344
2016-01-07,344
2016-01-08,344
2016-01-09,344
2016-01-10,344
2016-01-11,339
2016-01-12,339
2016-01-13,339
2016-01-14,340
2016-01-15,340
2016-01-16,340
2016-01-17,351
2016-01-18,351
2016-01-19,351
2016-01-20,350
2016-01-21,350
2016-01-22,350
2016-01-23,346
2016-01-24,346
2016-01-25,343
2016-01-26,343
2016-01-27,340
2016-01-28,340
2016-01-29,340
2016-01-30,340
2016-01-31,340
2016-02-01,340
2016-02-02,340
2016-02-03,340
2016-02-04,347
2016-02-05,347
2016-02-06,342
2016-02-07,342
2016-02-08,342
2016-02-09,340
2016-02-10,340
2016-02-11,335
2016-02-12,335
2016-02-13,325
2016-02-14,325
2016-02-15,325
2016-02-16,325
2016-02-17,325
2016-02-18,325
2016-02-19,336
2016-02-20,336
2016-02-21,337
2016-02-22,337
2016-02-23,337
2016-02-24,332
2016-02-25,332
2016-02-26,324
2016-02-27,324
2016-02-28,329
2016-02-29,329
2016-03-01,322
2016-03-02,322
2016-03-03,322
2016-03-04,325
2016-03-05,325
2016-03-06,318
2016-03-07,318
2016-03-08,318
2016-03-09,319
2016-03-10,319
2016-03-11,319
2016-03-12,327
2016-03-13,327
2016-03-14,327
2016-03-15,330
2016-03-16,330
2016-03-17,330
2016-03-18,321
2016-03-19,321
2016-03-20,314
2016-03-21,314
2016-03-22,314
2016-03-23,321
2016-03-24,321
2016-03-25,326
2016-03-26,326
2016-03-27,326
2016-03-28,328
2016-03-29,328
2016-03-30,328
2016-03-31,331
2016-04-01,331
2016-04-02,331
2016-04-03,322
2016-04-04,322
2016-04-05,315
2016-04-06,315
2016-04-07,315
2016-04-08,315
2016-04-09,318
2016-04-10,318
2016-04-11,318
2016-04-12,326
2016-04-13,326
2016-04-14,318
2016-04-15,318
2016-04-16,310
2016-04-17,310
2016-04-18,312
2016-04-19,312
2016-04-20,312
2016-04-21,312
2016-04-22,312
2016-04-23,323
2016-04-24,323
2016-04-25,319
2016-04-26,319
2016-04-27,320
2016-04-28,320
2016-04-29,320
2016-04-30,324
2016-05-01,324
2016-05-02,327
2016-05-03,327
2016-05-04,332
2016-05-05,332
2016-05-06,321
2016-05-07,321
2016-05-08,314
2016-05-09,314
2016-05-10,323
2016-05-11,323
2016-05-12,323
2016-05-13,318
2016-05-14,318
2016-05-15,311
2016-05-16,311
2016-05-17,304
2016-05-18,304
2016-05-19,304
2016-05-22,311
2016-05-23,311
2016-05-24,324
2016-05-25,324
2016-05-26,327
2016-05-27,327
2016-05-28,323
2016-05-29,323
2016-05-30,319
2016-05-31,319
2016-06-01,307
2016-06-02,307
2016-06-03,307
2016-06-04,304
2016-06-05,304
2016-06-06,301
2016-06-07,301
2016-06-08,301
2016-06-09,294
2016-06-10,294
2016-06-11,305
2016-06-12,305
2016-06-13,312
2016-06-14,312
2016-06-15,306
