date_obj,Redwood%20sapling price
2019-01-10,50300
2019-01-10,52815
2019-01-11,55456
2019-01-12,58229
2019-01-13,61141
2019-01-14,64199
2019-01-15,67409
2019-01-16,70780
2019-01-17,74319
2019-01-18,78035
2019-01-19,81937
2019-01-20,86034
2019-01-21,90114
2019-01-22,88421
2019-01-23,84793
2019-01-24,80799
2019-01-25,76779
2019-01-26,72940
2019-01-27,69293
2019-01-28,65828
2019-01-29,62536
2019-01-30,59409
2019-01-31,59409
2019-02-01,56439
2019-02-02,56439
2019-02-03,53617
2019-02-04,53617
2019-02-05,50936
2019-02-06,50936
2019-02-07,48389
2019-02-08,45969
2019-02-09,43670
2019-02-10,41486
2019-02-11,39656
2019-02-12,39656
2019-02-13,39596
2019-02-14,39596
2019-02-15,41448
2019-02-16,43520
2019-02-17,43520
2019-02-18,45552
2019-02-19,46060
2019-02-20,45156
2019-02-21,44180
2019-02-22,44180
2019-02-23,45464
2019-02-24,47400
2019-02-25,46006
2019-02-26,46006
2019-02-27,43786
2019-02-28,43786
2019-03-01,41852
2019-03-02,41852
2019-03-03,39759
2019-03-04,38095
2019-03-05,38459
2019-03-06,39818
2019-03-07,39368
2019-03-08,39368
2019-03-09,37983
2019-03-10,36986
2019-03-11,36303
2019-03-12,36696
2019-03-13,36696
2019-03-14,38204
2019-03-15,38204
2019-03-16,38114
2019-03-17,37444
2019-03-18,37444
2019-03-19,36158
2019-03-20,35625
2019-03-21,35807
2019-03-22,35807
2019-03-23,36987
2019-03-24,37577
2019-03-25,37577
2019-03-26,38369
2019-03-27,38369
2019-03-28,36980
2019-03-29,37378
2019-03-30,37378
2019-03-31,37358
2019-04-01,37101
2019-04-02,37101
2019-04-03,38177
2019-04-04,37519
2019-04-05,37519
2019-04-06,36886
2019-04-07,35841
2019-04-08,35250
2019-04-09,35250
2019-04-10,35614
2019-04-11,36728
2019-04-12,37313
2019-04-13,38464
2019-04-14,39726
2019-04-15,39726
2019-04-16,38142
2019-04-17,38142
2019-04-18,36803
2019-04-19,36803
2019-04-20,35921
2019-04-21,35921
2019-04-22,34737
2019-04-23,35133
2019-04-24,35133
2019-04-25,34415
2019-04-26,34265
2019-04-27,34265
2019-04-28,34566
2019-04-29,34566
2019-04-30,35515
2019-05-01,35515
2019-05-02,36236
2019-05-03,36468
2019-05-04,36467
2019-05-05,36467
2019-05-06,35456
2019-05-07,35803
2019-05-08,35803
2019-05-09,35557
2019-05-10,35557
2019-05-11,34927
2019-05-12,34384
2019-05-13,34215
2019-05-14,33436
2019-05-15,33436
2019-05-16,32542
2019-05-17,32542
2019-05-18,33034
2019-05-19,33034
2019-05-20,33366
2019-05-21,33366
2019-05-22,33222
2019-05-23,33156
2019-05-24,33156
2019-05-25,33157
2019-05-26,33157
2019-05-27,33005
2019-05-28,33005
2019-05-29,33605
2019-05-30,33605
2019-05-31,32022
2019-06-01,32022
2019-06-02,30530
2019-06-03,30530
2019-06-04,29433
2019-06-05,28534
2019-06-06,28534
2019-06-07,27733
2019-06-08,27032
2019-06-09,27690
2019-06-10,27690
2019-06-11,28313
2019-06-12,28313
2019-06-13,29223
2019-06-14,29223
2019-06-15,29777
2019-06-16,29500
2019-06-17,29500
2019-06-18,28930
2019-06-19,28930
2019-06-20,29310
2019-06-21,29310
2019-06-22,28807
2019-06-23,27621
2019-06-24,27621
2019-06-25,26353
2019-06-26,26353
2019-06-27,26044
2019-06-28,26044
2019-06-29,27056
2019-06-30,26858
2019-07-01,26858
2019-07-02,27405
2019-07-03,27405
2019-07-04,28567
2019-07-05,29588
2019-07-06,29588
2019-07-07,29793
2019-07-08,29793
2019-07-09,30348
2019-07-10,30348
2019-07-11,31763
2019-07-12,32397
2019-07-13,32397
2019-07-14,33244
2019-07-15,33244
2019-07-16,34897
2019-07-17,36048
2019-07-18,36048
2019-07-19,36970
2019-07-20,36970
2019-07-21,37315
2019-07-22,37315
2019-07-23,36744
2019-07-24,36744
2019-07-25,35742
2019-07-26,35742
2019-07-27,36218
2019-07-28,36218
2019-07-29,36015
2019-07-30,34435
2019-07-31,33686
2019-08-01,33686
2019-08-02,33221
2019-08-03,32292
2019-08-04,32292
2019-08-05,33261
2019-08-06,33261
2019-08-07,34787
2019-08-08,34787
2019-08-09,34787
2019-08-10,35066
2019-08-11,35066
2019-08-12,34543
2019-08-13,34543
2019-08-14,33915
2019-08-15,33915
2019-08-16,34366
2019-08-17,34366
2019-08-18,33735
2019-08-19,33735
2019-08-20,33578
2019-08-21,33578
2019-08-22,34083
2019-08-23,34083
2019-08-24,35269
2019-08-24,35269
2019-08-25,35269
2019-08-25,35269
2019-08-26,35392
2019-08-26,35392
2019-08-27,35392
2019-08-27,35392
2019-08-28,34246
2019-08-29,34246
2019-08-30,32607
2019-08-31,32607
2019-09-01,31846
2019-09-02,31846
2019-09-03,30799
2019-09-04,30799
2019-09-05,29280
2019-09-06,29280
2019-09-07,29504
2019-09-08,29504
2019-09-09,29670
2019-09-10,29670
2019-09-11,29786
2019-09-12,29786
2019-09-13,29264
2019-09-14,29264
2019-09-15,29723
2019-09-16,28556
2019-09-17,28556
2019-09-18,28525
2019-09-19,28525
2019-09-20,28075
2019-09-21,28075
2019-09-22,27118
2019-09-23,27118
2019-09-24,27983
2019-09-25,27983
2019-09-26,28903
2019-09-27,28903
2019-09-28,29893
2019-09-29,29893
2019-09-30,30068
2019-10-01,30523
2019-10-02,30523
2019-10-03,29002
2019-10-04,29002
2019-10-05,28208
2019-10-06,27542
2019-10-07,27542
2019-10-08,27499
2019-10-09,27499
2019-10-10,27288
2019-10-11,27288
2019-10-12,27647
2019-10-13,28423
2019-10-14,29763
2019-10-15,29763
2019-10-16,30963
2019-10-17,30963
2019-10-18,32481
2019-10-19,33463
2019-10-20,33463
2019-10-21,33582
2019-10-22,33582
2019-10-23,33209
2019-10-24,33209
2019-10-25,33307
2019-10-26,32361
2019-10-27,32361
2019-10-28,31788
2019-10-29,31788
2019-10-30,31788
2019-10-31,32213
2019-11-01,32213
2019-11-02,31593
2019-11-03,31593
2019-11-04,32032
2019-11-05,32032
2019-11-06,32704
2019-11-07,32704
2019-11-08,33275
2019-11-09,33275
2019-11-10,32770
2019-11-11,32770
2019-11-12,32107
2019-11-13,32107
2019-11-14,31581
2019-11-15,31581
2019-11-16,31126
2019-11-17,31126
2019-11-18,31331
2019-11-19,31331
2019-11-20,32168
2019-11-21,32168
2019-11-22,33565
2019-11-23,33565
2019-11-24,33694
2019-11-25,33694
2019-11-26,33459
2019-11-27,33459
2019-11-28,34621
2019-11-29,34621
2019-11-30,34266
2019-12-01,34266
2019-12-02,34243
2019-12-03,34243
2019-12-04,34798
2019-12-05,34798
2019-12-06,35371
2019-12-07,35897
2019-12-08,35897
2019-12-09,37467
2019-12-10,37467
2019-12-11,38948
2019-12-12,38948
2019-12-13,40555
2019-12-14,40555
2019-12-15,40832
2019-12-16,40832
2019-12-17,40675
2019-12-18,40675
2019-12-19,39347
2019-12-20,39347
2019-12-21,38835
2019-12-22,39203
2019-12-23,39203
2019-12-24,39454
2019-12-25,39454
2019-12-26,38939
2019-12-27,38383
2019-12-28,38383
2019-12-29,37866
2019-12-30,37866
2019-12-31,38753
2020-01-01,38753
2020-01-02,39213
2020-01-03,39213
2020-01-04,39162
2020-01-05,39078
2020-01-06,39078
2020-01-07,38969
2020-01-08,38969
2020-01-09,39904
2020-01-10,40187
2020-01-11,39776
2020-01-12,39776
2020-01-13,39335
2020-01-14,39335
2020-01-15,39809
2020-01-16,39809
2020-01-17,40150
2020-01-18,40150
2020-01-19,39495
2020-01-20,39495
2020-01-21,38654
2020-01-22,38220
2020-01-23,38220
2020-01-24,37669
2020-01-25,37669
2020-01-26,37268
2020-01-27,36840
2020-01-28,36840
2020-01-29,37096
2020-01-30,37096
2020-01-31,38040
2020-02-01,38040
2020-02-02,38110
2020-02-03,38110
2020-02-04,37027
2020-02-05,37027
2020-02-06,36263
2020-02-07,36263
2020-02-08,36134
2020-02-09,36134
2020-02-10,36224
2020-02-11,36224
2020-02-12,36688
2020-02-13,36688
2020-02-14,35715
2020-02-15,35715
2020-02-16,36268
2020-02-17,36136
2020-02-18,36150
2020-02-19,36150
2020-02-20,35824
2020-02-21,35824
2020-02-22,34755
2020-02-23,34755
2020-02-24,33168
2020-02-25,33168
2020-02-26,31509
2020-02-27,31509
2020-02-28,29933
2020-02-29,29933
2020-03-01,29252
2020-03-02,29252
2020-03-03,29033
2020-03-04,29033
2020-03-05,28588
2020-03-06,28302
2020-03-07,28302
2020-03-08,28862
2020-03-09,28857
2020-03-10,29233
2020-03-11,29233
2020-03-12,28863
2020-03-13,28863
2020-03-14,29779
2020-03-15,29779
2020-03-16,30475
2020-03-17,30475
2020-03-18,30507
2020-03-19,30507
2020-03-20,30609
2020-03-21,30609
2020-03-22,31378
2020-03-23,31378
2020-03-24,32381
2020-03-25,32381
