date_obj,Elven%20top%20(yellow%20vest) price
2019-07-25,5000
2019-07-25,5000
2019-07-26,4887
2019-07-27,4887
2019-07-28,4789
2019-07-29,4789
2019-07-30,4789
2019-07-31,4783
2019-08-01,4783
2019-08-02,4783
2019-08-03,4783
2019-08-04,4916
2019-08-05,4916
2019-08-06,4916
2019-08-07,4916
2019-08-08,4916
2019-08-09,5064
2019-08-10,5064
2019-08-11,5064
2019-08-12,5064
2019-08-13,5064
2019-08-14,5131
2019-08-15,5131
2019-08-16,5131
2019-08-17,5131
2019-08-18,5131
2019-08-19,5131
2019-08-20,5131
2019-08-21,5343
2019-08-22,5343
2019-08-23,5343
2019-08-24,5343
2019-08-24,5343
2019-08-25,5343
2019-08-25,5343
2019-08-26,5343
2019-08-26,5343
2019-08-27,5343
2019-08-27,5343
2019-08-28,5449
2019-08-29,5449
2019-08-30,5449
2019-08-31,5449
2019-09-01,5449
2019-09-02,5449
2019-09-03,5449
2019-09-04,5590
2019-09-05,5590
2019-09-06,5590
2019-09-07,5590
2019-09-08,5590
2019-09-09,5590
2019-09-10,5590
2019-09-11,5590
2019-09-12,5681
2019-09-13,5681
2019-09-14,5681
2019-09-15,5681
2019-09-16,5681
2019-09-17,5681
2019-09-18,5681
2019-09-19,5681
2019-09-20,5842
2019-09-21,5842
2019-09-22,5842
2019-09-23,5842
2019-09-24,5842
2019-09-25,5842
2019-09-26,5842
2019-09-27,5842
2019-09-28,5897
2019-09-29,5897
2019-09-30,5897
2019-10-01,5897
2019-10-02,5897
2019-10-03,5897
2019-10-04,5897
2019-10-05,5897
2019-10-06,5897
2019-10-07,5884
2019-10-08,5884
2019-10-09,5884
2019-10-10,5884
2019-10-11,5884
2019-10-12,5884
2019-10-13,5884
2019-10-14,5884
2019-10-15,5884
2019-10-16,5833
2019-10-17,5833
2019-10-18,5833
2019-10-19,5833
2019-10-20,5833
2019-10-21,5833
2019-10-22,5833
2019-10-23,5833
2019-10-24,5833
2019-10-25,5833
2019-10-26,5880
2019-10-27,5880
2019-10-28,5880
2019-10-29,5880
2019-10-30,5880
2019-10-31,5880
2019-11-01,5880
2019-11-02,5880
2019-11-03,5880
2019-11-04,5880
2019-11-05,5880
2019-11-06,5880
2019-11-07,5953
2019-11-08,5953
2019-11-09,5953
2019-11-10,5953
2019-11-11,5953
2019-11-12,5953
2019-11-13,5953
2019-11-14,5953
2019-11-15,5953
2019-11-16,5953
2019-11-17,5953
2019-11-18,5948
2019-11-19,5948
2019-11-20,5948
2019-11-21,5948
2019-11-22,5948
2019-11-23,5948
2019-11-24,5948
2019-11-25,5948
2019-11-26,5948
2019-11-27,5948
2019-11-28,5915
2019-11-29,5915
2019-11-30,5915
2019-12-01,5915
2019-12-02,5915
2019-12-03,5915
2019-12-04,5915
2019-12-05,5915
2019-12-06,5915
2019-12-07,5915
2019-12-08,5915
2019-12-09,5915
2019-12-10,5915
2019-12-11,5915
2019-12-12,5915
2019-12-13,5915
2019-12-14,5915
2019-12-15,5915
2019-12-16,5915
2019-12-17,5915
2019-12-18,5915
2019-12-19,5915
2019-12-20,5870
2019-12-21,5870
2019-12-22,5870
2019-12-23,5870
2019-12-24,5870
2019-12-25,5870
2019-12-26,5870
2019-12-27,5870
2019-12-28,5870
2019-12-29,5870
2019-12-30,5929
2019-12-31,5929
2020-01-01,5929
2020-01-02,5929
2020-01-03,5929
2020-01-04,5929
2020-01-05,5929
2020-01-06,5929
2020-01-07,5929
2020-01-08,5929
2020-01-09,5929
2020-01-10,5929
2020-01-11,6074
2020-01-12,6074
2020-01-13,6074
2020-01-14,6074
2020-01-15,6074
2020-01-16,6074
2020-01-17,6074
2020-01-18,6074
2020-01-19,6074
2020-01-20,6074
2020-01-21,6074
2020-01-22,6014
2020-01-23,6014
2020-01-24,6014
2020-01-25,6014
2020-01-26,6014
2020-01-27,6014
2020-01-28,6014
2020-01-29,6014
2020-01-30,6014
2020-01-31,6014
2020-02-01,6014
2020-02-02,6122
2020-02-03,6122
2020-02-04,6122
2020-02-05,6122
2020-02-06,6122
2020-02-07,6122
2020-02-08,6122
2020-02-09,6122
2020-02-10,6122
2020-02-11,6122
2020-02-12,6122
2020-02-13,6216
2020-02-14,6216
2020-02-15,6216
2020-02-16,6216
2020-02-17,6216
2020-02-18,6216
2020-02-19,6216
2020-02-20,6216
2020-02-21,6216
2020-02-22,6216
2020-02-23,6216
2020-02-24,6326
2020-02-25,6326
2020-02-26,6326
2020-02-27,6326
2020-02-28,6326
2020-02-29,6326
2020-03-01,6326
2020-03-02,6326
2020-03-03,6326
2020-03-04,6326
2020-03-05,6326
2020-03-06,6326
2020-03-07,6326
2020-03-08,6342
2020-03-09,6342
2020-03-10,6342
2020-03-11,6342
2020-03-12,6342
2020-03-13,6342
2020-03-14,6342
2020-03-15,6342
2020-03-16,6342
2020-03-17,6342
2020-03-18,6342
2020-03-19,6342
2020-03-20,6462
2020-03-21,6462
2020-03-22,6462
2020-03-23,6462
2020-03-24,6462
2020-03-25,6462
2020-03-26,6462
2020-03-27,6462
2020-03-28,6462
2020-03-29,6484
2020-03-30,6484
2020-03-31,6484
2020-04-01,6484
2020-04-02,6484
2020-04-03,6484
2020-04-04,6484
2020-04-05,6484
2020-04-06,6484
2020-04-07,6505
2020-04-08,6505
2020-04-09,6505
2020-04-10,6505
2020-04-11,6505
2020-04-12,6505
2020-04-13,6505
2020-04-14,6505
2020-04-15,6511
2020-04-16,6511
2020-04-17,6511
2020-04-18,6511
2020-04-19,6511
2020-04-20,6511
2020-04-21,6511
2020-04-22,6511
2020-04-23,6511
2020-04-24,6403
2020-04-25,6403
2020-04-26,6403
2020-04-27,6403
2020-04-28,6403
2020-04-29,6403
2020-04-30,6403
2020-05-01,6403
2020-05-02,6403
2020-05-03,6299
2020-05-04,6299
2020-05-05,6299
2020-05-06,6299
2020-05-07,6299
2020-05-08,6299
2020-05-09,6299
2020-05-10,6299
2020-05-11,6299
2020-05-12,6299
2020-05-13,6299
