date_obj,Saradomin%20page%204 price
2016-02-14,11216
2016-02-15,11078
2016-02-16,11078
2016-02-17,10951
2016-02-18,10951
2016-02-19,11193
2016-02-20,11193
2016-02-21,11332
2016-02-22,11332
2016-02-23,11230
2016-02-24,11230
2016-02-25,11056
2016-02-26,11056
2016-02-27,10908
2016-02-28,10908
2016-02-29,10818
2016-03-01,10557
2016-03-02,10557
2016-03-03,10707
2016-03-04,10707
2016-03-05,10871
2016-03-06,11346
2016-03-07,11346
2016-03-08,11754
2016-03-09,11754
2016-03-10,12176
2016-03-11,12176
2016-03-12,12162
2016-03-13,12162
2016-03-14,12060
2016-03-15,12060
2016-03-16,11903
2016-03-17,11903
2016-03-18,11824
2016-03-19,11824
2016-03-20,11916
2016-03-21,11916
2016-03-22,11437
2016-03-23,10913
2016-03-24,10913
2016-03-25,10369
2016-03-26,9925
2016-03-27,9925
2016-03-28,9456
2016-03-29,9456
2016-03-30,9019
2016-03-31,9019
2016-04-01,8697
2016-04-02,8697
2016-04-03,8617
2016-04-04,8617
2016-04-05,8606
2016-04-06,8606
2016-04-07,8357
2016-04-08,8357
2016-04-09,8146
2016-04-10,7972
2016-04-11,7972
2016-04-12,7688
2016-04-13,7688
2016-04-14,7484
2016-04-15,7484
2016-04-16,7227
2016-04-17,7227
2016-04-18,6941
2016-04-19,6941
2016-04-20,6749
2016-04-21,6749
2016-04-22,6653
2016-04-23,6653
2016-04-24,6726
2016-04-25,6833
2016-04-26,6833
2016-04-27,6808
2016-04-28,6808
2016-04-29,6756
2016-04-30,6756
2016-05-01,6661
2016-05-02,6661
2016-05-03,6542
2016-05-04,6542
2016-05-05,6540
2016-05-06,6540
2016-05-07,6244
2016-05-08,6244
2016-05-09,5983
2016-05-10,5895
2016-05-11,5895
2016-05-12,5764
2016-05-13,5741
2016-05-14,5741
2016-05-15,5775
2016-05-16,5775
2016-05-17,5602
2016-05-18,5602
2016-05-19,5532
2016-05-22,5530
2016-05-23,5536
2016-05-24,5536
2016-05-25,5509
2016-05-26,5509
2016-05-27,5432
2016-05-28,5432
2016-05-29,5249
2016-05-30,5249
2016-05-31,4993
2016-06-01,4820
2016-06-02,4820
2016-06-03,4734
2016-06-04,4734
2016-06-05,4701
2016-06-06,4839
2016-06-07,4839
2016-06-08,4993
2016-06-09,4993
2016-06-10,5152
2016-06-11,5152
2016-06-12,5181
2016-06-13,5181
2016-06-14,5115
2016-06-15,5115
2016-06-16,5056
2016-06-17,5008
2016-06-18,5008
2016-06-19,4982
2016-06-20,4982
2016-06-21,4943
2016-06-22,4943
2016-06-23,4804
2016-06-24,4804
2016-06-25,4928
2016-06-26,4928
2016-06-27,5095
2016-06-28,5095
2016-06-29,5186
2016-06-30,5186
2016-07-01,5161
2016-07-02,5161
2016-07-03,5158
2016-07-04,5264
2016-07-05,5264
2016-07-06,5321
2016-07-07,5108
2016-07-08,4892
2016-07-09,4685
2016-07-10,4530
2016-07-11,4342
2016-07-12,4191
2016-07-13,4077
2016-07-14,4034
2016-07-15,4034
2016-07-16,4041
2016-07-17,4041
2016-07-18,4015
2016-07-23,3792
2016-07-24,3713
2016-07-25,3713
2016-07-26,3741
2016-07-27,3741
2016-07-28,3811
2016-07-29,3858
2016-07-30,3858
2016-07-31,3945
2016-08-01,3945
2016-08-02,4000
2016-08-03,4000
2016-08-04,4045
2016-08-05,4045
2016-08-06,4051
2016-08-07,3999
2016-08-08,3999
2016-08-09,3965
2016-08-10,3965
2016-08-11,3901
2016-08-12,3901
2016-08-13,3796
2016-08-14,3796
2016-08-15,3798
2016-08-16,3798
2016-08-17,3828
2016-08-18,3828
2016-08-19,3939
2016-08-20,3939
2016-08-21,3884
2016-08-22,3884
2016-08-23,3737
2016-08-24,3737
2016-08-25,3560
2016-08-26,3560
2016-08-28,3403
2016-08-31,3269
2016-09-01,3141
2016-09-02,3141
2016-09-03,3141
2016-09-04,3140
2016-09-05,3140
2016-09-06,3236
2016-09-07,3236
2016-09-08,3236
2016-09-09,3374
2016-09-10,3374
2016-09-11,3413
2016-09-12,3413
2016-09-13,3468
2016-09-14,3468
2016-09-15,3545
2016-09-16,3545
2016-09-17,3608
2016-09-18,3608
2016-09-19,3561
2016-09-20,3561
2016-09-21,3561
2016-09-22,3510
2016-09-23,3510
2016-09-24,3510
2016-09-25,3471
2016-09-26,3471
2016-09-27,3471
2016-09-28,3485
2016-09-29,3485
2016-09-30,3461
2016-10-01,3461
2016-10-02,3373
2016-10-03,3373
2016-10-04,3439
2016-10-05,3439
2016-10-06,3462
2016-10-07,3462
2016-10-08,3477
2016-10-09,3477
2016-10-10,3477
2016-10-11,3466
2016-10-12,3466
2016-10-13,3475
2016-10-14,3475
2016-10-15,3385
2016-10-16,3385
2016-10-17,3222
2016-10-18,3222
2016-10-19,3222
2016-10-20,3060
2016-10-21,3060
2016-10-22,2907
2016-10-23,2785
2016-10-24,2785
2016-10-25,2653
2016-10-26,2533
2016-10-27,2533
2016-10-28,2533
2016-10-29,2445
2016-10-30,2445
2016-10-31,2383
2016-11-01,2383
2016-11-02,2316
2016-11-03,2316
2016-11-04,2254
2016-11-05,2254
2016-11-06,2215
2016-11-07,2215
2016-11-08,2138
