date_obj,Justiciar%20chestguard price
2018-06-06,250000000
2018-06-07,250000000
2018-06-08,256322587
2018-06-09,256322587
2018-06-10,266542830
2018-06-11,266542830
2018-06-12,278025791
2018-06-13,290977202
2018-06-14,304103383
2018-06-15,304103383
2018-06-16,318172126
2018-06-17,331948328
2018-06-18,331948328
2018-06-19,316064622
2018-06-20,316064622
2018-06-21,300261390
2018-06-22,285248320
2018-06-23,285248320
2018-06-24,270985904
2018-06-25,270985904
2018-06-26,257436608
2018-06-27,244564777
2018-06-28,232336538
2018-06-29,220719711
2018-06-30,209683725
2018-07-01,199199538
2018-07-02,189239561
2018-07-03,179777582
2018-07-04,170788702
2018-07-05,162249266
2018-07-06,154136802
2018-07-07,146429961
2018-07-08,139108462
2018-07-09,132153038
2018-07-10,125545386
2018-07-11,119294069
2018-07-12,114415340
2018-07-13,109067589
2018-07-14,103616747
2018-07-15,103616747
2018-07-16,99596196
2018-07-17,94809309
2018-07-18,90068843
2018-07-19,85679473
2018-07-20,86330232
2018-07-21,83360189
2018-07-22,80194087
2018-07-23,76358697
2018-07-24,72540762
2018-07-25,68913723
2018-07-26,65468036
2018-07-27,62194634
2018-07-28,59084902
2018-07-29,59029324
2018-07-30,60257457
2018-07-31,61662335
2018-08-01,61662335
2018-08-02,60772814
2018-08-03,57755879
2018-08-04,54868085
2018-08-05,53319358
2018-08-06,53339572
2018-08-07,52100264
2018-08-08,49614766
2018-08-09,47134027
2018-08-10,44777640
2018-08-11,42561784
2018-08-12,40459800
2018-08-14,37005869
2018-08-16,36817087
2018-08-17,38483077
2018-08-18,40407231
2018-08-19,41832670
2018-08-20,41864080
2018-08-21,42545883
2018-08-22,44141239
2018-08-23,44365594
2018-08-24,44078490
2018-08-25,42499358
2018-08-26,40386044
2018-08-27,39304859
2018-08-28,38255927
2018-08-29,36781422
2018-08-30,35892599
2018-08-31,36740446
2018-09-01,37722844
2018-09-02,37217485
2018-09-03,35880667
2018-09-04,34861616
2018-09-05,33932906
2018-09-06,32933593
2018-09-07,31451925
2018-09-08,29879328
2018-09-09,28385361
2018-09-10,26967820
2018-09-11,26509304
2018-09-12,27455745
2018-09-13,28062741
2018-09-14,29011950
2018-09-15,30412676
2018-09-16,29883504
2018-09-17,29201419
2018-09-18,27789647
2018-09-19,26453719
2018-09-20,25251148
2018-09-21,24908255
2018-09-22,25922400
2018-09-23,26422755
2018-09-24,25895481
2018-09-25,25185549
2018-09-26,25263924
2018-09-27,25210469
2018-09-28,25874694
2018-09-29,26592111
2018-09-30,26831338
2018-10-02,26579808
2018-10-03,26047732
2018-10-04,25375592
2018-10-05,24894440
2018-10-06,24538831
2018-10-07,24261751
2018-10-08,24419487
2018-10-09,24682886
2018-10-10,24195319
2018-10-11,24100436
2018-10-12,23843191
2018-10-13,23486305
2018-10-14,23486901
2018-10-15,23499821
2018-10-16,23489204
2018-10-17,23607727
