date_obj,Tuna%20potato price
2016-02-16,1672
2016-02-17,1642
2016-02-18,1576
2016-02-19,1540
2016-02-20,1512
2016-02-21,1472
2016-02-22,1472
2016-02-23,1456
2016-02-24,1521
2016-02-25,1538
2016-02-26,1538
2016-02-27,1561
2016-02-28,1544
2016-02-29,1544
2016-03-01,1596
2016-03-02,1630
2016-03-03,1654
2016-03-04,1682
2016-03-05,1762
2016-03-06,1825
2016-03-07,1900
2016-03-08,1909
2016-03-09,1953
2016-03-10,1954
2016-03-11,1946
2016-03-12,1963
2016-03-13,2042
2016-03-14,1977
2016-03-15,1916
2016-03-16,1827
2016-03-17,1767
2016-03-18,1722
2016-03-19,1670
2016-03-20,1631
2016-03-21,1624
2016-03-22,1634
2016-03-23,1674
2016-03-24,1677
2016-03-25,1679
2016-03-26,1671
2016-03-27,1708
2016-03-28,1683
2016-03-29,1654
2016-03-30,1654
2016-03-31,1594
2016-04-01,1546
2016-04-02,1492
2016-04-03,1479
2016-04-04,1515
2016-04-05,1560
2016-04-06,1518
2016-04-07,1493
2016-04-08,1480
2016-04-09,1529
2016-04-10,1564
2016-04-11,1564
2016-04-12,1595
2016-04-13,1614
2016-04-14,1657
2016-04-15,1732
2016-04-16,1775
2016-04-17,1763
2016-04-18,1816
2016-04-19,1873
2016-04-20,1828
2016-04-21,1811
2016-04-22,1811
2016-04-23,1832
2016-04-24,1741
2016-04-25,1756
2016-04-26,1824
2016-04-27,1794
2016-04-28,1769
2016-04-29,1834
2016-04-30,1845
2016-05-01,1821
2016-05-02,1800
2016-05-03,1856
2016-05-04,1835
2016-05-05,1855
2016-05-06,1887
2016-05-07,1930
2016-05-08,1961
2016-05-09,1997
2016-05-10,2037
2016-05-11,2013
2016-05-12,1997
2016-05-13,1929
2016-05-14,1835
2016-05-15,1791
2016-05-16,1763
2016-05-17,1754
2016-05-18,1739
2016-05-19,1706
2016-05-22,1853
2016-05-23,1807
2016-05-24,1789
2016-05-25,1764
2016-05-26,1715
2016-05-27,1693
2016-05-28,1655
2016-05-29,1635
2016-05-30,1622
2016-05-31,1622
2016-06-01,1649
2016-06-02,1688
2016-06-03,1761
2016-06-04,1741
2016-06-05,1709
2016-06-06,1705
2016-06-07,1734
2016-06-08,1761
2016-06-09,1820
2016-06-10,1783
2016-06-11,1753
2016-06-12,1731
2016-06-13,1730
2016-06-14,1690
2016-06-15,1736
2016-06-16,1783
2016-06-17,1830
2016-06-18,1872
2016-06-19,1931
2016-06-20,1883
