date_obj,Rain%20bow price
2019-04-11,50000
2019-04-11,52316
2019-04-12,54837
2019-04-13,57528
2019-04-14,60293
2019-04-15,1000000
2019-04-16,1000000
2019-04-17,1000000
2019-04-18,968945
2019-04-19,968945
2019-04-20,933434
2019-04-21,933434
2019-04-22,890448
2019-04-23,890448
2019-04-24,846390
2019-04-25,846390
2019-04-26,804070
2019-04-27,804070
2019-04-28,804070
2019-04-29,763866
2019-04-30,763866
2019-05-01,763866
2019-05-02,725672
2019-05-03,725672
2019-05-04,689388
2019-05-05,689388
2019-05-06,689388
2019-05-07,654918
2019-05-08,654918
2019-05-09,654918
2019-05-10,623626
2019-05-11,623626
2019-05-12,623626
2019-05-13,592444
2019-05-14,592444
2019-05-15,592444
2019-05-16,564134
2019-05-17,564134
2019-05-18,564134
2019-05-19,537880
2019-05-20,537880
2019-05-21,537880
2019-05-22,511849
2019-05-23,511849
2019-05-24,511849
2019-05-25,486309
2019-05-26,486309
2019-05-27,486309
2019-05-28,462107
2019-05-29,462107
2019-05-30,462107
2019-05-31,462107
2019-06-01,439082
2019-06-02,439082
2019-06-03,439082
2019-06-04,439082
2019-06-05,417341
2019-06-06,417341
2019-06-07,417341
2019-06-08,397760
2019-06-09,397760
2019-06-10,397760
2019-06-11,397760
2019-06-12,379257
2019-06-13,379257
2019-06-14,379257
2019-06-15,362676
2019-06-16,362676
2019-06-17,362676
2019-06-18,365758
2019-06-19,365758
2019-06-20,365758
2019-06-21,348341
2019-06-22,348341
2019-06-23,348341
2019-06-24,348341
2019-06-25,331784
2019-06-26,331784
2019-06-27,331784
2019-06-28,327668
2019-06-29,327668
2019-06-30,327668
2019-07-01,327668
2019-07-02,311769
2019-07-03,311769
2019-07-04,311769
2019-07-05,311769
2019-07-06,296180
2019-07-07,296180
2019-07-08,296180
2019-07-09,296180
2019-07-10,281954
2019-07-11,281954
2019-07-12,281954
2019-07-13,281954
2019-07-14,268585
2019-07-15,268585
2019-07-16,268585
2019-07-17,268585
2019-07-18,268585
2019-07-19,255933
2019-07-20,255933
2019-07-21,255933
2019-07-22,255933
2019-07-23,243890
2019-07-24,243890
2019-07-25,243890
2019-07-26,243890
2019-07-27,232781
2019-07-28,232781
2019-07-29,232781
2019-07-30,232781
2019-07-31,222768
2019-08-01,222768
2019-08-02,222768
2019-08-03,222768
2019-08-04,222768
2019-08-05,214567
2019-08-06,214567
2019-08-07,214567
2019-08-08,214567
2019-08-09,214567
2019-08-10,205148
2019-08-11,205148
2019-08-12,205148
2019-08-13,205148
2019-08-14,205148
2019-08-15,195856
2019-08-16,195856
2019-08-17,195856
2019-08-18,195856
2019-08-19,190112
2019-08-20,190112
2019-08-21,190112
2019-08-22,190112
2019-08-23,190112
2019-08-24,185257
2019-08-24,185257
2019-08-25,185257
2019-08-25,185257
2019-08-26,185257
2019-08-26,185257
2019-08-27,185257
2019-08-27,185257
2019-08-28,185257
2019-08-29,185257
2019-08-30,178961
2019-08-31,178961
2019-09-01,178961
2019-09-02,178961
2019-09-03,178961
2019-09-04,174660
2019-09-05,174660
2019-09-06,174660
2019-09-07,174660
2019-09-08,174660
2019-09-09,174660
2019-09-10,171429
2019-09-11,171429
2019-09-12,171429
2019-09-13,171429
2019-09-14,171429
2019-09-15,171429
2019-09-16,166316
2019-09-17,166316
2019-09-18,166316
2019-09-19,166316
2019-09-20,166316
2019-09-21,166316
2019-09-22,164374
2019-09-23,164374
2019-09-24,164374
2019-09-25,164374
2019-09-26,164374
2019-09-27,164374
2019-09-28,162746
2019-09-29,162746
2019-09-30,162746
2019-10-01,162746
2019-10-02,162746
2019-10-03,162746
2019-10-04,170439
2019-10-05,170439
2019-10-06,170439
2019-10-07,170439
2019-10-08,170439
2019-10-09,170439
2019-10-10,178168
2019-10-11,178168
2019-10-12,178168
2019-10-13,178168
2019-10-14,178168
2019-10-15,178168
2019-10-16,183877
2019-10-17,183877
2019-10-18,183877
2019-10-19,183877
2019-10-20,183877
2019-10-21,183877
2019-10-22,183877
2019-10-23,178966
2019-10-24,178966
2019-10-25,178966
2019-10-26,178966
2019-10-27,178966
2019-10-28,178966
2019-10-29,182572
2019-10-30,182572
2019-10-31,182572
2019-11-01,182572
2019-11-02,182572
2019-11-03,182572
2019-11-04,176771
2019-11-05,176771
2019-11-06,176771
2019-11-07,176771
2019-11-08,176771
2019-11-09,176771
2019-11-10,168367
2019-11-11,168367
2019-11-12,168367
2019-11-13,168367
2019-11-14,168367
2019-11-15,168367
2019-11-16,167359
2019-11-17,167359
2019-11-18,167359
2019-11-19,167359
2019-11-20,167359
2019-11-21,167359
2019-11-22,167359
2019-11-23,173319
2019-11-24,173319
2019-11-25,173319
2019-11-26,173319
2019-11-27,173319
2019-11-28,173319
2019-11-29,180113
2019-11-30,180113
2019-12-01,180113
2019-12-02,180113
2019-12-03,180113
2019-12-04,180113
2019-12-05,180113
2019-12-06,185178
2019-12-07,185178
2019-12-08,185178
2019-12-09,185178
2019-12-10,185178
2019-12-11,185178
2019-12-12,185178
2019-12-13,186042
2019-12-14,186042
2019-12-15,186042
2019-12-16,186042
2019-12-17,186042
2019-12-18,186042
2019-12-19,186042
2019-12-20,181818
2019-12-21,181818
2019-12-22,181818
2019-12-23,181818
2019-12-24,181818
2019-12-25,188260
2019-12-26,188260
2019-12-27,188260
2019-12-28,188260
2019-12-29,188260
2019-12-30,188260
2019-12-31,194490
2020-01-01,194490
2020-01-02,194490
2020-01-03,194490
2020-01-04,194490
2020-01-05,204099
2020-01-06,204099
2020-01-07,204099
2020-01-08,204099
2020-01-09,204099
2020-01-10,204099
2020-01-11,213732
2020-01-12,213732
2020-01-13,213732
2020-01-14,213732
2020-01-15,213732
2020-01-16,223903
2020-01-17,223903
2020-01-18,223903
2020-01-19,223903
2020-01-20,233914
2020-01-21,233914
2020-01-22,233914
2020-01-23,233914
2020-01-24,233914
2020-01-25,245027
2020-01-26,245027
2020-01-27,245027
2020-01-28,245027
2020-01-29,245027
2020-01-30,254949
2020-01-31,254949
2020-02-01,254949
2020-02-02,254949
2020-02-03,254949
2020-02-04,254949
2020-02-05,257353
2020-02-06,257353
2020-02-07,257353
2020-02-08,257353
2020-02-09,257353
2020-02-10,257353
2020-02-11,245212
2020-02-12,245212
2020-02-13,245212
2020-02-14,245212
2020-02-15,245212
2020-02-16,245212
2020-02-17,235331
2020-02-18,235331
2020-02-19,235331
2020-02-20,235331
2020-02-21,235331
2020-02-22,235331
2020-02-23,224213
2020-02-24,224213
2020-02-25,224213
2020-02-26,224213
2020-02-27,224213
2020-02-28,213569
2020-02-29,213569
2020-03-01,213569
2020-03-02,213569
2020-03-03,213569
2020-03-04,213569
2020-03-05,203644
2020-03-06,203644
2020-03-07,203644
2020-03-08,203644
2020-03-09,194076
2020-03-10,194076
2020-03-11,194076
2020-03-12,194076
2020-03-13,186936
2020-03-14,186936
2020-03-15,186936
2020-03-16,186936
2020-03-17,186936
2020-03-18,186936
2020-03-19,181638
2020-03-20,181638
2020-03-21,181638
2020-03-22,181638
2020-03-23,181638
2020-03-24,190283
2020-03-25,190283
2020-03-26,190283
2020-03-27,190283
2020-03-28,195853
2020-03-29,195853
2020-03-30,195853
