date_obj,Bucket%20of%20wax price
2016-03-20,286
2016-03-21,286
2016-03-22,286
2016-03-23,300
2016-03-24,300
2016-03-25,300
2016-03-26,300
2016-03-27,300
2016-03-28,314
2016-03-29,314
2016-03-30,314
2016-03-31,314
2016-04-01,314
2016-04-02,314
2016-04-03,329
2016-04-04,329
2016-04-05,329
2016-04-06,329
2016-04-07,329
2016-04-08,344
2016-04-09,344
2016-04-10,344
2016-04-11,344
2016-04-12,344
2016-04-13,362
2016-04-14,362
2016-04-15,362
2016-04-16,362
2016-04-17,362
2016-04-18,378
2016-04-19,378
2016-04-20,378
2016-04-21,378
2016-04-22,378
2016-04-23,378
2016-04-24,387
2016-04-25,387
2016-04-26,387
2016-04-27,387
2016-04-28,387
2016-04-29,407
2016-04-30,407
2016-05-01,407
2016-05-02,407
2016-05-03,407
2016-05-04,428
2016-05-05,428
2016-05-06,428
2016-05-07,428
2016-05-08,428
2016-05-09,433
2016-05-10,433
2016-05-11,433
2016-05-12,433
2016-05-13,433
2016-05-14,448
2016-05-15,448
2016-05-16,448
2016-05-17,448
2016-05-18,468
2016-05-19,468
2016-05-22,468
2016-05-23,488
2016-05-24,488
2016-05-25,488
2016-05-26,488
2016-05-27,494
2016-05-28,494
2016-05-29,494
2016-05-30,494
2016-05-31,494
2016-06-01,509
2016-06-02,509
2016-06-03,509
2016-06-04,509
2016-06-05,509
2016-06-06,486
2016-06-07,486
2016-06-08,486
2016-06-09,486
2016-06-10,486
2016-06-11,477
2016-06-12,477
2016-06-13,477
2016-06-14,477
2016-06-15,492
2016-06-16,492
2016-06-17,492
2016-06-18,492
2016-06-19,490
2016-06-20,490
2016-06-21,490
2016-06-22,490
2016-06-23,507
2016-06-24,507
2016-06-25,507
2016-06-26,507
2016-06-27,507
2016-06-28,498
2016-06-29,498
2016-06-30,498
2016-07-01,498
2016-07-02,513
2016-07-03,513
2016-07-04,513
2016-07-05,513
2016-07-06,532
2016-07-07,532
2016-07-08,532
2016-07-09,532
2016-07-10,559
2016-07-11,559
2016-07-12,559
2016-07-13,559
2016-07-14,556
2016-07-15,556
2016-07-16,556
2016-07-17,556
2016-07-18,567
2016-07-23,567
2016-07-24,559
2016-07-25,559
2016-07-26,559
2016-07-27,559
2016-07-28,559
2016-07-29,568
2016-07-30,568
2016-07-31,568
2016-08-01,568
2016-08-02,568
2016-08-03,568
2016-08-04,579
2016-08-05,579
2016-08-06,579
2016-08-07,579
2016-08-08,579
2016-08-09,592
2016-08-10,592
2016-08-11,592
2016-08-12,592
2016-08-13,592
2016-08-14,592
2016-08-15,611
2016-08-16,611
2016-08-17,611
2016-08-18,611
2016-08-19,611
2016-08-20,611
2016-08-21,630
2016-08-22,630
2016-08-23,630
2016-08-24,630
2016-08-25,630
2016-08-26,630
2016-08-28,622
2016-08-31,622
2016-09-01,622
2016-09-02,622
2016-09-03,647
2016-09-04,647
2016-09-05,647
2016-09-06,647
2016-09-07,647
2016-09-08,647
2016-09-09,647
2016-09-10,658
2016-09-11,658
2016-09-12,658
2016-09-13,658
2016-09-14,658
2016-09-15,658
2016-09-16,658
2016-09-17,626
2016-09-18,626
2016-09-19,626
2016-09-20,626
2016-09-21,626
2016-09-22,626
2016-09-23,626
2016-09-24,648
2016-09-25,648
2016-09-26,648
2016-09-27,648
2016-09-28,648
2016-09-29,648
2016-09-30,648
2016-10-01,667
2016-10-02,667
2016-10-03,667
2016-10-04,667
2016-10-05,667
2016-10-06,667
2016-10-07,667
2016-10-08,685
2016-10-09,685
2016-10-10,685
2016-10-11,685
2016-10-12,685
2016-10-13,685
2016-10-14,685
2016-10-15,689
2016-10-16,689
2016-10-17,689
2016-10-18,689
2016-10-19,689
2016-10-20,689
2016-10-21,702
2016-10-22,702
2016-10-23,702
2016-10-24,702
2016-10-25,702
2016-10-26,702
2016-10-27,678
2016-10-28,678
2016-10-29,678
2016-10-30,678
2016-10-31,678
2016-11-01,678
2016-11-02,662
2016-11-03,662
2016-11-04,662
2016-11-05,662
2016-11-06,662
2016-11-07,662
2016-11-08,687
2016-11-09,687
2016-11-10,687
2016-11-11,687
2016-11-12,687
2016-11-13,691
2016-11-14,691
2016-11-15,691
2016-12-07,715
2016-12-08,715
2016-12-09,715
2016-12-10,714
2016-12-11,714
2016-12-12,714
2016-12-13,714
2016-12-14,692
2016-12-15,692
2016-12-16,692
2016-12-17,692
2016-12-18,692
2016-12-19,687
2016-12-20,687
2016-12-21,687
2016-12-22,687
2016-12-23,704
2016-12-24,704
2016-12-25,704
2016-12-26,704
2016-12-27,710
2016-12-28,710
2016-12-29,710
2016-12-30,710
2016-12-31,735
2017-01-01,735
2017-01-02,735
2017-01-03,735
2017-01-04,741
2017-01-05,741
2017-01-06,741
2017-01-07,741
2017-01-08,727
2017-01-09,727
2017-01-10,727
2017-01-11,727
2017-01-12,719
2017-01-13,719
2017-01-14,719
2017-01-15,719
2017-01-16,733
2017-01-17,733
2017-01-18,733
2017-01-19,733
2017-01-20,752
2017-01-21,752
2017-01-22,752
2017-01-23,752
2017-01-27,751
2017-01-28,734
2017-01-29,734
2017-01-30,734
2017-01-31,734
2017-02-01,717
2017-02-02,717
2017-02-03,717
2017-02-04,717
2017-02-05,705
2017-02-06,705
2017-02-07,705
2017-02-08,705
2017-02-09,705
2017-02-10,730
2017-02-11,730
2017-02-12,730
2017-02-13,730
2017-02-14,728
2017-02-15,728
2017-02-16,728
2017-02-18,742
2017-02-19,742
2017-02-20,742
2017-02-21,742
2017-02-22,752
2017-02-23,752
2017-02-24,752
2017-02-25,752
2017-02-26,775
2017-02-27,775
2017-02-28,775
2017-03-01,775
2017-03-02,790
2017-03-03,790
2017-03-04,790
2017-03-05,790
2017-03-06,758
2017-03-07,758
2017-03-08,758
2017-03-09,758
2017-03-10,758
2017-03-11,741
2017-03-12,741
2017-03-13,741
2017-03-14,741
2017-03-15,714
2017-03-16,714
2017-03-17,714
2017-03-18,714
2017-03-19,690
2017-03-20,690
2017-03-21,690
2017-03-22,690
2017-03-23,669
2017-03-24,669
2017-03-25,669
2017-03-26,669
2017-03-27,675
2017-03-28,675
2017-03-29,675
2017-03-30,675
2017-03-31,683
2017-04-01,683
2017-04-02,683
2017-04-03,683
2017-04-04,697
2017-04-12,720
2017-04-13,720
2017-04-14,738
2017-04-15,738
2017-04-16,738
2017-04-17,750
2017-04-18,750
2017-04-19,750
2017-04-20,750
2017-04-21,723
2017-04-22,723
2017-04-23,723
2017-04-24,723
2017-04-25,727
2017-04-26,727
2017-04-27,727
2017-04-28,727
2017-04-29,731
2017-04-30,731
2017-05-01,731
2017-05-02,731
2017-05-03,694
2017-05-04,694
2017-05-05,694
2017-05-06,694
2017-05-07,713
2017-05-08,713
2017-05-09,713
2017-05-10,713
2017-05-11,711
2017-05-12,711
2017-05-13,711
2017-05-14,711
2017-05-15,693
2017-05-16,693
2017-05-17,693
2017-05-18,693
2017-05-19,693
2017-05-20,699
2017-05-21,699
2017-05-22,699
2017-05-23,699
2017-05-24,699
2017-05-25,724
2017-05-26,724
2017-05-27,724
2017-05-28,724
2017-05-29,724
2017-05-30,727
2017-05-31,727
2017-06-01,727
2017-06-02,727
2017-06-03,727
2017-06-04,698
2017-06-05,698
2017-06-06,698
2017-06-07,698
2017-06-08,685
2017-06-09,685
2017-06-10,685
2017-06-11,672
2017-06-12,672
2017-06-13,672
2017-06-14,672
2017-06-15,672
2017-06-16,686
2017-06-17,686
2017-06-18,686
2017-06-19,686
2017-06-20,677
2017-06-21,677
2017-06-22,677
2017-06-23,677
2017-06-24,677
2017-06-25,685
2017-06-26,685
2017-06-27,685
2017-06-28,685
2017-06-29,697
2017-06-30,697
2017-07-01,697
2017-07-02,697
2017-07-03,697
2017-07-04,696
2017-07-05,696
2017-07-06,696
2017-07-07,696
2017-07-08,696
2017-07-13,705
2017-07-14,676
2017-07-15,676
2017-07-16,676
2017-07-17,676
2017-07-18,676
2017-07-19,679
2017-07-20,679
2017-07-21,679
2017-07-22,679
2017-07-23,650
2017-07-24,650
2017-07-25,650
2017-07-26,650
2017-07-27,650
2017-07-28,674
2017-07-29,674
2017-07-30,674
2017-07-31,674
2017-08-01,674
2017-08-02,678
2017-08-03,678
2017-08-04,678
2017-08-05,678
2017-08-06,704
2017-08-09,704
2017-08-10,725
2017-08-11,725
2017-08-12,725
2017-08-13,725
2017-08-14,725
2017-08-15,698
2017-08-16,698
2017-08-17,698
2017-08-18,698
2017-08-19,682
2017-08-20,682
2017-08-21,682
2017-08-22,682
2017-08-23,660
2017-08-24,660
2017-08-25,660
2017-08-26,660
2017-08-27,643
2017-08-28,643
2017-08-29,643
2017-08-30,643
2017-08-31,643
2017-09-01,610
2017-09-02,610
2017-09-03,610
2017-09-04,610
2017-09-05,594
2017-09-06,594
2017-09-07,594
2017-09-08,594
2017-09-09,609
2017-09-10,609
2017-09-11,609
2017-09-12,609
2017-09-13,609
2017-09-14,611
2017-09-15,611
2017-09-16,611
2017-09-17,611
2017-09-18,611
2017-09-19,616
2017-09-20,616
2017-09-21,616
2017-09-22,616
2017-09-23,616
