date_obj,Cadantine%20blood%20potion%20(unf) price
2018-06-06,2493
2018-06-07,2493
2018-06-08,2493
2018-06-09,2493
2018-06-10,2493
2018-06-11,2607
2018-06-12,2607
2018-06-13,2607
2018-06-14,2607
2018-06-15,2607
2018-06-16,2607
2018-06-17,2607
2018-06-18,2715
2018-06-19,2715
2018-06-20,2715
2018-06-21,2715
2018-06-22,2715
2018-06-23,2715
2018-06-24,2715
2018-06-25,2715
2018-06-26,2715
2018-06-27,2715
2018-06-28,2715
2018-06-29,2715
2018-06-30,2715
2018-07-01,2820
2018-07-02,2820
2018-07-03,2820
2018-07-04,2820
2018-07-05,2820
2018-07-06,2820
2018-07-07,2820
2018-07-08,2820
2018-07-09,2820
2018-07-10,2820
2018-07-11,2820
2018-07-12,2820
2018-07-13,2820
2018-07-14,2820
2018-07-15,2820
2018-07-16,2820
2018-07-17,2820
2018-07-18,2820
2018-07-19,2820
2018-07-20,2820
2018-07-21,2820
2018-07-22,2820
2018-07-23,2820
2018-07-24,2820
2018-07-25,2820
2018-07-26,2951
2018-07-27,2951
2018-07-28,2951
2018-07-29,2951
2018-07-30,2951
2018-07-31,2951
2018-08-01,2951
2018-08-02,2951
2018-08-03,2951
2018-08-04,2951
2018-08-05,2951
2018-08-06,2951
2018-08-07,2951
2018-08-08,2951
2018-08-09,2951
2018-08-10,3076
2018-08-11,3076
2018-08-12,3076
2018-08-14,3076
2018-08-16,3076
2018-08-17,3076
2018-08-18,3076
2018-08-19,3076
2018-08-20,3076
2018-08-21,3076
2018-08-22,3076
2018-08-23,3076
2018-08-24,3076
2018-08-25,2986
2018-08-26,2986
2018-08-27,2986
2018-08-28,2986
2018-08-29,2986
2018-08-30,2986
2018-08-31,2986
2018-09-01,2986
2018-09-02,2986
2018-09-03,2986
2018-09-04,2986
2018-09-05,2986
2018-09-06,2986
2018-09-07,2986
2018-09-08,2986
2018-09-09,2909
2018-09-10,2909
2018-09-11,2909
2018-09-12,2909
2018-09-13,2909
2018-09-14,2909
2018-09-15,2909
2018-09-16,2909
2018-09-17,2909
2018-09-18,2909
2018-09-19,2909
2018-09-20,2909
2018-09-21,2909
2018-09-22,2909
2018-09-23,2909
2018-09-24,2867
2018-09-25,2867
2018-09-26,2867
2018-09-27,2867
2018-09-28,2867
2018-09-29,2867
2018-09-30,2867
2018-10-02,2867
2018-10-03,2867
2018-10-04,2867
2018-10-05,2867
2018-10-06,2867
2018-10-07,2924
2018-10-08,2924
2018-10-09,2924
2018-10-10,2924
2018-10-11,2924
2018-10-12,2924
