date_obj,Mystic%20robe%20top price
2015-03-26,81741
2015-03-27,81741
2015-03-28,81595
2015-03-29,82038
2015-03-30,80971
2015-03-31,81518
2015-04-01,81852
2015-04-02,81597
2015-04-03,81687
2015-04-04,82635
2015-04-05,81124
2015-04-06,79546
2015-04-07,80596
2015-04-08,80876
2015-04-09,81766
2015-04-10,83053
2015-04-11,82402
2015-04-12,81067
2015-04-13,82038
2015-04-14,83230
2015-04-15,82892
2015-04-16,81235
2015-04-17,81519
2015-04-18,82237
2015-04-19,80959
2015-04-20,81277
2015-04-21,81268
2015-04-22,80871
2015-04-23,81483
2015-04-24,82174
2015-04-25,83125
2015-04-26,82350
2015-04-27,81419
2015-04-28,80085
2015-04-29,80085
2015-04-30,80649
2015-05-01,81872
2015-05-02,81898
2015-05-03,80056
2015-05-04,80673
2015-05-05,82608
2015-05-06,83265
2015-05-07,81967
2015-05-08,80932
2015-05-09,80718
2015-05-10,79991
2015-05-11,79991
2015-05-12,81577
2015-05-13,82926
2015-05-14,82620
2015-05-15,83845
2015-05-16,82309
2015-05-17,80718
2015-05-18,80761
2015-05-19,82159
2015-05-20,82159
2015-05-21,82448
2015-05-22,82221
2015-05-23,82774
2015-05-24,81226
2015-05-25,81894
2015-05-26,82648
2015-05-27,82745
2015-05-28,82194
2015-05-29,82313
2015-05-30,81413
2015-05-31,81506
2015-06-01,80792
2015-06-02,79152
2015-06-03,81338
2015-06-04,81231
2015-06-05,81068
2015-06-06,80963
2015-06-07,80789
2015-06-08,80402
2015-06-09,81439
2015-06-10,81834
2015-06-11,81067
2015-06-12,81575
2015-06-13,82347
2015-06-14,81211
2015-06-15,82001
2015-06-16,80606
2015-06-17,80759
2015-06-18,81541
2015-06-19,80948
2015-06-20,80929
2015-06-21,80454
2015-06-22,80213
2015-06-23,80258
2015-06-24,80289
2015-06-25,81160
2015-06-26,81793
2015-06-27,82040
2015-06-28,81225
2015-06-29,80641
2015-06-30,80471
2015-07-01,81780
2015-07-02,82875
2015-07-03,81557
2015-07-04,80475
2015-07-05,80249
2015-07-06,80712
2015-07-07,81881
2015-07-08,82448
2015-07-09,81713
2015-07-10,81152
2015-07-11,81723
2015-07-12,80389
2015-07-13,78779
2015-07-14,78951
2015-07-15,80696
2015-07-16,81405
2015-07-17,81177
2015-07-18,81890
2015-07-19,82060
2015-07-20,80903
2015-07-21,81406
2015-07-22,81496
2015-07-23,82620
2015-07-24,82218
2015-07-25,81363
2015-07-26,80472
2015-07-27,79861
2015-07-28,79660
2015-07-29,81326
2015-07-30,81756
2015-07-31,81694
2015-08-01,83046
2015-08-02,83460
2015-08-03,80135
2015-08-04,81124
2015-08-05,79757
2015-08-06,83212
2015-08-07,82827
2015-08-08,83516
2015-08-09,79837
2015-08-10,79740
2015-08-11,82939
2015-08-12,84582
2015-08-13,82399
2015-08-14,80651
2015-08-15,80051
2015-08-16,80142
2015-08-17,82587
2015-08-18,81815
2015-08-19,80559
2015-08-20,82960
2015-08-21,82092
2015-08-22,80526
2015-08-23,80678
2015-08-24,80272
2015-08-25,81018
2015-08-26,81102
2015-08-27,80415
2015-08-28,81421
2015-08-29,81252
2015-08-30,80929
2015-08-31,81810
2015-09-01,81991
2015-09-02,81976
2015-09-03,82035
2015-09-04,82217
2015-09-05,82145
2015-09-06,81529
2015-09-07,80511
2015-09-08,81246
2015-09-09,80708
2015-09-10,82080
2015-09-11,81912
2015-09-12,80656
2015-09-13,82279
2015-09-14,85671
2015-09-15,84394
2015-09-16,84117
2015-09-17,80417
2015-09-18,78414
2015-09-19,81343
2015-09-20,81861
2015-09-21,80405
2015-09-22,79617
2015-09-23,81510
2015-09-24,81901
2015-09-25,81551
2015-09-27,83793
2015-09-28,81762
2015-09-29,80221
2015-09-30,82437
2015-10-05,84385
2015-10-06,81800
2015-10-07,79076
2015-10-08,80443
2015-10-09,81698
2015-10-10,82902
2015-10-11,80485
2015-10-12,80228
2015-10-13,79788
2015-10-14,82246
2015-10-15,81520
2015-10-16,80553
2015-10-17,82175
2015-10-18,81646
2015-10-19,81483
2015-10-20,78303
2015-10-22,81191
2015-10-23,81327
2015-10-24,82316
2015-10-25,81259
2015-10-26,81347
2015-10-27,81880
2015-10-29,80935
2015-10-30,83530
2015-10-31,83663
2015-11-01,82430
2015-11-02,83501
2015-11-03,82131
2015-11-04,80902
2015-11-05,80952
2015-11-06,82096
2015-11-07,83649
2015-11-08,84034
2015-11-09,83048
2015-11-10,82922
2015-11-11,83519
2015-11-12,82452
2015-11-13,81261
2015-11-14,82166
2015-11-15,82858
2015-11-16,81619
2015-11-17,81383
2015-11-18,83096
2015-11-19,83269
2015-11-20,82205
2015-11-21,81400
2015-11-22,82118
2015-11-23,81098
2015-11-24,80754
2015-11-25,82925
2015-11-26,83324
2015-11-27,83757
2015-11-28,82926
2015-11-29,83489
2015-11-30,83087
2015-12-01,83292
2015-12-02,83246
2015-12-03,83343
2015-12-04,82930
2015-12-05,82870
2015-12-06,83457
2015-12-07,82879
2015-12-08,82515
2015-12-09,82523
2015-12-10,82140
2015-12-11,79766
2015-12-12,80046
2015-12-13,81519
2015-12-14,82170
2015-12-15,82485
2015-12-16,82258
2015-12-17,82671
2015-12-18,82790
2015-12-19,84032
2015-12-20,82460
2015-12-21,82089
2015-12-22,82039
2015-12-23,80555
2015-12-24,82650
2015-12-25,81722
2015-12-26,82566
2015-12-27,83025
2015-12-28,82817
2015-12-29,83058
2015-12-30,82750
2015-12-31,82681
2016-01-01,81685
2016-01-02,81941
2016-01-03,82264
2016-01-04,81484
2016-01-05,82868
2016-01-06,82382
2016-01-07,82807
2016-01-08,83009
2016-01-09,82891
2016-01-10,82757
2016-01-11,81688
2016-01-12,82072
2016-01-13,82582
2016-01-14,82497
2016-01-15,81611
2016-01-16,83063
2016-01-17,82883
2016-01-18,82184
2016-01-19,82663
2016-01-20,82351
2016-01-21,81996
2016-01-22,82156
2016-01-23,82660
2016-01-24,82706
2016-01-25,81994
2016-01-26,81494
2016-01-27,81215
2016-01-28,81457
2016-01-29,81873
2016-01-30,82169
2016-01-31,82345
2016-02-01,83126
2016-02-02,83034
2016-02-03,82177
2016-02-04,81164
2016-02-05,77448
2016-02-06,79093
2016-02-07,80773
2016-02-08,82250
2016-02-09,82852
2016-02-10,82198
2016-02-11,81777
2016-02-12,81238
2016-02-13,82179
2016-02-14,82010
2016-02-15,79959
2016-02-16,80265
2016-02-17,81506
2016-02-18,81302
2016-02-19,81727
2016-02-20,81336
2016-02-21,82526
2016-02-22,82360
2016-02-23,82398
2016-02-24,82230
2016-02-25,81520
2016-02-26,80794
2016-02-27,81691
2016-02-28,82073
2016-02-29,82343
2016-03-01,81939
2016-03-02,80326
2016-03-03,81817
2016-03-04,82858
2016-03-05,82494
2016-03-06,83059
2016-03-07,83500
2016-03-08,83249
2016-03-09,82578
2016-03-10,81787
2016-03-11,80272
2016-03-12,81411
2016-03-13,82510
2016-03-14,81354
2016-03-15,80998
2016-03-16,81736
2016-03-17,81697
2016-03-18,81471
2016-03-19,82671
2016-03-20,82305
2016-03-21,82035
2016-03-22,81817
2016-03-23,81991
2016-03-24,81935
2016-03-25,81053
2016-03-26,81787
2016-03-27,82216
2016-03-28,82570
2016-03-29,82195
2016-03-30,81590
2016-03-31,81019
2016-04-01,78557
2016-04-02,80650
2016-04-03,81371
2016-04-04,81366
2016-04-05,81877
2016-04-06,81884
2016-04-07,81669
2016-04-08,81935
2016-04-09,81795
2016-04-10,83223
2016-04-11,82565
2016-04-12,82164
