date_obj,Red%20d'hide%20shield price
2018-01-31,5773
2018-02-01,6062
2018-02-02,6301
2018-02-03,6617
2018-02-04,6948
2018-02-05,7296
2018-02-06,7513
2018-02-07,7794
2018-02-08,7794
2018-02-09,8031
2018-02-10,7871
2018-02-11,8046
2018-02-12,8222
2018-02-13,8496
2018-02-14,8784
2018-02-15,9017
2018-02-16,9259
2018-02-17,9716
2018-02-18,9552
2018-02-19,9092
2018-02-20,8637
2018-02-21,8205
2018-02-22,7794
2018-02-23,7404
2018-02-24,7072
2018-02-25,6765
2018-02-26,6682
2018-02-27,6753
2018-02-28,6882
2018-03-01,7018
2018-03-02,7207
2018-03-03,7183
2018-03-04,7183
2018-03-05,6906
2018-03-06,6849
2018-03-07,6948
2018-03-08,7295
2018-03-09,7660
2018-03-10,8043
2018-03-11,7917
2018-03-12,7736
2018-03-13,7492
2018-03-14,7117
2018-03-15,6886
2018-03-16,6643
2018-03-17,6552
2018-03-18,6627
2018-03-19,6494
2018-03-20,6647
2018-03-21,6800
2018-03-23,6969
2018-03-24,7019
2018-03-26,7488
2018-03-27,7769
2018-03-28,7805
2018-03-29,8005
2018-03-30,8157
2018-03-31,8339
2018-04-01,8195
2018-04-02,8308
2018-04-03,8455
2018-04-04,8543
2018-04-05,8543
2018-04-06,8273
2018-04-08,7481
2018-04-09,7527
2018-04-10,7510
2018-04-11,7466
2018-04-12,7511
2018-04-13,7731
2018-04-14,7587
2018-04-15,7368
2018-04-16,7368
2018-04-17,7260
2018-04-18,7260
2018-04-19,7476
2018-04-20,7648
2018-04-21,7642
2018-04-22,7642
2018-04-23,7580
2018-04-24,7386
2018-04-25,7375
2018-04-26,7375
2018-04-27,7473
2018-04-28,7662
2018-04-29,7727
2018-04-30,7823
2018-05-01,8086
2018-05-02,8086
2018-05-03,8229
2018-05-04,7918
2018-05-05,7956
2018-05-06,7956
2018-05-07,8060
2018-05-08,8100
2018-05-09,8263
2018-05-10,7985
2018-05-11,8005
2018-05-12,7984
2018-05-13,7984
2018-05-14,8098
2018-05-15,7841
2018-05-16,7812
2018-05-17,7730
2018-05-18,7748
2018-05-19,7853
2018-05-20,8107
2018-05-21,8213
2018-05-22,8213
2018-05-23,8237
2018-05-24,8384
2018-05-25,8681
2018-05-26,8563
2018-05-27,8563
2018-05-28,8482
2018-05-29,8666
2018-05-30,9100
2018-05-31,9555
2018-06-01,9893
2018-06-02,9607
2018-06-03,9607
2018-06-04,9594
2018-06-05,9468
2018-06-06,9605
2018-06-07,9605
2018-06-08,9576
2018-06-09,9576
2018-06-10,9503
2018-06-11,9263
2018-06-12,9144
2018-06-13,9167
2018-06-14,8896
2018-06-15,8645
2018-06-16,8394
2018-06-17,8397
2018-06-18,8405
2018-06-19,8116
2018-06-20,8116
2018-06-21,8329
2018-06-22,8746
2018-06-23,8746
2018-06-24,8980
2018-06-25,8834
2018-06-26,8671
2018-06-27,8369
2018-06-28,8246
2018-06-29,8112
2018-06-30,7889
2018-07-01,7759
2018-07-02,7784
2018-07-03,7789
2018-07-04,7884
2018-07-05,8223
2018-07-06,8226
2018-07-07,8098
2018-07-08,7882
2018-07-09,7974
2018-07-10,7839
2018-07-11,7743
2018-07-12,7923
2018-07-13,7795
2018-07-14,8098
2018-07-15,8446
2018-07-16,8749
2018-07-17,9000
2018-07-18,9208
2018-07-19,9484
2018-07-20,9595
2018-07-21,9438
2018-07-22,9475
2018-07-23,9161
2018-07-24,8902
2018-07-25,8576
2018-07-26,8429
2018-07-27,8477
2018-07-28,8526
2018-07-29,8561
2018-07-30,8501
2018-07-31,8562
2018-08-01,8579
2018-08-02,8756
2018-08-03,9141
2018-08-04,9182
2018-08-05,8960
2018-08-06,9014
2018-08-07,8949
2018-08-08,8863
2018-08-09,8798
2018-08-10,8759
2018-08-11,8761
2018-08-12,8586
2018-08-14,8749
2018-08-16,8856
2018-08-17,8634
2018-08-18,8642
2018-08-19,8646
2018-08-20,8500
2018-08-21,8114
2018-08-22,8192
2018-08-23,8079
2018-08-24,8185
2018-08-25,8532
2018-08-26,8959
2018-08-27,9298
2018-08-28,9113
2018-08-29,9089
2018-08-30,8885
2018-08-31,9040
2018-09-01,9291
2018-09-02,9623
2018-09-03,9529
2018-09-04,9156
2018-09-05,9154
2018-09-06,9498
2018-09-07,9594
2018-09-08,9996
2018-09-09,10155
2018-09-10,10129
2018-09-11,10381
2018-09-12,10127
2018-09-13,9951
2018-09-14,9526
2018-09-15,9147
2018-09-16,8788
2018-09-17,8426
2018-09-18,8496
2018-09-19,8586
2018-09-20,8581
2018-09-21,8630
2018-09-22,8755
2018-09-23,8756
2018-09-24,8615
2018-09-25,8432
2018-09-26,8384
2018-09-27,8249
2018-09-28,8171
2018-09-29,8211
2018-09-30,7822
2018-10-02,7058
2018-10-03,6705
2018-10-04,6413
2018-10-05,6293
2018-10-06,6349
2018-10-07,6228
2018-10-08,6337
2018-10-09,6357
2018-10-10,6364
2018-10-11,6330
2018-10-12,6383
2018-10-13,6379
2018-10-14,6302
2018-10-15,6264
2018-10-16,6293
2018-10-17,6490
2018-10-18,6807
2018-10-19,7135
2018-10-20,7135
2018-10-21,7451
2018-10-22,7597
2018-10-23,7678
2018-10-24,7752
2018-10-25,7849
2018-10-26,8125
2018-10-27,8302
2018-10-28,8273
2018-10-29,8317
2018-10-30,8341
2018-10-31,8362
2018-11-01,8635
2018-11-03,9043
2018-11-04,9039
2018-11-05,8835
2018-11-06,8674
2018-11-07,8364
2018-11-08,8238
2018-11-09,8271
2018-11-10,7989
2018-11-11,7871
2018-11-12,7934
2018-11-13,8240
2018-11-14,8652
2018-11-15,9066
2018-11-16,9041
2018-11-17,9064
2018-11-18,9064
2018-11-19,9263
2018-11-20,9185
2018-11-21,8973
2018-11-22,9078
2018-11-23,9476
2018-11-24,9949
2018-11-25,9621
2018-11-26,9139
2018-11-27,8716
2018-11-28,8333
2018-11-29,8093
2018-12-01,7821
2018-12-02,7728
2018-12-03,7687
2018-12-04,7660
2018-12-05,7602
2018-12-07,7815
2018-12-09,7641
2018-12-10,7522
2018-12-11,7756
2018-12-12,7948
2018-12-13,8126
2018-12-14,8156
2018-12-15,8153
2018-12-16,7915
2018-12-17,7805
2018-12-18,7712
2018-12-19,7757
2018-12-20,7618
2018-12-21,7853
2018-12-22,8246
2018-12-23,8659
2018-12-24,9092
2018-12-25,9543
2018-12-26,9359
2018-12-27,8891
2018-12-28,8449
2018-12-29,8566
2018-12-30,8927
2018-12-31,9142
2019-01-01,9047
2019-01-02,8865
2019-01-03,8627
2019-01-04,8433
2019-01-05,8371
2019-01-06,8299
2019-01-08,7843
2019-01-10,8043
2019-01-11,8105
2019-01-12,8205
2019-01-13,8240
2019-01-14,8111
2019-01-15,7725
2019-01-16,7658
2019-01-17,7394
2019-01-18,7295
2019-01-19,7338
2019-01-20,7587
2019-01-21,7751
2019-01-22,7594
2019-01-23,7434
2019-01-24,7323
2019-01-25,7257
2019-01-26,7178
2019-01-27,7187
2019-01-28,7192
2019-01-29,7301
2019-01-30,7539
2019-01-31,7711
2019-02-01,7943
2019-02-02,7950
2019-02-03,7976
2019-02-04,8375
2019-02-05,8703
2019-02-06,8912
2019-02-07,8505
2019-02-08,8137
2019-02-09,7764
2019-02-10,7375
2019-02-11,7028
2019-02-12,6799
2019-02-13,6632
2019-02-14,6481
2019-02-15,6382
2019-02-16,6482
2019-02-17,6766
2019-02-18,7105
2019-02-19,7461
2019-02-20,7835
2019-02-21,8227
2019-02-22,8476
2019-02-23,8170
2019-02-24,8359
2019-02-25,8543
2019-02-26,8308
2019-02-27,8135
2019-02-28,8009
2019-03-01,7973
2019-03-02,7658
2019-03-03,7808
2019-03-04,7882
2019-03-05,8068
2019-03-06,8436
2019-03-07,8623
2019-03-08,8675
2019-03-09,8641
2019-03-10,8648
2019-03-11,8217
2019-03-12,7806
2019-03-13,7415
2019-03-14,7044
2019-03-15,6691
2019-03-16,6358
2019-03-17,6399
2019-03-18,6597
2019-03-19,6750
2019-03-20,6828
2019-03-21,6919
2019-03-22,7160
2019-03-23,7515
2019-03-24,7871
2019-03-25,8265
2019-03-26,8570
2019-03-27,8373
2019-03-28,8467
2019-03-29,8649
2019-03-30,8498
2019-03-31,8463
2019-04-01,8576
2019-04-02,8731
2019-04-03,8916
2019-04-04,8564
2019-04-05,8184
2019-04-06,8020
2019-04-07,7881
2019-04-08,7711
2019-04-09,7591
2019-04-10,7286
2019-04-11,7351
2019-04-12,7227
2019-04-13,7222
2019-04-14,7296
2019-04-15,7555
2019-04-16,7749
2019-04-17,7802
2019-04-18,7955
2019-04-19,8118
2019-04-20,8280
2019-04-21,8150
2019-04-22,7827
2019-04-23,7580
2019-04-24,7252
2019-04-25,6889
2019-04-26,6792
2019-04-27,7020
2019-04-28,7201
2019-04-29,6905
2019-04-30,6707
2019-05-01,6676
2019-05-02,6810
2019-05-03,6859
2019-05-04,7109
2019-05-05,7465
2019-05-06,7769
2019-05-07,7881
2019-05-08,7895
2019-05-09,7682
2019-05-10,7610
2019-05-11,7504
2019-05-12,7335
2019-05-13,7126
2019-05-14,6988
2019-05-15,6932
2019-05-16,6893
2019-05-17,6880
2019-05-18,7092
2019-05-19,7375
2019-05-20,7709
2019-05-21,8087
2019-05-22,8465
2019-05-23,8691
2019-05-24,8676
2019-05-25,8643
2019-05-26,8582
2019-05-27,8814
2019-05-28,9182
2019-05-29,9642
2019-05-30,10093
2019-05-31,10470
2019-06-01,10867
2019-06-02,10785
2019-06-03,10395
2019-06-04,10254
2019-06-05,10743
2019-06-06,11259
2019-06-07,11275
2019-06-08,10728
2019-06-09,10191
2019-06-10,9740
2019-06-11,9253
2019-06-12,8790
2019-06-13,8350
2019-06-14,7983
2019-06-15,7670
2019-06-16,7669
2019-06-17,7285
2019-06-18,7033
2019-06-19,6842
2019-06-20,6870
2019-06-21,7077
2019-06-22,7190
2019-06-23,7414
2019-06-24,7359
2019-06-25,7205
2019-06-26,7379
2019-06-27,7466
2019-06-28,7746
2019-06-29,7584
2019-06-30,7401
2019-07-01,7294
2019-07-02,7185
2019-07-03,7205
2019-07-04,7135
2019-07-05,7205
2019-07-06,7383
2019-07-07,7484
2019-07-08,7507
2019-07-09,7808
2019-07-10,8106
2019-07-11,8126
2019-07-12,8214
2019-07-13,8510
2019-07-14,8916
2019-07-15,9232
2019-07-16,9090
2019-07-17,8666
2019-07-18,8328
2019-07-19,8159
2019-07-20,7900
2019-07-21,7505
2019-07-22,7281
2019-07-23,7128
2019-07-24,7016
2019-07-25,6980
2019-07-26,6787
2019-07-27,6769
2019-07-28,6504
2019-07-29,6470
2019-07-30,6486
2019-07-31,6377
2019-08-01,6471
2019-08-02,6772
2019-08-03,7003
2019-08-04,7232
2019-08-05,7442
2019-08-06,7691
2019-08-07,7765
2019-08-08,7861
2019-08-09,7924
2019-08-10,7984
2019-08-11,7795
2019-08-12,7647
2019-08-13,7566
2019-08-14,7286
2019-08-15,7260
2019-08-16,7201
2019-08-17,7201
2019-08-18,7276
2019-08-19,7396
2019-08-20,7337
2019-08-21,7329
2019-08-22,7413
2019-08-23,7660
2019-08-24,7934
2019-08-24,7934
2019-08-25,8331
2019-08-25,8331
2019-08-26,8740
2019-08-26,8740
