date_obj,Kodai%20insignia price
2017-01-12,75000000
2017-01-13,78162371
2017-01-14,78162371
2017-01-15,78162371
2017-01-16,78162371
2017-01-17,80486713
2017-01-18,80486713
2017-01-19,82972845
2017-01-20,82972845
2017-01-21,82972845
2017-01-22,82972845
2017-01-27,86625614
2017-01-28,86625614
2017-01-29,86625614
2017-01-30,90866330
2017-01-31,90866330
2017-02-01,90866330
2017-02-02,90866330
2017-02-03,94866024
2017-02-04,94866024
2017-02-05,94866024
2017-02-06,94866024
2017-02-07,94866024
2017-02-08,99076567
2017-02-09,99076567
2017-02-10,99076567
2017-02-11,99076567
2017-02-12,99076567
2017-02-13,103319375
2017-02-14,103319375
2017-02-15,103319375
2017-02-16,103319375
2017-02-18,103319375
2017-02-19,103319375
2017-02-20,103319375
2017-02-21,103319375
2017-02-22,104913030
2017-02-23,104913030
2017-02-24,104913030
2017-02-25,104913030
2017-02-26,104913030
2017-02-27,104913030
2017-02-28,104913030
2017-03-01,104913030
2017-03-02,104913030
2017-03-03,104913030
2017-03-04,104913030
2017-03-05,99840033
2017-03-06,99840033
2017-03-07,99840033
2017-03-08,99840033
2017-03-09,99840033
2017-03-10,99840033
2017-03-11,99840033
2017-03-12,99840033
2017-03-13,99840033
2017-03-14,94910431
2017-03-15,94910431
2017-03-16,94910431
2017-03-17,94910431
2017-03-18,94910431
2017-03-19,94910431
2017-03-20,94910431
2017-03-21,94910431
2017-03-22,94910431
2017-03-23,90505189
2017-03-24,90505189
2017-03-25,90505189
2017-03-26,90505189
2017-03-27,90505189
2017-03-28,90505189
2017-03-29,90505189
2017-03-30,90505189
2017-03-31,90505189
2017-04-01,90505189
2017-04-02,90505189
2017-04-03,90505189
2017-04-04,90505189
2017-04-12,86547166
2017-04-13,86547166
2017-04-14,86547166
2017-04-15,86547166
2017-04-16,86547166
2017-04-17,82571290
2017-04-18,82571290
2017-04-19,82571290
2017-04-20,82571290
2017-04-21,82571290
2017-04-22,82571290
2017-04-23,82571290
2017-04-24,82571290
2017-04-25,82571290
2017-04-26,82571290
2017-04-27,80871430
2017-04-28,80871430
2017-04-29,80871430
2017-04-30,80871430
2017-05-01,82720192
2017-05-02,82720192
2017-05-03,82720192
2017-05-04,84689811
2017-05-05,84689811
2017-05-06,84689811
2017-05-07,84689811
2017-05-08,87998096
2017-05-09,87998096
2017-05-10,87998096
2017-05-11,87998096
2017-05-12,91137166
2017-05-13,91137166
2017-05-14,91137166
2017-05-15,91137166
2017-05-16,94892823
2017-05-17,94892823
2017-05-18,94892823
2017-05-19,94892823
2017-05-20,94892823
2017-05-21,94892823
2017-05-22,99072660
2017-05-23,99072660
2017-05-24,99072660
2017-05-25,99072660
2017-05-26,99072660
2017-05-27,99072660
2017-05-28,99072660
2017-05-29,99072660
2017-05-30,98537944
2017-05-31,98537944
2017-06-01,102639470
2017-06-02,102639470
2017-06-03,102639470
2017-06-04,107226387
2017-06-06,112186128
2017-06-07,112186128
2017-06-08,112186128
2017-06-09,112186128
2017-06-10,112186128
2017-06-11,114193721
2017-06-12,114193721
2017-06-13,114193721
2017-06-14,114193721
2017-06-15,114193721
2017-06-16,114193721
2017-06-17,114193721
2017-06-18,115767936
2017-06-19,115767936
2017-06-20,115767936
2017-06-21,115767936
2017-06-22,115767936
2017-06-23,115767936
2017-06-24,115767936
2017-06-25,115767936
2017-06-26,115767936
2017-06-27,115767936
2017-06-28,115767936
2017-06-29,115767936
2017-06-30,112062161
2017-07-01,112062161
2017-07-02,112062161
2017-07-03,112062161
2017-07-04,112062161
2017-07-05,112062161
2017-07-06,112062161
2017-07-07,112062161
2017-07-08,112062161
2017-07-13,113263846
2017-07-14,113263846
2017-07-15,113263846
2017-07-16,113263846
2017-07-17,113263846
2017-07-18,113523969
2017-07-19,113523969
2017-07-20,113523969
2017-07-21,113523969
2017-07-22,113523969
2017-07-23,113523969
2017-07-24,113523969
2017-07-25,113523969
2017-07-26,113523969
2017-07-27,112937746
2017-07-28,112937746
2017-07-29,112937746
2017-07-30,112937746
2017-07-31,112937746
2017-08-01,112937746
2017-08-02,112937746
2017-08-03,112937746
2017-08-04,112937746
2017-08-05,111626787
2017-08-06,111626787
2017-08-09,111626787
2017-08-10,111626787
2017-08-11,113599656
2017-08-12,113599656
2017-08-13,113599656
2017-08-14,113599656
2017-08-15,113599656
2017-08-17,113599656
2017-08-18,113599656
2017-08-19,113599656
2017-08-20,113599656
2017-08-21,113762669
2017-08-22,113762669
2017-08-23,113762669
2017-08-24,113762669
2017-08-25,113762669
2017-08-26,113762669
2017-08-27,113762669
2017-08-28,113762669
2017-08-29,113762669
2017-08-30,113762669
2017-08-31,113762669
2017-09-01,112994049
2017-09-02,112994049
2017-09-03,112994049
2017-09-04,112994049
2017-09-05,112994049
2017-09-06,112994049
2017-09-07,112994049
2017-09-08,112994049
2017-09-09,112994049
2017-09-10,112335374
2017-09-11,112335374
2017-09-12,112335374
2017-09-13,112335374
2017-09-14,112335374
2017-09-15,112335374
2017-09-16,112335374
2017-09-17,112335374
2017-09-19,112335374
2017-09-20,112335374
2017-09-21,112335374
2017-09-22,112335374
